id,name,value
be61ae94-04fa-456a-a5b9-d1173e52bb34,ESBADFMT,(
b09e1af5-056f-4115-bed8-77da0331b304,__SSP_STRONG__,"3
"
e5374724-eebe-4436-b89b-692e1662dd6e,__attr_access(x),__attribute__
40b70807-a5fd-468b-b1b5-d9247f7718eb,__DBL_MIN_EXP__,"(-1021)
"
d21a28cd-1cc3-41fd-9801-794891e05214,__SAFE_MEM_LIB_H__,"
"
3bb7beb9-8029-475d-a0ec-f4b86f3c8e8b,__LDBL_MANT_DIG__,"113
"
0696b89a-efa8-49d3-a50e-4a5949027450,__UINT_LEAST16_MAX__,"0xffff
"
15dddb35-10bf-4181-9ded-92386234f8ca,_STDBOOL_H,"
"
cd9e80d8-8755-4180-9908-1af4be9af68c,__ARM_SIZEOF_WCHAR_T,"4
"
85c4bbd8-b755-4b22-b5c0-35f9d3f78225,__DBL_DECIMAL_DIG__,"17
"
b9466566-ca22-42f2-9160-225817cc2e8d,__ATOMIC_ACQUIRE,"2
"
e45772f0-70c1-4b12-93f0-298c564b2429,__FLT128_MAX_10_EXP__,"4932
"
97a39a37-c165-4fe3-b5fb-f6b4ed816033,__off64_t_defined,"
"
1fcc96a2-fd08-40c8-b022-b1ca16f0a0f9,PRIXFAST64,__PRI64_PREFIX
8b742ffc-d6d2-41e9-8b57-76e3d2a5e967,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
6c5f9838-ce4c-4524-8bdb-8767673098ea,__GCC_IEC_559_COMPLEX,"2
"
edc3ba0a-507b-46c0-969e-40cd83d8d116,SCNiFAST8,"""hhi""
"
a713e1da-ae50-4a57-83e6-dc964aec7797,__NFDBITS,(8
602915a0-2ebf-4001-adad-ac631acd729e,__GLIBC_USE(F),__GLIBC_USE_
8b2fbb59-2906-4d53-84b5-c56d498d35cc,__UINT_LEAST8_TYPE__,unsigned
6934aa29-90d5-4acb-9e9d-5891e459f35c,_T_WCHAR_,"
"
926fb72a-7e68-4ddf-b731-ae768eab8820,EUNATCH,"49
"
c2454821-f68e-492b-a9d5-9b8ce6726383,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
e1d4d115-73c0-404f-a8f0-2318cd705d8e,SCNuMAX,__PRI64_PREFIX
d06fa839-162b-4afe-948a-b9a999836db6,INT_LEAST16_MIN,"(-32767-1)
"
ef0e767d-1fff-446d-892c-0427cc1289cd,__CFLOAT64,_Complex
840be5e5-d3b0-44d2-a5cb-69389f29d852,ENOCSI,"50
"
3a48cabd-8c1a-4ae4-9139-3f06589e3e9e,__stub___compat_get_kernel_syms,"
"
ecd512f7-359a-4509-8954-acc70a117c92,__S64_TYPE,long
535152d0-41d8-4293-98ad-55e7fecd571e,_PRINTF_NAN_LEN_MAX,"4
"
5b48834d-d9b6-4d4e-b935-441ced8d98bd,__FLT128_DIG__,"33
"
edd5c584-9203-41bd-8408-61f1eab08ea2,__stub_fchflags,"
"
4b0186ca-8cc1-414c-b98f-8373c2695f20,__SQUAD_TYPE,long
188a770c-3139-41df-a69c-f3973033ccad,__INTMAX_C(c),c
fc8a3d5d-1323-4cfd-9b18-2532ce4f1735,_BITS_FLOATN_COMMON_H,"
"
0475300a-daa7-442c-a7c1-d9d0e7c5a958,__GNU_LIBRARY__,"6
"
4b0984c6-5269-48a3-8943-404b6f2e7675,__SAFE_STR_CONSTRAINT_H__,"
"
f3a8a8f7-aafc-472e-ba94-a9b2e0f04afc,__CHAR_BIT__,"8
"
5a97eb3c-ecf0-48c3-8aac-7f7980c54aa7,__FSWORD_T_TYPE,"__SWORD_TYPE
"
f445e3a7-b649-4678-ad36-de764396fa3e,EAFNOSUPPORT,"97
"
59ee0ece-292c-4e38-a28a-4cedd98aeb89,EREMCHG,"78
"
9318acdc-5ee4-42d3-bc05-206835508b54,__attribute_pure__,__attribute__
26b338e9-ff7b-428b-9183-bea09f993d0d,EACCES,"13
"
4bc5ffc9-ebf2-4a12-b39a-3eb585121804,__UINT8_MAX__,"0xff
"
c7af109d-bbcb-4593-911c-18f5129465ca,WCHAR_MAX,"__WCHAR_MAX
"
eaec2219-bbfd-4e42-90a2-404c1d91e366,EDESTADDRREQ,"89
"
7e629bb4-56fe-4c04-9827-a7aa9a8a83e3,__feof_unlocked_body(_fp),(((_fp)->_flags
da2093fe-fecd-45d8-bc5b-9e6dbece171c,__sigset_t_defined,"1
"
9e8b994b-ec00-43e8-a00f-dcaeaae6c69e,__SIZEOF_PTHREAD_ATTR_T,"64
"
9d1b88dd-a412-4d55-bda9-9b61fd009670,INT8_MAX,"(127)
"
741cf598-4802-4699-8800-bd894abccc3e,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
955c71a7-5ef6-4e37-b7eb-d8d149d3cac1,__HAVE_FLOAT16,"0
"
a69865bc-2d8b-4927-a0b2-bd964bc63164,stderr,"stderr
"
