id,name,value
224d8468-7420-4eb0-a7d0-f78885d6132d,ESBADFMT,(
c4c5af13-165e-4501-a09e-4205ae46a116,__SSP_STRONG__,"3
"
1b3b69c1-7955-460f-9754-6f53cd538bd0,__attr_access(x),__attribute__
cf94c02a-ccd9-4130-9a1e-8c80ff32b7a4,__DBL_MIN_EXP__,"(-1021)
"
9bf66bcc-5328-410a-8ca8-6fe35dcee740,__SAFE_MEM_LIB_H__,"
"
5d9ab7fe-0c41-4e68-aa7b-493a2ca1ee3f,__LDBL_MANT_DIG__,"113
"
3053ef0c-f5dc-4412-b59b-1bf04550148a,__UINT_LEAST16_MAX__,"0xffff
"
f8eb71d3-7445-4821-bfe8-b35c5f161eba,_STDBOOL_H,"
"
cbcdf2d4-8637-4d89-8169-ef2d98f086e7,__ARM_SIZEOF_WCHAR_T,"4
"
44b5327c-e1ae-4093-b276-b2a2f3f73d41,__DBL_DECIMAL_DIG__,"17
"
10b08c40-f279-4a53-88cb-bb07f1f3f00e,__ATOMIC_ACQUIRE,"2
"
9ff45c23-e577-4aaf-a9d2-cb0da5e52e03,__FLT128_MAX_10_EXP__,"4932
"
e4b3f97b-fc5f-4711-88e6-ffc3af4ed3df,__off64_t_defined,"
"
93eac448-95d3-4f7a-8a61-f6c23f06caca,PRIXFAST64,__PRI64_PREFIX
cef4f72c-2b4e-47bb-b84d-62b52e7b0ef3,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
64bbc3fe-d11e-426e-bf20-34282e086ced,__GCC_IEC_559_COMPLEX,"2
"
d118f07a-ee01-4e98-b63c-f030593bd25f,SCNiFAST8,"""hhi""
"
123acee8-aed7-44b5-b6d1-48fabe1cce51,__NFDBITS,(8
461ca020-9dce-49a7-bd4d-e15935655d71,__GLIBC_USE(F),__GLIBC_USE_
e94a7a7a-3114-4215-906a-74615088ffd1,__UINT_LEAST8_TYPE__,unsigned
c94a7ada-d336-4ad9-b8e4-ad25559b654a,_T_WCHAR_,"
"
3d0ce62f-3f9d-41eb-b63e-f9e109ce3759,EUNATCH,"49
"
f3398967-5fe9-48bc-a9ba-b96eb1252142,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
ab1976e6-8cfa-4314-99f5-d2791f7df903,SCNuMAX,__PRI64_PREFIX
799ea6f4-3d8a-48ac-a32d-eb94b27ae96f,INT_LEAST16_MIN,"(-32767-1)
"
0875ecc5-752e-48fd-b11c-80226b15d5b2,__CFLOAT64,_Complex
90ddb81d-cada-4e6f-9865-73f23834944c,ENOCSI,"50
"
05741c82-897b-4a71-a78f-f0c551f10bb7,__stub___compat_get_kernel_syms,"
"
4e65f616-3920-4d7d-bb04-11b398762949,__S64_TYPE,long
640b7c6f-2615-4a2b-8afe-2418573a1de7,_PRINTF_NAN_LEN_MAX,"4
"
7bfc8440-9628-444b-9018-e86110666a75,__FLT128_DIG__,"33
"
f08103fd-295d-4f59-b3ab-420805d8b034,__stub_fchflags,"
"
1fdca93f-631e-47c4-a8b3-309f8d593178,__SQUAD_TYPE,long
7592847f-6bbe-4c08-968f-3c68310cec32,__INTMAX_C(c),c
3974583d-b0b1-4dcf-98ed-9ea956df24f3,_BITS_FLOATN_COMMON_H,"
"
d235bcd3-98f7-455e-b80e-b3ea3c9cb7e3,__GNU_LIBRARY__,"6
"
3e397bfb-11b9-4b42-a9d5-e551de87fa70,__SAFE_STR_CONSTRAINT_H__,"
"
6922920c-8715-49e1-9838-31720b605138,__CHAR_BIT__,"8
"
aea472f0-597d-484d-ba16-5e98fa260d32,__FSWORD_T_TYPE,"__SWORD_TYPE
"
bf5a51f1-8827-48d9-82d0-071b683c5aa0,EAFNOSUPPORT,"97
"
9fe33cc1-5e46-4a82-b23d-86fe0b6c642d,EREMCHG,"78
"
f8b67030-6aa3-4c5f-87c9-93cf4b94c85d,__attribute_pure__,__attribute__
9dfc7679-37b0-4b0d-9d78-d399fd3ed0cb,EACCES,"13
"
6000b31b-4659-4118-aef6-fb25a178acc8,__UINT8_MAX__,"0xff
"
950519c7-9ba7-4a21-a073-2e4eb463d232,WCHAR_MAX,"__WCHAR_MAX
"
4b8b0649-035c-4b93-8967-04f090b2d9a6,EDESTADDRREQ,"89
"
5a39218f-b65f-479f-ac08-6bc7212599d0,__feof_unlocked_body(_fp),(((_fp)->_flags
