id,name,value
391bd426-5509-488c-b0af-f9e499873514,ESBADFMT,(
20726c19-80c1-46ba-ac21-bc2d887029ab,__SSP_STRONG__,"3
"
ef9809d7-13b0-4292-be66-ef64e8d6cf45,__attr_access(x),__attribute__
4630fa98-7a9a-4202-861d-74be9061eff3,__DBL_MIN_EXP__,"(-1021)
"
89d56863-cbd9-4e07-b078-5b383f490bd1,__SAFE_MEM_LIB_H__,"
"
03de54b8-117c-4db1-bb07-63f1c214fc0c,__LDBL_MANT_DIG__,"113
"
91e54978-3da1-406a-90f2-5fc7a1a70c52,__UINT_LEAST16_MAX__,"0xffff
"
794420e5-60b9-45e9-aa74-0cfcda5e5e7a,_STDBOOL_H,"
"
827a92a6-5c0e-41bf-9dcd-456689620829,__ARM_SIZEOF_WCHAR_T,"4
"
b18a93b8-490b-4cfe-a16f-c5b5e14b97d4,__DBL_DECIMAL_DIG__,"17
"
dccfab4b-45b4-4148-a729-754371fda223,__ATOMIC_ACQUIRE,"2
"
9225485d-46a6-470e-aabe-5e593d041cc9,__FLT128_MAX_10_EXP__,"4932
"
f6e3ba67-2edf-4c25-8138-0e4679afc649,__off64_t_defined,"
"
3d78ce77-1574-47b4-b6d6-b25ee8bc3f7d,PRIXFAST64,__PRI64_PREFIX
10ce4e06-f56f-48b4-be9e-34cf4de15ce3,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
ae78c601-6510-462d-90b7-89e7414327a2,__GCC_IEC_559_COMPLEX,"2
"
e3296844-df90-4589-a682-189b1b23a3de,SCNiFAST8,"""hhi""
"
3dbceb51-93c0-4a3d-8bc1-fe4737e18c3c,__NFDBITS,(8
a76cae93-410c-4e48-90f8-c4b61c08c4d3,__GLIBC_USE(F),__GLIBC_USE_
d3402005-da17-46ad-a8d7-056adddd89d0,__UINT_LEAST8_TYPE__,unsigned
ae69bf91-17a9-494a-b612-c4dac7606b4f,_T_WCHAR_,"
"
b964b151-c75e-4036-9ce4-979a14b1174a,EUNATCH,"49
"
ff5b9033-2455-4e8b-9a38-402c8b7386bc,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
2859275d-5d4c-4d4e-81d0-5934bb107a17,SCNuMAX,__PRI64_PREFIX
7f91f243-9978-4687-8daf-15650b4fd5db,INT_LEAST16_MIN,"(-32767-1)
"
898cc06e-c1f0-4e71-ac3a-49114bdb81b2,__CFLOAT64,_Complex
3eb5a7ab-686a-4a66-a078-9cb5fd1329a6,ENOCSI,"50
"
315bf7d3-b5e5-44aa-ad1b-bc3840332563,__stub___compat_get_kernel_syms,"
"
503bb7a8-976b-4a3a-8bc9-7a9d04ee87b0,__S64_TYPE,long
c28b27d5-284b-4c1b-be4c-5b4e9759ff13,_PRINTF_NAN_LEN_MAX,"4
"
fce6c266-4a29-4c34-a0e1-ae840b1c1e8a,__FLT128_DIG__,"33
"
fd08040d-c98d-45db-a9a5-2f7631da2488,__stub_fchflags,"
"
b054f5da-9bb1-4610-8bcb-4e07a74a88c2,__SQUAD_TYPE,long
d91066e8-2bfe-437a-a9ec-b5ad660e2531,__INTMAX_C(c),c
2ebef8b2-0379-4a32-b052-96389dc247c6,_BITS_FLOATN_COMMON_H,"
"
93c5c3aa-876f-49b9-a3d3-ad0d70642fff,__GNU_LIBRARY__,"6
"
b901cd6c-ccc9-47a7-ae15-b1ef262aba02,__SAFE_STR_CONSTRAINT_H__,"
"
71177a63-a6c6-415b-9f78-a3da647a245a,__CHAR_BIT__,"8
"
6921ab73-fd66-449b-a782-ad4fbdf84908,__FSWORD_T_TYPE,"__SWORD_TYPE
"
591a5a62-a9b5-46dd-a96f-4e5cf2a727d4,EAFNOSUPPORT,"97
"
e499c91d-26ce-4f04-a1de-7c9dceaca266,EREMCHG,"78
"
5a86e526-14d8-45df-9e70-44b1c4e01507,__attribute_pure__,__attribute__
b69c7116-1438-43c8-ab00-5cb4d2e5b805,EACCES,"13
"
0e462958-6f2d-4950-b307-dbe631434f87,__UINT8_MAX__,"0xff
"
10c79b46-6a2b-4bc6-928f-de602d1234b8,WCHAR_MAX,"__WCHAR_MAX
"
8ebe60c3-7517-447a-97d6-44b003918c0e,EDESTADDRREQ,"89
"
153cbb70-b1a7-4c95-974e-5f00f684e59d,__feof_unlocked_body(_fp),(((_fp)->_flags
dc6e1f3a-4a83-4e8b-826a-e6c1c1e2b70f,__sigset_t_defined,"1
"
33c8251b-b17f-480c-991b-dec52f5e5f10,__SIZEOF_PTHREAD_ATTR_T,"64
"
f9bcb37d-c534-4e44-b68e-43bb2164c6c9,INT8_MAX,"(127)
"
4230e5e5-d3dc-477d-8ce0-25f0f76502f9,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
4c0da7aa-1adf-4bac-8c07-2a4df7d7525d,__HAVE_FLOAT16,"0
"
dd3c042d-d743-4936-8193-0a87565b7724,stderr,"stderr
"
0a17308b-6a76-43ba-aa56-c33a720da55b,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
ae232a48-81c0-43df-a666-2f05b832878c,_XOPEN_SOURCE,"700
"
ae37a8da-56d9-431d-9547-320c9dd422b9,UINT_LEAST32_WIDTH,"32
"
83f71e8d-8885-467a-a220-399ec82cf975,EILSEQ,"84
"
d242743a-be18-42b7-ad78-7c3631284de8,ESPIPE,"29
"
de248400-5375-4bed-bb42-e959dd6f4f0a,INT32_MIN,"(-2147483647-1)
"
2d1c92c3-dcea-4715-8b63-daca9aadbde6,SCNxFAST8,"""hhx""
"
401d50b4-ee3e-4eab-ba8b-2ab695a6781b,EPERM,"1
"
1b77e464-6dde-4142-9145-45db8e588279,__OFF_T_MATCHES_OFF64_T,"1
"
ce42bd9f-6158-4760-8617-91a067c387ec,EMLINK,"31
"
d21d100d-3f90-423b-a747-d3c53c52400e,UINT_FAST16_WIDTH,"__WORDSIZE
"
4e425b12-0877-4e9f-a40b-34c64ff57578,PRIdMAX,__PRI64_PREFIX
1698bab5-18b7-4bd5-8988-fb3256fac5e0,__WCHAR_MAX__,"0xffffffffU
"
d4754ea2-7048-4b2c-a0f1-aff678c1031e,ENOSR,"63
"
c3f504b7-fcfd-436d-9ae0-e619571c0d01,INT16_MAX,"(32767)
"
98cc7ed3-c72e-4cee-8d38-f42893268a7b,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
01f357e9-8066-499b-8c8a-c23c1937a63a,__STATFS_MATCHES_STATFS64,"1
"
93ee2b1d-e6d5-49d2-b7bc-5b22507d9fa8,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
36a52f06-235a-4522-b72a-2ec1d54b008d,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
49cf9a8f-1a42-481f-8700-b843598df797,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
e7ac464c-8899-4f39-99e0-7c42034c87cd,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
ffff4c47-74d7-4fb3-8746-a0b9e39002c5,__GCC_IEC_559,"2
"
