id,name,value
91426e02-024a-43e2-90ac-0721170b44d2,ESBADFMT,(
04450d9f-1613-4619-9eb5-14e564db7162,__SSP_STRONG__,"3
"
46778ede-9b53-47ae-93d6-70614ae49a9d,__attr_access(x),__attribute__
f0cda34d-a550-4a83-a949-6185038d3627,__DBL_MIN_EXP__,"(-1021)
"
a94ce5da-e424-4445-9f62-b5fbef7bbaac,__SAFE_MEM_LIB_H__,"
"
36afd6fd-ab0b-4b3f-b1cc-afcf099b4c03,__LDBL_MANT_DIG__,"113
"
e749ac97-beed-4740-b4fe-c093c76e8f6a,__UINT_LEAST16_MAX__,"0xffff
"
2602c3d4-ab2c-43d6-833b-b7fd9fd2e5b9,_STDBOOL_H,"
"
1cab0bd3-63d0-4499-b73d-764888353a61,__ARM_SIZEOF_WCHAR_T,"4
"
bb02704b-b147-4219-abdc-f592832c8450,__DBL_DECIMAL_DIG__,"17
"
c1cac2dd-4b8f-4abe-b904-b9fc63bba39e,__ATOMIC_ACQUIRE,"2
"
cbdb6353-ad94-494c-9f7f-a46187949471,__FLT128_MAX_10_EXP__,"4932
"
656b28c7-ff85-4b7f-86d0-07c59118a6ee,__off64_t_defined,"
"
62da0ec9-81e2-4d96-8db8-d9fbb7517dbc,PRIXFAST64,__PRI64_PREFIX
04052c97-22b9-4e25-ab58-61f0a74e4a92,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
55f84d3a-531d-4270-9761-7a91c255595b,__GCC_IEC_559_COMPLEX,"2
"
b9d4f743-abf6-4e0e-b7e6-79c121a02597,SCNiFAST8,"""hhi""
"
883cd374-ab14-4b63-a2fe-f03883a33d00,__NFDBITS,(8
05bdcb18-ca33-494a-b57b-e33f2d5be420,__GLIBC_USE(F),__GLIBC_USE_
ffe6730f-3c90-429e-aa3b-649797bbf6b9,__UINT_LEAST8_TYPE__,unsigned
9ad2930e-4696-4a57-930b-49ec1ad95d55,_T_WCHAR_,"
"
8572b3b4-d05e-4d02-824d-8e2740b76d05,EUNATCH,"49
"
369a0d30-4102-4b19-8107-8583ab402da2,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
