id,name,value
34950276-4896-4a04-b86c-4243d6211ab8,ESBADFMT,(
922b6f43-cd6f-4a7d-97c0-e9cfd5ea79f6,__SSP_STRONG__,"3
"
14fa856d-3d18-48c7-97b2-f41b8dfbfd56,__attr_access(x),__attribute__
1da4d0c5-319d-4e1b-b547-645e4f6c09a0,__DBL_MIN_EXP__,"(-1021)
"
88fcf728-c9ca-470f-a1dc-febd704f2977,__SAFE_MEM_LIB_H__,"
"
786dce26-7ef1-4dd2-a131-32a5324460a9,__LDBL_MANT_DIG__,"113
"
5c7a37cc-ac1a-4138-97f5-cac23f5021d8,__UINT_LEAST16_MAX__,"0xffff
"
e3cbd8a4-1aba-497f-af8c-d67504b680b8,_STDBOOL_H,"
"
5a9f885a-dfe0-4bac-8526-5c2d30e83607,__ARM_SIZEOF_WCHAR_T,"4
"
8267bfc9-2189-44b1-8785-a6295814ab7c,__DBL_DECIMAL_DIG__,"17
"
bc2b8088-2f4a-4196-801e-8eae9e0d1797,__ATOMIC_ACQUIRE,"2
"
62469dac-3bf4-4fe4-b57e-5611e68f5965,__FLT128_MAX_10_EXP__,"4932
"
25d4cc0a-b5d3-4604-be05-1bd3ab50dd27,__off64_t_defined,"
"
f2b7e6e1-399f-45c9-b1ee-4a3831482ffb,PRIXFAST64,__PRI64_PREFIX
4ee9f66b-2d24-480a-bf00-44b3d2f31d3b,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
ae2e1bd7-6159-44a2-ba4c-e11599ac63ce,__GCC_IEC_559_COMPLEX,"2
"
21af4b69-e572-47d8-9500-6cd89ac22f07,SCNiFAST8,"""hhi""
"
7ab6a401-c406-4106-a585-44180c0128e5,__NFDBITS,(8
a5dbf8c3-468c-48ab-8029-8832b540bb7b,__GLIBC_USE(F),__GLIBC_USE_
ea722368-de13-4292-894e-27be13c4341b,__UINT_LEAST8_TYPE__,unsigned
fe9717e2-ac84-414e-a238-0acf51640195,_T_WCHAR_,"
"
51e017ad-af4b-40e5-8d01-f0187a53258f,EUNATCH,"49
"
2652f8cc-3d5e-420c-944d-23785d3ad022,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
b4827333-e1a5-4f98-aea9-f6c73c5aebd2,SCNuMAX,__PRI64_PREFIX
9c9fa6ca-358c-48d1-98f7-2474b98dbeee,INT_LEAST16_MIN,"(-32767-1)
"
5f225466-c2c4-4983-ae81-32309576a040,__CFLOAT64,_Complex
f80de1a1-976d-458e-be66-fa922b578c16,ENOCSI,"50
"
6dd23c97-9563-48be-abe3-0af7cda01819,__stub___compat_get_kernel_syms,"
"
195e5a68-89a1-40e8-b55b-0f6be6d7d55a,__S64_TYPE,long
9bfe78cc-1eab-49d1-96ac-a67fc3153b3e,_PRINTF_NAN_LEN_MAX,"4
"
82c437cf-5238-4510-a6e7-54d4d5d01178,__FLT128_DIG__,"33
"
c8aa4b5c-9dcb-4b6d-9aa1-356dfea2b72f,__stub_fchflags,"
"
ecc9eb46-5f1c-4741-8364-488d81f5aa7f,__SQUAD_TYPE,long
95a7eb4d-f409-4301-88b5-6a3ece87fee6,__INTMAX_C(c),c
daac0daa-ab15-4a63-bdc4-e686a197e838,_BITS_FLOATN_COMMON_H,"
"
6a8c9f78-d909-416f-9c00-3bf32dca7b4e,__GNU_LIBRARY__,"6
"
2c3532fb-e3b3-45b2-874d-dce3ea65cfa4,__SAFE_STR_CONSTRAINT_H__,"
"
cf36fd61-cd23-4f9c-a5aa-3c89a602fa7a,__CHAR_BIT__,"8
"
02382c1b-3a0b-4358-9e3d-a17065be485e,__FSWORD_T_TYPE,"__SWORD_TYPE
"
5e18af36-439e-46dc-9c65-45f3f94b9c64,EAFNOSUPPORT,"97
"
7052e6aa-3b8c-48e4-ad71-70ec7309a7d8,EREMCHG,"78
"
a6e6a3eb-03db-4a63-8f5a-1b2abbfbd7b7,__attribute_pure__,__attribute__
c3ad963c-c4ce-4539-8050-68b6e9eb35c7,EACCES,"13
"
1b8f6d33-4c5c-4e50-af74-cbcae6ee297a,__UINT8_MAX__,"0xff
"
69e72dc1-209c-4b55-b844-9d56e23d04fd,WCHAR_MAX,"__WCHAR_MAX
"
430f74df-7960-4500-917d-e7cceadcf7d5,EDESTADDRREQ,"89
"
4180000d-1235-4e59-9e2a-eaeddfefa197,__feof_unlocked_body(_fp),(((_fp)->_flags
8007d45c-969d-4f34-9edc-b0d925e76fb7,__sigset_t_defined,"1
"
7877e2e4-350b-4ee5-8b7e-15fdb3192cb5,__SIZEOF_PTHREAD_ATTR_T,"64
"
c8e8fdc5-237d-44a6-b899-060ca002b609,INT8_MAX,"(127)
"
71416a35-3961-4fe6-bbc7-d8861e774eb8,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
2cfa25bd-6cf2-4c7b-b6ef-c842d4592c33,__HAVE_FLOAT16,"0
"
dfd70e31-94a8-4805-a156-7b6184a612d2,stderr,"stderr
"
063b34a3-46ad-4b7d-bb63-c1fc10401537,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
9e5600fa-247d-47ef-afb9-aea368e57328,_XOPEN_SOURCE,"700
"
7189bb6c-5be1-4785-9fdb-07a4c8c11b86,UINT_LEAST32_WIDTH,"32
"
c7ec664b-9621-4f48-a7f7-99dead3f411a,EILSEQ,"84
"
93aff061-00ab-4435-a7d3-d99889373ebe,ESPIPE,"29
"
3a91cd53-0f33-4ee0-b35d-384090ffe0cd,INT32_MIN,"(-2147483647-1)
"
a2911f78-73fd-4e64-8067-dc9f7184573e,SCNxFAST8,"""hhx""
"
f9e71711-b4fa-44b6-a0ec-a2825180d6ad,EPERM,"1
"
409c50ee-bfab-44e6-852d-e948536d3400,__OFF_T_MATCHES_OFF64_T,"1
"
bb30bf12-4fb0-4089-a377-dc2420f75b49,EMLINK,"31
"
a0b401c1-a987-47fb-ad32-b575c5802167,UINT_FAST16_WIDTH,"__WORDSIZE
"
2a90bfa6-8d57-49c5-8b62-2f1d66ab74e0,PRIdMAX,__PRI64_PREFIX
35ce17e5-1b0e-48e4-9105-47f2305130fe,__WCHAR_MAX__,"0xffffffffU
"
5507d431-d362-40f3-94ba-bd8a5ee52d28,ENOSR,"63
"
82fd3df9-106f-4154-858d-9120eca627e0,INT16_MAX,"(32767)
"
d67e6099-e148-42cf-9e47-48eca023a5ca,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
919ca3a2-0b75-44cb-85a1-c974292c3500,__STATFS_MATCHES_STATFS64,"1
"
cd588792-addb-44f6-a112-1d8c02656656,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
eb128c5c-7e36-49b9-a175-9947ae9f774c,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
564d41af-fab1-4a4a-80fd-fc8ccfe18574,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
5f9923ff-cd19-4049-a5a4-316b4b907de3,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
0393853a-f974-477f-8820-208791ee725b,__GCC_IEC_559,"2
"
7645f323-968c-4439-9d0b-0bfa1d238e72,__LITTLE_ENDIAN,"1234
"
d9d8b04f-0b14-49bd-8af8-17b169f27146,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
362c39bd-ecd1-4535-b4bc-950893d1269a,__FLT32X_DECIMAL_DIG__,"17
"
8fb5a30c-b9f9-4d84-95ac-0824d17e52f6,_IOFBF,"0
"
c2629902-9ed0-4603-904d-63202e319efb,__FLT_EVAL_METHOD__,"0
"
bcdfd3f3-5832-4215-b28a-98a1f0466ef1,EL3RST,"47
"
8dd34c4c-bbd5-4647-b8b5-72c13fb3783f,_IO_USER_LOCK,"0x8000
"
da45d8a0-b73e-4c69-a160-87631ce5c161,"__ASMNAME2(prefix,cname)",__STRING
fb7fbeaa-b022-4ad7-a249-ee6eec8f45ee,INT_LEAST32_WIDTH,"32
"
522e72ab-6fe4-4874-ac01-8ffd31fd6600,SCNiPTR,__PRIPTR_PREFIX
220e30ed-7814-4fde-9e65-7ba59c57b4dd,__FLT64_DECIMAL_DIG__,"17
"
6dfc3444-0ad8-4e20-9291-49758f8d57e0,_WINT_T,"1
"
7fc62b8f-63b9-4d3c-ad21-45d471ac8e5f,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
2581470d-15c3-48a3-a8e9-60df4ef84d7b,__HAVE_FLOAT64,"1
"
1124ca70-5997-4af1-bb1a-047c103d68d9,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
87f7c4a7-bf7f-495b-836e-16397681f180,__attribute_nonstring__,__attribute__
ed55388c-ad5d-453d-905c-37331fbfb017,__UINT_FAST32_TYPE__,long
3f9c2c17-ba88-448b-bac2-2fcfbfac5721,EOWNERDEAD,"130
"
fe55ea4b-caa7-4d53-a5c3-62dc78a9d5e6,bool,"_Bool
"
989c8f3d-b12f-447a-92fa-843ff1e265c4,__CFLOAT128,_Complex
49a60eb7-42f0-4c73-9ee9-7eb037122c68,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
d1cb5762-ca03-4a37-a205-03a43a374ab6,__SIG_ATOMIC_TYPE__,"int
"
3ea8657e-ae80-4737-b9ca-269f691dd339,__GID_T_TYPE,"__U32_TYPE
"
cdbeadc5-73b0-4a74-a545-f9a287ba9fe0,UINT64_C(c),c
3a7a7d48-ef12-480a-8ed5-1e39f6b30cfb,__DBL_MIN_10_EXP__,"(-307)
"
423c7c34-03b3-4aa1-beba-a651cf94689b,INT16_MIN,"(-32767-1)
"
e508d564-313b-4f2e-a793-c8e92a046a77,ENOTTY,"25
"
0dfeff98-3cb9-4926-aad8-4674abcbd216,__FINITE_MATH_ONLY__,"0
"
08c4b204-5507-4c9d-9754-1d1df112e6bd,__stub___compat_uselib,"
"
