id,name,value
17762b35-80fc-4916-aa70-6e44a0acb44e,ESBADFMT,(
d88ebdbc-bd66-4e81-b1ad-4b862946e4ec,__SSP_STRONG__,"3
"
e6c06dc6-2e0d-44dc-a268-c5066214983f,__attr_access(x),__attribute__
83a1a615-0a48-45e9-a5e6-35da7e994443,__DBL_MIN_EXP__,"(-1021)
"
7b7a62c7-829c-4d7a-8b86-7279e0c3e5cc,__SAFE_MEM_LIB_H__,"
"
4b5934de-e989-43d5-9ce7-dbe83dc4c021,__LDBL_MANT_DIG__,"113
"
d6d420fe-15e1-4fdc-8cdf-d143fd44e399,__UINT_LEAST16_MAX__,"0xffff
"
ac12c01b-5153-4be3-8208-e7344e09607d,_STDBOOL_H,"
"
ce03a54e-5745-453b-8ffc-c884056511ee,__ARM_SIZEOF_WCHAR_T,"4
"
50bc24ed-2aff-422b-8658-011712b6b7c6,__DBL_DECIMAL_DIG__,"17
"
c453dde4-60d3-4eff-90f6-6fae8c188839,__ATOMIC_ACQUIRE,"2
"
ff4976d4-4afe-4f38-a9c3-62a64ff15c4e,__FLT128_MAX_10_EXP__,"4932
"
8d05497e-c4d2-45a2-bfef-4cfbcead4e91,__off64_t_defined,"
"
9df2d5aa-3cae-48d3-ba6f-0b7b047a4fbe,PRIXFAST64,__PRI64_PREFIX
ce893a24-f531-4cfc-9a96-d53d6fd97c1b,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
a2c0f884-7abf-4d2d-bba9-359f72cc3081,__GCC_IEC_559_COMPLEX,"2
"
1b6759fd-0e23-45e2-acf8-6f5f196fbd4c,SCNiFAST8,"""hhi""
"
dc1efcc5-f683-4322-a24f-b0df3ba108cf,__NFDBITS,(8
006cfa57-cfda-4ad7-97df-f97c9c854bb1,__GLIBC_USE(F),__GLIBC_USE_
3171279b-438c-4b75-b669-7ab6a4ee2457,__UINT_LEAST8_TYPE__,unsigned
f7c074f5-0308-4a97-b17e-05e9af2a79fa,_T_WCHAR_,"
"
2d5b80d1-7367-467c-ad61-214ff0efd907,EUNATCH,"49
"
1b9c9dad-e9f5-4be6-a8fa-a3a5cfdacffb,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
f964ada2-9fe1-4974-8db5-2ac44874aa10,SCNuMAX,__PRI64_PREFIX
0c29a40a-4dd3-449e-b66c-08a2200f3c99,INT_LEAST16_MIN,"(-32767-1)
"
350a9ad5-be3d-484c-a657-836eb3bfef7f,__CFLOAT64,_Complex
