id,name,value
5542a6d1-6d66-4a10-aa14-7e7f61eff028,ESBADFMT,(
b48c3190-a947-43e6-aa4b-c8dd05d44423,__SSP_STRONG__,"3
"
037a36e7-5cc5-4b0b-9dbf-724385f99067,__attr_access(x),__attribute__
5ca6a354-1a56-425e-a10c-84cd39dddf5d,__DBL_MIN_EXP__,"(-1021)
"
e1a130f0-3115-43fb-94c7-ab69efda38ab,__SAFE_MEM_LIB_H__,"
"
a1e2a2c9-a209-4ffc-9fa6-4f7fa35ca301,__LDBL_MANT_DIG__,"113
"
979881a1-4ba0-45f7-af5c-a45c748c1185,__UINT_LEAST16_MAX__,"0xffff
"
eb53e22e-9737-420f-84c8-4b23933de115,_STDBOOL_H,"
"
12773733-e072-4de5-bc8f-1a49ec4ad09a,__ARM_SIZEOF_WCHAR_T,"4
"
f069ec62-a282-429e-95ba-b1e37328c035,__DBL_DECIMAL_DIG__,"17
"
5c4559b1-fe23-4c50-82c6-615a3040d88d,__ATOMIC_ACQUIRE,"2
"
81f6a5f9-e68d-445a-86be-29bd45f83325,__FLT128_MAX_10_EXP__,"4932
"
686acf5c-ba8f-4350-a94c-1cfc06aea9b8,__off64_t_defined,"
"
7ec59da6-b8ff-4bad-9bd8-c87399ba0015,PRIXFAST64,__PRI64_PREFIX
7d1a3b77-3b59-4734-822a-3054df4a496a,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
da85978e-bfab-434b-bd97-a54037d8d833,__GCC_IEC_559_COMPLEX,"2
"
b8edeb47-8870-4638-8a42-3be847b504d0,SCNiFAST8,"""hhi""
"
86b9071e-19d9-4761-972f-15b6fccf5e43,__NFDBITS,(8
f38ce5d0-dbe9-403c-8ed4-182cb149f233,__GLIBC_USE(F),__GLIBC_USE_
3cc3713c-210d-4884-8f36-0cc4ef39bc56,__UINT_LEAST8_TYPE__,unsigned
a597a3d1-35be-48df-b368-aeb4e8729846,_T_WCHAR_,"
"
26f54bab-fc85-4dd0-8de9-222699ae0878,EUNATCH,"49
"
7cd49c73-88eb-49ae-b8dc-a954eeec399a,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
86ac9fd1-fc6b-413d-aed6-439e069b35d5,SCNuMAX,__PRI64_PREFIX
e7a2b9ad-ef11-491d-8e2e-01fff129c9f0,INT_LEAST16_MIN,"(-32767-1)
"
2ffa9ead-4561-49f2-982f-969ef62e9577,__CFLOAT64,_Complex
cd643021-1256-44f7-abd9-4d1440df1cc5,ENOCSI,"50
"
f5e5fa59-b353-4f3c-8a09-eeea335d8aa0,__stub___compat_get_kernel_syms,"
"
0a99f278-2d8e-41f9-a14e-cd24ae22dc60,__S64_TYPE,long
ec0b43c2-2151-413b-8fd4-4b8f221c6a79,_PRINTF_NAN_LEN_MAX,"4
"
0ac5cd76-e270-4916-8406-f1433531a9b8,__FLT128_DIG__,"33
"
9b81d5c4-cc76-4576-b71f-1a95fce41c7a,__stub_fchflags,"
"
21e65604-aac2-4d55-b9bc-1eafde089f0d,__SQUAD_TYPE,long
0f32598d-4fbe-4b43-9529-dfaca0c2cff6,__INTMAX_C(c),c
ec6c4b1b-6bb3-4e76-b808-7654a014f157,_BITS_FLOATN_COMMON_H,"
"
febe2ff1-745b-4030-81cb-9e0c3979e8e0,__GNU_LIBRARY__,"6
"
71fe0555-bc4f-4840-88a4-de3edcf4a63c,__SAFE_STR_CONSTRAINT_H__,"
"
08db651b-f8a0-4ebc-a4cc-b88b62ef2d4e,__CHAR_BIT__,"8
"
9f3fbaa1-f9c1-4497-bb35-18a6724f75da,__FSWORD_T_TYPE,"__SWORD_TYPE
"
d0a4e3dd-720e-4715-bed0-1368933f50df,EAFNOSUPPORT,"97
"
d1abc8f8-b334-4678-8535-97d023cc4bf6,EREMCHG,"78
"
d2f8fc8b-e21d-4caa-ba10-517942449c91,__attribute_pure__,__attribute__
97f03a4a-5a07-4d92-b0ac-2e57dc9c4778,EACCES,"13
"
6aced6cd-4b1c-40ae-b69d-7a8287f3b0d5,__UINT8_MAX__,"0xff
"
1796a7d4-956b-4910-9876-1ab451e5e3d1,WCHAR_MAX,"__WCHAR_MAX
"
fe34dc28-68d3-4083-b594-875951ebb2c5,EDESTADDRREQ,"89
"
6430222b-d609-4c64-8c08-0119d4013846,__feof_unlocked_body(_fp),(((_fp)->_flags
9d775f89-8324-4a3d-b3c3-462f06639df3,__sigset_t_defined,"1
"
8c2051f1-0a8c-4d5a-a764-f76e4864e9ad,__SIZEOF_PTHREAD_ATTR_T,"64
"
f38d98f5-ac90-4e4a-8375-15c0a02041cc,INT8_MAX,"(127)
"
3d81bd98-b7db-4eb0-bf15-04e1aecf2dd9,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
3144965e-0533-46db-a3f4-64931293dd7b,__HAVE_FLOAT16,"0
"
9ff93976-852a-4fc7-8f52-7d8dbb0e9847,stderr,"stderr
"
69f4d275-54b6-40e6-b857-0e5db83a192c,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
75146bcc-bb76-4803-88d3-1277f8555bb9,_XOPEN_SOURCE,"700
"
c84301fc-96ee-4b57-91ab-d883b721b1b6,UINT_LEAST32_WIDTH,"32
"
c5e7ba37-7f2e-405a-b673-45d9f66b1c45,EILSEQ,"84
"
a75acf28-9023-4140-a7a7-82e43cc9af12,ESPIPE,"29
"
