id,name,value
d474f291-b661-4dc7-8968-e9b3a0235437,ESBADFMT,(
18ba62a5-f8e1-4554-afe7-43b701449683,__SSP_STRONG__,"3
"
6c7ee044-206b-490e-b50c-ebbdc0ce9301,__attr_access(x),__attribute__
c5dce922-1322-49a0-b752-c535862d1cb7,__DBL_MIN_EXP__,"(-1021)
"
30416d31-cddc-474b-adcc-8125dad9c877,__SAFE_MEM_LIB_H__,"
"
d095a5cf-660b-460b-b070-82a8ed0f220c,__LDBL_MANT_DIG__,"113
"
92cfa27e-3fd9-482a-b315-fb2834193968,__UINT_LEAST16_MAX__,"0xffff
"
47de938d-0d04-42d9-b25a-3b5ee74697e4,_STDBOOL_H,"
"
50c71abb-eb73-417c-a65c-bed2002a06a0,__ARM_SIZEOF_WCHAR_T,"4
"
0ff900b5-485b-4c70-9563-09e6d7d3f367,__DBL_DECIMAL_DIG__,"17
"
94ef6a71-0692-4396-b6a9-f6e0ab2847ea,__ATOMIC_ACQUIRE,"2
"
5c2d5482-1576-4d02-8896-19b3c693563f,__FLT128_MAX_10_EXP__,"4932
"
6aa83cff-ac40-47ed-a1f2-f6f7442befb0,__off64_t_defined,"
"
1dfe060f-a388-4f2f-9c61-77c00edccfb6,PRIXFAST64,__PRI64_PREFIX
9432c8a7-d3b5-4923-823e-8b7b066efc1b,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
c03cfdaa-a24d-4a10-8a8a-91241a74c620,__GCC_IEC_559_COMPLEX,"2
"
4c55dfe3-0932-4550-b969-620b600399b3,SCNiFAST8,"""hhi""
"
c24a3901-eb49-424a-8f96-81e908e90133,__NFDBITS,(8
973f70aa-eb76-482e-bf2f-6a159f534ce8,__GLIBC_USE(F),__GLIBC_USE_
3d5002ec-f013-455e-8115-7e37a72ae04e,__UINT_LEAST8_TYPE__,unsigned
cf49ab58-5ed8-49d5-a6ce-d15c9073e427,_T_WCHAR_,"
"
12b10ba0-2585-49e0-b25b-3d00121fdc69,EUNATCH,"49
"
32f50ba1-bffc-4571-8f8d-b90a72726d0b,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
