id,name,value
d9bedf08-b4d5-4621-b118-6ecbd801910c,ESBADFMT,(
816559a1-d292-4121-9bcf-bfb725011881,__SSP_STRONG__,"3
"
ca5a36b8-efc7-4260-80d4-1cf1d20c3048,__attr_access(x),__attribute__
8849ad79-9f44-416a-bec4-ed7ed21e6278,__DBL_MIN_EXP__,"(-1021)
"
f8c10b1d-a837-4d48-b058-bf565a1d91ec,__SAFE_MEM_LIB_H__,"
"
eb15e43c-a17d-4545-84b7-e91b7767f34c,__LDBL_MANT_DIG__,"113
"
5aa44276-5c2e-4429-8f69-f2046aa94ac3,__UINT_LEAST16_MAX__,"0xffff
"
59d0788d-6338-46a7-a107-2d1d5130a433,_STDBOOL_H,"
"
39c47065-6dc4-41cd-906b-e6e7c0a0a5e6,__ARM_SIZEOF_WCHAR_T,"4
"
487ae292-a6a1-4164-8449-e1a0c79b9aff,__DBL_DECIMAL_DIG__,"17
"
506a8289-755c-4cd7-a3b3-fd8ad5b31232,__ATOMIC_ACQUIRE,"2
"
b2739f26-ec6c-4b98-8aa7-5a3a47185e8e,__FLT128_MAX_10_EXP__,"4932
"
2ddce8dc-6782-4e37-8d28-562da16653e8,__off64_t_defined,"
"
19b77fab-d32f-4cb6-8358-430ba38f33eb,PRIXFAST64,__PRI64_PREFIX
9154cc27-2228-4c58-9f7b-f91f1184b935,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
b649f139-f3e0-4191-bddc-c4c63a0e211c,__GCC_IEC_559_COMPLEX,"2
"
1600921d-f4b9-41d9-bac8-4350a0f5d15a,SCNiFAST8,"""hhi""
"
c0544668-da58-4ed0-81f8-95a42d9759b8,__NFDBITS,(8
2efa4ac2-ef1c-4bfa-aef4-76375f0c2ff5,__GLIBC_USE(F),__GLIBC_USE_
f9fc0fe9-d453-4962-88b1-5828be98e0f2,__UINT_LEAST8_TYPE__,unsigned
efdad269-0605-4378-b209-9f6b2e156f14,_T_WCHAR_,"
"
82ea1588-f5de-4c39-b1e3-d3ad4c9671d6,EUNATCH,"49
"
93f18d8e-edba-49d2-ba88-d4c7164f4cce,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
8ec486da-6c1a-4f65-a625-ce946ade7af3,SCNuMAX,__PRI64_PREFIX
0d588a45-7397-4f4e-a3ec-12ccea692f1c,INT_LEAST16_MIN,"(-32767-1)
"
c205b669-1a34-4c37-949b-5c5dfb56a540,__CFLOAT64,_Complex
a7c131de-3d45-4d1b-b0f3-9ac1814bef70,ENOCSI,"50
"
3fc38502-b8b5-4cf6-9ded-8c029f87b20d,__stub___compat_get_kernel_syms,"
"
9802ab9d-9b21-4c1a-b44d-fe5a95505701,__S64_TYPE,long
ca137f77-5035-4aaa-b987-7434b825b99e,_PRINTF_NAN_LEN_MAX,"4
"
5dfe3f83-ac87-4716-aa7f-9a3cb3c64199,__FLT128_DIG__,"33
"
bb0e747b-83d1-42ef-8a96-72f11e995d2a,__stub_fchflags,"
"
a11c796d-44a7-455a-9f2e-0f973de60248,__SQUAD_TYPE,long
b61fcdc0-af93-4b90-88eb-3d38901bb191,__INTMAX_C(c),c
4cd0367b-76cc-4390-b013-9198fe43666d,_BITS_FLOATN_COMMON_H,"
"
546c1a3c-2a2c-460c-915f-0c2a8fb7ace2,__GNU_LIBRARY__,"6
"
04014691-11c6-489a-8490-2d6bd7eaa4f5,__SAFE_STR_CONSTRAINT_H__,"
"
d1c562d7-be89-43d0-b47c-4d513502711b,__CHAR_BIT__,"8
"
d2306b5e-2dba-441f-9974-2383852bd2e0,__FSWORD_T_TYPE,"__SWORD_TYPE
"
e32a0a5a-4d43-4882-a0e8-0ebb8b64af06,EAFNOSUPPORT,"97
"
578efab0-5f62-4906-8015-ccea70a7e8b2,EREMCHG,"78
"
9938f6c2-2f7b-42e5-8601-f5cf0f705e4c,__attribute_pure__,__attribute__
a173a58a-a0e5-4e0e-a3c5-4e0d6af1683e,EACCES,"13
"
40b7c04a-50b3-4a74-81af-1c84a82986f7,__UINT8_MAX__,"0xff
"
78e6109d-8132-4edd-8565-7b2857be5979,WCHAR_MAX,"__WCHAR_MAX
"
f811e07e-d41f-4aea-bfd9-7cf194c700d1,EDESTADDRREQ,"89
"
90a0f34d-f6b7-4f21-bcfa-083780f5a8a2,__feof_unlocked_body(_fp),(((_fp)->_flags
ff5e099c-0d1d-4ea2-98c7-4417a30f8a8e,__sigset_t_defined,"1
"
98e74978-35d6-432c-94b9-5818e63632c8,__SIZEOF_PTHREAD_ATTR_T,"64
"
b9a6e638-93c6-47ef-b549-d112955ae46a,INT8_MAX,"(127)
"
b409bea1-135a-4e0e-af61-efd6bb1822b0,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
f8070473-5440-4eee-9f30-f1a3d2abdc47,__HAVE_FLOAT16,"0
"
8ab2def1-76c8-49d0-832d-7e8cf4d58c6a,stderr,"stderr
"
88a1809c-c1de-45b0-9176-5320a736794e,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
5ef95909-0468-4a01-b0e1-1dc09841ff06,_XOPEN_SOURCE,"700
"
efc6724a-27a0-4a3c-b7a8-8d9b4005f28b,UINT_LEAST32_WIDTH,"32
"
fa0397ba-2878-4f96-a840-cb4c1526916f,EILSEQ,"84
"
d3b7f8db-b89d-47a2-b858-ccd57adae75d,ESPIPE,"29
"
d474b763-5781-45f3-a03e-92291665491e,INT32_MIN,"(-2147483647-1)
"
308f40af-1354-428e-b1c7-92e477fb46df,SCNxFAST8,"""hhx""
"
de590c0d-a42d-413e-9193-a4db90469525,EPERM,"1
"
a2bbc9ef-0761-4a1a-82a7-9ce23f8d4fda,__OFF_T_MATCHES_OFF64_T,"1
"
aa68386c-9578-4a8b-9bad-164280b40362,EMLINK,"31
"
ecbd2dae-e5c6-4c76-afb8-c192bf7ca5ee,UINT_FAST16_WIDTH,"__WORDSIZE
"
4bde6102-deeb-4c81-a684-cb49b0a09ec3,PRIdMAX,__PRI64_PREFIX
f2b1cae9-97d8-44e7-b4a2-c76ce2f531e5,__WCHAR_MAX__,"0xffffffffU
"
cd32dd6c-a450-4460-9d0a-cac563565cbb,ENOSR,"63
"
9851d1c9-7e2c-4e2d-a861-9d0f82832b78,INT16_MAX,"(32767)
"
4e77919b-be24-45b6-a549-edcfce5be92c,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
c036a40c-0e06-469d-b6c1-02392bb7e97d,__STATFS_MATCHES_STATFS64,"1
"
00cbe586-999e-499d-b05c-9e99c11d2d84,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
9999e45e-8ab9-4eb2-a35e-39cc6250afbb,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
9704af25-5bad-4757-b472-f5293c0195ed,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
7840ed3f-a0ea-4d78-b7aa-3baa6aa7449d,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
30e00f8d-f5d9-4c7f-a878-8bb18cbd4088,__GCC_IEC_559,"2
"
405eeef0-600c-447e-bced-12d42a1471b5,__LITTLE_ENDIAN,"1234
"
81ef6309-98a7-4e4a-a763-5c6b1c180b69,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
48167b66-6eaa-4710-a3a3-92c4e24eb047,__FLT32X_DECIMAL_DIG__,"17
"
f783b078-c1dc-4241-8d25-da1b4a5c3372,_IOFBF,"0
"
8300c79a-4c66-4e9f-94a0-6bc21a2ccb27,__FLT_EVAL_METHOD__,"0
"
30ea0dd9-420c-442b-8b0f-6430ed2828c0,EL3RST,"47
"
468ff1c1-46d6-4307-bbe1-c9572316b269,_IO_USER_LOCK,"0x8000
"
6ef7a1dc-3e21-4307-8a71-700b556c20da,"__ASMNAME2(prefix,cname)",__STRING
0b778d74-9256-4c4d-8d47-34b4b5555275,INT_LEAST32_WIDTH,"32
"
2a702fa5-bf7d-4717-911e-d54734b9a353,SCNiPTR,__PRIPTR_PREFIX
54cb970b-a2ed-4530-b953-05f41576ccc8,__FLT64_DECIMAL_DIG__,"17
"
bac86948-df40-4fa8-be35-42c7b136e454,_WINT_T,"1
"
d0e4567c-219b-42e1-bb7a-4ca6dbc4565c,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
47193428-e416-49d1-938b-4aedcf4a2655,__HAVE_FLOAT64,"1
"
fe489d0b-c8dd-4f4c-8786-0c617e31773d,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
8f49e67f-62a7-41a2-9370-5155205898ba,__attribute_nonstring__,__attribute__
935f4364-63dc-4f3f-8e3d-33efd2fbdfca,__UINT_FAST32_TYPE__,long
ee119ef7-73e9-4807-b000-a24962fcd6d8,EOWNERDEAD,"130
"
655328fe-1312-4395-8f16-297f4d3162ae,bool,"_Bool
"
dea81f57-a6e5-408c-8ee2-e7653049fabc,__CFLOAT128,_Complex
967e8ed5-2f37-4df6-a60e-4a4720ad2351,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
