id,name,value
10bad3bd-a947-4435-aaaf-6888a4df8c60,ESBADFMT,(
44212123-3764-4226-a5b0-fbd4439089a8,__SSP_STRONG__,"3
"
e0e0af0e-7ac6-4bbe-af36-96d97fe96de9,__attr_access(x),__attribute__
811905ee-8d59-43f5-8266-045910c2172a,__DBL_MIN_EXP__,"(-1021)
"
70839c6b-2d07-4581-86f7-e209a5c52811,__SAFE_MEM_LIB_H__,"
"
8d72c85f-4c66-49b2-85d4-19e67d21a99b,__LDBL_MANT_DIG__,"113
"
24dae311-d6e2-49be-b45a-74089fd09d06,__UINT_LEAST16_MAX__,"0xffff
"
76e66b2d-7133-4e88-a7f0-caaafebf2c47,_STDBOOL_H,"
"
55186e11-eee9-445e-b0af-13dfa7d7ed2f,__ARM_SIZEOF_WCHAR_T,"4
"
83316d9e-ad6a-49e7-9dfc-0d051a846a95,__DBL_DECIMAL_DIG__,"17
"
c7791712-71cb-4a4b-b1cd-737284c6e720,__ATOMIC_ACQUIRE,"2
"
c8d80580-dacb-472a-9fea-7f0f6fbd2093,__FLT128_MAX_10_EXP__,"4932
"
8c8ab81c-a86c-47f3-91d7-65b4fb590f50,__off64_t_defined,"
"
024ca8cf-b276-4184-a5cd-2fcde7461157,PRIXFAST64,__PRI64_PREFIX
7879e161-582b-4a96-a422-166d0b76230b,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0875fcbf-ce14-4a74-800f-da09f28763a4,__GCC_IEC_559_COMPLEX,"2
"
a0b1ee03-c1b5-4535-acf4-9a7258746983,SCNiFAST8,"""hhi""
"
a2aa4f45-ff07-4f82-b839-d06573095ebe,__NFDBITS,(8
b712153f-cd2e-4442-aa93-eabdca09a248,__GLIBC_USE(F),__GLIBC_USE_
5b1b1555-8c59-44c1-b0bf-1294d6707a93,__UINT_LEAST8_TYPE__,unsigned
67f5d501-9b4b-4af6-b02d-e5d24009a008,_T_WCHAR_,"
"
d011f13b-73a8-4802-825b-dccb574b3312,EUNATCH,"49
"
f085f6bb-de23-49e9-b7cb-1da9deb5f875,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
be8a0ca6-dea5-44f5-bcb4-520c0a3954f0,SCNuMAX,__PRI64_PREFIX
02756921-c32b-4261-aab7-ccf58bdf1808,INT_LEAST16_MIN,"(-32767-1)
"
d2d620e8-9086-41b0-99e2-01d7e5c10b34,__CFLOAT64,_Complex
cbfe33f7-93db-45ce-a219-e1a16b8b7403,ENOCSI,"50
"
5ab89a04-aecc-4a1e-92e7-25bc78580e9f,__stub___compat_get_kernel_syms,"
"
9468e942-9afc-4c8f-a6b0-766b84bf27e2,__S64_TYPE,long
9d41f4b3-3141-4bba-b904-ce0e8faab229,_PRINTF_NAN_LEN_MAX,"4
"
c54027af-b3a7-49c6-9886-0059bf0e0976,__FLT128_DIG__,"33
"
fc87e69e-e833-42b3-b60f-5c28fc45d6c8,__stub_fchflags,"
"
c5c99d47-9ae7-4a3d-9e23-2d95599b7d94,__SQUAD_TYPE,long
1dcf5383-feff-48cc-bd2a-168d506a1d4d,__INTMAX_C(c),c
8514f9b8-a6f8-497e-9fe6-826c1077a8c6,_BITS_FLOATN_COMMON_H,"
"
b2a05b13-fe36-4eb5-a645-3adec1ecc2e3,__GNU_LIBRARY__,"6
"
7082a906-aa3e-4e94-af85-13e1fd906d34,__SAFE_STR_CONSTRAINT_H__,"
"
9094d84a-9920-431f-b0a5-9dda2e35f8f0,__CHAR_BIT__,"8
"
e8fa9b20-7177-4464-89b2-5554651a472e,__FSWORD_T_TYPE,"__SWORD_TYPE
"
4a2a3778-a777-4301-8e38-f1a70f23280e,EAFNOSUPPORT,"97
"
9b0cf91f-145c-439d-8428-fd3961975435,EREMCHG,"78
"
29b6fcf5-5715-42a7-8a3c-2a7065581849,__attribute_pure__,__attribute__
4bc50448-8887-4f9d-9a65-680e9ff61794,EACCES,"13
"
02cf070e-e1e4-4a83-80f7-77b2eaf915b9,__UINT8_MAX__,"0xff
"
