id,name,value
ae90eb26-f223-400b-ac17-ab46d8943613,ESBADFMT,(
b0b14a32-9c9e-4f3c-b06b-c6abfdc6b03e,__SSP_STRONG__,"3
"
35ff27f5-68ea-4cc4-b7be-020fbcd03617,__attr_access(x),__attribute__
83a03b9c-5309-4959-9c60-48fe09555e29,__DBL_MIN_EXP__,"(-1021)
"
e9d1a6b8-19b2-4bf1-82d6-00ec85bbd492,__SAFE_MEM_LIB_H__,"
"
c0a7fc2e-11f2-40b7-b117-f64fa9687079,__LDBL_MANT_DIG__,"113
"
cefff222-7698-42a0-9ac4-2f13dba517b4,__UINT_LEAST16_MAX__,"0xffff
"
8fd16a2e-f22d-4fd5-8973-2f7bbe2f6d01,_STDBOOL_H,"
"
302a1cde-61ca-4b2c-84b7-fb1d4cf4e5b7,__ARM_SIZEOF_WCHAR_T,"4
"
c6d05f00-56ed-454c-a26d-241241432849,__DBL_DECIMAL_DIG__,"17
"
1e4510ce-9af0-4d46-bc9a-b162fb334a42,__ATOMIC_ACQUIRE,"2
"
c4be02b4-4ad9-4fa2-85f1-684f8a055ffc,__FLT128_MAX_10_EXP__,"4932
"
de434f70-de99-41ac-a633-878e180723ed,__off64_t_defined,"
"
e5718d83-ffbb-48d5-a090-6f8cc4536c54,PRIXFAST64,__PRI64_PREFIX
396470a0-0a67-47a6-a201-8f3fc5b5b678,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0f7807a9-60b3-4093-a1e8-62492248dd86,__GCC_IEC_559_COMPLEX,"2
"
66d7e923-669e-4b49-a532-7754c7f412d8,SCNiFAST8,"""hhi""
"
0ddb4370-7b62-4891-8dd7-4fe7d2cdd2c3,__NFDBITS,(8
0e2ecbcb-df6d-4f8e-bc89-4fd5cb0426e8,__GLIBC_USE(F),__GLIBC_USE_
a0a3c2b9-4351-4e56-b005-c8202f865fdc,__UINT_LEAST8_TYPE__,unsigned
cc507f72-807e-49c6-933a-8ca1b14ccb67,_T_WCHAR_,"
"
d5a3e05e-f0e4-4fde-8d5d-de1289444c82,EUNATCH,"49
"
96e2f553-a3c3-4ded-a6d5-16e8b9435512,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
d97bb765-002c-4165-afa7-ec68fcc67d81,SCNuMAX,__PRI64_PREFIX
