id,name,value
e5dfcd4e-41f6-4080-a05a-d541d55ea8e9,ESBADFMT,(
31250cfd-d16d-4f2e-becf-17c59a492008,__SSP_STRONG__,"3
"
a68448b5-1696-4036-9f20-c52001dbaf41,__attr_access(x),__attribute__
71d5ab51-46ab-4af0-8709-f21688fc2d4f,__DBL_MIN_EXP__,"(-1021)
"
2e86903d-3f6f-4c04-868b-b5838d24fffc,__SAFE_MEM_LIB_H__,"
"
5cfd90ca-155f-4a04-af23-4a637f1baa0b,__LDBL_MANT_DIG__,"113
"
9422d490-6ec3-44dc-9a76-42779f6ae4d3,__UINT_LEAST16_MAX__,"0xffff
"
d62931bc-1a4d-49e3-869d-23678a9daa60,_STDBOOL_H,"
"
02a11a97-18ff-4960-b5c2-bb04ded05a97,__ARM_SIZEOF_WCHAR_T,"4
"
d2bbe08d-b256-4ad5-aea0-d99b9509bfa0,__DBL_DECIMAL_DIG__,"17
"
aa27a005-f9b0-494a-a473-bf9f3dac8431,__ATOMIC_ACQUIRE,"2
"
6ad677b4-1ac9-46f4-9d18-dd96ef05db59,__FLT128_MAX_10_EXP__,"4932
"
20e27876-eefb-49ac-a8fa-00afe879c076,__off64_t_defined,"
"
2851f109-effd-449b-977e-c248da400721,PRIXFAST64,__PRI64_PREFIX
e7388f38-5b23-45e0-9591-1007db7cddec,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
522e03bd-facd-405a-8630-ec385fff8d47,__GCC_IEC_559_COMPLEX,"2
"
9678792c-5380-4368-bc80-2e2a7ab82725,SCNiFAST8,"""hhi""
"
f7d258d3-a834-45a8-8c36-fa08aed54535,__NFDBITS,(8
59229945-1975-4797-aae7-aff22b9248f2,__GLIBC_USE(F),__GLIBC_USE_
c90a6006-b774-4781-9a28-d10987d5516c,__UINT_LEAST8_TYPE__,unsigned
2fd1cb6f-0e00-4d7d-90b5-e1adcccc1db9,_T_WCHAR_,"
"
18d1c15f-2e37-4343-953e-7531c877dca4,EUNATCH,"49
"
84b2890d-a613-4c88-8457-10d665795df2,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
