id,name,value
7de1ed48-e81d-45bf-a98a-c7c80f6259f2,ESBADFMT,(
cad0c942-5419-41c7-a3cb-93782972dfce,__SSP_STRONG__,"3
"
542ec0d5-0cd1-4935-96aa-db53cc6d9ea5,__attr_access(x),__attribute__
5b29c8f2-eb24-45e8-9697-3f22dc14659d,__DBL_MIN_EXP__,"(-1021)
"
cd9a4b2a-f0ac-4a40-a4dd-72265617c915,__SAFE_MEM_LIB_H__,"
"
51361ed9-ccc8-487b-8c4d-f50e6b8f21df,__LDBL_MANT_DIG__,"113
"
d356e51f-e8ad-4539-b9a7-512c6523f9c0,__UINT_LEAST16_MAX__,"0xffff
"
a095247d-1583-4108-9480-39cb6db20893,_STDBOOL_H,"
"
5d6efa01-b87c-463a-80aa-43616d842b41,__ARM_SIZEOF_WCHAR_T,"4
"
35887e40-4ed6-4760-b829-e553a81a1e6c,__DBL_DECIMAL_DIG__,"17
"
5c3faf91-98d6-45fe-ac00-9fa26f89f7f9,__ATOMIC_ACQUIRE,"2
"
7d558659-fb29-4c1a-a107-1a7067d56bb6,__FLT128_MAX_10_EXP__,"4932
"
2ac53401-223e-4bf1-befa-2ed85f1fb4dc,__off64_t_defined,"
"
1121fb3e-b2bd-4ac9-a66c-0d8d4c23a9ae,PRIXFAST64,__PRI64_PREFIX
4218e5bd-ef08-48ff-bdce-9f5debf5addc,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
09994bb7-73af-4d5c-a1c2-3866d246a063,__GCC_IEC_559_COMPLEX,"2
"
9edfa564-b983-4257-a99a-cf6abcadbff6,SCNiFAST8,"""hhi""
"
1edb839b-2bcd-4ada-9f94-6a24d3f9aaff,__NFDBITS,(8
787a3cb5-4f93-4307-a893-c025a92acba4,__GLIBC_USE(F),__GLIBC_USE_
3127bb02-bd34-425c-9a37-9fe0a1e7f683,__UINT_LEAST8_TYPE__,unsigned
ba75ea36-397c-4c5c-ab08-e381c10e0b48,_T_WCHAR_,"
"
fafafaee-696f-4ea0-9ab7-abd8af4232fe,EUNATCH,"49
"
41421d4c-3fdc-4e40-a3e3-203ca4e7ecb5,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
fab446ea-c59a-49bf-abdb-b1faffa2599c,SCNuMAX,__PRI64_PREFIX
3bc95be2-0501-43bc-9fb0-2e7391b5f708,INT_LEAST16_MIN,"(-32767-1)
"
987bd998-d108-4394-ab60-02b94379801f,__CFLOAT64,_Complex
6e311de4-5995-4f89-8cd1-1342d4d4bf6d,ENOCSI,"50
"
8182d02d-7dc6-47fa-9c7e-99db328aaeab,__stub___compat_get_kernel_syms,"
"
46659010-f773-460a-b831-e85af4cd74fd,__S64_TYPE,long
11454702-c7b1-48b1-bf5c-543e838dce9f,_PRINTF_NAN_LEN_MAX,"4
"
2c98f464-dafc-4e67-84d0-cc6096666ee6,__FLT128_DIG__,"33
"
5e87952d-71fa-4951-94a7-7699f094b383,__stub_fchflags,"
"
2982f1b0-2cec-463e-8547-fb04cef98b12,__SQUAD_TYPE,long
b66f644e-eb82-4d0a-b4ef-34938ec109e5,__INTMAX_C(c),c
3934c538-6e56-45a4-9ade-02461ec6bccd,_BITS_FLOATN_COMMON_H,"
"
82882f81-b016-497f-a806-d4dcbeacbe44,__GNU_LIBRARY__,"6
"
