id,name,value
25288bc0-8a97-41ad-bbdf-5e94aad078a5,ESBADFMT,(
6c902ebd-3994-4c22-8c1a-02215376608c,__SSP_STRONG__,"3
"
309c6964-4a45-463e-8b34-c2f09e9210a3,__attr_access(x),__attribute__
4c9d0b79-96a5-43d3-b3d9-e48d3f5a0cc5,__DBL_MIN_EXP__,"(-1021)
"
5a74aca4-fefe-4e7b-90d4-1eb7ce7b3961,__SAFE_MEM_LIB_H__,"
"
369a5268-a454-4c7a-a512-bd96c6ffbf0f,__LDBL_MANT_DIG__,"113
"
90a191e3-aea7-4550-bb5c-3b81f45c148f,__UINT_LEAST16_MAX__,"0xffff
"
f41c688b-2dc2-4de0-bef2-74ffd2058bdf,_STDBOOL_H,"
"
ecf52c79-568a-4638-897a-147b9e80820e,__ARM_SIZEOF_WCHAR_T,"4
"
23932d54-f289-419d-9262-9ef1691b2d94,__DBL_DECIMAL_DIG__,"17
"
a3dca5c6-66ac-4942-b7dd-fc44f2cfa07f,__ATOMIC_ACQUIRE,"2
"
181920f4-dfd7-479a-8b7b-25fbb79bf55e,__FLT128_MAX_10_EXP__,"4932
"
af4728b5-b3d2-4084-ab4b-76cf64992574,__off64_t_defined,"
"
4ac2e5b0-9f37-478c-bad2-c6ac2b572063,PRIXFAST64,__PRI64_PREFIX
4e9f2fbe-848f-4ea9-bf0e-9a8346dfa2d1,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
b5f010da-f99f-49c5-a4f9-afeb6cdbca34,__GCC_IEC_559_COMPLEX,"2
"
ea93d40f-1593-42ef-9900-fd3e74212af5,SCNiFAST8,"""hhi""
"
7f052fd1-cb8f-4516-91e1-ceb82cc79332,__NFDBITS,(8
79745156-3a7c-4056-b6c8-7e36a635eb52,__GLIBC_USE(F),__GLIBC_USE_
54cd42f6-b12e-468a-90ac-9dad5db2fda9,__UINT_LEAST8_TYPE__,unsigned
cefdc249-d443-4643-b621-7e45dff8d8be,_T_WCHAR_,"
"
