id,name,value
35d84436-eeeb-4932-8a89-04215b8e141f,ESBADFMT,(
45cb89c6-8983-4673-9b9c-6a35c360658a,__SSP_STRONG__,"3
"
8087c436-0d81-4d66-b8e3-ef627fd032e8,__attr_access(x),__attribute__
10752b54-7c79-4745-b97d-854cc9888c85,__DBL_MIN_EXP__,"(-1021)
"
ba4b9254-95ad-43e7-bd27-0075830a6bc6,__SAFE_MEM_LIB_H__,"
"
ee3588d5-4202-4078-aa0a-4a8401d45e37,__LDBL_MANT_DIG__,"113
"
0ac14d18-3b27-44cb-a2f8-a27395651b17,__UINT_LEAST16_MAX__,"0xffff
"
b68bba3e-101d-45f1-a064-c160436f6eb1,_STDBOOL_H,"
"
d54eded7-02b1-4dab-81e2-8bf822e17f6e,__ARM_SIZEOF_WCHAR_T,"4
"
df6f8bde-4a8f-4393-9458-8b5a02bcd3fd,__DBL_DECIMAL_DIG__,"17
"
83cac69b-c72c-4562-8e89-2e10e4436f3a,__ATOMIC_ACQUIRE,"2
"
541bccf1-d889-4f6e-a0a3-f7c0d1dad31e,__FLT128_MAX_10_EXP__,"4932
"
24157e7d-9207-4ec7-8d8f-1c8501d69980,__off64_t_defined,"
"
0a476e50-f001-4a84-bb4f-73376648745a,PRIXFAST64,__PRI64_PREFIX
27d48e9e-5cfe-40a6-80c4-892d31248c57,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
6d1ca0e7-058d-46be-8081-d6540e7bff42,__GCC_IEC_559_COMPLEX,"2
"
2c5506b9-fe4d-4ba9-9736-8334a9228d43,SCNiFAST8,"""hhi""
"
084bbb4a-33db-4017-b026-d46ed3eba6d9,__NFDBITS,(8
186ad6b0-f229-4873-bdcc-d41d1d2083ad,__GLIBC_USE(F),__GLIBC_USE_
dd5fdf21-f88c-4638-b872-2bc01ea3bad4,__UINT_LEAST8_TYPE__,unsigned
5f93fa50-eefe-4c9b-acf5-bff7b96204e3,_T_WCHAR_,"
"
38318417-4f9c-4932-85b2-31bf637be516,EUNATCH,"49
"
9a9f4645-c15a-4760-9c7d-1ec72d248da1,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
0d56eba7-d911-4aca-a8fb-529e9a92f6bb,SCNuMAX,__PRI64_PREFIX
f76a9f45-c73d-4069-bab1-2d095d981a4c,INT_LEAST16_MIN,"(-32767-1)
"
