id,name,value
8a2484ee-085b-4422-83b9-21c53755cfb7,ESBADFMT,(
cdbaef06-fca7-458f-95f1-9f5252832c0b,__SSP_STRONG__,"3
"
07bc6b2f-280d-4f20-850f-158ae6df60cf,__attr_access(x),__attribute__
008af028-edf2-43e7-85f1-1119cce97527,__DBL_MIN_EXP__,"(-1021)
"
165c7cd4-c7a9-49c2-b85a-028ab435fad1,__SAFE_MEM_LIB_H__,"
"
b9dd5673-82d2-47aa-83e9-ba0ba4751a68,__LDBL_MANT_DIG__,"113
"
fb6b8027-1945-4de0-b5ee-d58cb32533d3,__UINT_LEAST16_MAX__,"0xffff
"
ba05ce3c-d379-4290-bd90-8abaf8af8ad6,_STDBOOL_H,"
"
44e3e829-3ebd-45da-83f9-4ff047cb9fed,__ARM_SIZEOF_WCHAR_T,"4
"
8014a044-de1b-46c3-9f28-d7029ee168db,__DBL_DECIMAL_DIG__,"17
"
f20922d6-b50d-49fe-9457-1804dc8fb650,__ATOMIC_ACQUIRE,"2
"
b8ada1ba-2cd3-4b01-9b54-9e87f908403a,__FLT128_MAX_10_EXP__,"4932
"
5f54f903-d8a0-43fb-aa47-74a41ca6024c,__off64_t_defined,"
"
01d2d433-aceb-4165-93ab-e39092d4102d,PRIXFAST64,__PRI64_PREFIX
3db1c644-e8e5-4b2f-9f31-3ef57f3e7e56,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
48b33975-ac49-4c10-978c-c4b0db0a59ec,__GCC_IEC_559_COMPLEX,"2
"
197b79bb-a7a5-4296-9d9e-31ca6d5c1fd5,SCNiFAST8,"""hhi""
"
ea9a67a1-8a79-45a1-a12a-c3f12c27033a,__NFDBITS,(8
1d1d3bd9-067a-49cc-98e6-7485fa142b3f,__GLIBC_USE(F),__GLIBC_USE_
bc073db4-12a5-4331-87e3-9cb2f540c8f1,__UINT_LEAST8_TYPE__,unsigned
a528240d-51e8-4f55-a5ac-f01d6f17c947,_T_WCHAR_,"
"
953219bf-3ee2-4283-930a-33da08728fa7,EUNATCH,"49
"
e1a2c684-ffad-48ad-ae36-5db4006e2355,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
bf109a32-7a82-42ab-9def-00c8e2473b27,SCNuMAX,__PRI64_PREFIX
6c2c14c2-dd28-4f72-a692-149644c196ce,INT_LEAST16_MIN,"(-32767-1)
"
6f964b59-9cb8-4cec-a4c4-b99d1044664c,__CFLOAT64,_Complex
32cea86c-de5a-42bd-a375-0b6bc3d12a94,ENOCSI,"50
"
21cd1801-747d-4066-880b-d940feb9bd9f,__stub___compat_get_kernel_syms,"
"
b872914e-b171-405e-8055-dc792ceb4e16,__S64_TYPE,long
12335d7a-72d8-4c3d-b7b4-f7f10f583b4b,_PRINTF_NAN_LEN_MAX,"4
"
46203a7c-7d1c-4261-be1d-86a0a7adc41b,__FLT128_DIG__,"33
"
6c8b440b-7884-425c-b781-b571c37edf4f,__stub_fchflags,"
"
4c2b1e20-dec3-426f-84db-17bf5054ad81,__SQUAD_TYPE,long
2d7e634a-40be-404d-a846-323f77ddd05d,__INTMAX_C(c),c
0a855c88-ceb6-470f-b446-a5a7a8b376c5,_BITS_FLOATN_COMMON_H,"
"
80883f45-13cd-4020-8aec-1ab376eed026,__GNU_LIBRARY__,"6
"
649bae45-1383-4e48-9156-0eea38f58b13,__CHAR_BIT__,"8
"
c189d82f-2e98-4dca-bbcb-7c6103d67db4,__FSWORD_T_TYPE,"__SWORD_TYPE
"
4d75be76-84b5-4a2d-800d-d92497a44094,EAFNOSUPPORT,"97
"
a0d3764c-aa22-4f28-a71d-b4f7ff29c02d,EREMCHG,"78
"
a569b876-6c63-44e3-873d-3168c08819ff,__attribute_pure__,__attribute__
a1cca84e-f1ab-4897-b3a4-7e55ea981748,EACCES,"13
"
3ec2fdff-5e7c-49fd-b316-6d1e916b83f9,__UINT8_MAX__,"0xff
"
2030c6e1-fa96-4125-8ec5-c9f90f77437c,WCHAR_MAX,"__WCHAR_MAX
"
49956b01-c3a4-45cc-bb60-06237d0e11c1,EDESTADDRREQ,"89
"
f8a165ab-da7e-46a9-9d58-95546dc90170,__feof_unlocked_body(_fp),(((_fp)->_flags
dcf99304-723a-4333-a548-08e3d1b7243a,__sigset_t_defined,"1
"
3e3d606d-9df8-4f00-a41e-7914c95bb094,__SIZEOF_PTHREAD_ATTR_T,"64
"
72f6fc53-b2bc-4eee-a261-d8bc55583f32,INT8_MAX,"(127)
"
af746308-3293-4af8-8a30-3229b500d910,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
d034df33-ea1b-4d20-b3c3-1ce68b8ee70d,__HAVE_FLOAT16,"0
"
1dd0e47c-69cf-4d92-a3bf-1d39b233f572,stderr,"stderr
"
86fa733b-8e41-4d09-b66b-8c9fc98dff20,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
52fd7560-9fd8-4b16-81d3-0e95954f57a4,_XOPEN_SOURCE,"700
"
5b280aef-579f-44d4-9112-936593e24acd,UINT_LEAST32_WIDTH,"32
"
588312f2-8832-4ce7-b7b5-0cc0ed93fc31,EILSEQ,"84
"
f365c3aa-e025-4020-8cb4-39e82ea20c16,ESPIPE,"29
"
be285195-611d-4bac-924e-43986ebbe83f,INT32_MIN,"(-2147483647-1)
"
bd5ccc82-0d02-4d25-9a9e-e39c2571b86a,SCNxFAST8,"""hhx""
"
59bfbff5-4ea8-4912-9505-70bf46db7612,EPERM,"1
"
03ba591f-f5e7-48d9-b509-ac8ce10d4839,__OFF_T_MATCHES_OFF64_T,"1
"
04be097c-b961-4dad-a4da-5b3a06447d58,EMLINK,"31
"
c4723cbb-9f9f-4bb1-92f2-9d5f03d3ab7b,UINT_FAST16_WIDTH,"__WORDSIZE
"
b0f80171-3eb7-4051-a65b-be69b3b04fff,PRIdMAX,__PRI64_PREFIX
477d31ae-494c-4b9a-b28e-f2ad0dd439ff,__WCHAR_MAX__,"0xffffffffU
"
5f10c7d5-506e-448c-9f68-9b13f049e6df,ENOSR,"63
"
fed8507e-decc-4b44-ba07-96078aa9db25,INT16_MAX,"(32767)
"
cf37556d-1a54-41d7-aaee-ee86b0ea6988,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
2dedbfca-2f74-43c8-8520-57e188d82047,__STATFS_MATCHES_STATFS64,"1
"
dbb7ed44-cfc4-436f-9270-cf5609476d9b,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
866233fe-eaac-467d-854b-81740a1d0f91,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
8b12dec8-b040-4f8e-8af7-052d54299cf1,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
cd488bb6-0989-496c-98f9-cd14fe8baf54,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
3fc6ac92-9032-430c-919a-ea17edbf8ffa,__GCC_IEC_559,"2
"
b5e27f39-6ac7-49cc-852d-fb8a6ead6aa4,__LITTLE_ENDIAN,"1234
"
0d25cf05-a70e-4f7d-8a50-7f8c5abf8637,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
8b5c478e-6e6f-4a6b-b7ff-33300c31ba04,__FLT32X_DECIMAL_DIG__,"17
"
86313984-6530-4391-9ec2-53b83ee9fd1e,_IOFBF,"0
"
d988424b-2907-49e0-80de-ab369da26755,__FLT_EVAL_METHOD__,"0
"
cd5423e6-535f-4bca-885d-7d0d1ba671ab,EL3RST,"47
"
e8f8155c-28e7-44f3-9449-2128d5363be7,_IO_USER_LOCK,"0x8000
"
b2814f14-821c-483f-a0f9-9a9b455cf2cf,"__ASMNAME2(prefix,cname)",__STRING
