id,name,value
9c9bf297-bce6-4510-8509-eb68e07052a6,__S_IFBLK,"0060000
"
3493518b-1476-4918-81da-2858d02615a8,DatumGetByteaP(X),((bytea
30961223-e506-4066-a5b7-f807ecd9be04,Anum_pg_index_indisready,"12
"
20535d72-d769-4901-9ebf-b474cbc9d04a,GUC_SUPERUSER_ONLY,"0x0100
"
05c62732-0758-493a-9a67-1adea299a82d,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
4a0efb8d-98c0-4066-ac3e-db5aa519dc64,__DECL_SIMD_erff64,"
"
a3bf9e94-6b8e-44ca-bf76-8d1734c9bab2,BootstrapTransactionId,((TransactionId)
60165608-5f37-484a-9e51-f6d67958db9e,DATEMULTIRANGEOID,"4535
"
0065e438-f708-47c7-8463-41a30c931ce3,__SSP_STRONG__,"3
"
ca6dffc8-e080-42ef-8ada-0a5e439aa8a0,__attr_access(x),__attribute__
bb40a875-29b0-41f2-ab3b-f8eae78a730a,IPV6_2292HOPOPTS,"3
"
3cbc9406-55ba-4e66-9c3b-390f259b77d8,RELKIND_PARTITIONED_INDEX,"'I'
"
551634fc-495f-45b7-a1e9-00e5ae981e40,ALLOCSET_DEFAULT_MAXSIZE,(8
ab78a9a8-4720-423a-91b8-9172b5bb9122,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
9e89e510-6159-4a18-a7ba-00f03a5b46c2,AT_STATX_SYNC_AS_STAT,"0x0000
"
b8d7af81-d814-4fec-930b-4aef446d4f5b,STATUS_EOF,"(-2)
"
9e82b29c-d9dc-46a2-ac62-9187d9e7a526,STORAGE_XLOG_H,"
"
a818832d-6951-4e1f-9aed-ddc51719d201,AF_MAX,"PF_MAX
"
e7b8cb84-1416-494d-9230-12e36059dd2d,_SC_PII,"_SC_PII
"
c1d7db15-1aa9-43f1-8f94-ac182e44ce38,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
73850726-93a6-4979-abde-9cfebb6b1ba3,__UINT_LEAST16_MAX__,"0xffff
"
67e56142-c92a-4b91-8e98-3c76b5724a4f,IP_ROUTER_ALERT,"5
"
5c192f28-aeca-4956-af31-2a1518b7bdfb,FRAMEOPTION_NONDEFAULT,"0x00001
"
f9afc3bc-4c38-43c6-9687-9b163aecc85e,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
6f3d7924-302f-4a0a-9d4e-7eab61b7c745,PROGRESS_COPY_TYPE,"5
"
df48fc33-afee-4161-a600-406fed0f9323,RE_DUP_MAX,"(0x7fff)
"
9291a1d1-cc42-4867-bd8c-e185feb2d455,SVE_SIG_REGS_OFFSET,((sizeof(struct
c57fe742-9991-418c-806d-8bdef0c2b41b,"isless(x,y)","__builtin_isless(x,"
b4201122-0b2a-4ef7-8973-37eec20c52f4,RUSAGE_THREAD,"RUSAGE_THREAD
"
0f8ff0a2-9bcd-4016-a08a-d07e95be8264,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
54a23c50-c80e-4098-b9ba-f8c75b13dfc3,sa_sigaction,"__sigaction_handler.sa_sigaction
"
bf0c74f0-33ff-4ca5-8c42-7917632670b0,__exctype_l(name),extern
3f8c4a8c-9fae-4a5f-859d-1ffa9f880eb4,XLOG_MARK_UNIMPORTANT,"0x02
"
