id,name,value
8c367d45-8368-44a6-91e0-49b9fb13a33e,__S_IFBLK,"0060000
"
c25de390-4194-40e4-b84f-2bc1d7c7118f,DatumGetByteaP(X),((bytea
f7940da5-95e7-43d5-a81b-5201a556e56f,Anum_pg_index_indisready,"12
"
5ebfdf9d-3017-41a6-a245-304f56e4cbd2,GUC_SUPERUSER_ONLY,"0x0100
"
bdb02097-a140-4d4d-91f4-ffdd30d10ffb,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
174c9d3f-6aee-410e-b64a-a72d938346c3,UNIX_EPOCH_JDATE,"2440588
"
dbee6c88-cfbe-494f-ae3f-bf2f8ec7749f,BootstrapTransactionId,((TransactionId)
2ae1ec28-0dae-449b-a523-fc1349e69d94,DATEMULTIRANGEOID,"4535
"
b83b5b31-0d1a-43bb-8c2f-41c6231a2099,__SSP_STRONG__,"3
"
39cc93a2-1d2c-4ff7-8572-0e50c4272aa9,_TIME_H,"1
"
f68fb5f2-5b8c-47f6-8b1e-1bb552b5099e,__attr_access(x),__attribute__
694cc7eb-ddb0-4ae0-b7a2-ead74fd8323e,IPV6_2292HOPOPTS,"3
"
56467fb5-7512-45f7-88bd-e9b8401ab956,RELKIND_PARTITIONED_INDEX,"'I'
"
cec39c8b-88cb-431c-bb29-a6b536e280cd,ALLOCSET_DEFAULT_MAXSIZE,(8
bf6b82a7-86c4-4751-b6c3-761ec24882aa,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
9dabba12-2a22-4a3e-899a-4599aca34e2a,AT_STATX_SYNC_AS_STAT,"0x0000
"
f1aeb7a7-a343-40fd-97a6-c2d8d2a54b8f,STATUS_EOF,"(-2)
"
3eaf0cd8-a419-4b3c-983a-89291b4d0a12,AF_MAX,"PF_MAX
"
c4907384-fcc0-4744-b8a0-419779ace4ac,_SC_PII,"_SC_PII
"
76fe06a5-84ab-418c-abec-c908c5a0cdbc,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
37b503fd-7e51-484e-bc6b-a74e7964eda1,__SIZEOF_WCHAR_T__,"4
"
dbc3e36e-4bac-403a-be79-254fa5a11dbc,IPPROTO_COMP,"IPPROTO_COMP
"
73b791a8-c744-4f03-a060-81c85c381d56,__UINT_LEAST16_MAX__,"0xffff
"
d826aaaa-118c-4e24-87fe-2e25cc606ac0,IP_ROUTER_ALERT,"5
"
304d2810-a0bb-4d36-a457-303e75aae16d,FRAMEOPTION_NONDEFAULT,"0x00001
"
a71adfe7-4cc8-42db-98b2-1a1220f24ccf,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
4d4a152c-addd-43c6-8436-7ff2b58d5178,RE_DUP_MAX,"(0x7fff)
"
6ef69616-a5dd-41cf-aa1b-3c6d510e6b0f,SVE_SIG_REGS_OFFSET,((sizeof(struct
daeb007d-0755-4973-88dd-9a63c3506853,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
38fce63d-1552-461d-866c-5f7f088403fa,sa_sigaction,"__sigaction_handler.sa_sigaction
"
29c9d4c3-894a-4138-b06b-18f221415735,__exctype_l(name),extern
bd2b4e5c-7d1b-4a90-9f68-37557b097220,XLOG_MARK_UNIMPORTANT,"0x02
"
182c8624-702f-4953-8958-44bd9ea18062,ILIST_H,"
"
7ce2e1e7-aa42-4744-95af-d4d9e1fa2146,__NFDBITS,(8
ae5b94c8-22d5-4d57-93ac-768835bfa26b,si_fd,"_sifields._sigpoll.si_fd
"
07ff052d-f39d-4113-9ff0-641795988b4e,USE_LLVM,"1
"
a51827b6-2e30-4fed-82b9-d60b0b1e4fd6,_T_WCHAR_,"
"
986926fc-cf4d-439e-96b3-e3930352e33e,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
6d236a2c-909d-47fe-9293-24a0c000a0bf,NI_MAXSERV,"32
"
46f1339d-e051-49b8-bb0b-53bed199ef3b,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
80a88dfa-5d20-4051-be67-c9ea18f0fa35,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
0d65580f-1890-4a84-b93b-b0043424a1a5,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
633b722f-1d11-492b-a956-077064249dfa,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
543a60de-b8b6-4c96-85f5-53be72278ffb,_PRINTF_NAN_LEN_MAX,"4
"
ecfc94a0-7424-4fb7-a135-37327da6c5f0,PG_BINARY_R,"""r""
"
90fa3b71-e249-4388-9c9d-49face9f7a70,PG_BINARY_W,"""w""
"
952c83f6-8e4c-41c5-bafd-21ba65a3b434,PRIuPTR,__PRIPTR_PREFIX
