id,name,value
19cb9d14-0392-4915-a650-4e7d05a827ff,__S_IFBLK,"0060000
"
95117a7d-f155-4911-a8b2-8995f481129a,DatumGetByteaP(X),((bytea
f5c1323a-b415-4e57-9991-41ebb6940b88,Anum_pg_index_indisready,"12
"
cd846185-7fff-4533-8ff6-512a2b9b4324,GUC_SUPERUSER_ONLY,"0x0100
"
f4124afc-95dd-464f-8a8c-21b4941d7c31,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
6e4c55ca-5dd5-465f-b0a2-1754ae14a36d,BootstrapTransactionId,((TransactionId)
b4133702-a15c-4552-b620-a14428344bb4,DATEMULTIRANGEOID,"4535
"
0c26e239-cf0b-4165-8ddc-a555a631a909,__SSP_STRONG__,"3
"
8e2556e2-dfc3-4558-bb4c-19c4a820f274,_TIME_H,"1
"
a67efbb5-eb0f-4ca9-a0fa-7bc96830079a,__attr_access(x),__attribute__
a4b62626-9171-4265-89f3-1d025486b101,IPV6_2292HOPOPTS,"3
"
534a6f5c-caca-4576-b4fa-0c34481b32b0,RELKIND_PARTITIONED_INDEX,"'I'
"
6daa57da-9f50-42da-ae74-92bf6b7158c4,ALLOCSET_DEFAULT_MAXSIZE,(8
9adcd655-da91-4c83-ad1f-5d00b80ca082,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
45cd3780-c2cb-42b9-a3d7-e275348c9dd6,AT_STATX_SYNC_AS_STAT,"0x0000
"
ae8ffec5-24dc-437c-b436-452b135d954c,STATUS_EOF,"(-2)
"
7bfba710-55fb-42ab-af96-2fbb1752c9cb,AF_MAX,"PF_MAX
"
ba20db0c-4e76-46bf-8b25-cb2044a88bb0,_SC_PII,"_SC_PII
"
b14a3cee-1dca-4e89-a925-1560b6d73e7c,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
309ee0a6-3233-49b3-8a31-b1fc9ffed00c,__SIZEOF_WCHAR_T__,"4
"
6b7f708a-5071-450d-81c7-a5fe6ac59751,IPPROTO_COMP,"IPPROTO_COMP
"
aca1fd48-6488-43fa-b2a1-07991c071cb9,__UINT_LEAST16_MAX__,"0xffff
"
d37d6ed3-6dba-4f95-b4d8-a7b29ea3dfa2,IP_ROUTER_ALERT,"5
"
bbecec2f-3de8-45d3-8c1a-db3df5d2faba,FRAMEOPTION_NONDEFAULT,"0x00001
"
fc8fb4b8-1bac-4663-8a02-302c27484937,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
b60dc0f6-4a42-457c-bbf2-66fbe7222084,BKI_BOOTSTRAP,"
"
c180a5b3-ebdd-44f9-8bc4-a5e15b8f3cd2,RE_DUP_MAX,"(0x7fff)
"
8c2746a9-60a5-47b1-a4d6-f599ca8a6445,SVE_SIG_REGS_OFFSET,((sizeof(struct
360d5914-7c4b-4d42-b473-2c1d3731f7a1,PVC_RECURSE_AGGREGATES,"0x0002
"
eac8a6b8-3b9f-4b3b-aa25-2365effde9b0,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
3a8bc2b9-b340-4570-914e-0721ceb374ba,sa_sigaction,"__sigaction_handler.sa_sigaction
"
c186dcfa-3855-4d99-8680-06d93038243d,XLOG_MARK_UNIMPORTANT,"0x02
"
247f84ec-791a-4bab-a4d6-75e2fffbbb8b,ILIST_H,"
"
753738e6-e3ad-43ef-84fc-ca8fab4556a0,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
98881949-49fd-4f08-8463-d237ef87c099,__NFDBITS,(8
6d1a7210-3936-42ca-b570-d13602feb2c7,_PC_MAX_INPUT,"_PC_MAX_INPUT
"
cf349456-70c7-41ba-9e40-ef807c85da59,si_fd,"_sifields._sigpoll.si_fd
"
2c5adec8-645a-4602-b106-60422f222adc,_GETOPT_CORE_H,"1
"
07d34fc3-5b64-4f6b-a4ea-a076775e8edb,USE_LLVM,"1
"
fb060899-5605-401e-91c2-42aed29e234b,_T_WCHAR_,"
"
92229462-6a6f-4850-9448-a28b6d566f58,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
59d5d4c6-f469-4c27-a7d1-19714a54af5c,NI_MAXSERV,"32
"
adfa2c9e-1f1a-4936-aee5-be92356e35da,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
88ca16a0-2995-4840-b83b-735b25b00347,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
63157c07-05c4-4ee8-8809-d4bd27e5ca98,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
07a24a6c-a095-450c-9df3-c5847bdee335,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
