id,name,value
68a8b3d8-0792-4fd5-8277-84ef3c70445d,__S_IFBLK,"0060000
"
37c36631-a7e8-456e-9285-af66a1a18cd4,DatumGetByteaP(X),((bytea
cfa3511b-d84d-40f1-b444-f382e9f0ce39,Anum_pg_index_indisready,"12
"
e521896d-7e5a-4df1-91ec-9a6c00495ee2,GUC_SUPERUSER_ONLY,"0x0100
"
0c2eb391-8ef6-4156-9924-3e843a6a0815,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
0209fa89-3dc1-49b0-913c-d823ec584249,F_INT2UM,"213
"
2ce26c98-4332-47ea-82ad-159fbaaadee1,F_INT2UP,"1911
"
091e4962-f3db-44c4-a609-05685a20b265,UNIX_EPOCH_JDATE,"2440588
"
53079e65-bba8-4473-b2b2-2baee0fface9,BootstrapTransactionId,((TransactionId)
b6c94703-7a35-4f28-b153-909caa8a9432,DATEMULTIRANGEOID,"4535
"
2b41db96-e100-45d8-b31f-611569c649d0,__SSP_STRONG__,"3
"
83505fac-f511-4725-9400-bd3fb1237bdd,F_BOOLSEND,"2437
"
90b9d609-2557-4f60-9c31-e64b491516d1,_TIME_H,"1
"
7eea14e8-2bac-411e-a23c-9be34ec3430a,__attr_access(x),__attribute__
2fd45a30-a6a5-4d5d-87fc-9969b5064511,IPV6_2292HOPOPTS,"3
"
892e0174-0314-42bd-a488-0a41d2ec8105,RELKIND_PARTITIONED_INDEX,"'I'
"
d328a60f-6c3f-49b6-8682-7cc66f517621,ALLOCSET_DEFAULT_MAXSIZE,(8
f89baa7e-f5bd-439c-b4fe-4c9ee3a017b8,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
03c442fb-8cee-49e7-83d8-d4c6ed20aa7a,F_UTF8_TO_SHIFT_JIS_2004,"4385
"
e8cfe01d-6176-4837-a5f9-016946a76eda,F_JSONB_PATH_MATCH_TZ,"2030
"
98502d00-8545-4ccc-9bc6-caaa347eb087,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
06e1b210-8d64-4c62-90a7-7bf03b6c3c3c,AT_STATX_SYNC_AS_STAT,"0x0000
"
7f088257-198e-4d51-83ee-6e48ac8391ae,STATUS_EOF,"(-2)
"
a14446bc-9f53-44f5-9438-53f8794fa7b2,AF_MAX,"PF_MAX
"
cd90bcb5-be9f-4b0d-98c9-5beb89219873,_SC_PII,"_SC_PII
"
153cde55-c436-4bd1-aaa2-b32ed8665057,F_TEXTEQNAME,"247
"
548bc56d-e341-4629-bb74-ef8d653540e5,F_ARRAY_LE,"393
"
30b15c14-7d1e-4741-ac8c-0defb780367c,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
1befd690-22be-43da-8314-73eb047559fb,F_ARRAY_FILL_ANYELEMENT__INT4__INT4,"1286
"
6e5466a8-7076-4e0a-9930-a5bc292cdc05,__SIZEOF_WCHAR_T__,"4
"
e0d67223-0659-4a10-aa79-d0ca11275527,__UINT_LEAST16_MAX__,"0xffff
"
7f572ba1-230b-41a7-b3e8-148f090311cc,IP_ROUTER_ALERT,"5
"
40863d76-f576-4d5c-b3d1-cac3c2a35127,F_NUMERIC_AVG_COMBINE,"3337
"
0d12bc07-ee64-4714-926d-6b28634f3c36,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
7e6bbe0d-5ded-4394-bd68-a4d7eb293d69,RE_DUP_MAX,"(0x7fff)
"
dbf72577-e01c-47d0-8dfe-6b3eb73face5,SVE_SIG_REGS_OFFSET,((sizeof(struct
860bed26-1175-4d76-bca6-d80e6faf71eb,PVC_RECURSE_AGGREGATES,"0x0002
"
642b165d-157e-4143-86f9-bc4e2f894a55,F_MIN_TIME,"2139
"
22c1f8a0-7f7d-4199-b3bd-6f954a270c5c,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
fd1b855a-ffae-4c8f-aed3-15860151c768,sa_sigaction,"__sigaction_handler.sa_sigaction
"
dffdc6ca-2b0a-47da-bfcb-59aee6123394,XLOG_MARK_UNIMPORTANT,"0x02
"
37fc2292-427e-4e2f-b5cd-8ad52f964f38,ILIST_H,"
"
c8bb0aaa-a0fe-4ff9-a36f-1ea183b25df9,F_STRING_TO_ARRAY_TEXT_TEXT,"394
"
fcd427f9-4759-494c-ad42-39c448187716,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
78b6564b-ae3d-42c3-be37-be0c124e838b,"timeradd(a,b,result)",do
55bcb9f1-8300-4c65-bd9c-cd96675642a6,F_ARRAY_NE,"390
"
0e33e2b7-bb58-4b98-b2d6-e79cd5c404d5,__NFDBITS,(8
35802b5c-d2d7-4da4-ad40-8ec8214a56d1,F_BRIN_MINMAX_MULTI_DISTANCE_TID,"4627
"
41eb4c9f-2210-47ec-9e3c-6016c99cd18c,F_CLOSE_LSEG,"1489
"
abb01e34-d365-47d6-9268-bc002d060ef2,TRIGGER_TYPE_TIMING_MASK,(TRIGGER_TYPE_BEFORE
a4a0f310-e293-48be-8c47-2729c000355e,si_fd,"_sifields._sigpoll.si_fd
"
76ef9306-0b5b-4897-b2e4-ba81c55562bd,USE_LLVM,"1
"
d7b470be-6775-4cb2-85a3-881e1ea7c28f,_T_WCHAR_,"
"
6c0e3c90-3af3-47db-ab1f-fcb857900c24,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
222bc262-290b-4f12-bcdb-019cc24ed208,NI_MAXSERV,"32
"
271aed29-93c7-43e1-9912-7fa0e9da9cac,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
7e70b24b-0184-4797-be10-8cde640b5d7a,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
a39a9e8b-cdb1-402c-aeeb-b07dbebc0427,F_PG_HBA_FILE_RULES,"3401
"
28e4f587-3179-45d6-b7cb-996e937fce64,F_MACADDR_IN,"436
"
d0620dc1-64d3-4c4a-be51-f8b5e5303cc4,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
