id,name,value
315e55e4-eef7-4c42-93e3-e11512b3932e,__S_IFBLK,"0060000
"
bc2cd77a-e865-4073-a781-9a531a2f5f05,DatumGetByteaP(X),((bytea
0e32749d-254d-4ca4-a4d3-2f1f609e67a8,Anum_pg_index_indisready,"12
"
8f83e4a6-c001-4e96-8f72-4fa87efd7786,F_MIN_INTERVAL,"2144
"
850aba27-a86e-451b-b9fc-92f69eb2d43c,GUC_SUPERUSER_ONLY,"0x0100
"
699a9647-0b2e-4be3-9f16-87e18b73c608,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
1b697c03-c898-42d9-bf6d-171449b26329,F_INT2UM,"213
"
548a8d25-b85e-4a72-935c-a231914c0814,F_INT2UP,"1911
"
b48cd114-f314-49e7-93d7-3ee08b0fb341,UNIX_EPOCH_JDATE,"2440588
"
6db74563-d442-43b8-8a30-58fc14e41d26,BootstrapTransactionId,((TransactionId)
3a33dd3d-f542-42a9-900a-8a0cc035a814,DATEMULTIRANGEOID,"4535
"
b4424039-0a99-4714-975b-df2b15f69cfa,__SSP_STRONG__,"3
"
3f64c579-ab1d-4644-a3a6-ed9f0ee62f4e,F_BOOLSEND,"2437
"
54234059-e7c1-47c1-b898-621966afb6d5,_TIME_H,"1
"
7b1ed5eb-209f-45d1-ad5f-29b0f429aca4,__attr_access(x),__attribute__
320c6353-dcea-4d2b-9094-6dadfb0a5a55,IPV6_2292HOPOPTS,"3
"
829bdc6f-5e3b-441e-a5f0-b28ed1e7b9c3,RELKIND_PARTITIONED_INDEX,"'I'
"
1fe7cd92-0d16-41ab-bc1a-ecabc7e09839,ALLOCSET_DEFAULT_MAXSIZE,(8
fd8a29b3-f7bb-4452-ba56-d64c20262410,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
13c11a55-9fa4-4b90-b68b-412e447d1fdb,F_UTF8_TO_SHIFT_JIS_2004,"4385
"
cb0bcb46-a3be-454e-8d90-dd9dd2d0adee,F_JSONB_PATH_MATCH_TZ,"2030
"
d0a26098-0f99-48e3-8cf2-83e0b4fb6124,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
28faadd1-2e28-4627-960d-98602f17cc62,AT_STATX_SYNC_AS_STAT,"0x0000
"
a70ed18b-3e7c-4e03-818d-23be9a3be750,STATUS_EOF,"(-2)
"
c86f971e-dbfc-4f83-8a99-c18a03d522ec,AF_MAX,"PF_MAX
"
729029d0-d731-49e9-ab19-07b3b2679441,_SC_PII,"_SC_PII
"
e7ab93f2-4208-423f-93cc-c90379dca232,F_TEXTEQNAME,"247
"
cb4273f6-aa0b-4c35-9380-5eb7e1e103e1,F_ARRAY_LE,"393
"
