id,name,value
1070ed74-0bcf-43a4-8fcd-91e611acbd71,__S_IFBLK,"0060000
"
4156db5d-9b09-43d3-af7b-a772815c11d4,DatumGetByteaP(X),((bytea
381de52d-cfc3-4400-a743-6c9e63ce96fd,SOL_LLC,"268
"
5ea8c57b-ec85-422c-ade9-bf175014d6d6,REGCOLLATIONOID,"4191
"
f73210e3-f6f0-4a7c-8bbd-f68376ce7b4e,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
0145a8cf-b562-4423-b7d5-0153a4c51d83,BootstrapTransactionId,((TransactionId)
0931db4d-9ff0-4eb3-9009-6d1730a7f7b5,DATEMULTIRANGEOID,"4535
"
2a93504a-49e8-48fc-addb-cccea2db7add,__SSP_STRONG__,"3
"
a7495d85-2247-4a22-82a3-cc37c72e6f9a,__attr_access(x),__attribute__
1298674f-2194-456a-ad2e-7a8ef862d387,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
038389a3-81a7-4b30-82a9-c3a67c38f778,__DBL_MIN_EXP__,"(-1021)
"
77cca326-4bf2-4fef-b992-4f103a241df0,EMULTIHOP,"72
"
d6e9ac95-1d99-49b1-8e5f-d795fadb3f1a,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
192c9eab-f586-4346-a51f-79314f36a635,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
308f993c-1e31-4505-a356-84bffe04a9ea,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
6ceeafb4-9ed9-4470-9db8-aad39e89790b,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
243e7b20-dca6-4688-a422-53b73f2b63e6,AT_STATX_SYNC_AS_STAT,"0x0000
"
62daa13e-4bc6-47d0-9a3c-716294c598ce,STATUS_EOF,"(-2)
"
e1f9a9d8-20b0-4ba7-a78d-4ad02463c3ac,MAX_FORKNUM,"INIT_FORKNUM
"
a56bafd1-e277-4ad9-bfb5-71a501888646,AF_MAX,"PF_MAX
"
37bb5233-4c9a-473d-8310-72269e8d6077,_SC_PII,"_SC_PII
"
48450a0d-ac9e-4e0c-8fbf-4c3fdcaf62a2,__CFLOAT32,_Complex
3b67fd98-d945-4f87-b348-04a197e6a0ed,__UINT_LEAST16_MAX__,"0xffff
"
a444c51f-bb10-4a28-9d92-bd62388cd4a9,F_SET_RW_HINT,"1036
"
12bba4f6-9e79-4b79-8381-a96dd3e24031,IP_ROUTER_ALERT,"5
"
4a2aa006-ed8d-40d3-b73c-19d3b27e4fcb,JSONPATHARRAYOID,"4073
"
338cf270-9260-4059-af21-13b44dbb6604,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
ccf5dc1f-7354-4b4d-b636-421931eb779c,__FLT128_MAX_10_EXP__,"4932
"
8011324e-f4f5-4756-8dc8-57084d3ac427,OPCLASS_ITEM_STORAGETYPE,"3
"
afe26a52-0921-4746-91ad-b422e87b2982,RE_DUP_MAX,"(0x7fff)
"
966e9da6-37ea-444f-a4ac-19d0d08e6948,SVE_SIG_REGS_OFFSET,((sizeof(struct
a44d364f-5eea-4bbf-83bd-a281a766848b,PG_DEPENDENCIESOID,"3402
"
