id,name,value
23fd9c9c-f48d-4bea-8f12-046943f504be,__S_IFBLK,"0060000
"
01580fda-287d-4820-b5f7-7699be53cb71,DatumGetByteaP(X),((bytea
08762c03-b80c-46f3-80b3-a5e930aa3db8,Anum_pg_index_indisready,"12
"
0f94d5a8-9a42-4bd4-b6ea-1670f0887e13,GUC_SUPERUSER_ONLY,"0x0100
"
2616e06e-04b9-4722-a21a-9c163753c764,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
72232828-39c9-44b0-97d8-48febff689c2,UNIX_EPOCH_JDATE,"2440588
"
03537d3b-a1ce-4150-8e50-f1d381fd45cb,BootstrapTransactionId,((TransactionId)
1ed5891a-952d-4454-b05b-c6e69a75c02a,DATEMULTIRANGEOID,"4535
"
1a0b6f57-937c-4443-93c7-06a4aeaacb17,__SSP_STRONG__,"3
"
373da7d2-76e5-47cc-a4ba-eeeae212c4bb,__attr_access(x),__attribute__
c9d1bdd1-7ec5-48bb-bf33-3b411a429b37,IPV6_2292HOPOPTS,"3
"
0ac847d2-03e3-4366-80d1-7423d1102fae,RELKIND_PARTITIONED_INDEX,"'I'
"
d9a553e3-230c-4301-94f4-aa02bf08bd48,ALLOCSET_DEFAULT_MAXSIZE,(8
02c6140f-5389-4095-83b8-81b878352628,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
0d341aa3-a288-41cf-80c1-6d3f3d75b0d7,slist_check(head),((void)
3eaa908d-a95e-42e1-8fd1-e69fe54104a2,STATUS_EOF,"(-2)
"
f9b292d7-1ad1-45df-845f-2be8aa9b4938,AF_MAX,"PF_MAX
"
12581db4-5997-45a3-a2d7-59fe332dcb15,_SC_PII,"_SC_PII
"
9c7772aa-0002-4837-b548-1757ff1cd04b,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
0e5c74e8-a239-4407-85f3-bfeca6131b30,__SIZEOF_WCHAR_T__,"4
"
1b0bf8cb-18bc-4145-8669-1a30a1d112b6,__UINT_LEAST16_MAX__,"0xffff
"
5ef2f10e-599f-42f6-a258-919b8e3245a9,IP_ROUTER_ALERT,"5
"
2c84d858-1b74-460d-9d79-c38e0fa19233,TYPALIGN_DOUBLE,"'d'
"
190b2601-945d-4825-838a-0aa8737f4ea9,FRAMEOPTION_NONDEFAULT,"0x00001
"
4dcda627-67cb-43e6-b4a6-11a68cd3aba3,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
51d4d323-496b-4b1b-af9d-3b062a3bf85b,RE_DUP_MAX,"(0x7fff)
"
9528f5f6-5578-43dc-bdee-2d883ef33dc5,SVE_SIG_REGS_OFFSET,((sizeof(struct
634374da-1090-417d-865c-50e7e147b46b,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
bb6fb464-0522-40ad-8a27-6055563e7162,sa_sigaction,"__sigaction_handler.sa_sigaction
"
6a6b4443-f517-433a-ada1-f8865f71084a,XLOG_MARK_UNIMPORTANT,"0x02
"
30840a03-b0c1-48b1-acab-890a40154008,ILIST_H,"
"
0a0050f0-8b79-49f0-9a40-922d6b9ce9a2,__NFDBITS,(8
d1786846-35e2-455c-a05f-4f96e2f4b474,si_fd,"_sifields._sigpoll.si_fd
"
8bf04f6d-e710-4ac0-981b-fa6f4af3548a,USE_LLVM,"1
"
75c27272-8cb3-4359-bdb8-457a959b43dd,_T_WCHAR_,"
"
e0a32d8f-30ee-4e77-9599-afe868831699,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
20ab9c56-2270-4254-a2b6-ac928eb20253,NI_MAXSERV,"32
"
c56fe576-8c4e-4ac4-b2aa-6c62d08a3855,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
4ef7bfdd-07d1-4e9c-8eb9-8d19488fc2c7,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
2059013d-ef81-47df-8795-363670396de2,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
40fd77b4-c9c9-4e3c-8c43-b489d90235f8,XLOG_XACT_OPMASK,"0x70
"
65170bdf-b1d0-41db-9748-51fce7345b48,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
795057b3-3af4-48bb-8f5d-9c4ebdd96548,_PRINTF_NAN_LEN_MAX,"4
"
fd7d5d9c-e373-4156-8872-68fcd7f98c0c,PG_BINARY_R,"""r""
"
47d6bb99-3e67-4d7a-95d9-fee46aaac84b,PG_BINARY_W,"""w""
"
12197878-184a-45cc-9b87-88fd9957327d,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
94adb04c-5649-44e2-bcdb-af716dc2f1e2,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
9bfc504c-fc85-455d-8bd0-f1f4c6223845,GUC_UNIT_MB,"0x4000
"
f2ef80f4-1e89-47d9-a800-9ab48354aab7,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
61d5951e-b9b2-42e8-b435-cb1b29c466b5,__GNU_LIBRARY__,"6
"
bfac2bdd-3af5-4f15-bdb2-35fdefbe1fb7,NL_NMAX,"INT_MAX
"
5cb83c9a-f019-40ae-9ab3-a0b2eb555c84,GUC_UNIT_MS,"0x10000
"
55c9703c-999e-4512-bc30-db9f0355d70f,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
99e55950-5a7a-43bb-9f63-fe1bd626a618,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
f2782d28-2ed4-4ee7-8cb2-2d0f287a47af,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
38581d4b-a369-4738-8a0d-87effe4fca16,CONFIGURE_ARGS,""""
684f495f-ef44-4963-977d-ca4ab063b64f,CLOCK_THREAD_CPUTIME_ID,"3
"
eaa535e0-6aa6-4dd5-b261-86a4c94cb0de,HTUP_H,"
"
5d658dca-e83f-497e-b321-670b4a3315ed,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
b3849624-c9ab-41ba-838e-c4752022ed3d,SO_NOFCS,"43
"
abf6df09-99df-4b7c-a41b-78a491760f0d,PG_RETURN_UINT32(x),return
024fde14-4225-4142-9874-8fc623e7e65d,SOCK_RAW,"SOCK_RAW
"
cbf87907-4fed-46a8-b421-74c150c6130e,EDESTADDRREQ,"89
"
10ae27f2-262d-4b4b-9cbe-79adbacd7e1c,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
dd11f863-fa36-4bc4-a736-0f6775aaf8e7,AMFLAG_HAS_TID_RANGE,(1
5c804c0a-864f-40a3-ac7f-985cc97abc29,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
f3d64ce3-4104-4f9e-9de7-27e81ecedb5e,si_pid,"_sifields._kill.si_pid
"
f7bcfb29-bccd-4f1a-8872-599279b4d00e,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
61314afd-a649-4d68-86c8-588bc59dbfd8,PG_MINORVERSION_NUM,"5
"
a3a20e2f-0a4c-4392-af11-b578f55d3f23,REGOPEROID,"2203
"
fb5d58e3-56f4-4d64-a8d8-ca8d5cbbc2d2,RECORDARRAYOID,"2287
"
44881238-d275-4eda-8537-0cd90e89858c,IPV6_ADDRFORM,"1
"
2fb2b302-4ac0-423c-84a9-2882fbc81b73,VARDATA(PTR),"VARDATA_4B(PTR)
"
eedbfb72-b3d3-4632-bcaa-b7f34956fa2a,SOCK_RDM,"SOCK_RDM
"
7d7fba38-7e3a-455f-9557-27c2d6db8616,Anum_pg_type_typsend,"19
"
dc2b107b-7cd8-4203-b7af-3767e1ec50ea,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
7462d8c0-a52f-4ae4-89d8-d1e6e0e1e6cb,HAVE_GETOPT,"1
"
78ddf5e8-6f8b-4e86-8008-8793120b3e7d,IPV6_CHECKSUM,"7
"
567f6789-2da9-4316-8c99-2e8855c16777,EMLINK,"31
"
adeef688-bf2f-4e36-a303-6be77ccd617e,AttributeRelidNameIndexId,"2658
"
f5b9c2d9-19b8-4b92-8fe2-7c7f999687b4,IP_MAX_MEMBERSHIPS,"20
"
0e675b0f-8c14-49ef-b300-6e23d1a86a9b,BITMAPLEN(NATTS),(((int)(NATTS)
2269a78e-6965-4eef-a3f8-fab71ad853c3,PG_MCV_LISTOID,"5017
"
bffc2beb-c0fa-4400-950d-92c1df24ad4a,"__ispunct_l(c,l)","__isctype_l((c),"
0b803dd2-33c1-4344-b8b2-c9b4560ceee0,MaxAttrSize,(10
c26b61d1-1880-416e-8b2a-c382a16e3fcc,ERRCODE_UNDEFINED_COLUMN,"MAKE_SQLSTATE('4','2','7','0','3')
"
