id,name,value
1ae5e624-1875-49c1-a659-033429322ff2,__S_IFBLK,"0060000
"
2478ee4a-8ef7-4e31-8230-9e6104cf32d3,DatumGetByteaP(X),((bytea
e0e14543-1a2f-40e9-a634-b6511bd42947,Anum_pg_index_indisready,"12
"
f4b81ebb-784e-47f6-a237-4053c636d5a0,GUC_SUPERUSER_ONLY,"0x0100
"
5ba7aecf-40c6-4c14-b0ef-b3d5bcc5663e,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
741b9098-650b-4576-bcee-66f9e7cb3ab6,BootstrapTransactionId,((TransactionId)
40a7b7f9-7d58-4ef1-8dea-f28abf4c110c,DATEMULTIRANGEOID,"4535
"
591a5e03-2d19-423d-897d-3f56956e0966,__SSP_STRONG__,"3
"
2a0b0bb4-c19e-4f6d-84d5-b36536b5ded7,__attr_access(x),__attribute__
db41031f-23ea-4e9b-b567-8737c32839f1,IPV6_2292HOPOPTS,"3
"
9d4ad993-f6ad-4c63-8b78-17cd6d1f5852,RELKIND_PARTITIONED_INDEX,"'I'
"
25d32937-d0b9-49a4-9389-3bee6220ef6a,ALLOCSET_DEFAULT_MAXSIZE,(8
bdbe3e28-a0b6-4f75-9a07-50cce3141df0,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
b0ac8fe3-6d34-46f4-a8ee-adcbddf25297,AT_STATX_SYNC_AS_STAT,"0x0000
"
1e7bb778-f05a-423f-ab87-6c984939a134,STATUS_EOF,"(-2)
"
13312e06-9e20-4102-a8b0-a9a75eda6dfc,AF_MAX,"PF_MAX
"
3b060fe5-ed5b-42d7-820d-e1591459210a,_SC_PII,"_SC_PII
"
ab06e746-6773-4bbf-af6f-08c46bc9ff40,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
2f311063-4efd-400d-a0ba-d57a36d3b4ae,__SIZEOF_WCHAR_T__,"4
"
9170863c-75c1-4026-8fdd-87dc30b1c2e0,__UINT_LEAST16_MAX__,"0xffff
"
c1ef2161-372f-4bd6-85cd-66cd477c3675,IP_ROUTER_ALERT,"5
"
fdee4124-db32-436c-a144-e2251e41d789,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
2947258b-8b05-4193-a5d2-1d9ea1b5bfdc,RE_DUP_MAX,"(0x7fff)
"
0db4e735-1c79-4ca7-94c6-cb62511b33d1,SVE_SIG_REGS_OFFSET,((sizeof(struct
1174d3e2-80b1-48bb-9083-2de861ed18f0,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
c9a84851-cdc3-4729-ba14-cdf9852f212e,sa_sigaction,"__sigaction_handler.sa_sigaction
"
ca7e794d-c9f3-423e-8907-5b355326e407,XLOG_MARK_UNIMPORTANT,"0x02
"
1447cccf-789e-400f-be56-bdede652fbe0,ILIST_H,"
"
22982946-15ce-426d-8960-39f7f4e67931,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
61c0de04-2e2a-458b-8065-9cc376ba6415,__NFDBITS,(8
176ab2cc-4b38-4a63-b43e-68c33a1d5eb0,si_fd,"_sifields._sigpoll.si_fd
"
f33aea5c-5193-4383-92d4-daa81ef20b30,USE_LLVM,"1
"
dfc0a25c-a06e-492e-a36b-ab1371922baf,_T_WCHAR_,"
"
4aa2237a-1e72-47cf-accb-f8273f313bf9,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
0ab2dde2-776b-4160-b7ba-6a55779cc9f5,NI_MAXSERV,"32
"
f10cf3ee-ee3a-402e-ba08-2152e00cb40b,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
a5fc1c08-b31f-4f41-8a9b-b84cdaf19685,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
528fda32-8e26-4667-8929-0c235f60da82,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
3815e383-ccf1-4b6e-8635-b9bb98da2a9a,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
be1f8b81-e1f7-425b-80d8-b9d27ebb4692,_PRINTF_NAN_LEN_MAX,"4
"
1587b88f-8c8b-47fb-92aa-28f24ac199a1,PG_BINARY_R,"""r""
"
9564a86c-1b0d-4a49-b9a5-dab7b387e6d9,PG_BINARY_W,"""w""
"
f9b46e07-0db6-4c2a-aed5-04407da2d08a,PRIuPTR,__PRIPTR_PREFIX
ea092261-1ae1-4945-8aa2-53f1c9706d5a,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
9a952433-bfc0-4395-b4e8-c9712e5b2947,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
bbaaddbc-1d78-4b86-b22a-3be93118c6a2,GUC_UNIT_MB,"0x4000
"
812b04c4-3837-4b16-b6b3-e94b61a26d63,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
38972328-d123-498e-a9cf-3141bd40835c,__GNU_LIBRARY__,"6
"
639a3ab8-559d-44de-a1ad-d1e205957e4b,NL_NMAX,"INT_MAX
"
676a061b-f10e-4626-8766-0669c118567b,GUC_UNIT_MS,"0x10000
"
2a072fca-5402-4205-849e-4f898ee82257,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
61fe380d-8a6c-41d0-a3dd-b05072393084,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
1c7a1467-7910-4852-aaec-5f2491695aef,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
07c87828-d39d-4b3e-b064-eddea816c9d2,CONFIGURE_ARGS,""""
5370585a-cf4d-4742-aff8-bd665c53c668,CLOCK_THREAD_CPUTIME_ID,"3
"
09842d33-445e-4381-bb79-4bba49e32d59,HTUP_H,"
"
e24bfa36-3dbf-4287-8080-ac241d44a1d2,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
3994ceb9-3ac1-4e19-91f8-ddf10782c83d,SO_NOFCS,"43
"
85656f7c-cb5a-49f0-b1a6-58fb43e34f70,PG_RETURN_UINT32(x),return
4e963fcb-0fef-40c5-b04c-300d432e9737,__SCHAR_WIDTH__,"8
"
a5c3c939-ba8d-4888-a948-32b9ef545048,ADJ_OFFSET,"0x0001
"
8a66d965-9655-4ddf-a580-1fac71aab6ac,SOCK_RAW,"SOCK_RAW
"
8ef09564-ee11-40d9-93c1-76c1bdd16877,EDESTADDRREQ,"89
"
de5caddb-c322-48aa-bcce-d246263556c8,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
a5474ceb-d18b-4de4-92b3-0ff4ed76ec27,AMFLAG_HAS_TID_RANGE,(1
206dde2b-2029-42f7-93e6-a901d4f036f3,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
a541f482-1bd6-446b-8de3-f3c53f5f8c47,si_pid,"_sifields._kill.si_pid
"
db87a492-cdaa-4cae-adf0-4d1aff8aa2e6,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
3032ced7-3352-4856-8505-5270fb92b64f,PG_MINORVERSION_NUM,"5
"
ee6a17b3-60a8-4635-b68e-2d00916af803,REGOPEROID,"2203
"
c4eaffc2-702e-41d9-81c7-c396d11f64bd,RECORDARRAYOID,"2287
"
2b864e88-ff12-47d2-acb8-932c25428389,IPV6_ADDRFORM,"1
"
ab2418bb-880d-48b0-a38f-89344bcaecfe,VARDATA(PTR),"VARDATA_4B(PTR)
"
3e21f1bb-d3a9-47eb-aeca-d6b07e4e8306,SOCK_RDM,"SOCK_RDM
"
b9b33a12-df82-403d-8033-1f44d422fcbf,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
f4f607c3-db82-44e1-856d-263948c9abe4,HAVE_GETOPT,"1
"
6f418296-58dc-4e86-a51b-3d884504546c,IPV6_CHECKSUM,"7
"
08109377-501f-4054-be3f-90d6e2c294c0,EMLINK,"31
"
59fbc065-5028-448b-8fd7-0713f5fe97d2,AttributeRelidNameIndexId,"2658
"
57107e08-cb02-48c0-8a53-a1b3849ac955,IP_MAX_MEMBERSHIPS,"20
"
737aaae1-65da-42ee-98be-432d7d64bfcf,BITMAPLEN(NATTS),(((int)(NATTS)
97db90c7-4b3f-4975-9125-1d983c5beb8a,PG_MCV_LISTOID,"5017
"
798dbd28-0c9a-4321-be7b-ec35bdfabda0,"__ispunct_l(c,l)","__isctype_l((c),"
f719a77b-02f9-448c-b385-ad8e95c17eb0,MaxAttrSize,(10
