id,name,value
ca7c336d-cf51-48f0-9728-d011bec05393,__S_IFBLK,"0060000
"
8b922bc7-b66b-4627-be9c-9038afeebdf3,DatumGetByteaP(X),((bytea
e5c4e34f-45b9-4fd5-862f-c029f56fc4fa,Anum_pg_index_indisready,"12
"
e2d5b3ea-291c-44ba-bce2-767cc52ce5b1,SOL_LLC,"268
"
d9e9a220-9e2d-4524-b402-fb4555b64b93,REGCOLLATIONOID,"4191
"
a54265cf-e949-4bc2-81c2-4aa162b5a970,BootstrapTransactionId,((TransactionId)
03c89d0b-32db-403f-866f-f30447c71e4b,DATEMULTIRANGEOID,"4535
"
7acfbc44-93a9-47dc-b08c-a0c0f33c2298,__SSP_STRONG__,"3
"
8415203c-ad26-4123-8dea-aa402bfddef1,__attr_access(x),__attribute__
d7000f1b-4209-4c71-b7eb-dd16cc839829,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
7f9717aa-c949-4d8e-8665-80ed000b8a79,__DBL_MIN_EXP__,"(-1021)
"
cb28bfea-5c25-41ba-9a28-62d53d2f76a5,RELKIND_PARTITIONED_INDEX,"'I'
"
7956fa41-1ddf-4f50-ba3a-085c8566b759,EMULTIHOP,"72
"
c54074e9-63f1-46ee-8fc0-58df8312cfa6,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
8d7e1ffb-bbcb-40f4-a29f-b395f973be9c,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
4ce671a6-4423-41af-8f24-1658431c2fe5,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
3d0ef8c6-58a3-43a6-9a07-8686daf46c30,AT_STATX_SYNC_AS_STAT,"0x0000
"
d26de42b-b274-4b23-b821-d9ca705d2a2f,STATUS_EOF,"(-2)
"
abf27bad-5f42-403a-94a0-b3ba03cf0ad3,MAX_FORKNUM,"INIT_FORKNUM
"
6494e631-ca39-47b3-970e-39aa63503321,RelationCloseSmgr(relation),do
b90d432c-032a-4c4e-844c-b64322f06099,AF_MAX,"PF_MAX
"
862006fa-cd11-4ae2-96d0-f39754f1db8c,__CFLOAT32,_Complex
76f33537-d108-4598-a9ab-1a6e2f467228,__UINT_LEAST16_MAX__,"0xffff
"
96000357-06a5-466a-a683-e07013c39063,F_SET_RW_HINT,"1036
"
67cb265e-3f09-4c89-a7fb-9183af75ed87,IP_ROUTER_ALERT,"5
"
92878bb1-b0cf-4a10-a979-6967f60f74ab,JSONPATHARRAYOID,"4073
"
01640d01-5698-411e-94bb-8ef950a61a73,FRAMEOPTION_NONDEFAULT,"0x00001
"
ffbeafc8-a6f6-4cd5-8664-4c5c22e02720,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
736d4639-c8eb-4a08-9878-5381eab28b74,IPV6_RECVPATHMTU,"60
"
61f537a4-007c-4c22-a825-7ace43e108c7,__FLT128_MAX_10_EXP__,"4932
"
e54d20b2-905b-4d93-9c12-fb80a8181b64,OPCLASS_ITEM_STORAGETYPE,"3
"
7b2f2ac9-52f9-4ebc-9e27-6dcbe0b66108,PG_DEPENDENCIESOID,"3402
"
a6df2e67-215c-4a9b-94a5-39b359a082fd,BackendIdForTempRelations(),(ParallelLeaderBackendId
dc85faf4-44c1-4acd-a145-c9fb79c95384,ACL_ALL_RIGHTS_RELATION,"(ACL_INSERT|ACL_SELECT|ACL_UPDATE|ACL_DELETE|ACL_TRUNCATE|ACL_REFERENCES|ACL_TRIGGER)
"
0d7051c2-d82a-4955-a46e-385b3758bfd3,XLOG_MARK_UNIMPORTANT,"0x02
"
a5e442a9-381b-432f-b5f4-be4b72260b33,ERRCODE_INVALID_ROLE_SPECIFICATION,"MAKE_SQLSTATE('0','P','0','0','0')
"
757fe6e4-ab86-46f5-a331-b20d908d82c9,DatumGetTextPCopy(X),((text
7f0ce331-9ea5-40bb-aadc-a1d413ce25a1,__NFDBITS,(8
8061914c-69a8-43b0-9503-8a82ae5af35a,USE_LLVM,"1
"
e83e4012-9b81-43e9-b6a8-b664d6407087,_T_WCHAR_,"
"
77f6b4b4-9455-4d24-8517-93eb7ff89dc2,"HeapTupleHeaderSetTypMod(tup,typmod)",(
5a54a162-f6b4-4c5b-802a-78dd1b501e0d,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
