id,name,value
9dde4266-5767-44d1-870d-3beaed2ab15a,__S_IFBLK,"0060000
"
68ecff6b-8610-4cfd-b424-4b5594b16658,DatumGetByteaP(X),((bytea
0d558994-f737-4463-918e-953d1d6ac60e,Anum_pg_index_indisready,"12
"
aae90a53-1214-4c56-bfed-227dd5028db8,SOL_LLC,"268
"
77756311-d770-41e4-9cf3-5bb492bfe6a8,REGCOLLATIONOID,"4191
"
aae18717-c976-4b9f-accd-625403854bb6,BootstrapTransactionId,((TransactionId)
adf74ca9-66f1-42cd-ab08-6f4522bce926,DATEMULTIRANGEOID,"4535
"
e0877972-57e4-4e49-9f6d-45a0efdabe34,__SSP_STRONG__,"3
"
094a02d6-d157-4675-8cef-082f540127af,__attr_access(x),__attribute__
3d3a313f-7259-4ab7-94d4-1f34f099f121,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
7fc9b5de-f38a-41ac-a2f9-13a0da7dbfab,__DBL_MIN_EXP__,"(-1021)
"
b1a1dbcb-367d-41a2-85bd-4482fae500c6,RELKIND_PARTITIONED_INDEX,"'I'
"
c112ca40-3364-4a32-b96a-17c255dc8163,EMULTIHOP,"72
"
ca94c939-f452-4624-939b-8d53e9bf247e,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
8d1793ac-457e-4c2d-8694-5fdf9c2dbb16,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
5a0fc917-3150-4c99-b58b-e5aab3fdee52,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
bd349a93-f6b2-4493-b23c-fe6c031f53d6,AT_STATX_SYNC_AS_STAT,"0x0000
"
a92f7566-05ad-4222-a81e-534ef507d81a,STATUS_EOF,"(-2)
"
b7599e8a-dfeb-478e-853f-220f0ad59937,MAX_FORKNUM,"INIT_FORKNUM
"
da761b81-bb42-4571-8fce-a94b49e1852b,AF_MAX,"PF_MAX
"
76b0ff6a-60d6-4f04-b67e-17368fe948ce,__CFLOAT32,_Complex
75ce7b97-8cd0-4c10-bdff-060c22bdd315,__UINT_LEAST16_MAX__,"0xffff
"
f997f321-85aa-4cd7-8cc8-9deb258a1d79,F_SET_RW_HINT,"1036
"
b6979b33-e5ca-4f61-b2d3-c189c229a861,IP_ROUTER_ALERT,"5
"
af2dfc30-7c36-42f0-a070-3164ba2f9db9,JSONPATHARRAYOID,"4073
"
3279cc54-5793-4914-8169-5b0959d4c4d6,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
16666da0-26cb-4ce7-b299-797c1c8ca753,IPV6_RECVPATHMTU,"60
"
dd736afd-f758-4f23-8402-aca239870220,__FLT128_MAX_10_EXP__,"4932
"
e973f823-e6ae-44c6-bc13-3cc0f4f532fe,OPCLASS_ITEM_STORAGETYPE,"3
"
04f9f9c4-3fac-4860-9525-8f58def285cf,PG_DEPENDENCIESOID,"3402
"
6455d4ec-436b-431f-9390-2014e483e3f4,BackendIdForTempRelations(),(ParallelLeaderBackendId
73e48468-60b8-4ec0-a4c9-18bca778a226,ACL_ALL_RIGHTS_RELATION,"(ACL_INSERT|ACL_SELECT|ACL_UPDATE|ACL_DELETE|ACL_TRUNCATE|ACL_REFERENCES|ACL_TRIGGER)
"
d170a1b0-286e-4e90-9a0e-0d4462f93550,XLOG_MARK_UNIMPORTANT,"0x02
"
6ec0fed3-4268-4613-843c-d40ccbe3205a,DatumGetTextPCopy(X),((text
02a850b7-4396-46f9-b021-7b5ad87a6a72,__NFDBITS,(8
50cdcdbc-b4af-4a2d-a080-2d77dee9921b,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
6e56b17b-6e74-4831-9515-f034fdc694dd,USE_LLVM,"1
"
292e6656-83fe-49e4-9cd0-df1d7c70809c,_T_WCHAR_,"
"
7a8da52e-e07d-406c-ab02-6209d8a68c20,"HeapTupleHeaderSetTypMod(tup,typmod)",(
c0a6a692-d86a-42e9-9aa5-e4d3cb4b5b5b,RWH_WRITE_LIFE_SHORT,"2
"
afe54e4b-b6cb-4628-8715-9c941c288d53,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
67fc78f2-3f4b-438f-9bd6-66e62c8a8d13,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
08f85d1f-a07b-45ca-869c-1af0e2f5d515,NI_MAXSERV,"32
"
ad6f9e00-ac45-4fc5-9728-8054616686ee,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
328ca6e2-5e74-4eda-ab41-4a04ba2809c1,restrict,"__restrict__
"
d592471d-03f4-4afb-ae22-001b40aaf479,__CFLOAT64,_Complex
2e518316-c8b8-40d6-8345-16f86894b6d1,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
e8a4a7f2-cc69-47dc-85eb-33372bd3e11b,OIDVECTORARRAYOID,"1013
"
79f2ca34-fa25-434a-8e61-ff75786decfa,__S64_TYPE,long
350e1aa1-1518-4567-b2b1-8b3dc0090b2b,_PRINTF_NAN_LEN_MAX,"4
"
0923dac6-557b-4f81-bcb7-b4b25acf622e,PG_BINARY_R,"""r""
"
e3a2d529-df60-45ff-ac5b-067d9ff8e22b,__FLT_MAX_EXP__,"128
"
eb8b0854-ec79-4f84-a099-edac3aa8dc73,PG_BINARY_W,"""w""
"
f5089528-fa53-46b0-840e-c76f931357a0,GUC_SUPERUSER_ONLY,"0x0100
"
17455bd5-90d2-4de5-b488-1264c2d0c67c,__SQUAD_TYPE,long
b6594d21-6fcf-4022-a755-9abdc58b694f,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
2945110c-56bd-4286-9331-4ef03dbdc66a,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
db2b865f-ad9c-41e8-850c-638b734bf80d,GUC_UNIT_MB,"0x4000
"
6ff1d25b-874d-49ed-b67a-deabee4e7a78,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
500d6cc3-0d6e-4fe4-afcf-edb515dfbd4c,_BSD_SIZE_T_DEFINED_,"
"
9706cb30-cdbf-412e-a6de-ce470ecc6f65,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
9095a72e-0efb-4ad7-bec2-cabe67be10db,CONFIGURE_ARGS,""""
5d216014-b865-482f-9356-2b2f055527cf,__CHAR_BIT__,"8
"
2f60d96b-f618-4323-ae6b-63791bd6c99b,SO_DOMAIN,"39
"
877e680c-c5b5-47dc-bd4e-52b6d53f26ad,MINIMAL_TUPLE_DATA_OFFSET,"offsetof(MinimalTupleData,"
89bc8cf4-6178-44bb-ae52-112d5c4fbb58,HTUP_H,"
"
8de2d489-e6d0-485f-a4b3-97b50c07a99d,USE_OPENSSL,"1
"
ee09afbc-148a-4ba6-a610-743470d9feb2,"heap_getattr(tup,attnum,tupleDesc,isnull)",(
20c28f19-14c9-47db-b1c0-ecd3e84b67f2,SHORTALIGN(LEN),"TYPEALIGN(ALIGNOF_SHORT,"
8b624a93-7dd6-46c5-8069-fb26227a9bcf,ARR_HASNULL(a),((a)->dataoffset
4c8a7801-29bb-4cc4-895b-0f14ed6aadad,EREMCHG,"78
"
839d7195-448b-47db-ae4d-130f165d9692,RELKIND_PARTITIONED_TABLE,"'p'
"
63bec1de-4b93-416f-bf65-a16578d8001c,PG_VERSION_STR,"""PostgreSQL"
2cfda59a-cd5c-4635-8c9c-41e390c9c00b,pairingheap_reset(h),((h)->ph_root
a4dcce09-0409-4a6a-a223-7acb73a4c168,EACCES,"13
"
e90b6a0f-d94e-483c-9f33-a984e8e0dde5,SOCK_RAW,"SOCK_RAW
"
28101075-6da5-46dd-8583-8f850741e388,REFCURSOROID,"1790
"
23ae7d72-7c0b-4e2d-8057-4feecb53c90e,PG_GETARG_BOOL(n),"DatumGetBool(PG_GETARG_DATUM(n))
"
425721a5-17b5-4bfc-99a8-21f92271c8c1,"__isupper_l(c,l)","__isctype_l((c),"
4b05a4df-d957-445e-893e-538991e5c4f9,EDESTADDRREQ,"89
"
996ee33a-5c27-423f-a71f-2b19d234a562,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
8cdda079-eb95-4269-9d56-d7d3074d8709,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
f137f4e1-dd49-4df2-a5cb-95880599c205,SPLICE_F_GIFT,"8
"
460cc7ca-7c6b-4a35-aea7-d3aa6cbff971,FIELDNO_NULLABLE_DATUM_DATUM,"0
"
08ee1079-aca5-4504-89f7-55803b8d8392,pg_attribute_cold,"__attribute__((cold))
"
ac70bd9e-1410-434d-bc46-df1adb5c8a77,ERRCODE_DATA_EXCEPTION,"MAKE_SQLSTATE('2','2','0','0','0')
"
f180ad08-79be-4113-824f-bbe55ce437c7,PG_DIAG_STATEMENT_POSITION,"'P'
"
3a6c6190-76a4-442f-9478-32ca341c0f7b,INT8RANGEOID,"3926
"
df2c44e0-4bca-4244-9c81-a379cf967e8d,PIPE_BUF,"4096
"
709f0f7c-8bfc-43b8-b54d-b87d81f8e894,PG_MINORVERSION_NUM,"5
"
0a0ca287-5b6a-4481-85aa-161bc8b07bbd,IP_TTL,"2
"
1ba8dc1f-535d-4e2f-9f96-e8953b9690c2,DatumGetArrayTypeP(X),((ArrayType
869da8f3-11f6-4110-afca-3a2e69090260,UInt64GetDatum(X),((Datum)
4c2b5fe2-9c61-4da5-a751-5c0a397afe88,IPV6_JOIN_ANYCAST,"27
"
18f4a3bd-d207-49ee-a211-52c2bd62391f,stderr,"stderr
"
ef069436-ffe5-4aca-8494-b9812914ed8f,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
e0da5b7f-6ff4-470b-8975-8db97599a90d,RECORDARRAYOID,"2287
"
112f7974-ad66-461e-8fb8-f85c926b4732,__USE_XOPEN2KXSI,"1
"
a39f4970-884c-4169-954a-7405b7a4c8c6,CASHOID,"MONEYOID
"
b9a9c5b8-e0ea-4e62-b906-6bc9597625fb,RWH_WRITE_LIFE_EXTREME,"5
"
30d24dd0-a48c-4ea5-ab19-81798b3932a9,BKPBLOCK_HAS_DATA,"0x20
"
e884e343-7483-404c-9cf7-eb5459549213,VARDATA(PTR),"VARDATA_4B(PTR)
"
e17cfefc-fc16-4cf3-89ec-1e781dfc41b2,SOCK_RDM,"SOCK_RDM
"
92ca32b3-45ed-4937-b28e-e6b77212d74b,Int8GetDatum(X),((Datum)
1b4c2f15-403a-4882-a84a-1f3db264c08d,DT_LNK,"DT_LNK
"
aafca836-4cf9-46b3-b2e5-d4f9cc48e6d3,ERRCODE_TRANSACTION_ROLLBACK,"MAKE_SQLSTATE('4','0','0','0','0')
"
fb1d06bc-9e4c-4f64-a239-72b5f09930e4,PF_DECnet,"12
"
1fdab37c-a75a-43cd-85a8-441bdd61bb47,IPV6_CHECKSUM,"7
"
72bb4538-1a63-4848-ad94-da7e2f23f9d5,EMLINK,"31
"
