id,name,value
fcb553af-9212-49c3-84ef-9d9ded72d9a7,__S_IFBLK,"0060000
"
61a85859-05eb-472b-968c-363daeeaf871,_XOPEN_XPG3,"1
"
afcef4e9-2305-4cd4-acac-e2fca0f246b0,DatumGetByteaP(X),((bytea
4e281f12-df27-450e-93c1-3d1b9ff6ee6f,Anum_pg_index_indisready,"12
"
6633e3c1-fb3a-4afc-b356-a09012566897,SOL_LLC,"268
"
c721a26d-ad90-47b2-b24c-48da234da7ab,REGCOLLATIONOID,"4191
"
f22c5538-e75c-4e62-a75f-331962ea290a,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
5b85b673-1b11-4ca0-bfb1-8c5910f3e4ae,BootstrapTransactionId,((TransactionId)
4daf86fb-4a9e-4eb0-8b0f-269ffe611430,DATEMULTIRANGEOID,"4535
"
da0f66f3-813b-4981-8401-1cb8ae9a7f85,__SSP_STRONG__,"3
"
2fc45040-307a-45c7-b4d3-437813c8b00f,__attr_access(x),__attribute__
65902faf-9544-4d2a-ba10-ff2c347ed18c,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
73c0d52d-4e68-4543-be2c-6be03b6a3b84,__DBL_MIN_EXP__,"(-1021)
"
b175ea0d-594d-4e15-93e7-2a672cfa8fe2,RELKIND_PARTITIONED_INDEX,"'I'
"
a453bac2-6bcb-44b7-9e55-d91903306417,EMULTIHOP,"72
"
f9ef8abc-c2ac-4bfd-9a95-63383553d815,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
2064a3a4-6503-4310-8019-63af27432481,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
7df290b9-2f4e-400f-8f24-7443398fb9b2,NL_LANGMAX,"_POSIX2_LINE_MAX
"
d2e0fc80-8400-46a5-94ee-31be7a80be6f,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
36252878-9fed-4c58-bd65-82c12abae1e8,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
d13d85df-da8d-4b7e-8cc0-b3392e22cf17,AT_STATX_SYNC_AS_STAT,"0x0000
"
b95351b7-329a-4e65-865f-4948aa1a323a,STATUS_EOF,"(-2)
"
3476739a-8881-49c9-b989-77ec98b5d039,MAX_FORKNUM,"INIT_FORKNUM
"
1bef90a9-7a19-431b-82a6-46082df24aeb,AF_MAX,"PF_MAX
"
