id,name,value
a591089b-1ebc-4e91-b38c-76d52e0b012f,__S_IFBLK,"0060000
"
2e4ffea5-1ebe-4c2c-ad11-06447b65d1e5,DatumGetByteaP(X),((bytea
44ef6cca-987d-44af-8c3a-5d9b2ed1cceb,Anum_pg_index_indisready,"12
"
f18af7f4-3276-4b33-b047-ff4a0ede4619,SOL_LLC,"268
"
9aac9662-d2df-4026-b509-0a3c3e30bdf5,REGCOLLATIONOID,"4191
"
82e2f40e-1b0c-43cc-93bf-df3836e105f1,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
86fd5d33-9183-46fc-99ca-6e72e6e2dfcb,BootstrapTransactionId,((TransactionId)
d75e1e95-7e62-4faa-8352-f5c47441cf31,DATEMULTIRANGEOID,"4535
"
8e522318-94e1-456c-97d4-3c24f79a5067,__SSP_STRONG__,"3
"
8df7b0b2-6380-490b-95e8-bd7a9a9b0c49,__attr_access(x),__attribute__
edf8a483-31f7-46df-b881-ed89d8fe46dd,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
98739de6-aa5a-4c43-b340-862b75193dad,__DBL_MIN_EXP__,"(-1021)
"
f68a0767-e932-485a-9c20-3a71f6f60b07,RELKIND_PARTITIONED_INDEX,"'I'
"
0bbd26df-87ea-4e20-9a37-dade9204b814,EMULTIHOP,"72
"
0ca3ae53-5bf0-419d-be15-4500d0849af3,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
db2bf90a-d6e3-4af8-85c1-a9cce6cd617b,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
ab2d112d-1569-4391-8d92-d24e17d38310,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
a0687c3c-d7dd-4d32-bab6-73f04f80b05b,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
f2a2767e-b459-4bba-8e3f-611cdef2f1c9,AT_STATX_SYNC_AS_STAT,"0x0000
"
222fb1e3-c584-4c83-ad18-45341fbbf7aa,STATUS_EOF,"(-2)
"
0440cf00-a42d-49ca-acca-0c781436f8dd,MAX_FORKNUM,"INIT_FORKNUM
"
926bf239-8fbe-4844-ac4a-12a5623fe9fc,AF_MAX,"PF_MAX
"
ac18c2e6-220f-4fcc-8073-c01f008bfefc,_SC_PII,"_SC_PII
"
70f3de37-a563-445f-8fe8-c07e59bd0e2b,__CFLOAT32,_Complex
2bff6b83-adcd-4307-bc43-33068c92eab9,__UINT_LEAST16_MAX__,"0xffff
"
d92b8f88-0545-49d6-a61d-079e944c5b6a,F_SET_RW_HINT,"1036
"
e4be825b-224a-4dc0-86c9-94155562f224,IP_ROUTER_ALERT,"5
"
dfc73c6a-ae29-47b8-889e-2f8a427cf724,JSONPATHARRAYOID,"4073
"
7bb4104e-017a-4ff2-8b4a-17a57c71b1ea,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
ce99b27a-503a-42a6-8fd1-c97e92fd4ae3,__FLT128_MAX_10_EXP__,"4932
"
bfcb62b3-0ab8-484a-9dae-f946d8ce61b7,OPCLASS_ITEM_STORAGETYPE,"3
"
83c14db2-b57f-4370-b555-ed3c2472ee85,RE_DUP_MAX,"(0x7fff)
"
9e3fb608-bbaf-474b-9044-08cf6ac54032,SVE_SIG_REGS_OFFSET,((sizeof(struct
99f5826f-00af-4a21-aa3c-c087c41c2321,PG_DEPENDENCIESOID,"3402
"
63966b1c-db97-4ee7-9a89-3f639829b48b,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
fa75eb88-75fa-4fe4-ad30-8ccdce97270f,outerPlanState(node),(((PlanState
f1389882-c076-4f64-8275-fa3045bb91d9,BackendIdForTempRelations(),(ParallelLeaderBackendId
e6cf4580-b553-499c-9939-516e73989356,sa_sigaction,"__sigaction_handler.sa_sigaction
"
af8d4be0-c9d9-4b52-a253-0683e8d911d3,XLOG_MARK_UNIMPORTANT,"0x02
"
51bcedac-32b8-4a61-81ce-cb9b350c3f7f,ILIST_H,"
"
0f646e7c-6472-414f-a4c5-12cd62c1281a,__NFDBITS,(8
91a9a726-565d-4c72-8f2a-9b3f325f4825,EUSERS,"87
"
8fffe358-552f-4a7a-8a3b-ba41a92cfffc,_PC_MAX_INPUT,"_PC_MAX_INPUT
"
a8eb5465-f045-44ad-b2aa-131bce7d8b2a,_SC_2_VERSION,"_SC_2_VERSION
"
3518864f-d3e0-4100-b8c0-1ee9ead59b96,si_fd,"_sifields._sigpoll.si_fd
"
9454d48d-df5b-45a5-b850-51ba9cdd7611,USE_LLVM,"1
"
4ffb66ce-1be8-4158-9d90-a88d51fc95e1,_T_WCHAR_,"
"
4d48c1b9-7d57-4af0-a3f0-5b76bef9ca10,RTPrefixStrategyNumber,"28
"
a9c5c1c7-a7b8-4675-b961-bd3b389c832e,RWH_WRITE_LIFE_SHORT,"2
"
672780e0-ca0a-4a93-ad76-3650c64c6824,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
c4b564ee-97a3-4a30-998b-39320c3c25d7,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
249553df-db0f-4aac-94b4-fb411265e734,NI_MAXSERV,"32
"
901b461b-6dfc-43b6-8077-4bb618dfb361,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
5876bbf1-d544-4a61-b838-7c96c3d7cffc,restrict,"__restrict__
"
9ae74793-992a-4479-bc59-977b8c9622e8,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
daf55057-9fe4-436d-a4c9-3be475868021,__CFLOAT64,_Complex
55f760c5-de02-43ba-9a62-581336b1afc1,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
bba5d3b8-35eb-440d-95e8-7efdfc81d1a1,ClassTblspcRelfilenodeIndexId,"3455
"
dd33969c-719d-4f94-9228-3ccf26cf81cd,OIDVECTORARRAYOID,"1013
"
a54604c5-69fc-4c0b-b38d-bafdf0286894,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
c8594320-b082-4ce5-8341-6d7fbde34361,__S64_TYPE,long
5ef44472-8122-4695-bffc-88c351459dcb,_PRINTF_NAN_LEN_MAX,"4
"
b72d484f-92de-4820-b603-dfd104217297,PG_BINARY_R,"""r""
"
7a27368f-93e8-40b2-a214-4472c30845dc,__FLT_MAX_EXP__,"128
"
c797f4c2-79df-43fb-a71f-eb3ed8f4f69f,PG_BINARY_W,"""w""
"
4d6d2866-454b-40f2-b10d-508570d73402,GUC_SUPERUSER_ONLY,"0x0100
"
e1ce38fb-6990-40d5-be95-9d618a2cb20d,GIDSIZE,"200
"
588c2594-612e-4735-ab64-dcdd81d621a4,__SQUAD_TYPE,long
0722c1f7-5bef-4006-a1ba-75e3ec440b12,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
fbf32428-e9be-4dfc-8ad5-205898593bdb,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
23c3c665-b6d8-446f-9448-40a311bf06a5,_BITS_SIGINFO_CONSTS_H,"1
"
caba9378-416b-4e79-af7f-c75ddf4155b4,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
de7e7486-9e44-4911-9f6d-308351ef9735,SIGBUS,"7
"
cd85ae8d-c11c-4a1a-8e8f-736dc19da535,GUC_UNIT_MB,"0x4000
"
