id,name,value
af99b339-387a-42f7-a171-5cc6d8e29cdf,__S_IFBLK,"0060000
"
7c4134b0-4d00-4035-a0fe-2c72cb3b2ebd,DatumGetByteaP(X),((bytea
c8d43563-9749-491f-936e-14729d9c3a7f,Anum_pg_index_indisready,"12
"
925b9b74-7029-44c7-b683-4e78680b2c57,GUC_SUPERUSER_ONLY,"0x0100
"
ee9456f3-c729-4760-998e-1969d9267656,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
49354467-f408-465c-99b2-9b79b026c6e6,UNIX_EPOCH_JDATE,"2440588
"
4741103c-a34a-4391-a775-61a29d3b58d0,BootstrapTransactionId,((TransactionId)
cc6a598c-dca6-4f88-979a-55ff54a70e7a,DATEMULTIRANGEOID,"4535
"
f5f867b2-2401-41cf-bf79-fe1909496631,__SSP_STRONG__,"3
"
42ede6c9-dbff-47a9-b7e0-4b4911eed4a7,__attr_access(x),__attribute__
dda8a1df-fd11-4f92-bfa0-43742b844d1e,IPV6_2292HOPOPTS,"3
"
5a2eef80-d981-456f-b55b-b2f4845a3f41,RELKIND_PARTITIONED_INDEX,"'I'
"
f1c85f62-cc18-4008-a93e-3adc414704aa,ALLOCSET_DEFAULT_MAXSIZE,(8
1f6a8b9c-ff70-41da-aee3-9375ec26a6e7,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
8cfe7b3c-62ed-4223-92be-30acbb62c14c,AT_STATX_SYNC_AS_STAT,"0x0000
"
1a84d2fc-7d9b-4915-808d-0fd6e9ff6cfa,STATUS_EOF,"(-2)
"
e11387a2-3125-41c3-9473-649bd7d8c831,AF_MAX,"PF_MAX
"
43a5bcb9-6b01-428c-a5ec-35fc1bf7f725,_SC_PII,"_SC_PII
"
0f138e40-6461-44c6-8077-4c0472791bc3,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
170fe6c5-e80a-475a-8ff2-5771a4b35bae,__SIZEOF_WCHAR_T__,"4
"
a4fab01c-0056-48d3-9d42-bae6737c40b0,IPPROTO_COMP,"IPPROTO_COMP
"
06e30212-b910-4e0c-9b01-0fdedd11fcba,__UINT_LEAST16_MAX__,"0xffff
"
52fd21fe-fe6f-4729-8f81-e23faa055a93,IP_ROUTER_ALERT,"5
"
4968f0d8-fbdd-4e87-a407-9006c4f0d053,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
16adcc62-ba3a-4b58-a423-04aa0b5b674f,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
97d95bb4-f470-4c09-ace5-96bf31d0c5e8,RE_DUP_MAX,"(0x7fff)
"
ac334354-047b-4db8-bd48-4d4c1d4d24e1,SVE_SIG_REGS_OFFSET,((sizeof(struct
9dc7e400-f08a-4bf7-bb30-5ac0717ac670,PVC_RECURSE_AGGREGATES,"0x0002
"
132ee7f7-ba33-4065-bc4d-bbee4e971403,SRF_FIRSTCALL_INIT(),"init_MultiFuncCall(fcinfo)
"
82775953-bda1-4cbb-be69-694255ccde7f,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
2340b176-6647-4d7e-a9fd-d11be337ac79,sa_sigaction,"__sigaction_handler.sa_sigaction
"
df649219-7e46-47db-b463-a795171ac5dc,XLOG_MARK_UNIMPORTANT,"0x02
"
4a351ad8-1021-4ad7-8942-d4ceda1a58f0,ILIST_H,"
"
bc79d9ff-5605-4771-b716-791afa9258a5,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
6f628414-27f9-43d5-87a4-99904c292be3,__NFDBITS,(8
7b540095-945a-4852-937f-2a21a3fe9ffb,si_fd,"_sifields._sigpoll.si_fd
"
95eb5f90-e1dd-49d0-9a83-3f0a6bdfea04,USE_LLVM,"1
"
2f4fb486-e77c-4aea-859b-5609d8eb0cf5,_T_WCHAR_,"
"
c91a2875-49fd-45b2-8eb3-09b753eb4a24,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
a9e7ef72-dd4b-4272-928f-b767212a56df,NI_MAXSERV,"32
"
68c58017-8af4-4fd1-a4d1-0e3b94a4b93b,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
b8b69b5e-c865-4bb3-bc34-da16fdb48fb9,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
0c9f76a7-8e46-48e6-a73f-9cc1a55a1ab0,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
800ccebf-945b-4082-898a-7e92b845b63f,AUTH_REQ_KRB4,"1
"
