id,name,value
0a2b3235-b384-415a-aa74-1845023e8fe2,__S_IFBLK,"0060000
"
a74077ef-d976-4197-a6a6-4415e3bd31b7,DatumGetByteaP(X),((bytea
ce5937fe-6138-40ea-bb09-36d3bb334974,Anum_pg_index_indisready,"12
"
8a95fe23-1a93-4e20-93b6-fca37ad7416b,GUC_SUPERUSER_ONLY,"0x0100
"
b10694b5-446a-4f73-bf6c-a5b026345bdd,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
2bd15904-ce94-4a6f-bf18-123e095da3b2,BootstrapTransactionId,((TransactionId)
b7cd9fd1-23cd-46d0-95cd-ade6c83c7e3b,DATEMULTIRANGEOID,"4535
"
3c27f94b-c2c7-46c6-9e61-bc16d63978b9,__SSP_STRONG__,"3
"
ab317e75-39d4-468b-b92f-9d4846e447ae,__attr_access(x),__attribute__
bf00a4a7-bca5-425d-ae01-0ff4a1852f78,IPV6_2292HOPOPTS,"3
"
01c834e5-fb86-4c56-bcc0-ff0744b920bf,ALLOCSET_DEFAULT_MAXSIZE,(8
040dc2ae-5519-4a67-bb0f-0fa0da21aa97,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
a04d8661-4025-45ba-bec1-7d7f24f454f6,AT_STATX_SYNC_AS_STAT,"0x0000
"
0c365967-c733-4629-ac0b-be47b5619d0d,STATUS_EOF,"(-2)
"
45c198d7-592a-4007-83e5-e3c4a7c537ab,AF_MAX,"PF_MAX
"
c69dc9dd-0131-4cad-ad72-a7c0e6993506,_SC_PII,"_SC_PII
"
23cb8c70-6bd4-4d32-8b1e-df23d3ba1c7e,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
8a6f5526-4595-4033-ae47-0cb59d645f41,__UINT_LEAST16_MAX__,"0xffff
"
1e6aa2da-a800-45fa-b83c-9d92651920fe,IP_ROUTER_ALERT,"5
"
ca1e8cec-14a0-441a-89a2-2315bbadc543,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
bfcdf298-fef7-4811-a165-58135b68fb04,RE_DUP_MAX,"(0x7fff)
"
c51129af-8881-4585-be68-0629a7d69d69,SVE_SIG_REGS_OFFSET,((sizeof(struct
50bdf84e-c3b8-4721-903b-33e4feff7bf5,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
c7fb874d-ce24-4219-bbcd-a0ee58ddccac,sa_sigaction,"__sigaction_handler.sa_sigaction
"
bef0c556-9202-49db-b954-289ca5a048ce,__exctype_l(name),extern
4b790cc8-0c3b-41cd-ac7f-bdc0ec025335,XLOG_MARK_UNIMPORTANT,"0x02
"
d05e6996-700f-4b87-95c6-1e6ce8d235ab,ILIST_H,"
"
b01d862c-f7e5-4392-a0dd-fb6594198d66,CreateSimpleHashSet(keyType),"CreateSimpleHashWithName(keyType,"
7707ab94-d9fa-4a42-86fb-9a685b0bbe3e,"fcGetArgNull(fc,n)","((fc)->args[n].isnull)
"
d58236e3-b205-42bb-bdb3-fa3282f24548,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
e120ef26-e597-4d9d-bc5c-9c07591823cf,__NFDBITS,(8
9a440626-b5e9-4bef-b6d1-6cac700fbb94,si_fd,"_sifields._sigpoll.si_fd
"
b6e8066f-57a6-4448-ba3f-cdbf5bce610e,USE_LLVM,"1
"
50692323-ed4b-4aa0-8d87-c3d9b00f950e,_T_WCHAR_,"
"
bce1bdb5-9896-4b7e-b7f1-883b56c960dc,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
8892f3aa-5860-4d44-88b8-1848d4a3076d,NI_MAXSERV,"32
"
defb4b3c-a748-4f70-8016-480b3ae0135b,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
278ad5de-e945-4a6c-8aa7-987eb97ddbcf,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
c5fad27a-49ad-4864-aa28-2d0d4a31d66d,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
fda196bd-74b1-46a6-8b9d-9aa5c59b05ef,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
9c1bb9fb-015f-4507-881c-d345b2059f12,_PRINTF_NAN_LEN_MAX,"4
"
8cfc97b1-603e-4b5a-a699-d9db1d49a3ca,PG_BINARY_R,"""r""
"
692632da-52b4-46d2-a1f7-a24655ec57c8,PG_BINARY_W,"""w""
"
4a8e2a82-34a9-4ee8-9e45-5fee1469676f,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
d72d736f-7589-420b-ab9a-61245e78afcc,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
9bf2358b-7a73-447f-8948-ebbd5d99858b,GUC_UNIT_MB,"0x4000
"
a738f7f0-9c39-4d82-b9e7-966618549199,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
b9a5301f-af09-4abb-a8f2-02704ca681d2,__GNU_LIBRARY__,"6
"
a5493146-76cd-4e46-b22b-75d562a1b1cc,NL_NMAX,"INT_MAX
"
c0b5d35b-8222-4368-a233-386f213e9d11,GUC_UNIT_MS,"0x10000
"
c6cbcf92-5df8-4176-8150-ba07e7f6f75d,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
