id,name,value
1f5bfd07-7ab1-4e30-bc3b-26d4a77d2fed,__S_IFBLK,"0060000
"
856f830a-d70b-4fe4-bc31-fee3060d74e6,DatumGetByteaP(X),((bytea
5884357e-fe2f-4e20-afa3-71f48198590d,SOL_LLC,"268
"
e7ab0ced-9215-4c57-9806-e83a31e8129f,STATX_ATTR_AUTOMOUNT,"0x00001000
"
0deb4b6d-dde6-42ec-a3a3-aff662d259c8,REGCOLLATIONOID,"4191
"
1358cab4-d922-45f9-ac30-245834bd64d3,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
6d3fb24e-19ee-44a8-90ca-d34739442609,"pgstat_count_index_tuples(rel,n)",do
9bdc42b3-388d-497c-91c6-bc37824219b7,BootstrapTransactionId,((TransactionId)
70db7ae1-c0b8-4eba-a684-bfee019a172b,DATEMULTIRANGEOID,"4535
"
891d0f1a-5e60-4b08-8a15-99539dfd21b9,__SSP_STRONG__,"3
"
90d92a11-c17a-42f2-b0f0-4ce8316ec436,__attr_access(x),__attribute__
7c1b6a73-3f87-4663-bc79-cf0e6ba7b2c3,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
5d9b7a45-e223-414b-8d1c-dac3d78d9085,__DBL_MIN_EXP__,"(-1021)
"
9e487785-b29f-484e-b4d9-faf345449da2,RELKIND_PARTITIONED_INDEX,"'I'
"
8ea8a7ab-04a4-4607-be00-3f48fb208df6,EMULTIHOP,"72
"
ff3c5a28-d6b2-4798-a986-df450a5bea1c,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
585ce441-5bb3-4653-8aa5-1eeeabd977f2,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
1fdbfe57-c4f6-4fbb-a282-353deff1d9ce,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
4e752a76-0677-4c4d-b3ae-26d342d81a75,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
80e4a8bf-370f-4599-b22f-ffc84c8fb191,AT_STATX_SYNC_AS_STAT,"0x0000
"
b44db295-bbc3-4a3b-a651-e3566397aacb,STATUS_EOF,"(-2)
"
656eff96-4d46-4952-a7aa-57acaab519c1,MAX_FORKNUM,"INIT_FORKNUM
"
465c85f2-e283-4deb-bb92-0e1992da944a,AF_MAX,"PF_MAX
"
51a4fd9a-ebd7-40a0-a3e7-036394111d77,_SC_PII,"_SC_PII
"
6698bcd8-679d-4914-bd6f-e5ff80b9ffbb,__FLT64X_NORM_MAX__,"1.18973149535723176508575932662800702e+4932F64x
"
81bd5209-2773-4e54-9748-79c8c43217e2,__CFLOAT32,_Complex
ff0c5191-bf6e-4062-bc5c-eb11f689f9b2,__UINT_LEAST16_MAX__,"0xffff
"
ba4674a1-c88f-4152-b7fb-99e4384acc30,F_SET_RW_HINT,"1036
"
070837bd-2a95-44c6-965c-d45c6a15630b,SIGPIPE,"13
"
89612a68-f4a2-4a33-b690-307554ac0f56,IP_ROUTER_ALERT,"5
"
5fe7a29c-8bb3-49b9-9df0-016371fd5e96,JSONPATHARRAYOID,"4073
"
12e9c7ea-e10f-45d9-a825-e9482a20e9ca,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
f3be7b76-d1ea-4872-8430-1dcb00f605c8,IPV6_RECVPATHMTU,"60
"
bf382806-e1a5-4661-b9aa-b717a63a3389,__FLT128_MAX_10_EXP__,"4932
"
15100d67-f1c4-48b6-b937-7a3b453065fa,OPCLASS_ITEM_STORAGETYPE,"3
"
5311166d-a65f-4632-9278-225670e9fde5,RE_DUP_MAX,"(0x7fff)
"
27400f49-7c51-4ac7-8b62-0564a5d65170,SVE_SIG_REGS_OFFSET,((sizeof(struct
ffa0c9aa-6f0b-4e4f-9a6d-a9ddde0fae45,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
ada37e7d-8736-4917-b909-0641bd34a023,outerPlanState(node),(((PlanState
