id,name,value
261bbba6-fe80-4d60-af34-0c1cb0bf64f6,__S_IFBLK,"0060000
"
cc1f8ee4-de60-4ccc-a4b8-eb8b884a0ff0,DatumGetByteaP(X),((bytea
ffce9c52-9a6e-417a-8d55-0f377382b4d5,Anum_pg_index_indisready,"12
"
cbf3c83e-79e4-4ea8-a9b0-33381f72413a,F_MIN_INTERVAL,"2144
"
09d9bc20-cf58-40e0-8016-fa27cc18468b,GUC_SUPERUSER_ONLY,"0x0100
"
3ac6b69d-72b0-4f26-be39-1432f8d5216a,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
0c35025b-0e1e-4423-b148-ae2df06a57e5,F_INT2UM,"213
"
db7c3b48-96d3-474e-9bd5-1aa451e06514,F_INT2UP,"1911
"
e87ffcbd-b2a4-4c13-be78-e0d05d491de6,UNIX_EPOCH_JDATE,"2440588
"
56eeff14-adff-4b56-966f-d0ec5422bf78,BootstrapTransactionId,((TransactionId)
1723e807-dd9c-458f-8402-642b0ccaa749,DATEMULTIRANGEOID,"4535
"
d1036e95-334b-463f-83ce-1f9ff38977df,__SSP_STRONG__,"3
"
3e983266-8678-4c57-a41f-53171c88d879,F_BOOLSEND,"2437
"
a0d73d04-e5a0-4f55-b72a-fc4e8bbe3790,__attr_access(x),__attribute__
0fa6e771-9559-4f9a-85cd-d98f8fd87d5b,IPV6_2292HOPOPTS,"3
"
592efbe9-69c5-4059-92d3-5061586cd98b,RELKIND_PARTITIONED_INDEX,"'I'
"
d0679f58-cc53-4831-89cb-a47d30218c0f,ALLOCSET_DEFAULT_MAXSIZE,(8
ccffea7d-ad24-4926-abaa-ae07f4c4b58e,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
1a766d4d-24d9-453f-bada-d2de9cb73191,F_UTF8_TO_SHIFT_JIS_2004,"4385
"
a4f37a12-6232-40ee-bc8e-2e04f65cb67b,F_PRSD_HEADLINE,"3720
"
7348cc13-d631-4108-ab14-4a79dee10492,F_JSONB_PATH_MATCH_TZ,"2030
"
7c1343b4-9d33-48e5-977f-41a348c91ce1,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
294c5c9b-0cc1-49c3-9b79-2a9efb1fbb9d,slist_check(head),((void)
c7c942c3-a009-4a99-b35b-e56966f0854f,STATUS_EOF,"(-2)
"
c31c8056-dbfe-4cbe-89d5-62730c5a2224,AF_MAX,"PF_MAX
"
d16b9a7f-3fcc-44e3-a790-877743644578,_SC_PII,"_SC_PII
"
4aa6557c-1c48-4668-84ae-5afef8be721e,F_TEXTEQNAME,"247
"
9d85ea62-e2c4-4f8c-86e9-ebc08b8b6619,F_ARRAY_LE,"393
"
7c4bd704-1887-4cf3-9a0a-fd1b239a27d3,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
015e741a-e8b6-45eb-945b-bd15d2e4dd5e,F_ARRAY_FILL_ANYELEMENT__INT4__INT4,"1286
"
353ef036-ba61-4cb0-a54d-770447ee948d,__SIZEOF_WCHAR_T__,"4
"
073686da-48a5-449f-82dc-30f7bd81de4e,__UINT_LEAST16_MAX__,"0xffff
"
677057c2-8fbf-4963-910c-9b2cd27b9099,IP_ROUTER_ALERT,"5
"
6a25d648-5dc9-400c-a87c-55e4aa0d5733,F_NUMERIC_AVG_COMBINE,"3337
"
10c7d58d-06b2-4266-89c6-4c6649205fd0,FRAMEOPTION_NONDEFAULT,"0x00001
"
f95e0ba0-b405-44c1-a252-f01217dd3eeb,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
f580e302-6eca-4261-9b2f-91f30a7343bb,RE_DUP_MAX,"(0x7fff)
"
cb42fbe3-6d0c-4461-929c-adb24b6577df,SVE_SIG_REGS_OFFSET,((sizeof(struct
43fb0184-b6de-45fb-8201-f3474b69b8d6,PVC_RECURSE_AGGREGATES,"0x0002
"
c0d9b888-e6b0-44a2-a1a5-04bf7ee9957e,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
b8dbb536-faa3-43d2-baaa-98d2746ee68e,sa_sigaction,"__sigaction_handler.sa_sigaction
"
5c91fa37-928b-4749-b89b-2ca6fcd7cd4c,XLOG_MARK_UNIMPORTANT,"0x02
"
ac514477-28a5-40a1-89f9-4ce1b8259453,ILIST_H,"
"
033166ff-a76b-4b24-85f5-331add61249a,F_STRING_TO_ARRAY_TEXT_TEXT,"394
"
435a681a-74e5-4ce8-8fb6-fd351e03b150,F_ARRAY_NE,"390
"
fe238c0f-64a2-49ba-8cd2-2ffca27facc6,__NFDBITS,(8
b8599c53-7859-4d7e-8d78-41a823238ceb,TYPECACHE_HASH_PROC_FINFO,"0x00080
"
d99c11e3-6547-46ae-a3f2-9186112da46f,F_BRIN_MINMAX_MULTI_DISTANCE_TID,"4627
"
66a578f1-7f7d-4759-a65d-10150393c4ad,F_CLOSE_LSEG,"1489
"
ab0ccba7-596f-4769-9b5c-25a163c1075e,si_fd,"_sifields._sigpoll.si_fd
"
c1cc27e8-d98a-4c99-8eac-09ef79125067,USE_LLVM,"1
"
5b4ec749-c3fc-408a-bd07-325c448b66e2,_T_WCHAR_,"
"
d02f0505-0dce-4de6-bc4a-5f942569d6e7,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
51ae5430-42e9-4384-9855-f8771249e764,NI_MAXSERV,"32
"
