id,name,value
79c70132-0046-4065-a13b-f9c622865be6,__S_IFBLK,"0060000
"
ee98931f-50ca-4497-8435-8c9d6c3a0692,DatumGetByteaP(X),((bytea
13f5804a-4b5d-43a3-bfd0-3ced0178454b,Anum_pg_index_indisready,"12
"
15a15fc6-e0d5-4221-8e23-d429dcb09ccf,GUC_SUPERUSER_ONLY,"0x0100
"
2d9fb0eb-83e7-4c81-b6e3-ff09ae7bd8ae,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
ff044446-af62-4f3c-8b01-975fb4f73371,UNIX_EPOCH_JDATE,"2440588
"
1c065e0c-542b-4957-80d7-4ffa562613c9,BootstrapTransactionId,((TransactionId)
eaaf2662-b308-4391-a1fe-d9deb45b7abf,DATEMULTIRANGEOID,"4535
"
12224fc7-ae1d-4078-af58-897a4a341b4e,__SSP_STRONG__,"3
"
51df5ea7-32b4-472e-839f-02fcd7732315,__attr_access(x),__attribute__
b001c962-df1b-44b6-bff9-c20bc7298a91,IPV6_2292HOPOPTS,"3
"
0f876b9e-119a-4275-b142-afdf4ec044ec,RELKIND_PARTITIONED_INDEX,"'I'
"
a73d807e-aae5-4ea2-bc7b-b7048413b5f6,ALLOCSET_DEFAULT_MAXSIZE,(8
ca86befe-e8bc-46f8-ab31-8d8a4d0a16bc,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
edac3de3-70b2-4356-9c5e-d6b6e6b2e82a,AT_STATX_SYNC_AS_STAT,"0x0000
"
5cd77180-eb86-44ad-8259-1c27dfefcf5b,STATUS_EOF,"(-2)
"
9117fad4-5d2f-4f8b-aef4-c2d50712740b,AF_MAX,"PF_MAX
"
8a6d4659-85e3-43c9-837a-7caf02aae724,_SC_PII,"_SC_PII
"
28d068bb-ee58-4351-adc6-3daa491d28ac,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
1debbe2d-bcca-469c-a18d-7926c86bd039,__SIZEOF_WCHAR_T__,"4
"
8b3fe3bd-c836-40b3-ba84-27b83c8e2106,__UINT_LEAST16_MAX__,"0xffff
"
f1ea5db2-2719-414c-90f3-1706c11c9e95,IP_ROUTER_ALERT,"5
"
e1ef2ab0-04fb-4c01-b1d4-e938456617a6,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
ad5f872c-0459-4a24-99a1-cfe9d8f38f57,RE_DUP_MAX,"(0x7fff)
"
d58e5e7f-bb67-41b9-a40d-4c8ec12acea3,SVE_SIG_REGS_OFFSET,((sizeof(struct
dfd3903b-0bec-441f-a8f9-820031bea416,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
dd62327c-e449-4879-8ac7-ea02aa055253,sa_sigaction,"__sigaction_handler.sa_sigaction
"
c90eb4d7-8450-4980-8437-2455a65a6d58,XLOG_MARK_UNIMPORTANT,"0x02
"
5ad1c4fa-007a-4a8f-b07c-6906947825f6,ILIST_H,"
"
185722ec-3bb4-44cc-a328-837c92dcdf22,LIBPQ_HAS_PIPELINING,"1
"
34012e7b-7f37-436b-8f19-9cb40fd4d00e,__NFDBITS,(8
6f1bfdb6-c5b1-49c6-ba85-533ab0d7228b,si_fd,"_sifields._sigpoll.si_fd
"
326b1da5-a6fd-48dc-a51e-aa864f904498,USE_LLVM,"1
"
960c36d0-91c9-4407-bc6b-34e07fed323c,_T_WCHAR_,"
"
