id,name,value
1f00dbdc-292f-49e9-8949-3abec138b779,__S_IFBLK,"0060000
"
eb2c0dbc-e26a-470f-a1ab-cfc66f05b61e,DatumGetByteaP(X),((bytea
22a00566-463e-42a6-b0e0-cb34703e2376,Anum_pg_index_indisready,"12
"
a3f70dad-61de-455f-a3d9-1573262b0462,GUC_SUPERUSER_ONLY,"0x0100
"
ce857377-4b43-4c96-bdd2-511bbe4cb3fd,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
37938c73-7b33-464e-bba8-cb52dfc3444f,UNIX_EPOCH_JDATE,"2440588
"
2c16f9c1-2499-420d-befa-46ed45e5c990,BootstrapTransactionId,((TransactionId)
ad672ef7-066e-456a-b554-0c235ea7e32d,DATEMULTIRANGEOID,"4535
"
7acf9c76-7dfc-411b-8bf5-2a66c40e9dbb,__SSP_STRONG__,"3
"
4b6ab996-da18-4dba-b001-b9cd54ceeedb,__attr_access(x),__attribute__
cc7e3bd7-14fb-4819-8beb-6a58f1d3f16b,IPV6_2292HOPOPTS,"3
"
08b8d84d-c35d-452e-b374-799eabdc1fe9,ALLOCSET_DEFAULT_MAXSIZE,(8
59f79883-0dc0-4756-b00b-02e0b355cf82,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
ef7bcd06-a28b-4e8c-9dc9-d8cd1f60f6be,AT_STATX_SYNC_AS_STAT,"0x0000
"
73121ad2-5c69-49b7-bf92-bfbf639fb9ce,STATUS_EOF,"(-2)
"
24ed18cc-fc8a-4983-b270-ed1a95110c88,AF_MAX,"PF_MAX
"
a3a2fc56-d593-4f07-9111-804bbad9b5d0,_SC_PII,"_SC_PII
"
c4d6aa9a-ac67-4b39-a1a4-59cef17430fd,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
7af117a9-67c1-47e5-ba56-765288c6462e,__UINT_LEAST16_MAX__,"0xffff
"
