id,name,value
8b0abcb5-7af0-44b6-a306-6063d1cacba9,__S_IFBLK,"0060000
"
f2c415bb-211c-4b96-8269-868d33b26134,DatumGetByteaP(X),((bytea
98503d1d-84fd-4638-b4cc-c2c33cb7876f,Anum_pg_index_indisready,"12
"
f01f540e-2bfb-41cf-b4bb-54dcf283e80c,GUC_SUPERUSER_ONLY,"0x0100
"
8358b630-d1ca-4cac-af66-5299a962347a,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
e6a0e1a9-cafe-4cee-b28f-1a45b8fef467,__DECL_SIMD_erff64,"
"
310d3bc9-a085-4a35-99ca-deb942f5c145,F_INT2UM,"213
"
5d1c0772-e421-4181-9d4a-fe8d1faf9de8,F_INT2UP,"1911
"
415977ce-f409-4f35-8871-46a179eb60f8,BootstrapTransactionId,((TransactionId)
faf970a2-0a59-42dc-86f9-59096c6ced8d,DATEMULTIRANGEOID,"4535
"
46976234-cfef-4003-936f-be787162da80,__SSP_STRONG__,"3
"
fb429a90-fa0a-42cc-a241-e8f263f321d4,F_BOOLSEND,"2437
"
06977d76-c3fa-41cd-960a-7fbf40581ad1,__attr_access(x),__attribute__
a8b868de-1d0b-4b85-ad08-e7122246b238,IPV6_2292HOPOPTS,"3
"
0be7c029-f2df-44da-9699-d8669dc50203,RELKIND_PARTITIONED_INDEX,"'I'
"
20b248a8-e4bf-4e65-aaf2-0d2c681a8455,ALLOCSET_DEFAULT_MAXSIZE,(8
314137c4-7898-4586-8ed9-05f339058241,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
d4b67268-178e-4a49-892a-3463b497f33a,F_UTF8_TO_SHIFT_JIS_2004,"4385
"
65bc933d-5b52-46ba-8e30-4b6c611b2874,F_PRSD_HEADLINE,"3720
"
9421bb46-a85b-4b8c-ac61-008ebb4fa6e0,F_JSONB_PATH_MATCH_TZ,"2030
"
a9cc861b-9c85-4edb-a0ca-0e53759b85dc,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
af7d8602-8a82-462d-b89c-a8b89981ec6d,FIELD_NAME_SHARD_STATE,"""shardstate""
"
3ea6d2c0-52f5-4aab-ad18-1ed9671593c5,AT_STATX_SYNC_AS_STAT,"0x0000
"
4cd720ee-9881-44f5-802a-f3926b6b32a7,STATUS_EOF,"(-2)
"
f16fe08d-6927-4dcb-8d2a-0e7865d32587,AF_MAX,"PF_MAX
"
8b5cd95c-39b9-4fee-8f6a-26e5a8342133,_SC_PII,"_SC_PII
"
565f625d-ba86-4671-810a-07b758a632bd,F_TS_HEADLINE_TEXT_TSQUERY_TEXT,"3754
"
