id,name,value
46bf78de-849b-45d5-b0b9-02652f7aed0a,__S_IFBLK,"0060000
"
de5f690c-0992-46d4-8a6a-d744c78b9b90,DatumGetByteaP(X),((bytea
d1b67bd9-8521-4e38-b186-dfa91fc9094b,Anum_pg_index_indisready,"12
"
950d285d-73f9-4632-9b46-3bdaeee2150c,GUC_SUPERUSER_ONLY,"0x0100
"
11a7fa37-37c9-4584-b91e-321d23ad0b62,OBJ_id_mod_qualified_cert_93,"OBJ_id_pkix_mod,11L
"
95f47d7c-a3fc-431e-aab1-76b09f969eb7,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
a3862c46-259d-4c96-a26a-34d95d575213,EVP_PKEY_CTRL_DSA_PARAMGEN_BITS,(EVP_PKEY_ALG_CTRL
d527acbc-cc37-492d-b0a7-1ac126c8e9e2,sk_X509_TRUST_pop(sk),((X509_TRUST
19138c43-d708-4c37-8e84-dc95977e6ecf,LN_sha224,"""sha224""
"
5b7e2db5-b47f-418f-88eb-7c80ff2c9da8,LN_aria_256_cfb128,"""aria-256-cfb""
"
263d3652-77fb-4b81-b188-86b73fba31d6,BootstrapTransactionId,((TransactionId)
9fcab660-41a9-4983-bd5d-c7ee1985ed1a,DATEMULTIRANGEOID,"4535
"
163bf392-b33a-4364-ac99-34a73a4e8e7b,__SSP_STRONG__,"3
"
3748d822-fa57-429a-bfbd-54a267405fc3,"sk_ASN1_STRING_TABLE_pop_free(sk,freefunc)","OPENSSL_sk_pop_free(ossl_check_ASN1_STRING_TABLE_sk_type(sk),ossl_check_ASN1_STRING_TABLE_freefunc_type(freefunc))
"
0368f8c7-ef5e-4eee-8655-6f6aec790555,__attr_access(x),__attribute__
0bec3034-d17b-4876-99a8-a2a78f137cb6,IPV6_2292HOPOPTS,"3
"
4ac49a11-3d2d-4386-897d-1e5ab8794609,SN_any_policy,"""anyPolicy""
"
ae4e5f6d-68ad-4370-a5f0-bdfee1f04cc2,SSL3_TXT_EDH_RSA_DES_192_CBC3_SHA,"""EDH-RSA-DES-CBC3-SHA""
"
