id,name,value
0d83fe19-1019-4b8e-b272-6b318857c6b0,__S_IFBLK,"0060000
"
52e8ef37-0622-4a47-9768-cc43a257502e,Anum_pg_index_indisready,"12
"
46b75857-f7e8-4425-9f75-3d8cd8f7c134,SOL_LLC,"268
"
e16532a7-180d-4464-942d-aa8cce68a216,BootstrapTransactionId,((TransactionId)
a2bdf918-a84c-4bc2-8cca-e16f050a7bce,__SSP_STRONG__,"3
"
e58feb79-ec6a-4506-859a-68b6f0ad2597,__attr_access(x),__attribute__
86ffb865-db09-4639-98f2-022d58a1c2b1,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
faa1e883-c705-4825-adf5-1893a17a775a,__DBL_MIN_EXP__,"(-1021)
"
9796fc57-4fe0-43bc-8bc5-7d52bd5e9dcd,RELKIND_PARTITIONED_INDEX,"'I'
"
77d3c2e4-3f7f-4496-98f2-d5b99a67289c,EMULTIHOP,"72
"
5a3c0c95-d287-408b-80c9-0b56c5e33fad,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
998fb03c-9f84-43b6-8d56-c6a7100b5e61,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
047aebb9-8b3a-477f-8c0e-34d2093a37dd,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
5d81ca6d-dc4c-4087-a47a-caa380cfb212,slist_check(head),((void)
0c5818ff-d8ab-4968-a001-2187cc24a850,STATUS_EOF,"(-2)
"
173b17fe-9014-448c-b2e2-03a40f76070c,MAX_FORKNUM,"INIT_FORKNUM
"
602bb829-9f3f-4f2b-96ed-fdb901eef3b7,AF_MAX,"PF_MAX
"
93054724-3dba-4905-9829-9b69d09d87f2,__CFLOAT32,_Complex
dad8f9f4-6160-473f-b6e2-92545804fcf6,__UINT_LEAST16_MAX__,"0xffff
"
72e84b77-0cd9-49db-981c-7eba793866da,F_SET_RW_HINT,"1036
"
365472e0-0986-45fe-9463-c1d314a4b37d,IP_ROUTER_ALERT,"5
"
24781f11-cbc4-4b53-9312-bf0df46267a2,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
d35dd5b3-0505-4314-818c-4b31eb578ebc,IPV6_RECVPATHMTU,"60
"
9efa5012-08c2-47d4-be44-a6c6c456b90c,__FLT128_MAX_10_EXP__,"4932
"
de253f32-27b4-44af-b2bd-b169a477deb4,OPCLASS_ITEM_STORAGETYPE,"3
"
b8f68d58-f7c7-4726-9866-3cb54742a540,PVC_INCLUDE_PLACEHOLDERS,"0x0010
"
d1dbdf6f-15e7-4833-874a-957ae056bcb9,BackendIdForTempRelations(),(ParallelLeaderBackendId
7724a0e6-5673-4860-9d8e-f1f7f30b6c04,XLOG_MARK_UNIMPORTANT,"0x02
"
3f2b8fcc-e02e-4da2-9b50-bbeda308c49d,ILIST_H,"
"
1879523a-83bf-48c0-83fa-08db4a175130,__NFDBITS,(8
a008df37-c1e9-4c8d-8175-be2cd237b485,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
72dfddc8-41d4-4131-aed7-41fe04fd1ee9,USE_LLVM,"1
"
8f6e2068-f84a-4aec-8834-65fb15deaea9,_T_WCHAR_,"
"
9e151c8d-a39c-431b-ac5f-45109efa066a,RWH_WRITE_LIFE_SHORT,"2
"
6e3e4b16-cbcf-40f1-a190-27caa829c763,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
a025c633-00ec-4bff-94f8-ec207185d1a7,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
bed98b02-a90b-4e8b-9f49-99e83ef84ee0,NI_MAXSERV,"32
"
d7309c93-250b-45e1-b4d0-a21051383c15,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
2c22d7ba-cf94-4e67-8abd-d4bade0828c5,restrict,"__restrict__
"
71478af5-1ab7-4077-9d81-3dc5f8fe33db,__CFLOAT64,_Complex
5f7ecb38-417b-47f2-9478-6f5b576ee6a3,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
20ee2ea1-2156-4758-b66d-233c7b8f1d38,__S64_TYPE,long
98c33ed6-538a-4988-a899-b4479af31cbe,_PRINTF_NAN_LEN_MAX,"4
"
1d905d5c-1298-4574-92ab-513829e4b384,PG_BINARY_R,"""r""
"
78decbc9-a8b8-454a-8954-4c12cea87919,__FLT_MAX_EXP__,"128
"
21557b36-36f3-4972-b688-b92551c8bf5d,PG_BINARY_W,"""w""
"
c0ac61bc-4ef4-4497-a12d-4920d4520a25,__SQUAD_TYPE,long
d9611bbb-cc23-4954-b515-3929fa2df01e,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
64878729-0d7d-410c-b465-efdf23e89141,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
58826706-06f8-422a-8ec2-109e6ab04f7a,_BSD_SIZE_T_DEFINED_,"
"
2fe8b780-3430-40c4-ac4b-c909e7ec9f2c,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
ceecf746-3a55-4a98-9473-541103159bbe,CONFIGURE_ARGS,""""
1850c47f-70ea-469b-bf0e-1873c3019cde,__CHAR_BIT__,"8
"
3085f933-36f6-4298-a187-e0420c441143,SO_DOMAIN,"39
"
3509fc0f-1c8a-4279-899b-48890c7dc560,HTUP_H,"
"
a40da5aa-55d1-4556-ad54-759506f142b9,USE_OPENSSL,"1
"
647e388a-450f-46db-8ec6-8a4fe6225548,SHORTALIGN(LEN),"TYPEALIGN(ALIGNOF_SHORT,"
c0150f94-1927-420f-848f-80431923da61,EREMCHG,"78
"
b1411629-6ef8-4dbe-a782-d6ac736cb671,RELKIND_PARTITIONED_TABLE,"'p'
"
154d9f0a-81c6-4175-a072-d47e1ccc79e2,PG_VERSION_STR,"""PostgreSQL"
3e54f954-a337-4552-9c3f-fb26e747d8e5,EACCES,"13
"
3e168c6a-010b-455a-90fe-1473cfd4b814,SOCK_RAW,"SOCK_RAW
"
f6fe356b-285e-44a9-8744-9a89348affac,"__isupper_l(c,l)","__isctype_l((c),"
33313033-1998-42b5-a182-3d9a3f1599ed,EDESTADDRREQ,"89
"
d1b08a08-3ab5-4d70-bf08-e3ef047b8ad3,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
1971e4f7-55e9-4999-bca2-de32975dc9f0,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
a28a35f3-2041-42aa-bef4-36010b12c9da,SPLICE_F_GIFT,"8
"
0be7f3f7-d454-498f-86ac-21d04e2cc63a,FIELDNO_NULLABLE_DATUM_DATUM,"0
"
1e786c8d-d210-48e1-9129-2a4d10d8bee8,pg_attribute_cold,"__attribute__((cold))
"
977090de-6df4-46e1-8edd-8bd20879c0ba,ERRCODE_DATA_EXCEPTION,"MAKE_SQLSTATE('2','2','0','0','0')
"
6db15807-b8f9-436b-aa6d-1dd628ab0d9f,PG_DIAG_STATEMENT_POSITION,"'P'
"
b61732db-e932-4600-818c-c6740a419eb6,PIPE_BUF,"4096
"
bfb4a740-b32f-4e36-a213-6fa603689cd4,PG_MINORVERSION_NUM,"5
"
a06b40d2-b281-4e5a-895e-b1136aa4af19,IP_TTL,"2
"
c3f6aa0f-313f-4c62-9c4d-d4135e673308,UInt64GetDatum(X),((Datum)
b3b49846-35b8-4f01-a954-8633197a0917,IPV6_JOIN_ANYCAST,"27
"
10af11f6-fc69-491c-9455-52ebcd59e449,stderr,"stderr
"
f9105bc1-2342-4563-b78e-39ff0775cc15,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
aa80890e-9091-4b3c-b2ee-9dcdc4f0b56c,__USE_XOPEN2KXSI,"1
"
6ddc06d9-0440-4e57-90d4-2097d1d27c1c,RWH_WRITE_LIFE_EXTREME,"5
"
360828f7-9a15-43d8-94e9-b50af6f4c3ac,BKPBLOCK_HAS_DATA,"0x20
"
a5c11158-193a-4ef4-87ba-aa7cdf2ecaed,VARDATA(PTR),"VARDATA_4B(PTR)
"
150e454a-17d1-48ea-9586-335950399cea,SOCK_RDM,"SOCK_RDM
"
33926143-9928-4696-96c8-2c70f96b623b,Int8GetDatum(X),((Datum)
88ba3a89-f730-4f20-b9c6-24413ee31b6b,DT_LNK,"DT_LNK
"
0e0de4d1-01fc-4e88-867c-78844abbf340,ERRCODE_TRANSACTION_ROLLBACK,"MAKE_SQLSTATE('4','0','0','0','0')
"
e9527e98-91a0-4dfc-8918-8da22330e1b6,PF_DECnet,"12
"
c8d8fac7-6312-460e-b8ec-d2229f30a4ee,IPV6_CHECKSUM,"7
"
50f6455a-064a-431a-859a-65264a86ee1a,EMLINK,"31
"
c50beb2a-3195-48b6-9719-b9fcbbe1dd98,HAVE_LINK,"1
"
51e902d0-60e0-463f-aa14-dfc3a301cae3,__ORDER_LITTLE_ENDIAN__,"1234
"
ead487d5-20e3-443d-a090-e9dbb0cfeaa5,UINT_FAST16_WIDTH,"__WORDSIZE
"
3d03a6bb-6ec5-4063-87bb-85b2b7a9f394,IP_MAX_MEMBERSHIPS,"20
"
2cbe4dcc-5cee-4bd8-a8ff-d403a0b16fe6,HAVE_STRUCT_ADDRINFO,"1
"
18f3afa8-7e05-4437-add7-aa427e5bdef5,"__ispunct_l(c,l)","__isctype_l((c),"
f2829a42-920c-4183-a14f-dc9bbbf7ee5b,"pg_attribute_printf(f,a)","__attribute__((format(PG_PRINTF_ATTRIBUTE,"
