id,name,value
fa44342e-b52e-4917-8ae3-c72af7899185,__S_IFBLK,"0060000
"
0faee47b-4383-42bc-b140-b8562dc944d0,DatumGetByteaP(X),((bytea
c4449983-bf13-4343-a777-0edee253f07d,Anum_pg_index_indisready,"12
"
5be43780-bc90-4a0e-9896-124aa7229586,GUC_SUPERUSER_ONLY,"0x0100
"
3f465dd3-2204-4af8-96ec-739c23836af5,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
c85c405b-b591-4285-ba0e-2e385ba5f554,UNIX_EPOCH_JDATE,"2440588
"
98cedd14-0f44-4e54-a6f3-319957cd09be,BootstrapTransactionId,((TransactionId)
41327bd3-bb56-4a12-85ee-420bea6a2541,DATEMULTIRANGEOID,"4535
"
5c79f5c1-c1e3-4772-aa5b-960b57d0913e,__SSP_STRONG__,"3
"
d4d3feb0-d8e9-4087-9dd0-c19f1709a69d,__attr_access(x),__attribute__
3a98952f-cebf-4f9f-9b45-f3ff35e589ef,IPV6_2292HOPOPTS,"3
"
68e8762d-ce83-4394-a062-004b7b7a5df1,RELKIND_PARTITIONED_INDEX,"'I'
"
c3722f1d-db81-41ba-941b-566d7bfbfa09,ALLOCSET_DEFAULT_MAXSIZE,(8
12061a46-ec00-46af-8342-7715b6623336,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
b8bb66e2-e439-4616-b7b7-71aa47943e1e,AT_STATX_SYNC_AS_STAT,"0x0000
"
a1ed3a55-863f-4c1c-bf8a-d0435a1ad02e,STATUS_EOF,"(-2)
"
3fb5b1b9-b032-49b5-b458-456875d55756,AF_MAX,"PF_MAX
"
24a8a257-db33-41ac-9ba9-affd431405ea,_SC_PII,"_SC_PII
"
d848001a-ea2c-41f8-a5da-83d36ab248b6,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
ca7b873c-1490-4f97-913b-8e943bc9402a,__SIZEOF_WCHAR_T__,"4
"
acc1106b-4031-4fc4-be95-d05bcc38b38a,IPPROTO_COMP,"IPPROTO_COMP
"
ef36b07f-4cf2-4e8b-be8c-366dc6a564a7,__UINT_LEAST16_MAX__,"0xffff
"
24637f48-7040-455f-8b4f-ec809d4e6d73,IP_ROUTER_ALERT,"5
"
d3acbd09-6516-4994-a954-717f5cf20ff6,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
d7be18c3-882a-4f27-8e33-857ebeb55f83,RE_DUP_MAX,"(0x7fff)
"
b6a46214-5d8f-4504-b811-179967a41210,SVE_SIG_REGS_OFFSET,((sizeof(struct
8bcf3b1a-10a4-48a1-9214-0f385712cca8,PVC_RECURSE_AGGREGATES,"0x0002
"
575d5a2a-8a0a-465f-9dd8-b81ea0574ce9,SRF_FIRSTCALL_INIT(),"init_MultiFuncCall(fcinfo)
"
3fa423b9-1599-4c50-93a6-9e3b918ba157,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
bd818706-7c50-4856-8625-70fd589e9801,sa_sigaction,"__sigaction_handler.sa_sigaction
"
58b91197-5348-495f-a691-69aeb0e942e4,XLOG_MARK_UNIMPORTANT,"0x02
"
c7e653c9-2b32-4a86-8ba7-41ce83f9b46c,ILIST_H,"
"
b6677ac3-9a59-4d73-8b2b-f3ad899b9ade,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
4185dd40-c4be-4fe9-b67e-20427714b1d2,__NFDBITS,(8
3c90255e-f906-41c6-b0a9-d5a0424ca93f,si_fd,"_sifields._sigpoll.si_fd
"
e8d8db16-08c6-457e-850c-4d1a35d5bc6b,USE_LLVM,"1
"
8abe728d-9796-4cf6-af2a-d2a88220cc70,_T_WCHAR_,"
"
d40b2eab-3cef-471f-a07e-c6f5af3a3836,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
ec231eac-c5e0-4150-8fb3-a6b425561c0e,NI_MAXSERV,"32
"
d6570fb9-76d2-4691-9937-7c5f1eff0632,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
369ee9c5-faa0-48fc-b1cd-8144556a884b,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
9c352d95-c00f-42c7-bbbb-4e15e68c52e5,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
34f77507-723e-427c-b4bc-f50ee5331fa9,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
8594c980-0251-4c40-ad03-e1141494abd0,_PRINTF_NAN_LEN_MAX,"4
"
3bc16d63-b749-4c25-9923-835349080246,PG_BINARY_R,"""r""
"
04ab0f62-5b2a-4a4e-844b-c6a3e93443d5,PG_BINARY_W,"""w""
"
5d8fdab8-0390-4185-952e-95063e6082d2,PRIuPTR,__PRIPTR_PREFIX
3394ab6f-a69b-444e-994d-00f81da588c2,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
77c29b4f-fd85-457b-840f-1fef3e6b04f9,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
13efef46-d591-4453-80ab-db45e24cc3ec,GUC_UNIT_MB,"0x4000
"
ff90940f-5918-442e-93f1-f12cb0e9f955,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
5218a3c1-6166-417b-ab60-d569d81c5515,__GNU_LIBRARY__,"6
"
cb15f3c7-e7d9-49df-952c-55c0d561fa46,NL_NMAX,"INT_MAX
"
2ad0a3e6-a25d-4005-9d88-7b9984b756f8,GUC_UNIT_MS,"0x10000
"
fb42f3a6-746f-45cd-b745-1fe42f396374,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
9dc7e2f4-47cf-4ad8-bdc1-ba83a6b8412a,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
943bb6e4-719a-4ab1-abdf-c3aeffdd5925,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
f6fb3140-3b10-469f-a9c5-ab5e24c2a3c7,CONFIGURE_ARGS,""""
87566f46-be65-470f-a740-8bc3a4ded119,CLOCK_THREAD_CPUTIME_ID,"3
"
b37002b9-a494-4539-927c-d0be5d87b547,HTUP_H,"
"
41724c72-a0b4-478c-92bf-ac19cbf53e8e,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
92eb6473-45f1-42d0-a789-a8b955a06ae0,SO_NOFCS,"43
"
fe7b6253-2432-43da-aa6f-698a14688795,PG_RETURN_UINT32(x),return
7cffd7ec-f108-4636-9ef9-dff49653c628,SOCK_RAW,"SOCK_RAW
"
db1da6c7-b806-4c57-b9ea-d8aa1d05ead5,EDESTADDRREQ,"89
"
fd55515d-cd2f-41a4-b5ae-2de9f20f7cfc,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
863cc88d-babe-497d-aec5-8411bd45f5d0,AMFLAG_HAS_TID_RANGE,(1
2576b76b-6e2b-4743-a5af-43326398a0ce,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
abf06c39-a09a-4b3c-af91-54ac55b9a476,FIELDNO_MINIMALTUPLETABLESLOT_TUPLE,"1
"
a34585e4-8d95-47a2-9212-1a98d1505a56,si_pid,"_sifields._kill.si_pid
"
0dd02877-b30e-465c-a10e-a86360117aa8,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
7cd4e232-def0-4f4e-8ad7-e3974a731ed9,PG_MINORVERSION_NUM,"5
"
30697f6d-c224-49cb-8baa-cac57a7134ec,REGOPEROID,"2203
"
63a3dcdf-734c-4449-aaa5-5e459d9bc750,RECORDARRAYOID,"2287
"
33fefc1a-4dc2-4d60-b2a6-6694a2c79cba,IPV6_ADDRFORM,"1
"
89507f80-fd62-4564-937c-7ed520020b21,VARDATA(PTR),"VARDATA_4B(PTR)
"
67581a57-b41e-434a-a7f5-db715c2b40f7,SOCK_RDM,"SOCK_RDM
"
4ef781d7-fe22-4ad7-9478-a3a143b23e8f,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
16c1cb4a-94bc-4ebe-8cdd-6be75216283a,HAVE_GETOPT,"1
"
b1e5a81e-d6e8-4266-9bbf-24d4bb3ad8d6,HeapTupleNoNulls(tuple),(!((tuple)->t_data->t_infomask
416f1f33-92db-4403-9ce2-55ff314b0082,IPV6_CHECKSUM,"7
"
804eac66-01d0-45f2-a9b2-6b690f30f97c,EMLINK,"31
"
3acd4a10-b2ce-4ba3-9ac9-3c921dd5b56a,AttributeRelidNameIndexId,"2658
"
70e0b1fb-635d-4b13-a4d5-5ec811fd0a2c,IP_MAX_MEMBERSHIPS,"20
"
f368af9b-fc4e-4774-a12f-428ef3dd1f8c,BITMAPLEN(NATTS),(((int)(NATTS)
ed69f1e1-9e48-4413-915c-36f9c7c457bf,PG_MCV_LISTOID,"5017
"
820c7152-e205-4829-9faa-7f354572deb7,"__ispunct_l(c,l)","__isctype_l((c),"
d1f5eacd-2fb9-43d9-96fe-445d4d44e10f,MaxAttrSize,(10
517e6f10-f4a7-4a58-93f2-258eef6ce573,"foreach_ptr(var,l)",for
e6810e2c-981f-40f0-ba17-aefb0568a68a,ERRCODE_UNDEFINED_COLUMN,"MAKE_SQLSTATE('4','2','7','0','3')
"
b2b45a6d-32ac-40d7-a0e5-9a8e9d79d6fa,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
7521861c-2299-4122-912d-0a7a068f496c,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
0431b681-229e-4a9d-a970-9158986aa9ff,MCAST_LEAVE_SOURCE_GROUP,"47
"
4a5fcc0c-51a4-49d4-ab05-71a68e894205,"ACLITEM_SET_PRIVS_GOPTIONS(item,privs,goptions)",((item).ai_privs
5cd038bf-7325-4eee-9ccc-8d3202b64948,__FLT32X_DECIMAL_DIG__,"17
"
2f6acc8e-6dd6-4d6b-bcea-93004d78e02c,IPV6_IPSEC_POLICY,"34
"
68cfb9c7-b49b-4bc5-8e20-e64ad2943864,ItemIdSetDead(itemId),(
6a080779-71f6-45a3-aa1d-1df57b308f8b,STA_DEL,"0x0020
"
a376411d-94c1-465b-8e03-172751cd6ed0,"planner_rt_fetch(rti,root)",((root)->simple_rte_array
b4b2fce8-d023-4a47-936b-11357dca7d2a,_XOPEN_VERSION,"700
"
1c814fe1-ffe7-4bd1-bb82-84dca4a0f950,LC_CTYPE_MASK,(1
92ac83bc-8357-4227-b685-fee5fa8b39e5,BGWORKER_CLASS_PARALLEL,"0x0010
"
48bd6553-a76f-4e26-9168-497ca33f4da9,IP_FREEBIND,"15
"
b1bc2fa4-12b2-4a25-9a2b-1d9e2f83862d,TABLESPACE_MAP,"""tablespace_map""
"
9054b88b-e8c0-4f0c-bff5-8680b94394af,PG_VERSION_NUM,"140005
"
317e0149-0211-43f8-bbc9-b1b883fe88c7,init_local_spin_delay(status),"init_spin_delay(status,"
54390b84-d84b-40c1-9322-48d1841295d0,REGDICTIONARYOID,"3769
"
06e7d30d-08f5-4031-9b19-81e91f18418f,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
f1cca9ab-0f3e-4880-8319-4cdc9b4133a7,__SAFE_MEM_LIB_H__,"
"
48761ee8-2c31-4e56-8156-9818c9d68f8f,__RLIM_T_MATCHES_RLIM64_T,"1
"
6ac87ec3-022a-4e48-935f-e9c23ede4ff7,_BITS_PTHREADTYPES_COMMON_H,"1
"
626e465e-e308-4c62-9d38-7b2de62deafe,TYPCATEGORY_COMPOSITE,"'C'
"
2e91519d-8113-406c-b4b6-390fc5e8a28c,Anum_pg_dist_partition_partmethod,"2
"
9e172367-b048-43e1-a001-02024c4531ae,_CS_LFS_CFLAGS,"_CS_LFS_CFLAGS
"
5bf99059-9ef1-4300-ac73-0af92f8f15d5,PF_LLC,"26
"
d9f7a8d0-a55e-4ab9-94dc-715dcf2c84b2,__sigval_t_defined,"
"
454c834d-7bd1-40db-b939-322de6ce7bd8,__UINT_FAST32_TYPE__,long
3d4cddbb-4c8b-4c87-b055-5515bf86a544,MCAST_LEAVE_GROUP,"45
"
64401e9e-bb6f-4036-9a2b-68840de848f1,SOL_BLUETOOTH,"274
"
38c6bc26-5332-4ed1-aba3-0bb60a49ba81,VARSIZE_1B(PTR),((((varattrib_1b
ad0ee887-0fcd-4d50-82c8-b5c9856357fd,HAVE_LIBLDAP,"1
"
303bf034-bc77-47f7-bc40-755bff967f50,_SC_CPUTIME,"_SC_CPUTIME
"
bfaab21d-89a6-4133-bae4-cac8e46048c1,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
b04b4307-ccb2-482a-991c-e3c0e1ba5958,PG_INT32_MIN,"(-0x7FFFFFFF-1)
"
4be37a91-f0a0-4055-b0ab-7f048a31d507,si_ptr,"_sifields._rt.si_sigval.sival_ptr
"
d4aeb608-8416-4405-b4ab-54931f22a3da,_CS_POSIX_V7_LP64_OFF64_LDFLAGS,"_CS_POSIX_V7_LP64_OFF64_LDFLAGS
"
