id,name,value
68a4dca6-1a51-49d5-929e-b148a13ad71f,__S_IFBLK,"0060000
"
8b223ec9-2d4d-404c-b8d3-f34484ec29f7,DatumGetByteaP(X),((bytea
7f6c0f11-bb47-4153-b05e-739ad2fe4d68,Anum_pg_index_indisready,"12
"
ae265c18-967c-4bb3-85b5-b6cc6b47d51c,GUC_SUPERUSER_ONLY,"0x0100
"
14c1b4c7-928c-4478-b5d6-a475eab7f7fe,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
9f336be1-8e17-4918-abfa-16127a249d81,BootstrapTransactionId,((TransactionId)
ab6abfab-c43e-4768-8507-949a4d7981c8,DATEMULTIRANGEOID,"4535
"
56967d19-6fd7-40fa-b13f-2213a7231703,__SSP_STRONG__,"3
"
7a153768-2b19-4c90-bf1c-03b3c6bc9b30,_TIME_H,"1
"
fb4e1edb-f4b9-42a9-889a-79fdef4ace1c,__attr_access(x),__attribute__
b078082d-bcb8-405d-aeac-171847bc146f,IPV6_2292HOPOPTS,"3
"
3a025597-f915-4d17-bb3a-ef74fcf86cdd,RELKIND_PARTITIONED_INDEX,"'I'
"
72e10fed-f2d6-4955-9ec3-e64687069f24,ALLOCSET_DEFAULT_MAXSIZE,(8
9d5e58a4-d91a-47ba-8ead-88ba222fb9ee,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
30ceea1b-55d2-4e35-83b3-e85aa72c7f1b,AT_STATX_SYNC_AS_STAT,"0x0000
"
4515db6e-2e75-4fec-8afb-e812f352641b,STATUS_EOF,"(-2)
"
fece4769-4f49-49b0-bd8f-045b8ec72829,AF_MAX,"PF_MAX
"
9cfc0fc3-e3b8-45cd-a5ae-113504b4f059,_SC_PII,"_SC_PII
"
f82471ce-a240-4683-aba1-cd995e8fdbfe,__GNUC_EXECUTION_CHARSET_NAME,"""UTF-8""
"
ba6d611d-c559-48bd-bd3a-1c451d11219e,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
ebd43e61-59c1-447e-92f9-1ab3bcad1fc0,__SIZEOF_WCHAR_T__,"4
"
84fb49d9-cfc9-4426-a0f3-3f886cecce77,Anum_pg_opfamily_opfmethod,"2
"
38d16e24-5317-4b02-94cd-0d758e473a0e,IPPROTO_COMP,"IPPROTO_COMP
"
34c4afbf-6d5e-4322-99fc-4f1344e35516,__UINT_LEAST16_MAX__,"0xffff
"
cff9c1d9-b4fe-4638-a375-19daa2cd53ae,IP_ROUTER_ALERT,"5
"
fb12ed06-8092-4df0-93c7-30864038b925,FRAMEOPTION_NONDEFAULT,"0x00001
"
c5db5f08-95a2-4cac-acc3-678e88da1679,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
1eef7fb1-3b6c-4a66-aac1-6b1a0760f748,RE_DUP_MAX,"(0x7fff)
"
ba5d63f5-eea8-4977-99eb-6d3e7f38dc2c,SVE_SIG_REGS_OFFSET,((sizeof(struct
dc6b7992-f8d0-4b4e-a68e-a545a8584e8d,PVC_RECURSE_AGGREGATES,"0x0002
"
133b8b9a-be00-49c7-a0ee-848246278ed7,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
3149ae82-136b-40be-8f8d-927b990483e4,sa_sigaction,"__sigaction_handler.sa_sigaction
"
89f943c2-3639-4255-8b79-24d6fac8fcf3,XLOG_MARK_UNIMPORTANT,"0x02
"
ec0a61da-1b25-4ec1-9133-bb41aaf83101,ILIST_H,"
"
21917c42-b298-47ed-88c3-2c5f2706436e,__NFDBITS,(8
ed03b063-2777-4cd9-9a2b-b369189d8d74,TYPECACHE_HASH_PROC_FINFO,"0x00080
"
2dc4c35c-6bf6-4b06-b1c3-dcffede145be,si_fd,"_sifields._sigpoll.si_fd
"
01526106-3fe9-404e-9736-cbff19a86b33,_GETOPT_CORE_H,"1
"
5ec6614a-d42e-4ae8-985d-66deb38b2e0e,USE_LLVM,"1
"
370fcdce-8a28-4710-80c7-fb35f4a2d609,_T_WCHAR_,"
"
c398f8c0-f4b9-4ca3-b130-741ad68e2a6b,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
81ad8e7e-33c8-4cf1-8fbf-c1d019f3a8a1,NI_MAXSERV,"32
"
a15c937d-1812-4e0f-9a25-76288c5965ff,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
c79f188d-44d4-4d1b-a998-976303463ad0,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
59d03abf-aed7-4585-9a1c-bc94a3be7db0,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
4310749a-419e-4060-b78e-b7456743b19c,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
4c08bf3a-c693-4a0b-9ebd-2ce6a5d84248,_PRINTF_NAN_LEN_MAX,"4
"
27c3feed-fe9a-4f3e-ab74-de161d6fbb44,PG_BINARY_R,"""r""
"
6f95243c-c0c3-431d-bd66-141cd0ef9765,PG_BINARY_W,"""w""
"
8f5a5a10-308a-4ad6-9ff8-4ac66f6103df,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
e5808955-5974-4fb8-bdcc-da2cd4e56b26,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
5217ddaf-4108-48e7-bb1b-b384a4f8fcc0,GUC_UNIT_MB,"0x4000
"
cdfe060a-9fc5-489e-82a3-db268235b2b9,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
9f199f76-f765-411e-aa47-403fa357a1f1,__GNU_LIBRARY__,"6
"
d296e100-ffcc-43df-af1c-328b845a8890,NL_NMAX,"INT_MAX
"
75ff35d0-7cb1-4f4f-966c-b7601b894439,GUC_UNIT_MS,"0x10000
"
b385a5de-d1e0-4c89-af5d-2879d0b954aa,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
0088513d-f15e-409b-81fa-616cfde1b56c,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
5780809b-5c8a-4133-846f-94a35f8f085d,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
cd5f4e0f-4457-4988-880a-216b9a396e32,CONFIGURE_ARGS,""""
1ea384c6-a594-4e29-a3fd-14ce42033aae,CLOCK_THREAD_CPUTIME_ID,"3
"
f147bb21-738c-4b55-aaac-1d05bfeee058,HTUP_H,"
"
d55d8a6d-3e04-4fb8-adb6-a7c91a27b3f9,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
e1a8ee80-8649-4ef7-b48c-2de20a62a3eb,SO_NOFCS,"43
"
12a01519-80d3-4450-8212-4b50b2a00493,PG_RETURN_UINT32(x),return
ae52e286-cdeb-4398-8d81-e39cd2a74991,__SCHAR_WIDTH__,"8
"
790e569d-8916-49af-a137-27ecb90c6d0a,ADJ_OFFSET,"0x0001
"
67f0b9c6-646e-41e6-bd41-a3fb8f1113cb,SOCK_RAW,"SOCK_RAW
"
4afdfda4-cf24-4161-ae86-2cc572913b01,EDESTADDRREQ,"89
"
57c73071-0a02-4a60-b4ba-d7c3e6f68534,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
02b7a1e6-cfe8-419e-8ba3-f457bfdb8bcd,AMFLAG_HAS_TID_RANGE,(1
d027b071-0d55-47e3-a997-57704a0ae0a6,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
73e94a66-b97e-402b-9389-3d402be85d4b,FIELDNO_MINIMALTUPLETABLESLOT_TUPLE,"1
"
02a64439-b492-4f60-b8d9-1eaa23e508ff,si_pid,"_sifields._kill.si_pid
"
f9a90112-65e4-4489-b4ba-30c3c30dddf6,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
369cb91a-91e4-4bc1-9c5c-38c4015f82fd,PG_MINORVERSION_NUM,"5
"
b951e7e2-b833-47d8-8964-e82d2277c5b6,REGOPEROID,"2203
"
f24623f9-6635-4698-ab0d-d9dbf8ff37e1,RECORDARRAYOID,"2287
"
edb2a2f0-c748-4830-8cbb-b5cdfda46db3,IPV6_ADDRFORM,"1
"
aecb3b43-d20c-4fb7-93bd-1864864ffc17,VARDATA(PTR),"VARDATA_4B(PTR)
"
66ace7d6-a418-49a6-a42d-85116d3f54f3,SOCK_RDM,"SOCK_RDM
"
e4c1d470-621c-4bea-bb6b-c3979fa7d4a1,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
e8de71e8-27b9-4563-a20c-bd190b2050c5,HAVE_GETOPT,"1
"
c04df3b3-898a-45f5-a10a-dcd1c0f42e8b,IPV6_CHECKSUM,"7
"
1a64938e-3438-43ab-b71f-5545a6b958b8,EMLINK,"31
"
70618040-210f-42fd-bde9-7b3a7c0312b6,AttributeRelidNameIndexId,"2658
"
cb524b4d-ece8-4998-b6fc-d6218577da80,IP_MAX_MEMBERSHIPS,"20
"
742d2567-6d69-4379-b175-ae16b5a1f6d6,BITMAPLEN(NATTS),(((int)(NATTS)
d73e8024-34fd-4ec8-a3f7-5bd5245185fe,PG_MCV_LISTOID,"5017
"
a6dcfcf3-0af7-42ec-a797-0f98df12d2ab,"__ispunct_l(c,l)","__isctype_l((c),"
d1dc10ea-8e50-499c-9606-aee4c935e634,MaxAttrSize,(10
87716e28-56a1-4d88-9ba1-d398d8efb8a7,"foreach_ptr(var,l)",for
061a809b-918f-4fdd-bae4-3e0141f7ac76,ERRCODE_UNDEFINED_COLUMN,"MAKE_SQLSTATE('4','2','7','0','3')
"
9591b9d9-641d-44d1-866e-7dfcf17b9b91,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
88ed65b0-5553-4797-a625-41fe65767d7c,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
ab31eeae-daef-4593-a1d3-5e05d36072eb,MCAST_LEAVE_SOURCE_GROUP,"47
"
86695632-a40b-4c16-9a6e-a94524a41c2e,"ACLITEM_SET_PRIVS_GOPTIONS(item,privs,goptions)",((item).ai_privs
b8cea1b8-a66c-494f-899a-49dfc39c9244,__FLT32X_DECIMAL_DIG__,"17
"
fb36d127-5b9c-40a0-a082-b3b4e28ffa5e,F_RDLCK,"0
"
40e0f1c2-ee03-4ee4-9e27-ab9f5f7525c4,IPV6_IPSEC_POLICY,"34
"
9cf470e3-623a-4d4e-9ff8-b8fb3618fe37,ItemIdSetDead(itemId),(
28dea0e1-1e7e-4140-b2f1-11a5efde0824,Anum_pg_class_relchecks,"19
"
f1122fd3-021b-42ec-9ce9-e344b47076cb,STA_DEL,"0x0020
"
904c45ba-d54f-4314-b84e-60898ad0a5c8,"planner_rt_fetch(rti,root)",((root)->simple_rte_array
02f51f5f-a777-4f00-aa9d-7fd416b44e32,_XOPEN_VERSION,"700
"
a4e2078a-8a84-4188-8778-3f8f7b312b7c,LC_CTYPE_MASK,(1
58adfffc-ef73-4406-86f7-66018781f597,BGWORKER_CLASS_PARALLEL,"0x0010
"
66f8d80f-4a52-486b-aec8-80c56b066e8e,IP_FREEBIND,"15
"
3468949b-3484-4f85-aea7-fd1ad743ac0a,ProcedureRelation_Rowtype_Id,"81
"
1cd621d8-d3e8-4cf5-9192-e297e00b6ecd,PG_VERSION_NUM,"140005
"
8dc9495e-5d37-4e58-a668-d3d168134e69,init_local_spin_delay(status),"init_spin_delay(status,"
fcca83f8-d630-4d7f-a7b5-52b0658c70af,REGDICTIONARYOID,"3769
"
8bf0bc68-14bd-44b5-8edd-9d7f8d0beaea,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
852cb71f-ab9a-4d9f-af24-16e5ef2b9bb0,_BITS_PTHREADTYPES_COMMON_H,"1
"
b3cf0abf-0e3e-463b-a5dd-5a8d9c16ac3e,Anum_pg_dist_partition_partmethod,"2
"
fff39a53-5f68-4b66-a779-83248356e2b2,_CS_LFS_CFLAGS,"_CS_LFS_CFLAGS
"
4269137b-f3f6-4916-832b-be8becc51354,__SIGEV_MAX_SIZE,"64
"
e8d20d47-afaa-450d-9430-5cc77e833102,PF_LLC,"26
"
3ea2f064-fe07-4174-8032-29c2172c2643,GROUPING_CAN_PARTIAL_AGG,"0x0004
"
d0ddc97d-38fb-48f3-b177-7336209161f5,__sigval_t_defined,"
"
2297b635-b4dc-41e9-8f69-eb01b20f1d10,__UINT_FAST32_TYPE__,long
543b8284-7861-459d-96af-3596630ace84,MCAST_LEAVE_GROUP,"45
"
d4218d9e-706a-4f0c-9687-4bfebd2931bc,SOL_BLUETOOTH,"274
"
0b4e7dfe-2c7b-4a1f-9584-30c8d7aee727,VARSIZE_1B(PTR),((((varattrib_1b
9300cc48-6096-4ca5-ac77-481f711ceec3,HAVE_LIBLDAP,"1
"
29ecb4f7-8a73-4370-b9c1-a42becf6700a,_SC_CPUTIME,"_SC_CPUTIME
"
5d58cdf8-c10b-4892-b7e9-2ef689a03095,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
dd2b9e13-ef42-4724-ba28-ae7b61887f12,PG_INT32_MIN,"(-0x7FFFFFFF-1)
"
beef0699-bf53-40ee-803b-20ea730391dc,si_ptr,"_sifields._rt.si_sigval.sival_ptr
"
4093c7bb-fb41-40d4-b27e-e556d630eb6e,_CS_POSIX_V7_LP64_OFF64_LDFLAGS,"_CS_POSIX_V7_LP64_OFF64_LDFLAGS
"
a45ab67f-9fe7-4c28-b7a7-7aa8c1c6c44c,PG_DYNSHMEM_DIR,"""pg_dynshmem""
"
9e005b81-aade-4427-b99e-a539ad0771fa,AttributeRelation_Rowtype_Id,"75
"
51f9477e-ee38-47c3-a396-f619612d9e46,makeNode(_type_),((_type_
4498dff8-c774-4763-9b38-d4aed0d7b033,ENOTTY,"25
"
3e9d3127-78aa-48b1-87f4-6be30c2b5cb2,WCHAR_MIN,"__WCHAR_MIN
"
708f34bc-1730-454d-a944-4ec9b3d438b0,MOD_NANO,"ADJ_NANO
"
f7ba68a1-4dd3-454b-95fc-173a05d743d9,__attribute_alloc_size__(params),__attribute__
655d31df-7116-4917-a9c0-58d148be9262,HASH_SEGMENT,"0x0002
"
