id,name,value
603721c0-0dee-4857-8d31-9b9125af2c1f,__S_IFBLK,"0060000
"
d3affffb-32ab-40de-968d-deb6f3f10e37,DatumGetByteaP(X),((bytea
dc3b0eae-4561-48a9-a8b9-0ccb8095051f,Anum_pg_index_indisready,"12
"
db82d046-341a-4b04-bfd4-6c99b8673d52,GUC_SUPERUSER_ONLY,"0x0100
"
70f40a4b-9fad-47c4-a919-7abfddfff755,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
3a72ed61-19e4-47f8-adcb-b42ca29086ba,F_INT2UM,"213
"
8eaec486-7a94-4e84-8620-e28e66d67831,F_INT2UP,"1911
"
c3bdd874-1758-429c-9d36-2315aa724850,BootstrapTransactionId,((TransactionId)
5f978d9b-ab73-45ca-8c38-bb7755a4d32b,DATEMULTIRANGEOID,"4535
"
e332af7b-ddc0-4795-8d97-3db404ac238b,__SSP_STRONG__,"3
"
b10b5cfa-8efa-4192-aa2f-b4041e5ed9f9,F_BOOLSEND,"2437
"
fb5bab31-6b0f-40a2-90d9-9f408cc8a68f,__attr_access(x),__attribute__
60463edc-7d21-4bd2-97ce-1e2f17d2ebda,IPV6_2292HOPOPTS,"3
"
591862ee-81f5-4a3e-be98-eb50744448fd,RELKIND_PARTITIONED_INDEX,"'I'
"
f0171ed7-f47f-4ee7-8ddf-15a3b6b441fe,ALLOCSET_DEFAULT_MAXSIZE,(8
7ff35241-3497-48ca-9777-5b7435ad6d6a,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
33f4bd78-16aa-405f-b0fe-eeb4c2c68026,F_UTF8_TO_SHIFT_JIS_2004,"4385
"
172e0896-ab2a-4e8b-9e82-20d361f38b19,F_PRSD_HEADLINE,"3720
"
6035fb89-e491-4f75-83ee-c92b73b0d8f5,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
ce0fc46c-cf9e-4ef3-b6a6-fa31b218180b,AT_STATX_SYNC_AS_STAT,"0x0000
"
2795c1e2-8386-4ed7-a3c1-cf00df2cb856,STATUS_EOF,"(-2)
"
e6e38417-ad5e-4346-af4c-a8090eeff67a,AF_MAX,"PF_MAX
"
75561274-b592-422d-86a6-548479cf1479,_SC_PII,"_SC_PII
"
2adc5a2f-99ad-4f4c-9118-80b7b56d68f4,F_TEXTEQNAME,"247
"
f75722c8-c275-4a0b-b778-711dab527357,F_ARRAY_LE,"393
"
c71b9115-a7c8-4c87-9653-5b2e70a73437,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
20270854-7fdd-491a-b57e-3c44ebe839a6,F_INT8XOR,"1906
"
1cfe9c9e-7efc-40b8-8528-d405af3b7016,__SIZEOF_WCHAR_T__,"4
"
5955fa85-613f-4d53-8415-e20587a24bf1,__UINT_LEAST16_MAX__,"0xffff
"
8f6942c7-7b44-4dd0-8573-76d85689057c,IP_ROUTER_ALERT,"5
"
