id,name,value
4cc24abd-9990-4547-8b35-946edd0fec7d,ESBADFMT,(
16bb1859-732b-4547-b150-746d0db4aba5,__SSP_STRONG__,"3
"
3f116910-58ab-4c73-932e-333324c8fafe,__attr_access(x),__attribute__
dfb2c2c8-b2de-4ddc-9624-094a996233dd,__DBL_MIN_EXP__,"(-1021)
"
7da50177-0c8e-4c36-af8d-1a428ebdbc9f,__SAFE_MEM_LIB_H__,"
"
a70f756e-44d5-488f-a953-f60ff605b692,__LDBL_MANT_DIG__,"113
"
31452551-20e5-4959-bdfb-692f2b7b5a65,__UINT_LEAST16_MAX__,"0xffff
"
3a618077-0e7a-4c2f-a8fe-05ebd41e53f1,_STDBOOL_H,"
"
cb0d503d-6435-4d84-976b-9904240884db,__ARM_SIZEOF_WCHAR_T,"4
"
a63d4675-1fdc-4f34-bb8a-e1640d558d40,__DBL_DECIMAL_DIG__,"17
"
3ba93144-72e0-4f49-8cc5-fb92ef4accc5,__ATOMIC_ACQUIRE,"2
"
a1d51041-95b6-44e5-b059-b9c65de13fe0,__FLT128_MAX_10_EXP__,"4932
"
04bed11c-6ecf-47a7-b517-e137708ba840,__off64_t_defined,"
"
db074a9f-69bf-421c-b995-102689d74c9c,PRIXFAST64,__PRI64_PREFIX
3d964a5e-810c-4a70-8625-7699252fa21a,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
fdef38a7-3a04-44d4-bf02-03c7f04101c9,__GCC_IEC_559_COMPLEX,"2
"
9bc9a7b4-cd35-4a77-a150-2ece73d45bfc,SCNiFAST8,"""hhi""
"
f459c682-f7a7-4e60-bd01-74ce74d90348,__NFDBITS,(8
d2ec2e50-d56c-44eb-bdfc-41064080423d,__GLIBC_USE(F),__GLIBC_USE_
93033d9a-bd28-4735-9070-6b087e2bafdd,__UINT_LEAST8_TYPE__,unsigned
2fe78257-1388-4907-85fe-139ac787bcf0,_T_WCHAR_,"
"
0040db9e-6774-4d2a-a72b-8473fc52ebb7,EUNATCH,"49
"
c8a91153-4184-46de-9572-9818581b3568,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
c2bcf448-f68f-44c7-91b4-75cdeca02080,SCNuMAX,__PRI64_PREFIX
cc9d3d79-f6d2-4c26-a8fd-826d79712d2c,INT_LEAST16_MIN,"(-32767-1)
"
b2c78780-435f-44bb-802f-5e5f405c68b8,__CFLOAT64,_Complex
93f58ef8-a2c1-4457-8eb8-9fa54d4d9fe1,ENOCSI,"50
"
20d7d657-e706-4975-b8a9-30025588d389,__stub___compat_get_kernel_syms,"
"
ef37a9dd-b7be-492a-a6d4-90ed72f0180c,__S64_TYPE,long
d7414726-6bce-497b-b842-992d1f2715f9,_PRINTF_NAN_LEN_MAX,"4
"
9c3c882d-bfea-4cc1-94ff-067b1f15d605,__FLT128_DIG__,"33
"
468878cf-8b14-42f1-9679-d9c7efab1dfe,__stub_fchflags,"
"
09347652-814a-4c94-83d4-cfcff2216283,__SQUAD_TYPE,long
834dc5e5-09de-457f-8b8c-c8e776f64387,__INTMAX_C(c),c
7c428cb7-76f1-46dc-8730-02e71e15cb8c,_BITS_FLOATN_COMMON_H,"
"
ad593da0-3931-4546-8509-4377bbc83faa,__GNU_LIBRARY__,"6
"
c5742a48-507d-4b3e-aea9-ee02066b23f5,__CHAR_BIT__,"8
"
6970c126-dbf7-43bc-94c0-5514718e7f48,__FSWORD_T_TYPE,"__SWORD_TYPE
"
855a8f1a-60c8-4cc7-930c-ae06b0ffe99f,EAFNOSUPPORT,"97
"
86433dfe-9c4e-4662-815c-a3052714eb1c,EREMCHG,"78
"
bdce2b31-bc67-47c5-a622-621efb82276b,__attribute_pure__,__attribute__
8189c867-615c-40f2-8e80-08cbe25d3059,EACCES,"13
"
a09d97d4-6391-4d99-ab5f-cda16b1860b6,__UINT8_MAX__,"0xff
"
e7dcaa15-7993-43e6-95a0-eccb37fc21b1,WCHAR_MAX,"__WCHAR_MAX
"
5b1d6ceb-6047-4b85-bc3b-6165d62427f7,EDESTADDRREQ,"89
"
4e354d55-7483-4a72-89c7-7ab9a53d5c58,__feof_unlocked_body(_fp),(((_fp)->_flags
8742f22d-f219-4324-aaf0-0742ce5b937e,__sigset_t_defined,"1
"
1d5f20a0-2f4a-451c-9743-22e4306e39be,__SIZEOF_PTHREAD_ATTR_T,"64
"
