id,name,value
6f5161b3-f876-47fc-ba97-bd73b2255c2b,ESBADFMT,(
86105782-a401-4ece-bce4-274801812a31,__SSP_STRONG__,"3
"
944e595f-97af-481c-b281-bf1ab1848157,__attr_access(x),__attribute__
d4f43b7e-cad0-4121-b403-cad7786a68b2,__DBL_MIN_EXP__,"(-1021)
"
1c24ed77-e722-40a4-93d1-8f16409f072b,__SAFE_MEM_LIB_H__,"
"
d8f58f10-c01d-455d-ae03-bb60cc5b3b5f,__LDBL_MANT_DIG__,"113
"
ff0532f4-316f-419e-9793-595852a448a8,__UINT_LEAST16_MAX__,"0xffff
"
ef1f34f0-9efa-4dd3-844c-16fcbf45e47f,_STDBOOL_H,"
"
83fa31c9-87ce-4a44-9303-7bfca01420f3,__ARM_SIZEOF_WCHAR_T,"4
"
e25aefa0-ece9-4a1c-b43f-8a7e79f66d5b,__DBL_DECIMAL_DIG__,"17
"
8acfbcfc-83d7-4086-a60b-d38c08df564c,__ATOMIC_ACQUIRE,"2
"
0a938a39-744d-4e88-ba34-8f27015c8258,__FLT128_MAX_10_EXP__,"4932
"
b0bcff5a-ffc7-4574-b9f2-b3a96a2175cd,__off64_t_defined,"
"
6ff64cbb-0b8a-4934-afac-085ee5d258f4,PRIXFAST64,__PRI64_PREFIX
e18902a2-6330-446a-82ea-f765fe2c4f1b,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
28d5886b-927f-4b76-afb6-15a2cba1870b,__GCC_IEC_559_COMPLEX,"2
"
8b959b21-3561-4446-9ab7-67084ec90776,SCNiFAST8,"""hhi""
"
90c49460-0064-4649-84d4-dedd03bd07dd,__NFDBITS,(8
191deba8-252e-46ae-980e-b4319390d1a1,__GLIBC_USE(F),__GLIBC_USE_
74f0b73a-9cc4-4dd1-9fb8-de50b5d6f843,__UINT_LEAST8_TYPE__,unsigned
53d2969a-d6b0-4c7a-be61-1ac51f7ca2b7,_T_WCHAR_,"
"
6958a1ba-afc1-4a6c-8994-a2891b9392f3,EUNATCH,"49
"
1d5e9da1-e6ff-4656-90a0-afebe2d6711f,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
70600282-70ea-4b25-a0e0-2a2157ba1e97,SCNuMAX,__PRI64_PREFIX
d7256b99-8216-484a-a86c-9a557dce3342,INT_LEAST16_MIN,"(-32767-1)
"
508cdb1b-b5f8-44fa-b01d-2eaf5aa9bf08,__CFLOAT64,_Complex
eb73f437-7476-4cb0-bd13-29d789ab70f3,ENOCSI,"50
"
8f2c50a3-0217-4f70-bca1-1cb3800967d4,__stub___compat_get_kernel_syms,"
"
dffece2a-e4eb-4146-94e5-5192fc0d6be1,__S64_TYPE,long
12054c6e-f3ac-4867-bd95-754091d1b608,_PRINTF_NAN_LEN_MAX,"4
"
abff9a39-f04a-4f60-87a6-7e2db156c96a,__FLT128_DIG__,"33
"
51086d96-87d5-4fb0-8c2f-b5a39e3c581c,__stub_fchflags,"
"
e61d705d-6ca4-4308-a33d-cf8ed7de633d,__SQUAD_TYPE,long
245c458b-29ae-43fe-8ab0-d1218d17a3cc,__INTMAX_C(c),c
40ff6d5c-4d84-4334-b982-1b208284b576,_BITS_FLOATN_COMMON_H,"
"
98248117-87c2-43d0-9b5d-e023bc626d79,__GNU_LIBRARY__,"6
"
d3e6dbbc-f131-41ab-9b1b-b37c389c3b4a,__CHAR_BIT__,"8
"
92162b9c-0da0-4eb4-9285-298353f55b08,__FSWORD_T_TYPE,"__SWORD_TYPE
"
b4945677-07e0-4f5c-9a15-2a7355164492,EAFNOSUPPORT,"97
"
2b584e7f-e250-4009-976e-8a2dec4abc06,EREMCHG,"78
"
f9aec3d7-1933-4643-958d-0d6b8aab96d0,__attribute_pure__,__attribute__
1cc72749-08f2-4478-84a2-24ac763d1a2b,EACCES,"13
"
03868379-72ff-4221-9f1d-5592020b8f2e,__UINT8_MAX__,"0xff
"
f02e19dc-fb2a-4e2c-8922-f989fc03c749,WCHAR_MAX,"__WCHAR_MAX
"
0b49eb11-4140-4581-8bcd-81f62b1a607f,EDESTADDRREQ,"89
"
8d0e23aa-dbb3-45e1-bcbd-c80f28822d07,__feof_unlocked_body(_fp),(((_fp)->_flags
47b9623a-a1f4-4ff3-ba3d-97f80058f232,__sigset_t_defined,"1
"
59772f03-590f-47c0-bfe7-a1bd7148a085,__SIZEOF_PTHREAD_ATTR_T,"64
"
1b481792-a7dd-4726-9695-2c6b62ecb945,INT8_MAX,"(127)
"
dc03db75-8939-41c9-a5ec-56145e7454bb,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
9e80ed22-f465-4bf6-a345-11718dfdb1fb,__HAVE_FLOAT16,"0
"
e191574a-21db-4d7b-976b-1fe4d2c9ac58,stderr,"stderr
"
8caaa3d5-b2c7-4e5a-8470-fd631bd63128,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
33cc37d1-d89c-47ae-abde-36cf8bb5abcb,_XOPEN_SOURCE,"700
"
3e8f1ca6-86e5-4fa7-a723-84c619b813fe,UINT_LEAST32_WIDTH,"32
"
06e439e7-c1a0-4d41-8e4e-1ad5fe90eec1,EILSEQ,"84
"
711a6bb4-2f40-43c7-a4d6-29c48efb5d5a,ESPIPE,"29
"
e220001b-4c2b-4a27-b82d-38ccdc81fc70,INT32_MIN,"(-2147483647-1)
"
cd61efab-5413-4a9a-961d-88550f3b962c,SCNxFAST8,"""hhx""
"
4ef73c9e-2417-413c-a45d-5f8748590813,EPERM,"1
"
cb89f35a-f148-4134-af54-3c0d7dcbc7f5,__OFF_T_MATCHES_OFF64_T,"1
"
8e577540-588c-4773-bbb4-305374e046aa,EMLINK,"31
"
c8bc73e9-8428-4d83-ac74-e4823dcdf354,UINT_FAST16_WIDTH,"__WORDSIZE
"
37fd1595-1e09-4b1a-9b3c-5cd91fec7abb,PRIdMAX,__PRI64_PREFIX
747d45bc-db60-4fd1-a069-515c3959ec5b,__WCHAR_MAX__,"0xffffffffU
"
d8a0ccb4-5afa-407a-b762-8dc537687c75,ENOSR,"63
"
895e1732-8313-4e6a-93b0-6ec08a77949a,INT16_MAX,"(32767)
"
