id,name,value
51de0fa9-1012-4dd4-9d39-e49c1e8db254,ESBADFMT,(
b340e1bc-0462-472e-a5d0-cd3e4ecb7808,__SSP_STRONG__,"3
"
ab8e91b2-2c47-4bc0-9fb6-52092427cc34,__attr_access(x),__attribute__
df0e7154-ea5c-4a8c-9826-9e25efcbec26,__DBL_MIN_EXP__,"(-1021)
"
6d25ea07-9a6c-4ff8-a49c-1a46330a0a4f,__SAFE_MEM_LIB_H__,"
"
adf52ba0-ec8e-4c2c-a685-48983db28ba0,__LDBL_MANT_DIG__,"113
"
79c7ed39-ff1c-4728-9761-082c7b4d2d44,__UINT_LEAST16_MAX__,"0xffff
"
c9e6a756-c585-4992-b9a7-0ce5a1854233,_STDBOOL_H,"
"
b2f59a59-e5ee-4446-9d4f-3211d774e5dd,__ARM_SIZEOF_WCHAR_T,"4
"
3f9a69b3-4b41-4101-9411-679120cbff4b,__DBL_DECIMAL_DIG__,"17
"
5dc915c8-6dc1-4613-803e-370b0d682fc1,__ATOMIC_ACQUIRE,"2
"
38f161bb-d489-41d1-bf57-5e1addda599b,__FLT128_MAX_10_EXP__,"4932
"
5ca11114-f3aa-4fbe-b13a-0070a43a9cd0,__off64_t_defined,"
"
5811c937-a3e4-4537-9b4d-b5c250653375,PRIXFAST64,__PRI64_PREFIX
e3aee3c3-35b3-40e1-9192-81dabec48637,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
127f4155-3f2b-40b3-8772-a5f945ee31e2,__GCC_IEC_559_COMPLEX,"2
"
4b622459-c0c3-4cfa-88ab-e520180153f9,SCNiFAST8,"""hhi""
"
3431bd29-08da-464e-a6e0-757347e10de6,__NFDBITS,(8
3836a7ce-9a5f-4c86-b4f4-7cb0ccdc6e24,__GLIBC_USE(F),__GLIBC_USE_
7a0f1d86-15f7-46cb-9716-4b2f351d07fe,__UINT_LEAST8_TYPE__,unsigned
3881245e-f401-4916-ace6-478ff7212282,_T_WCHAR_,"
"
32614dfd-e833-400f-9972-5c1816ae2f9e,EUNATCH,"49
"
d0a55757-d263-45b1-80f6-43d65bfaa806,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
b5f06d98-b66f-4927-a174-50b60a77deb8,SCNuMAX,__PRI64_PREFIX
d1a408a9-c57f-4e41-9619-4d59d71456d9,INT_LEAST16_MIN,"(-32767-1)
"
98cdb8f5-7223-489b-801e-1a36a7b07860,__CFLOAT64,_Complex
5a8f1cc3-36ce-4732-abd5-f6eebb3954d7,ENOCSI,"50
"
69f9c0f0-7cda-4b8e-a977-b4ce873adc8f,__stub___compat_get_kernel_syms,"
"
1e0151c1-2034-44e6-822d-4f00cee4ba6e,__S64_TYPE,long
b749b8ff-16d4-4316-9c90-1cb5a51ae06d,_PRINTF_NAN_LEN_MAX,"4
"
c38c6f5f-6db1-4459-8995-84c534171936,__FLT128_DIG__,"33
"
30dafca8-425f-421f-a215-62e86cf05ce9,__stub_fchflags,"
"
20fab98c-269c-4f1f-b260-96725396beb3,__SQUAD_TYPE,long
5611648a-b751-4620-9264-eb9798260792,__INTMAX_C(c),c
901d0e6c-b48f-49fa-bd4a-ecdb0fbb11a1,_BITS_FLOATN_COMMON_H,"
"
a2b26250-ce79-4112-82a0-c96787900566,__GNU_LIBRARY__,"6
"
decde2a2-d5f6-40bb-b7db-6178d2b0311c,__CHAR_BIT__,"8
"
6c87d0a9-361c-4f25-bf28-fdc9dd63e09e,__FSWORD_T_TYPE,"__SWORD_TYPE
"
cf834b44-91d4-41c9-bc92-42d395ede771,EAFNOSUPPORT,"97
"
aa3f644d-78b8-4891-9595-a94577bae824,EREMCHG,"78
"
3eee79bd-5415-4a82-9693-7be88c3f0f53,__attribute_pure__,__attribute__
7d5676bd-3319-4b82-bc5f-5537a0491689,EACCES,"13
"
d40abef2-b626-4c9b-8cd9-cc0c04de8d15,__UINT8_MAX__,"0xff
"
2199875d-a852-4bc5-a834-a777b630a5ae,WCHAR_MAX,"__WCHAR_MAX
"
199c7b2f-f37d-4443-9de0-3f6b7c5fd0a7,EDESTADDRREQ,"89
"
0b53fecb-309b-4c40-8e3c-dbd1a3d89f44,__feof_unlocked_body(_fp),(((_fp)->_flags
1ac8adb8-184a-4c1c-9e4c-4b518e48e333,__sigset_t_defined,"1
"
ac89a0bf-1f62-4581-a85a-ac2dfffb810e,__SIZEOF_PTHREAD_ATTR_T,"64
"
a1c124dd-a02b-43e2-b076-11c61ca23168,INT8_MAX,"(127)
"
0792593a-7f17-46b3-9465-5a3eb0018ad3,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
93426612-b508-4075-90c1-e2aa6e106e23,__HAVE_FLOAT16,"0
"
81b209d7-1d6e-4baa-bfc4-1826fa26abb4,stderr,"stderr
"
82eed671-0efa-46a7-834a-df42fa50b063,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
da4552e1-398c-4935-ad7c-1c5389e4c1d7,_XOPEN_SOURCE,"700
"
3cf57f2c-7ec0-46cf-88a7-7bff31a69094,UINT_LEAST32_WIDTH,"32
"
81df5e57-c018-4991-878a-1f56eb88bb94,EILSEQ,"84
"
412cfc79-5367-42e4-aa72-ae2808c0dbda,ESPIPE,"29
"
c664e6a0-e433-4809-accf-ce29eec60a09,INT32_MIN,"(-2147483647-1)
"
a3132a56-b799-49af-a729-0a7249190f2c,SCNxFAST8,"""hhx""
"
d11b5025-7c9c-4934-b5af-2f01ccce2b61,EPERM,"1
"
264711db-fc7b-416a-9b53-a6539c06e19f,__OFF_T_MATCHES_OFF64_T,"1
"
b2c35fed-5d08-436a-b7cc-0c77ec36c65f,EMLINK,"31
"
6fe96678-91c2-4c52-89ef-8dec2c505c82,UINT_FAST16_WIDTH,"__WORDSIZE
"
2b11ea46-02fd-4cb5-b7c7-640610344e14,PRIdMAX,__PRI64_PREFIX
2d914af0-edac-4380-83c3-de4aa82474f2,__WCHAR_MAX__,"0xffffffffU
"
576e77a7-6e41-4547-84fb-9b8519755051,ENOSR,"63
"
7487e7dc-3357-4c0e-a878-38272097d6c5,INT16_MAX,"(32767)
"
5523f6d1-ee5c-4394-9eae-544fdb94f49f,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
d5dcb4c3-e5b0-4f84-adef-2913177e5069,__STATFS_MATCHES_STATFS64,"1
"
4fa83fd0-4444-49f1-a1cc-13cbbe3bb784,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
68545835-813d-41af-91f5-23db83388937,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
626f1650-aeb1-4f00-ae40-08a58d4e34fc,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
8b30e5b7-fb57-4451-ac58-6a19f2431733,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
6d4803ad-2a2a-41a3-a60c-964e54e19a22,__GCC_IEC_559,"2
"
00930707-10e9-4b3d-b72b-def60ffe1f47,__LITTLE_ENDIAN,"1234
"
00efb247-a8fa-447d-9922-a2e36dfd49cb,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
be2208b7-84c4-4d40-8a95-40d72bbfc32b,__FLT32X_DECIMAL_DIG__,"17
"
8987d4d0-e3fc-4e93-b33e-c935f079efa0,_IOFBF,"0
"
e4ec2566-53d1-4f62-95d4-44dbbce3c6ac,__FLT_EVAL_METHOD__,"0
"
526c1736-3334-4193-b2f9-078815c6bdba,EL3RST,"47
"
36b157b5-ba00-4173-bebb-863f3cb06842,_IO_USER_LOCK,"0x8000
"
9df0985c-0e54-4e01-aca8-db0f26f149ec,"__ASMNAME2(prefix,cname)",__STRING
9ec58a66-ced3-4863-b21c-8923619e36bd,INT_LEAST32_WIDTH,"32
"
0630dc4d-80a2-4353-a2bb-8cd1da9d9535,SCNiPTR,__PRIPTR_PREFIX
8e13f5e5-e51d-449f-a2e7-87d0020af351,__FLT64_DECIMAL_DIG__,"17
"
fc05e726-4679-4577-9a1f-f35d4e770c69,_WINT_T,"1
"
b0488c72-392f-42a7-b935-85fa93ae54f9,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
54bb478f-d507-422e-8f73-11b7255fce11,__HAVE_FLOAT64,"1
"
4ce05e3f-49ff-40f1-87b1-38a4df8d119f,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
9d60c8ef-0444-4093-ab1c-01137410ea33,__attribute_nonstring__,__attribute__
313d22ba-baa1-4c49-9d67-f265e5dc32d8,__UINT_FAST32_TYPE__,long
d1dc27bf-19f9-4a8d-991e-c05cf345afdd,EOWNERDEAD,"130
"
de2d6aae-fe75-4132-bbdc-fcaa7be27fd6,bool,"_Bool
"
e0f6e71a-9efa-437b-93ec-2b3580b255ee,__CFLOAT128,_Complex
e582436e-509b-40d4-9390-8b928aae30be,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
e0ce25b6-e4b4-45d6-b011-0d1375bc20ee,__SIG_ATOMIC_TYPE__,"int
"
