id,name,value
1ece89da-37e8-4b46-8a3e-d1203e7a7218,ESBADFMT,(
fe20d638-7612-4d68-ad54-a875ce53922d,__SSP_STRONG__,"3
"
a75dacec-5cc6-45a7-8ff7-6b4f5b03f065,__attr_access(x),__attribute__
e53872b3-6994-4c0b-b8cc-86db5573f397,__DBL_MIN_EXP__,"(-1021)
"
67880aee-9f87-4f0c-ba00-28fbd330bd60,__SAFE_MEM_LIB_H__,"
"
2cf7a418-1875-4ca2-8e4d-e52f011b4b5e,__LDBL_MANT_DIG__,"113
"
e3fd1242-47e2-4ceb-938b-68143d4d1416,__UINT_LEAST16_MAX__,"0xffff
"
47600291-378f-48f0-b44a-854d93c641b5,_STDBOOL_H,"
"
b733ca78-ce79-4440-becd-dd92b397115b,__ARM_SIZEOF_WCHAR_T,"4
"
0b01a81b-5f7c-4df7-b434-34839526895b,__DBL_DECIMAL_DIG__,"17
"
25e8834c-671a-4a2a-bfd2-741a7675b28f,__ATOMIC_ACQUIRE,"2
"
794937d7-f7a5-4091-b835-901f09bf4de4,__FLT128_MAX_10_EXP__,"4932
"
601edbf8-7e0e-45bf-904b-4f312deb98bb,__off64_t_defined,"
"
849c0b62-1912-4987-b836-2dc150947483,PRIXFAST64,__PRI64_PREFIX
fc144b6f-7aac-41eb-858f-a235b95832a5,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
7fafd43c-7128-4d2f-aaef-25948f6ecdfe,__GCC_IEC_559_COMPLEX,"2
"
0b9b1a35-14ef-40c4-bd9a-cffa384798c1,SCNiFAST8,"""hhi""
"
903a8d03-c46a-4f95-92f5-448a632e569e,__NFDBITS,(8
c856cd82-73a5-483b-b3bb-9acc3124983e,__GLIBC_USE(F),__GLIBC_USE_
f0af2605-242f-46a6-9308-9d23cfe3462e,__UINT_LEAST8_TYPE__,unsigned
c09d300d-5208-4bad-848a-a1e1bcf92109,_T_WCHAR_,"
"
542bf339-387b-4aed-b7a9-81b8b33a3346,EUNATCH,"49
"
fd7d29ab-f251-459c-a1ac-b8fb6092b613,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
3168ab2b-17cf-438b-9954-30df41424db8,SCNuMAX,__PRI64_PREFIX
c6597431-e877-4f5b-b1bc-b0767cdae0f9,INT_LEAST16_MIN,"(-32767-1)
"
e618334d-9fd2-48fc-b8d7-9e9f0741bc6a,__CFLOAT64,_Complex
911eafa0-97da-413a-bd84-53b9135c97db,ENOCSI,"50
"
10ca4c25-f38a-443a-9ba3-9b8581409466,__stub___compat_get_kernel_syms,"
"
6e629722-60d7-4e66-8164-907393894a4d,__S64_TYPE,long
54dc26b3-cb3f-474f-ac1e-522be83341b9,_PRINTF_NAN_LEN_MAX,"4
"
903e675f-1f3e-4796-8539-b4436cd2aa35,__FLT128_DIG__,"33
"
54fec0c9-e560-4176-a28a-ac9a1ab3c808,__stub_fchflags,"
"
7708dec2-6ab4-457b-9f94-7beebd629a50,__SQUAD_TYPE,long
60d7a21f-39c1-4032-bf86-aec118c19db1,__INTMAX_C(c),c
59cb1ba0-78c8-48da-b69e-c4cbb35eb104,_BITS_FLOATN_COMMON_H,"
"
a67a7b75-198d-4afb-b15a-91cfb6062e8e,__GNU_LIBRARY__,"6
"
44ded7e4-fc56-4cd4-b834-2bae83051a23,__CHAR_BIT__,"8
"
feffaf98-2085-45d9-a56b-e8c5696fac6e,__FSWORD_T_TYPE,"__SWORD_TYPE
"
21f56116-9467-4f17-a731-56fdfa201149,EAFNOSUPPORT,"97
"
e11924fd-2676-411c-8e2b-53af045d6e4d,EREMCHG,"78
"
2cdbc01a-854b-4518-afb1-63fd7a92f4f6,__attribute_pure__,__attribute__
4103eee3-f2bb-4932-b58b-24fd8799cc8c,EACCES,"13
"
0066a8d0-cbfb-4563-bc69-7d48fe41eae6,__UINT8_MAX__,"0xff
"
e6725529-2a7c-46bf-8c17-5dca1873287b,WCHAR_MAX,"__WCHAR_MAX
"
dc2c8b73-8f8f-4e78-9300-0f5f77ec8c66,EDESTADDRREQ,"89
"
ef8538c1-7df3-46f8-9096-ad335dedec6e,__feof_unlocked_body(_fp),(((_fp)->_flags
7a3ae6ce-7f69-4a2e-8a15-7508f0cd4b31,__sigset_t_defined,"1
"
106cb1c7-3b2a-41a1-b61e-04d668cf892c,__SIZEOF_PTHREAD_ATTR_T,"64
"
85ba8945-b0a3-49c1-a5d0-77283cb5fd92,INT8_MAX,"(127)
"
7cfefc35-8e13-491f-90da-4c70e8ab1541,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
337a314b-4ff3-4c53-990b-b8b1e2f05f1f,__HAVE_FLOAT16,"0
"
c0e59638-cdc9-4749-9bf2-932fb21d21ab,stderr,"stderr
"
d2a42562-f2e4-42dc-ae98-03d3773115c6,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
15b102a0-d964-425a-b130-ec57424c1b92,_XOPEN_SOURCE,"700
"
3cbbdfe9-fa96-421c-9297-81720a80f2cc,UINT_LEAST32_WIDTH,"32
"
8cd58226-c9be-446e-9803-b0a6024bf101,EILSEQ,"84
"
4bb84557-4ef5-411f-95cb-e067ce9fe2ce,ESPIPE,"29
"
857b42a9-1744-461b-abae-933201e387d3,INT32_MIN,"(-2147483647-1)
"
427fcfae-20d4-455d-be9a-70dc12ed61e8,SCNxFAST8,"""hhx""
"
b84ebb86-477f-41fb-a148-54d1447b164f,EPERM,"1
"
28de86ac-a19d-473f-9df7-e39437937faa,__OFF_T_MATCHES_OFF64_T,"1
"
60902fd6-57ac-4086-b405-abb82d6b2386,EMLINK,"31
"
accf8fb2-59fc-48f5-a46a-993cdf8d9c26,UINT_FAST16_WIDTH,"__WORDSIZE
"
9123615a-e732-4abf-ad40-3712ff0599b4,PRIdMAX,__PRI64_PREFIX
a3fa8f61-e0ca-41c4-a4d6-0109dc6a50c4,__WCHAR_MAX__,"0xffffffffU
"
8311414f-2daa-490f-9b79-50e90df0714d,ENOSR,"63
"
81f29c38-9dac-486d-ab33-0e23359d9007,INT16_MAX,"(32767)
"
167b72e2-a8b2-4011-adc6-9d273743a113,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
8f28ad08-6d3e-4081-a85a-0474153eef2e,__STATFS_MATCHES_STATFS64,"1
"
21b8930a-019e-43d6-9355-96efb247d162,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
59c29b36-363e-484c-b8c1-0f5593247f80,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
debbc6f7-321e-4618-a8ec-e8e7d6a240cd,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
8ca4ce32-b3fa-430f-9c22-8f3bdc14f6de,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
12301d88-c1ae-47ce-83bf-729e2b6cd339,__GCC_IEC_559,"2
"
9e61c197-38ba-460c-8b7a-f16750bc630d,__LITTLE_ENDIAN,"1234
"
66546a2d-34f5-4660-9f8f-9d02844cfe7f,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
82e203d4-55c6-4465-a9fd-8594e765cc11,__FLT32X_DECIMAL_DIG__,"17
"
4089f243-b196-4fe7-9fea-808f5bd525ff,_IOFBF,"0
"
f7d89684-a877-4fa3-9c6e-10a98599a5f3,__FLT_EVAL_METHOD__,"0
"
2ef94a0e-e5ef-44c6-a71a-8307591b23c2,EL3RST,"47
"
99831838-d76a-4275-b142-f26a1aa6791a,_IO_USER_LOCK,"0x8000
"
6ebd6fb2-887e-469c-90d9-c535ba3e2f44,"__ASMNAME2(prefix,cname)",__STRING
fb10f8c1-9e83-4b55-b5f9-14e3e57381e3,INT_LEAST32_WIDTH,"32
"
fd438259-4791-49ef-9513-8f35bd180f5b,SCNiPTR,__PRIPTR_PREFIX
80cb12fa-e44f-4abc-b1f2-e2621027cd45,__FLT64_DECIMAL_DIG__,"17
"
9ddfd947-5e33-40e1-8145-45f1e9b64847,_WINT_T,"1
"
f39dea36-976a-4a06-9087-6e8d1ff63b7f,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
08271806-7f8e-42c5-997e-2c1a6837085c,__HAVE_FLOAT64,"1
"
5fbd01cd-ad19-4067-8d36-ebdff89a156f,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
fa613181-949a-4a73-89cc-c699e20df3ac,__attribute_nonstring__,__attribute__
ba9b40ae-dc19-4ae8-a8bc-364569712395,__UINT_FAST32_TYPE__,long
8fbef843-7c9a-4646-9c31-d023494e655a,EOWNERDEAD,"130
"
698c7c12-209e-4d70-b1a8-11d1b1dfe8fa,bool,"_Bool
"
4b87d5d2-5f76-42fe-8cab-1f2ac9f32219,__CFLOAT128,_Complex
ed7f43bd-75c7-499c-96d6-0423f0aa0a29,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
3902ecec-c543-43c7-a51b-e35eb5ea8a27,__SIG_ATOMIC_TYPE__,"int
"
b691bb8e-0107-476c-92d4-9737a0c9f10b,__GID_T_TYPE,"__U32_TYPE
"
a5b0969f-207b-43c6-9e39-cdf9946679d9,UINT64_C(c),c
c46fd79a-526c-4cd7-9b3b-674fc55173c1,__DBL_MIN_10_EXP__,"(-307)
"
6329e034-df33-43be-a8bf-cb9df5052a8c,INT16_MIN,"(-32767-1)
"
d6e16240-91ac-4fd8-95c0-0677ed9edb21,ENOTTY,"25
"
c57f9614-9f5b-4954-999c-3e28ecc98c04,__FINITE_MATH_ONLY__,"0
"
9763e7f9-a3dc-4930-bbdd-49527253e1a2,__stub___compat_uselib,"
"
1c9d34f4-a67f-4ff0-9d33-988ad60f5335,__id_t_defined,"
"
8e5a5e67-d709-4c4f-ae3b-a1ff52a8c403,_BITS_ERRNO_H,"1
"
2dbf0a82-98ab-4a83-b471-ed67c234cc53,PRIi32,"""i""
"
7a884637-9b06-4b1a-9c93-892104effcd1,__attribute_alloc_size__(params),__attribute__
6bf95cf3-a994-4310-ba9e-93dca94ab949,__FLT32X_MAX_EXP__,"1024
"
e751842f-df9f-43ef-92c6-b915ad9d8043,EBADF,"9
"
9f45e2aa-9a0e-42b5-8831-b2b2344c97d5,__u_char_defined,"
"
98aec60a-af21-4dd7-a36b-b5c409698a3f,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_1,"1
"
25eff513-1792-43d2-b285-e3c91175f56b,__pid_t_defined,"
"
c880837b-beae-4e10-abfd-525bca2d1b2e,EADV,"68
"
5e7d9a6f-a445-454a-8fbc-90a27c914fa1,ERANGE,"34
"
950ce187-3cc7-4ce5-a83e-badd905e120e,__GNUC_PATCHLEVEL__,"0
"
1028731c-3010-4fc4-b680-50d104c23fe6,__FLT32_HAS_DENORM__,"1
"
c544dd6b-efbd-4da5-8f7c-f12062e274c1,ECANCELED,"125
"
b1290659-488b-454d-a0f9-3635fba0c866,_ASM_GENERIC_ERRNO_BASE_H,"
"
a9e6b4fc-ce1d-41b1-bc2d-4c0b039df8b9,__UINT_FAST8_MAX__,"0xff
"
e5d23d46-2270-4b53-9d47-a9f882f090a2,__LEAF,","
a1c527c1-7fc2-4af9-a0c0-52f21f9e0131,_THREAD_MUTEX_INTERNAL_H,"1
"
28a47076-5a99-4aaa-92b4-463b451a6940,"__LDBL_REDIR1(name,proto,alias)",name
f26e8ccd-97cf-4d2a-a6a4-24869fc86ffe,_BITS_TYPES_LOCALE_T_H,"1
"
1a8be0eb-d0b8-4522-baa3-a5d2427d48b1,UINT8_WIDTH,"8
"
2867e91a-c4d8-4302-96cf-42d50f9e478a,SCNdLEAST8,"""hhd""
"
d28e4a0a-a796-492d-a43c-b8a3c40a8c17,INT_FAST8_MAX,"(127)
"
834af21b-bb3c-413f-a608-0e5e3718f100,_WCHAR_T_DEFINED,"
"
47b2bce3-3790-4044-846c-f1ee2565b3c6,PRIX16,"""X""
"
15ff8647-6f87-43de-bf2e-06f474def999,ETXTBSY,"26
"
78c629a8-9eb1-4786-bdee-04dbde4402db,ENOMEM,"12
"
5f8a0355-f383-4ee6-96b8-98ea6729dc16,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
f6b6ca82-cc57-44b9-8b50-716c2701cb96,__INT8_C(c),"c
"
04d81fcf-406e-4f56-b70c-cc7ef2762f0b,_BITS_TYPES_H,"1
"
8d0f3103-a1a9-43cf-a170-817d28eb65cb,PRIXFAST32,__PRIPTR_PREFIX
de875b56-9a2e-4b24-a35f-53e2d9d0ad5a,__INT_LEAST8_WIDTH__,"8
"
1087fb8c-3241-46dd-9321-74788945e770,__INTMAX_TYPE__,long
de70625b-c638-4885-ad71-0973e20686a3,__UINT_LEAST64_MAX__,"0xffffffffffffffffUL
"
31cc4320-a809-4399-8384-5ac9b3b5438c,_ERRNO_H,"1
"
54e865bb-aa32-4ffb-9c8e-b3c4a4f9afbf,htobe16(x),__bswap_16
8dd1df61-9fb5-4755-b35d-11cc3a830880,NFDBITS,"__NFDBITS
"
94e4346a-a1d5-4cd5-b3d6-da90cab03bb3,__SHRT_MAX__,"0x7fff
"
05d70303-4f5a-4ab6-a092-c1498d6250a7,__STDC_ISO_10646__,"201706L
"
6de810d6-dc8b-4532-a78f-6f7f142bfb65,SCNd8,"""hhd""
"
917cd880-1941-40ed-b85e-1b91aa36f2a5,__LDBL_MAX__,"1.18973149535723176508575932662800702e+4932L
"
10ffd350-fae9-44b6-90a1-f7b0c436d1bf,__ARM_FEATURE_IDIV,"1
"
13090ebd-c678-4f55-82a0-39c4f385df01,__bos0(ptr),__builtin_object_size
f9c8d748-e194-4381-95fa-e4beb69e8893,__FLT64X_MAX_10_EXP__,"4932
"
bf231968-ee1b-43f5-81de-832af0024add,EKEYREJECTED,"129
"
7024e4ed-5341-4980-aab1-8b14cb889f25,__LDBL_IS_IEC_60559__,"2
"
621bef09-13a7-44fe-9c2c-b1ef57698fec,__ARM_FP,"14
"
33ede62d-e5fb-4f9d-826a-7e776a64924a,INT_FAST16_MAX,"(9223372036854775807L)
"
dbd3a78c-b544-45c0-8c6f-1c23247b4917,__FLT64X_IS_IEC_60559__,"2
"
b89a091b-f625-44c7-9d48-e932f00cc5a3,"__FD_SET(d,s)",((void)
ca0a726d-afae-4b5e-9cce-2282d7cd717f,__FLT64X_HAS_QUIET_NAN__,"1
"
773057f3-9217-4e4f-a9b8-d98b64bd4d30,__FD_ZERO(s),do
4b6a317f-0b55-4193-9ea1-307d4fde05b9,SCNd16,"""hd""
"
783c4cf2-ce7b-49c1-aebe-d4dbbec5879b,__WINT_TYPE__,unsigned
525778a1-bf73-4f97-9534-97102ccb6eb7,__UINT_LEAST8_MAX__,"0xff
"
cb94d8eb-a275-4974-b819-72aa7e3ea520,__FLT128_DENORM_MIN__,"6.47517511943802511092443895822764655e-4966F128
"
7937bef3-60c1-4964-b0cb-ba3083a8026e,__UINTMAX_TYPE__,long
061d99fb-25d5-4d59-a1b1-6ded4a184dc3,EINPROGRESS,"115
"
f065b8df-349c-4a40-8255-008159348cba,__HAVE_DISTINCT_FLOAT32X,"0
"
b7bde235-11b2-4646-b132-78c4cf51aa96,UINTPTR_WIDTH,"__WORDSIZE
"
ba855622-376c-401a-bc59-41542f31d0e0,_STDC_PREDEF_H,"1
"
a9fd7252-e4f1-4437-bf29-084c44027b89,EL3HLT,"46
"
4cba2017-7911-4a6e-8737-c87fb28b52fb,SCNd32,"""d""
"
a4ebcacf-1208-4a59-940c-138ca1b6a869,__linux,"1
"
a580e455-21c2-4f19-956b-f898361d1584,__PRIPTR_PREFIX,"""l""
"
19a08ab6-0c88-4220-b405-69b4d6d025b1,__FLT_EVAL_METHOD_TS_18661_3__,"0
"
1f80bf52-7f49-4261-9e13-28ab78444b9a,__OPTIMIZE__,"1
"
568efb72-6141-42f2-a4ee-87ad27961b61,__CHAR_UNSIGNED__,"1
"
d0183b2d-9d5f-4116-bef7-60b9ff06f72c,____gwchar_t_defined,"1
"
ffec3734-2fb3-4287-a16a-31e56e3a83e3,__UINT32_MAX__,"0xffffffffU
"
f6e56e7a-9c6d-4d60-b00f-512eaceaef75,__UID_T_TYPE,"__U32_TYPE
"
7845f1b0-8102-4886-8de5-17b8a6db4d1d,PRIxPTR,__PRIPTR_PREFIX
42e1825d-d3b5-4001-85f1-ab3306fdbc04,__DBL_DENORM_MIN__,"((double)4.94065645841246544176568792868221372e-324L)
"
db6cfdaf-07d7-429f-ab5f-56236d31c213,__AARCH64_CMODEL_SMALL__,"1
"
9316a798-0260-45df-80bf-2483382e10f8,__SIZE_T,"
"
a6d42145-a760-4f51-9af2-2e53efb08a3b,INT_FAST32_WIDTH,"__WORDSIZE
"
3e039bc4-b38c-4dbc-ac82-d46764c44943,__LDBL_MAX_EXP__,"16384
"
5ef329ef-1b9a-4603-adae-97636a4e3958,SCNo32,"""o""
"
f32acb9e-fa3b-4b35-8984-939448b24f6d,__INT_FAST32_WIDTH__,"64
"
126a0059-c640-492f-871c-36325223feb4,_ATFILE_SOURCE,"1
"
4ab51420-915f-496f-b8d7-6cf81c806ed3,__attr_dealloc_fclose,__attr_dealloc
e3c34b4d-0288-4cae-a412-6a312a91b752,SCNuLEAST16,"""hu""
"
7b9cb555-5c3d-4f68-a644-86aab6772d39,PRIXLEAST32,"""X""
"
996acbf6-dc2e-4628-8f3e-60a559b05f83,__FLT128_MIN_EXP__,"(-16381)
"
5795f0cf-0709-4a71-a0d5-33406027e754,__GNUC_VA_LIST,"
"
7edaef60-4ad8-4b1c-8cca-2a5803994cdc,__TIME_T_TYPE,"__SLONGWORD_TYPE
"
b6436d51-6957-4c9c-8b4a-7903828df2e4,UINT_FAST64_WIDTH,"64
"
553fcefd-bf57-4884-9310-e8c5f5b83a23,INT_LEAST8_WIDTH,"8
"
37ea56e0-c89e-428c-8a3c-c20ad95f5d10,PRIxFAST8,"""x""
"
b8d48b7b-8f58-4ed1-9d18-462156df7daa,ERESTART,"85
"
f6c38615-bed7-445c-ae8a-5fd910c09ffd,__SIZEOF_PTHREAD_RWLOCKATTR_T,"8
"
08f90eff-0475-4fcf-b7a7-0aced672beac,UINT16_C(c),"c
"
0afbec08-89ad-48e9-946e-bbb946ca8a53,__always_inline,__inline
b990ccf9-a756-43fe-a5ce-d3d22407670d,SCNo8,"""hho""
"
41851ae8-dd9f-4527-8ee7-6b9678b93f62,__FLT128_MIN_10_EXP__,"(-4931)
"
6abebcdb-9dab-4ce5-adb0-fc92cefe8b4c,__FD_SETSIZE,"1024
"
2ebc6aff-79d2-4c12-b194-d55ec561d39a,__FLT32X_IS_IEC_60559__,"2
"
87939b2a-5dee-47f3-bbcd-aa36847d5b6b,__KERNEL_STRICT_NAMES,"
"
680f60de-78ff-4442-bb9e-7cd564885cc5,SCNo64,__PRI64_PREFIX
dc05115d-e4a5-4d2c-8ec1-a5316e888667,ENOMSG,"42
"
e1eee469-16d7-45be-8037-05c2b213dc18,ESNOTFND,(
87a8fc88-4f79-4db8-bddb-42cdeda57339,RENAME_EXCHANGE,(1
2eccddf9-e491-4d04-8f13-37bc3daad5f7,__INT_LEAST16_WIDTH__,"16
"
18f31043-aa89-4ae1-b956-9aaad77eac17,_SIZE_T_DEFINED_,"
"
a0bca46a-4cd0-440e-8712-a9e2f5594a67,"__LDBL_REDIR_NTH(name,proto)",name
02f00c37-2a17-418d-a721-232e731c0da6,__SCHAR_MAX__,"0x7f
"
deedae4b-f7c6-417c-b9b2-2da0050028f3,__FLT128_MANT_DIG__,"113
"
0ac42481-d865-428f-985a-9494d252c656,EALREADY,"114
"
4a496c3a-c314-4bad-b60e-fdeb4a267c02,__DBL_MAX__,"((double)1.79769313486231570814527423731704357e+308L)
"
deb2a89f-1339-42c7-bb29-5812fd3f3fc4,__WCHAR_MIN__,"0U
"
