id,name,value
44e9707b-5a91-40ec-96bd-581d07791465,ESBADFMT,(
9aff51eb-15c2-4102-85cb-dea83bca93d5,__SSP_STRONG__,"3
"
f57659ff-6485-486a-bf0d-d2afffc9a25e,__attr_access(x),__attribute__
2aac2561-18da-4844-82d3-5faa826c1612,__DBL_MIN_EXP__,"(-1021)
"
7b62e5d6-8c17-4089-9720-799a8df4eb4f,__SAFE_MEM_LIB_H__,"
"
e12d5de9-5c82-48e0-b7a8-fc9731d20201,__LDBL_MANT_DIG__,"113
"
94926d30-3302-4823-a5fe-c62b84ef25ee,__UINT_LEAST16_MAX__,"0xffff
"
ca034ecf-46cc-4b19-92f1-d932764f91c7,_STDBOOL_H,"
"
cdc2ffde-3d3f-4e16-a2e5-ab12c10ce110,__ARM_SIZEOF_WCHAR_T,"4
"
276cbaf7-52b2-4f77-beba-1000d4ce9759,__DBL_DECIMAL_DIG__,"17
"
b9b23682-e0f5-4c5a-8ba8-f4049d4d056f,__ATOMIC_ACQUIRE,"2
"
b451510a-32ef-4166-9852-e281b35874e6,__FLT128_MAX_10_EXP__,"4932
"
a850f9b9-6ae2-43f3-8d99-770456e04732,__off64_t_defined,"
"
d9ec273e-2465-4763-8f36-c3282fa209f7,PRIXFAST64,__PRI64_PREFIX
7d9bd649-3911-4dbb-bc17-b2fadf4902af,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
da2b7cc6-4f0e-4ad3-8019-396b7676faef,__GCC_IEC_559_COMPLEX,"2
"
d786cb6d-3171-40ae-b2cb-9180b8132ace,SCNiFAST8,"""hhi""
"
919fac9a-23ad-40cd-a9f3-ca0cc4f3281e,__NFDBITS,(8
6b007dce-1c22-4b26-9e5a-111637a7495b,__GLIBC_USE(F),__GLIBC_USE_
ce419bde-7edc-4da8-b372-10fb5014b06b,__UINT_LEAST8_TYPE__,unsigned
2cd95d0d-643e-4dee-8b21-79341ccbe284,_T_WCHAR_,"
"
eac41a22-b110-4b0e-90d3-b4fd86563d4e,EUNATCH,"49
"
c9aacff5-0374-4447-8584-26f4a7c05fbc,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
c1a05f0f-a6ba-4c80-9c86-79873f9d2ce8,SCNuMAX,__PRI64_PREFIX
a7979ab2-56c7-410f-b39c-65cee7b55a9e,INT_LEAST16_MIN,"(-32767-1)
"
9daeb3c4-5b04-4854-9c53-ab20844eb627,__CFLOAT64,_Complex
c54df626-3ddc-44dc-8239-43e6192f63e3,ENOCSI,"50
"
64ac84dd-2ab2-4b12-b698-0870a1cbc8b6,__stub___compat_get_kernel_syms,"
"
860b9adc-dd7c-4523-954a-47a9b78aa668,__S64_TYPE,long
b75b4ed4-6b54-40d9-b451-56e709dc30d0,_PRINTF_NAN_LEN_MAX,"4
"
e783f0df-bbae-407e-ae46-6584efa95ea6,__FLT128_DIG__,"33
"
a67438d4-809a-41bd-86e2-c57da33651d0,__stub_fchflags,"
"
d7ad6227-1ba0-4d13-8417-4c530e1970b7,__SQUAD_TYPE,long
5e48b7a4-eb0e-47ec-9bf6-92a247f74c70,__INTMAX_C(c),c
