id,name,value
d713df05-9020-41c9-b82f-44afca20746c,ESBADFMT,(
ee5c6d12-4ed1-4237-8ccb-27ffed188512,__SSP_STRONG__,"3
"
2132fec9-88d8-4da4-8c04-ec2be99dd371,__attr_access(x),__attribute__
4b2e98ef-0e71-4b87-9305-b2ac8300e8f0,__DBL_MIN_EXP__,"(-1021)
"
f8990b8a-abbb-402d-b6b5-748259413b41,__SAFE_MEM_LIB_H__,"
"
dc55de56-7244-48ed-b4b7-f6b9251eafda,__LDBL_MANT_DIG__,"113
"
73d9cfb8-f522-4685-bdec-4c03547968ed,__UINT_LEAST16_MAX__,"0xffff
"
72f138d0-1800-4e41-b69f-d24cf784987d,_STDBOOL_H,"
"
5272444c-4cec-4c3e-9dec-cb32a740bd2a,__ARM_SIZEOF_WCHAR_T,"4
"
2cf5dd64-b56a-499b-b379-2e0399c24871,__DBL_DECIMAL_DIG__,"17
"
2d7a5344-d3b4-49ab-9a78-77cc14393688,__ATOMIC_ACQUIRE,"2
"
9bc4646d-54c6-446b-a67c-ac171c398494,__FLT128_MAX_10_EXP__,"4932
"
2c79886d-7c3d-43ab-9322-3c6066263807,__off64_t_defined,"
"
94c82427-b603-4dd1-bd5f-a889259b22a6,PRIXFAST64,__PRI64_PREFIX
b95b3c76-c138-4e5a-ad83-1121fcd5b726,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
540a33e7-d53d-4d3c-be2a-d08617336d48,__GCC_IEC_559_COMPLEX,"2
"
49f983e3-6958-46a4-afb8-49f01fd27155,SCNiFAST8,"""hhi""
"
d35b18a0-6cdb-4d5d-a834-253863ca764d,__NFDBITS,(8
8b4a6a2c-352b-4518-9785-e7979ae650a5,__GLIBC_USE(F),__GLIBC_USE_
2949981b-a617-4b5c-a234-d733cb6b570e,__UINT_LEAST8_TYPE__,unsigned
51693aab-4093-4461-981a-1c5e7e3adae9,_T_WCHAR_,"
"
3c16ebd3-0d92-4f25-ae33-92930a81c890,EUNATCH,"49
"
7432a137-cbf0-44d2-af9e-8045dd7f289c,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
01345a6e-dee9-4d82-b942-61861d976663,SCNuMAX,__PRI64_PREFIX
cfc33eb4-d687-4791-a16f-d4e3649ac24b,INT_LEAST16_MIN,"(-32767-1)
"
df9482be-38a7-4ecf-9b46-7b62f3036163,__CFLOAT64,_Complex
761eb3ae-8717-4414-98f7-dfe27008405d,ENOCSI,"50
"
03f40a66-7f6a-4d17-94b7-eff1c2b8feea,__stub___compat_get_kernel_syms,"
"
a35d3fee-ddf0-4d18-b90a-38e8fe96ad2e,__S64_TYPE,long
b507a57c-2f86-4624-9ace-02be3fbfba38,_PRINTF_NAN_LEN_MAX,"4
"
509bb6bb-e512-4a6a-b257-06f856438fc8,__FLT128_DIG__,"33
"
cae333cc-39e8-402c-a8d5-df36aa9c782e,__stub_fchflags,"
"
af04e7c4-9cc9-4033-8f6c-7590e67f6c40,__SQUAD_TYPE,long
b24252f0-c02e-4464-99fc-7d89f229c7a3,__INTMAX_C(c),c
38896827-01d5-472a-ba14-3bdfcb73d372,_BITS_FLOATN_COMMON_H,"
"
635792d1-b4e8-47e9-8a57-e78883e06533,__GNU_LIBRARY__,"6
"
43ae81f2-8fb2-4c65-bc94-50b41558baf0,__SAFE_STR_CONSTRAINT_H__,"
"
db30c828-16da-42ea-85d0-c182133da1e1,__CHAR_BIT__,"8
"
6f875ec3-b655-4cf6-bf32-a0003bf5b738,__FSWORD_T_TYPE,"__SWORD_TYPE
"
a805220c-4709-4b55-b6df-146e6fed3fc6,EAFNOSUPPORT,"97
"
b622a5ba-5999-44ac-b028-e35575daf90a,EREMCHG,"78
"
c291fc20-895b-4923-bf47-6f59502dbc85,__attribute_pure__,__attribute__
42b404fa-2ced-448d-9dd5-84b2049f44b4,EACCES,"13
"
062c0317-b4c6-4459-aa3b-8d2b6d164dc1,__UINT8_MAX__,"0xff
"
30574af5-235e-4093-8da5-e79416935c67,WCHAR_MAX,"__WCHAR_MAX
"
faf7a6a2-cc42-4d47-a204-0efd6e295b6c,EDESTADDRREQ,"89
"
cfbc2628-67f5-4ac7-b352-2588f726dbf4,__feof_unlocked_body(_fp),(((_fp)->_flags
d5d0c109-0518-4e57-8a82-581b8d6750e9,__sigset_t_defined,"1
"
e31cbfaa-3f64-4b34-b908-d01fa65dbd9c,__SIZEOF_PTHREAD_ATTR_T,"64
"
47f65d19-e815-40a2-9f80-20788101c053,INT8_MAX,"(127)
"
23c9be11-49e5-4219-b887-a830cf7e466a,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
75d0e28f-2f1c-4e47-a353-6685a2c49e4b,__HAVE_FLOAT16,"0
"
7a75768e-5fc0-4d6d-9f88-2233d18e5d62,stderr,"stderr
"
819ca283-0fc5-43cf-a684-3d1acb05b6d9,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
97aa6dc6-52e2-4cb9-ab35-1e1869166d0f,_XOPEN_SOURCE,"700
"
0b448087-6916-40d4-a656-983ad52254ae,UINT_LEAST32_WIDTH,"32
"
e7c7959d-1623-44cc-bbb4-bf46afb30592,EILSEQ,"84
"
04131052-75f2-4329-833a-28de95ba8be8,ESPIPE,"29
"
8e7d67e1-d262-4136-9804-47ad86320ced,INT32_MIN,"(-2147483647-1)
"
feae3e98-9d8f-4c88-a411-58cd7879e0cb,SCNxFAST8,"""hhx""
"
