id,name,value
eda4bb93-6d2b-4963-953c-fc98db791c0a,ESBADFMT,(
7d7409e1-0b49-47df-bbff-9fe81efe57ca,__SSP_STRONG__,"3
"
729040e1-1d3e-4923-8b9b-f03a3e7de54e,__attr_access(x),__attribute__
15a53e42-6521-4e65-b3e0-6c5f8a8e5a2a,__DBL_MIN_EXP__,"(-1021)
"
c1cc35a3-ea89-406c-a0c1-7e7d34637d1e,__SAFE_MEM_LIB_H__,"
"
1354140e-8605-4662-b6e8-6f02ebee6fdc,__LDBL_MANT_DIG__,"113
"
1c30e6ed-78ea-447a-a28d-067b9dfd4004,__UINT_LEAST16_MAX__,"0xffff
"
03750388-9e07-4462-986a-2eaddb5d15e0,_STDBOOL_H,"
"
40ba04ab-8b2d-4e38-a9a3-16ee67fbfce8,__ARM_SIZEOF_WCHAR_T,"4
"
cdef9146-522b-4be4-a50f-0935d86ac519,__DBL_DECIMAL_DIG__,"17
"
457e05f3-74d0-42f8-a7f8-4b0394e7e22d,__ATOMIC_ACQUIRE,"2
"
914eebbf-8325-440a-b09a-1215c888b1c4,__FLT128_MAX_10_EXP__,"4932
"
3247f37f-65db-4cf1-8cf5-472ad45786cb,__off64_t_defined,"
"
f59b618a-2646-49df-a485-46183f59d456,PRIXFAST64,__PRI64_PREFIX
f4033242-1901-4fcc-b692-e21ec7a0daf0,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
513e53f0-9f54-4a70-a7c3-2424c081bd9a,__GCC_IEC_559_COMPLEX,"2
"
f24bd776-ce49-4c62-b1e3-b8e5bdb81b48,SCNiFAST8,"""hhi""
"
c98aab34-454d-4f91-ba93-7323210d6832,__NFDBITS,(8
141ecf84-2bcc-410d-8aaf-2e87a147de16,__GLIBC_USE(F),__GLIBC_USE_
0781997e-0d1e-4556-a59c-045864cb5507,__UINT_LEAST8_TYPE__,unsigned
16d4e616-1396-447e-b1f3-b7a41d51a2b5,_T_WCHAR_,"
"
59f4d788-1037-4370-ae5b-cb6d3a7b1e72,EUNATCH,"49
"
c5c1dc61-8fbe-4fd7-824d-4a0b6804dd7c,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
