id,name,value
946966f1-3f13-493d-864c-dfd431c366de,ESBADFMT,(
8c19e711-3504-4c27-91ac-cc52ab2a8eda,__SSP_STRONG__,"3
"
08e977dd-c6dc-4c6a-8db9-49ebc7761be8,__attr_access(x),__attribute__
9fd40b10-a33e-4c38-b4e4-32cbfbc9ee56,__DBL_MIN_EXP__,"(-1021)
"
65d97587-662b-4533-a510-6be1d85a9e30,__SAFE_MEM_LIB_H__,"
"
88926a34-b576-412f-8f36-49724319349c,__LDBL_MANT_DIG__,"113
"
fb3060bb-83ec-4ba9-b8a3-71afd8da6c9e,__UINT_LEAST16_MAX__,"0xffff
"
022e7b04-3710-451f-8957-a47d9c264e1a,_STDBOOL_H,"
"
425a0b53-d6bd-4cb1-8fa8-03eca915f4e0,__ARM_SIZEOF_WCHAR_T,"4
"
b1aaa8b9-1761-4700-bd19-9df4099ccc0e,__DBL_DECIMAL_DIG__,"17
"
7e3f9079-d392-4d4f-a69b-a667524b6eb6,__ATOMIC_ACQUIRE,"2
"
819dbc95-bacd-41e3-9b33-032ca000160c,__FLT128_MAX_10_EXP__,"4932
"
1a8f15e6-8b4b-4ff4-9b0e-9b03773c657b,__off64_t_defined,"
"
daffa863-9c12-4ce4-9157-4f8339c8f86b,PRIXFAST64,__PRI64_PREFIX
ceee66fc-acf8-4440-960f-d4cbca017b14,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
3f47c966-c071-4b20-a392-929284bb84f6,__GCC_IEC_559_COMPLEX,"2
"
b13e494c-e60f-49d5-8bad-b7f4cb6c762b,SCNiFAST8,"""hhi""
"
7202ea46-5ddd-473b-883d-a42395916440,__NFDBITS,(8
b161fb79-b734-447d-9968-5602d1a51185,__GLIBC_USE(F),__GLIBC_USE_
f29e591a-b156-41f6-8f09-8aa9be3d5815,__UINT_LEAST8_TYPE__,unsigned
8e8142bc-d53e-4aa1-966f-6e146962f69b,_T_WCHAR_,"
"
da79d8b5-b9c1-4992-871e-23a521dde6be,EUNATCH,"49
"
9dc052d3-1c1d-4893-ba1d-829fc4bfce90,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
bb82d1dc-f70d-46bf-af77-1355d4b2155e,SCNuMAX,__PRI64_PREFIX
dfca9d0f-cc5e-4e97-b09b-93c3d9fa89c0,INT_LEAST16_MIN,"(-32767-1)
"
c627df28-8ba8-4ee0-9e79-6b6989dc3ba0,__CFLOAT64,_Complex
3592bd21-f517-4378-aad6-cb4dfe828e95,ENOCSI,"50
"
52b70507-ed85-4950-80ba-7754562e91af,__stub___compat_get_kernel_syms,"
"
b90284ed-cc9e-4958-a66e-80e05025259d,__S64_TYPE,long
d592aa45-e2f9-41a9-94b3-f9ecf6e4cf9d,_PRINTF_NAN_LEN_MAX,"4
"
28e4a924-587f-4932-bd2b-409e6864abad,__FLT128_DIG__,"33
"
12738168-e519-4a22-995a-2f32f774f183,__stub_fchflags,"
"
ce920e93-9503-4229-99b5-1fd20a2b1737,__SQUAD_TYPE,long
e8adc5a6-d850-4501-bb12-399122fa5d71,__INTMAX_C(c),c
c90f0dc7-084b-4ec0-a66a-86b152435e5a,_BITS_FLOATN_COMMON_H,"
"
88258164-acb5-4526-8d63-1b4d733b2169,__GNU_LIBRARY__,"6
"
049ed8bc-6fae-4110-b7e4-717ae2b30cf9,__SAFE_STR_CONSTRAINT_H__,"
"
fa61d6ce-e32b-4ec5-8041-4beda9954bee,__CHAR_BIT__,"8
"
8fe59da0-e0e6-47b1-89ef-89a05f123fe5,__FSWORD_T_TYPE,"__SWORD_TYPE
"
ed83303e-5487-492c-bb40-1f6683ea01c4,EAFNOSUPPORT,"97
"
