id,name,value
8694b115-69e4-4420-8543-0c8396dce774,ESBADFMT,(
44246b37-4aaf-4bb7-896a-50b2bf38e282,__SSP_STRONG__,"3
"
9e8f88c5-fe0a-4182-b668-4cfa023cbf1f,__attr_access(x),__attribute__
470ce0c8-f91c-44b8-9528-296380262ce7,__DBL_MIN_EXP__,"(-1021)
"
34198aaf-e088-4a17-9918-6943252354a9,__SAFE_MEM_LIB_H__,"
"
0da848e8-1348-459c-9508-e2e24d053d8b,__LDBL_MANT_DIG__,"113
"
f2b3a95d-7f37-4907-92c2-a56ae090c3da,__UINT_LEAST16_MAX__,"0xffff
"
3ecf64f9-d479-4ab9-ada9-88ffa18f92b1,_STDBOOL_H,"
"
e8d14edf-da87-4a35-8d97-7c0d7fd0f1b4,__ARM_SIZEOF_WCHAR_T,"4
"
c3fe5dc6-210f-4f82-8f87-8c31aa23f986,__DBL_DECIMAL_DIG__,"17
"
a8c13c40-47ed-4ba0-9c2c-3fcb2e443d17,__ATOMIC_ACQUIRE,"2
"
96492abb-24bc-4118-b0a7-c30acb13d284,__FLT128_MAX_10_EXP__,"4932
"
387f0db6-99da-4998-9d52-cb8e6378eeaa,__off64_t_defined,"
"
dd5eafa6-786f-4940-9ab7-d87560a75eea,PRIXFAST64,__PRI64_PREFIX
45758cf0-1327-4026-857b-02d2f0787c59,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0b9dd204-1dc6-4bde-948b-cf18c648d060,__GCC_IEC_559_COMPLEX,"2
"
e2a450d8-fc51-48a4-9c70-ee7534e4c811,SCNiFAST8,"""hhi""
"
b31b15ee-0b2a-4e52-b8e6-cbaf749389af,__NFDBITS,(8
26f5751a-bfdd-4445-97ad-69be36db74e8,__GLIBC_USE(F),__GLIBC_USE_
bcd9be57-a7d5-4c57-8c9b-baa119aa04ca,__UINT_LEAST8_TYPE__,unsigned
6e355098-d0f9-41dc-a14f-4514ed92d1ce,_T_WCHAR_,"
"
5559f3df-1246-4710-95f2-71fec3e3e104,EUNATCH,"49
"
bce7f027-9683-45c4-951a-b98c42e6a5ca,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
dd692453-7c29-4661-8036-7f843275b288,SCNuMAX,__PRI64_PREFIX
721a864d-802c-4639-a6be-818e8d1143b4,INT_LEAST16_MIN,"(-32767-1)
"
36e50cdb-cfbb-4dd3-91ff-dd0b2b58c55e,__CFLOAT64,_Complex
13431431-c4f6-4b5c-adb5-e48312984ce4,ENOCSI,"50
"
d7dcd311-d6e7-42f3-ab8c-263c1dd8682a,__stub___compat_get_kernel_syms,"
"
871ef7b1-6994-45a8-beb2-b4abb27b780d,__S64_TYPE,long
b0faf7f5-1ff7-409a-bea9-6966d8a616af,_PRINTF_NAN_LEN_MAX,"4
"
2cdd08d8-4be8-4a85-8d0c-c7ce6fd6a8d6,__FLT128_DIG__,"33
"
ce61dd77-f0de-44e9-923d-ffe249819c07,__stub_fchflags,"
"
6f3ee853-8a4a-4bcf-91c0-3a0bd338e2cc,__SQUAD_TYPE,long
48144d60-ffbd-45d0-861e-3665af46ea1b,__INTMAX_C(c),c
