id,name,value
0b6fcda5-5d66-4eb9-b7d3-61a5b53f0175,ESBADFMT,(
bf23ceed-7ea8-47a7-b260-0c043aea6852,__SSP_STRONG__,"3
"
bbd52804-7402-4ae3-baff-0128e75becf5,__attr_access(x),__attribute__
96fb8a83-d9db-42f5-814d-438ef0c2c70c,__DBL_MIN_EXP__,"(-1021)
"
5d731bfc-792c-4926-8df9-13d8bc98d015,__SAFE_MEM_LIB_H__,"
"
af8805be-95aa-491e-939f-37bf3106674a,__LDBL_MANT_DIG__,"113
"
1da26bf0-c221-4c8a-ae06-c32baa18e1c7,__UINT_LEAST16_MAX__,"0xffff
"
bdcb0e84-7ab9-4e9a-86b2-057706673cd6,_STDBOOL_H,"
"
40d14695-dd43-4da4-9983-8fbd6b0cbb68,__ARM_SIZEOF_WCHAR_T,"4
"
3935d2af-a2c2-4e7e-912d-e3cf8681322e,__DBL_DECIMAL_DIG__,"17
"
6529f4f3-ba93-44f8-a7f2-fbcf07910341,__ATOMIC_ACQUIRE,"2
"
c5ca55ff-550b-47c6-b201-5403725e2e84,__FLT128_MAX_10_EXP__,"4932
"
3b447b12-962d-4cbe-8bfd-45dc73a0585d,__off64_t_defined,"
"
a1c5a1c6-8d21-480f-ab39-71b9c3297a88,PRIXFAST64,__PRI64_PREFIX
c95d6041-0acf-486d-b1a7-b2ffcd1e1e44,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0d1c4b07-cff3-422b-8036-294acbb86b5d,__GCC_IEC_559_COMPLEX,"2
"
9d0781a6-c59c-467b-a11a-fd8bc1501cda,SCNiFAST8,"""hhi""
"
afd7416f-ca51-40d3-ab79-6e9e29c923db,__NFDBITS,(8
c747deb0-41a0-4d5c-9d00-ece5a2bb04a2,__GLIBC_USE(F),__GLIBC_USE_
74ce3378-6dd4-4e02-be04-e362fbf41156,__UINT_LEAST8_TYPE__,unsigned
1e59c094-cf32-43fc-84fd-b7ccb4840b88,_T_WCHAR_,"
"
e6e03222-1986-437d-ba44-0a379bcf9cfc,EUNATCH,"49
"
7801b012-d500-4404-8226-4573475401a3,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
1fef32ac-318e-480a-b621-3e5d1fa85cd2,SCNuMAX,__PRI64_PREFIX
60e29b33-979b-4f6f-b987-f1519ceac7f0,INT_LEAST16_MIN,"(-32767-1)
"
188aff52-344a-4fcd-8a45-1a3b0bd2bec2,__CFLOAT64,_Complex
ae322862-ddff-4be5-9884-821619ad53d4,ENOCSI,"50
"
cb227a60-5b73-4365-af19-5d8db518e070,__stub___compat_get_kernel_syms,"
"
7818e731-60ef-474a-95ef-401a6347e20e,__S64_TYPE,long
b262ccda-ad46-4d78-82c2-678e69227082,_PRINTF_NAN_LEN_MAX,"4
"
9528adbd-e9db-43ce-9ce5-7724481875a3,__FLT128_DIG__,"33
"
a82e6e21-d232-4a97-b6b8-e526f2f579e3,__stub_fchflags,"
"
f42e2654-e8a5-4650-bf68-cb466d15e0c3,__SQUAD_TYPE,long
7d685963-81cb-4f6c-91d6-bca8ad83b017,__INTMAX_C(c),c
5c5318ca-1a18-4e9a-8987-cd814cb179b2,_BITS_FLOATN_COMMON_H,"
"
ca071f6a-413a-49ee-8667-254389cd53d0,__GNU_LIBRARY__,"6
"
f93541dc-1d17-4f67-9a76-1b3b11514466,__SAFE_STR_CONSTRAINT_H__,"
"
170a2597-2ee0-4e68-9d48-1c7835339391,__CHAR_BIT__,"8
"
6d769957-44e1-4572-8e98-802dee35430d,__FSWORD_T_TYPE,"__SWORD_TYPE
"
03cf295b-4787-4ce9-a595-22325b20a38f,EAFNOSUPPORT,"97
"
4772d85f-4455-4d9c-b673-13774b4ef5f2,EREMCHG,"78
"
fd7a7ad6-09ca-4a38-8212-0321b802ce74,__attribute_pure__,__attribute__
1e17b95f-552e-4d2c-95c2-5912daa6c960,EACCES,"13
"
9e32ab21-2e4a-4e4d-b2e2-0bfa5bbdfed2,__UINT8_MAX__,"0xff
"
34e612ee-c0b8-4935-9d3e-fb4af47864a0,WCHAR_MAX,"__WCHAR_MAX
"
6cbe7299-c7d6-4817-894f-9505cd5d6978,EDESTADDRREQ,"89
"
12ff5954-67e2-4f37-b410-56089a606fa4,__feof_unlocked_body(_fp),(((_fp)->_flags
041542f6-1a2a-4efc-97e5-0d715019b118,__sigset_t_defined,"1
"
77ea029a-acfd-4180-beb5-42a6e9aef912,__SIZEOF_PTHREAD_ATTR_T,"64
"
270e7f2d-9173-466a-bab4-0fbf489152c1,INT8_MAX,"(127)
"
c59e3932-1ba0-4225-afb5-2ed12b91ef12,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
594c4c28-1e08-4d2b-96f7-bf878c113b6e,__HAVE_FLOAT16,"0
"
e128af76-886b-4cf5-9fb1-25f53703dafa,stderr,"stderr
"
eedc71a2-d7b9-40f1-b04e-04a30a13b9ee,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
a147851c-466b-4656-a206-1edbfc339153,_XOPEN_SOURCE,"700
"
c055301e-ce7c-4d81-a2cb-e49f2b5c0866,UINT_LEAST32_WIDTH,"32
"
0edb5fbd-3221-4719-a010-4fecdae94cdf,EILSEQ,"84
"
b0fa6dd6-cd44-410d-87d7-db274a95c2e9,ESPIPE,"29
"
d643e9fa-4a16-4479-9deb-babb7fa67b22,INT32_MIN,"(-2147483647-1)
"
e40d8b54-ff8d-4ad8-99d5-b0382afec8d8,SCNxFAST8,"""hhx""
"
c89a2f5d-6f7e-4079-9d08-689dec0cdcf8,EPERM,"1
"
4a673f46-5fde-422f-9aa0-cbe8c0c062bf,__OFF_T_MATCHES_OFF64_T,"1
"
b4b37859-dd8a-4e39-958f-9578e6cf0636,EMLINK,"31
"
11622817-8421-4201-9f90-c479de4447ce,UINT_FAST16_WIDTH,"__WORDSIZE
"
b42e013d-aed9-4a57-8344-926d4b0efd9b,PRIdMAX,__PRI64_PREFIX
fca64400-55d5-4d4d-8eb8-8be407be4d0d,__WCHAR_MAX__,"0xffffffffU
"
b9b28a0e-4c62-4ecd-a0d3-b71be5cc2103,ENOSR,"63
"
f1843d4a-fb51-4111-b0d8-8583127d3803,INT16_MAX,"(32767)
"
af6e850f-43c2-4680-95a1-c44abb8c9a6c,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
c90d2754-6164-406d-a171-f8bf65347379,__STATFS_MATCHES_STATFS64,"1
"
51eaed1e-e7ce-47ff-a9bb-6aacd7804e50,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
c5ea30bb-ba43-409e-ab95-3e6705ab3680,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
93a465de-a7af-4af2-b3c4-d536530b5147,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
eca5da5c-1f75-430a-adcf-43d0abbefa78,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
7a95d7eb-df60-487b-b6e1-48c6eb80cb45,__GCC_IEC_559,"2
"
b114a2da-8493-45c0-a5fd-34da726ad7a3,__LITTLE_ENDIAN,"1234
"
351a4775-a768-455c-af7d-1d97b5327eff,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
2e80f37e-d2c2-4549-aa3d-2136f6dffaea,__FLT32X_DECIMAL_DIG__,"17
"
09904e5d-dcfd-4e8e-b872-720fea72e5ef,_IOFBF,"0
"
00e093b1-fff2-4178-bc04-73759957e1be,__FLT_EVAL_METHOD__,"0
"
72fe05fd-5db1-4324-bb49-011e5dea376a,EL3RST,"47
"
aa89eeb5-a47d-41bf-95ad-22455e981d61,_IO_USER_LOCK,"0x8000
"
4aeef777-b409-4bbd-a1c1-411a336c4deb,"__ASMNAME2(prefix,cname)",__STRING
4e5b8f6a-ba73-4465-8aac-bc59c17bfda9,INT_LEAST32_WIDTH,"32
"
