id,name,value
ceb5f136-f3cc-42b3-a8e1-0464f6dfbecd,ESBADFMT,(
ba38caff-31c5-43a0-b46a-6677c4b76ae5,__SSP_STRONG__,"3
"
356f80be-9e9b-4e0d-8abb-657fc7fc1e8f,__attr_access(x),__attribute__
1875b4ef-7e5f-4777-a5e0-c1d9809e51e6,__DBL_MIN_EXP__,"(-1021)
"
4e2f2325-8e3c-41b4-9a18-bfa57fc6d684,__SAFE_MEM_LIB_H__,"
"
5e5bd495-f371-48bf-9cdf-a5d63e21888f,__LDBL_MANT_DIG__,"113
"
262a543c-9e06-4ab7-ba15-aaaaacc7ab26,__UINT_LEAST16_MAX__,"0xffff
"
56ea01ae-e546-4829-b1df-78e8c5685dc9,_STDBOOL_H,"
"
7d5a488b-ae6b-4b99-a0fe-acd115d958cb,__ARM_SIZEOF_WCHAR_T,"4
"
99633be2-8b1a-4ba4-8e93-343ae8466c96,__DBL_DECIMAL_DIG__,"17
"
5cc65356-3c17-4c44-89ea-e0463bab0ec0,__ATOMIC_ACQUIRE,"2
"
839d4f92-fa4a-4af3-9ce6-92ef3df95c06,__FLT128_MAX_10_EXP__,"4932
"
443277b1-cbf4-4436-8ad9-5670f7c25f78,__off64_t_defined,"
"
439da9b9-ca9c-4e7e-9da7-4dcb11ad0452,PRIXFAST64,__PRI64_PREFIX
308e0914-bf40-4d49-b090-e7ba485f467c,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
2e4329c9-1f26-48dd-b632-2701ca7d7de0,__GCC_IEC_559_COMPLEX,"2
"
01e87fa2-8403-402d-be23-e4bdd2a0fcef,SCNiFAST8,"""hhi""
"
c70fbc9c-f5c7-4dc5-828b-32ddd22b25dc,__NFDBITS,(8
1b68fb8e-8ee9-46a9-9224-8e4008c8e973,__GLIBC_USE(F),__GLIBC_USE_
2f59ff67-6b5c-44c9-846d-80dc4fe3b901,__UINT_LEAST8_TYPE__,unsigned
82386884-5146-4bce-99c2-b73cab3acddf,_T_WCHAR_,"
"
768dbd1b-3bb1-46e7-8abf-7602a38ee5d2,EUNATCH,"49
"
227b8260-5241-40ce-9688-8eb9a2e6ad73,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
cb3cbe62-0b4a-4fe0-b269-af7e7fb6bc11,SCNuMAX,__PRI64_PREFIX
b7cb10c8-d559-4fc6-963e-58a91e511cfc,INT_LEAST16_MIN,"(-32767-1)
"
a6e695f9-872b-43d6-9106-e0b7875e99fe,__CFLOAT64,_Complex
3364e9c7-e4e8-441d-af26-47350fa2ff68,ENOCSI,"50
"
4d6e0d4e-b092-479b-9c7f-5919ecce232d,__stub___compat_get_kernel_syms,"
"
5fe66773-5055-4003-875d-ba338d8ea672,__S64_TYPE,long
140a0335-062f-49fb-ba4c-41c77eb31026,_PRINTF_NAN_LEN_MAX,"4
"
d157722c-412e-44eb-a8f1-4d254cc167f1,__FLT128_DIG__,"33
"
c1e64d50-3109-49ba-b225-fd785e70811e,__stub_fchflags,"
"
fdbd14cf-6226-4b05-b349-fc3587b9b77f,__SQUAD_TYPE,long
61d73a56-6956-4867-bf66-9f7ccffc74ec,__INTMAX_C(c),c
7d7d7be1-42b6-4477-a62e-d3db7af2e011,_BITS_FLOATN_COMMON_H,"
"
fe15dad4-0aa7-4607-95fb-2865455d5779,__GNU_LIBRARY__,"6
"
c9a1d980-0cf5-4723-b5c2-b6c1df96381b,__SAFE_STR_CONSTRAINT_H__,"
"
68cabd2c-c6fe-4638-a57f-59b87979ecac,__CHAR_BIT__,"8
"
