id,name,value
c6eb5dc4-d774-435d-b267-3a50075fe583,ESBADFMT,(
8d9572ac-9fa0-428a-9de3-d17d7bcd9281,__SSP_STRONG__,"3
"
ef75c6d8-5ff0-4769-bc0f-03942c4656fb,__attr_access(x),__attribute__
3fbba531-e566-4795-bee5-8dbae9df31ad,__DBL_MIN_EXP__,"(-1021)
"
d96cd698-a4cf-4961-aecb-ad0947e81e8f,__SAFE_MEM_LIB_H__,"
"
8f75e897-ff07-4403-b017-99b29ae9ddfa,__LDBL_MANT_DIG__,"113
"
c03ddb9b-62b1-4204-84c9-7037a8b26502,__UINT_LEAST16_MAX__,"0xffff
"
09e5fe4a-087b-4c7d-97ae-cffd08cafea3,_STDBOOL_H,"
"
21079d98-21c6-466e-82d4-f806be161434,__ARM_SIZEOF_WCHAR_T,"4
"
8172efb5-8f0a-44b0-9045-ddb4ff2a1521,__DBL_DECIMAL_DIG__,"17
"
7709233a-2832-4486-a9db-e1f7774ea3f7,__ATOMIC_ACQUIRE,"2
"
52edeb04-8835-409f-8154-00208fb4f683,__FLT128_MAX_10_EXP__,"4932
"
ee167524-0e5e-4849-8b58-841a489878eb,__off64_t_defined,"
"
17f215c7-b580-492f-a894-89937b38b481,PRIXFAST64,__PRI64_PREFIX
84674a5b-7c1f-415f-a066-1972508ec39a,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0bce3f1d-0dc2-4c8a-a702-4e9c2e867e2a,__GCC_IEC_559_COMPLEX,"2
"
9186c9f6-002f-4539-b870-e9a7f36596ba,SCNiFAST8,"""hhi""
"
86c32a6f-a229-4ce8-b02d-0fe3c4dbb9f3,__NFDBITS,(8
1d2c777c-4400-4404-bb6a-4f9144ff73be,__GLIBC_USE(F),__GLIBC_USE_
c9be43c0-9a9c-4853-8718-4cc836e55b0b,__UINT_LEAST8_TYPE__,unsigned
2e9b839e-f18e-4dc7-afc5-ba49fb94b333,_T_WCHAR_,"
"
8e6fd21b-2af4-4e4d-8282-0217406a8078,EUNATCH,"49
"
1a10ba4d-4a90-4e8d-818e-c8774f22e1c9,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
a592bb94-6796-4682-ac9a-a181f0217ce5,SCNuMAX,__PRI64_PREFIX
f197cc47-5379-4962-adf8-c6037f6588b9,INT_LEAST16_MIN,"(-32767-1)
"
1bfb0903-752c-4902-90c6-9d42625b3089,__CFLOAT64,_Complex
a52db7c1-e746-46d7-8bbf-3e0dca9abd36,ENOCSI,"50
"
002cc286-30d2-4409-a66d-7c2ed8047128,__stub___compat_get_kernel_syms,"
"
de3c4f78-001b-45d9-9123-e09adb6b584c,__S64_TYPE,long
9754a53b-5ed6-4f5b-adcf-b33b28c63c9d,_PRINTF_NAN_LEN_MAX,"4
"
5a97b1fc-d670-449b-895d-0706338cabac,__FLT128_DIG__,"33
"
940c044f-5668-4040-a72f-414180b25922,__stub_fchflags,"
"
82f36f11-6344-4be7-b4cd-e317105e51d0,__SQUAD_TYPE,long
a6da61c1-9f17-410f-bcac-597a957576d7,__INTMAX_C(c),c
8db9c889-7eff-4d33-b685-2a63a78a73e6,_BITS_FLOATN_COMMON_H,"
"
ddf5a7ed-e7bd-4ee4-a30c-db1bcc833a9f,__GNU_LIBRARY__,"6
"
d40e423b-3d6e-4302-9aea-f26f4b6ce6db,__SAFE_STR_CONSTRAINT_H__,"
"
afe64756-de1f-49ef-810a-11bcd09fea11,__CHAR_BIT__,"8
"
cff71500-5c06-49a5-add8-61fd0d4f93ae,__FSWORD_T_TYPE,"__SWORD_TYPE
"
a1177e2b-acc4-4f29-9ecc-0b1de6822867,EAFNOSUPPORT,"97
"
197ab487-5982-45df-88bc-63488a8d801e,EREMCHG,"78
"
bbcb7e54-cc08-43e6-86a5-ac25aa1f31e7,__attribute_pure__,__attribute__
4835edce-0aa1-4f90-8a7f-cd0aca6df884,EACCES,"13
"
391cd36d-9888-4a84-ad59-92d08ccca02b,__UINT8_MAX__,"0xff
"
