id,name,value
09118370-fce7-4d28-aa25-828ec3614f76,ESBADFMT,(
e188baf0-f3ea-4e73-bac0-ceb0e19b933e,__SSP_STRONG__,"3
"
ba616118-08f2-404c-9e0d-6596e8331174,__attr_access(x),__attribute__
5b9be4ec-9df9-4618-b26c-470e8c5d6b5b,__DBL_MIN_EXP__,"(-1021)
"
1d0b6561-e57d-49b6-a398-ddbce8361c00,__SAFE_MEM_LIB_H__,"
"
18d3664c-9980-4d56-8525-b6a61b3a890a,__LDBL_MANT_DIG__,"113
"
e536a095-a1d6-4f9e-8246-65a3248985a9,__UINT_LEAST16_MAX__,"0xffff
"
67b2c4d1-609b-4292-9999-1b0edcfd68db,_STDBOOL_H,"
"
10adc2d2-61b6-474b-bdd8-489ff042e575,__ARM_SIZEOF_WCHAR_T,"4
"
f2a99a97-fb8f-4fd9-9083-121deb2387ef,__DBL_DECIMAL_DIG__,"17
"
93c51a46-ae89-4fd0-9444-a6ab58c61e96,__ATOMIC_ACQUIRE,"2
"
84f16851-df7b-4af9-b352-6de1d6216ef0,__FLT128_MAX_10_EXP__,"4932
"
e271a14e-aab4-42ce-abbe-687f17314dde,__off64_t_defined,"
"
aa44d6c6-966c-4751-bc0c-33d5ee543654,PRIXFAST64,__PRI64_PREFIX
2b6cf06f-893e-41ea-b3ce-dff216631c04,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
e7c65ccb-b064-4e34-8c7e-1c6fa88b65e7,__GCC_IEC_559_COMPLEX,"2
"
6e45db60-7059-495f-9f9a-3ac8500e084f,SCNiFAST8,"""hhi""
"
f068a8a3-0169-4238-93d7-9f2dfe8552eb,__NFDBITS,(8
f2058b24-fd2c-4ade-b449-12f2724a5643,__GLIBC_USE(F),__GLIBC_USE_
d9f30119-c964-42e2-8c85-224b973253d6,__UINT_LEAST8_TYPE__,unsigned
0f50ef7e-6607-4778-8322-0f2aac874882,_T_WCHAR_,"
"
20c92958-c5c4-46cd-b383-256615a10016,EUNATCH,"49
"
ef071d8a-56ae-4c72-a25b-bedd1e9f177f,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
f368f21a-6a97-4df9-b221-59d9a927a57c,SCNuMAX,__PRI64_PREFIX
