id,name,value
d064720c-5623-4cd7-867b-d18cac8ab23f,ESBADFMT,(
4cb56774-2479-4adf-9377-223f0568d360,__SSP_STRONG__,"3
"
745cabce-c50b-4864-acae-f37fcc9fceb9,__attr_access(x),__attribute__
00741206-d8cb-4d53-a8e4-c4064bd12508,__DBL_MIN_EXP__,"(-1021)
"
bba6f1fd-2123-4211-9cf0-e7c1e3e50964,__SAFE_MEM_LIB_H__,"
"
13f6571e-6e07-4d11-b7f0-7817aedf81e8,__LDBL_MANT_DIG__,"113
"
b05d928f-6bc8-4814-9f5c-6cc051b9f4c0,__UINT_LEAST16_MAX__,"0xffff
"
df35aeb9-3389-4322-9387-0c945bab3d99,_STDBOOL_H,"
"
10f42ca2-abf6-44de-aa9c-a78a243c424c,__ARM_SIZEOF_WCHAR_T,"4
"
38d065a3-669c-4de3-82e2-04258cd886f2,__DBL_DECIMAL_DIG__,"17
"
0bdfd9b1-6513-41be-bdab-bacf2ce2e9d3,__ATOMIC_ACQUIRE,"2
"
3a84b7e9-f459-4d56-800b-6358ab8ecdd9,__FLT128_MAX_10_EXP__,"4932
"
ecc09a18-f7c9-4e2b-853b-eaba012800f6,__off64_t_defined,"
"
d4ded5be-5091-4962-9970-f12e7bc275df,PRIXFAST64,__PRI64_PREFIX
36804f0b-6628-4d51-9c86-bd5f18ef0f0f,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
d567d471-fc78-4e2b-99d9-e4a3db01e1ad,__GCC_IEC_559_COMPLEX,"2
"
6c814268-0889-471f-8cc7-c2695a453a21,SCNiFAST8,"""hhi""
"
050b79cf-633e-496a-8dd7-056a65ec9eb4,__NFDBITS,(8
f027e8b3-e9b9-4042-8b60-06b6cd55df98,__GLIBC_USE(F),__GLIBC_USE_
b2a02013-819a-4c9c-afc3-88d55352d03a,__UINT_LEAST8_TYPE__,unsigned
1b44fe9b-9836-4a15-b4d1-8c2ff1b19240,_T_WCHAR_,"
"
1cc15438-2d8b-4156-af7e-eb0b8d8a2c1d,EUNATCH,"49
"
5732508c-423b-4657-9224-de5a2feb6ea6,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
38006fab-09b3-4f0d-b649-d5293faf87ad,SCNuMAX,__PRI64_PREFIX
5010c343-6091-4ecf-849e-00388335ac4d,INT_LEAST16_MIN,"(-32767-1)
"
515ba697-22c1-4edc-ba29-2a22b57e2900,__CFLOAT64,_Complex
a6ad643e-d6b9-4af8-a0cc-4bbeccec8ad3,ENOCSI,"50
"
ee0b4382-94b1-4024-afe6-d9eb22337b66,__stub___compat_get_kernel_syms,"
"
ed0f9832-1a3b-46fe-a49b-f42c4088a74a,__S64_TYPE,long
da278be2-03f1-4a5c-8190-4b60d7935cc5,_PRINTF_NAN_LEN_MAX,"4
"
2dec4de1-99c6-4041-aa78-882e2f0c0b2c,__FLT128_DIG__,"33
"
d92f2a4e-bc12-463e-b8d8-13ea6af1275f,__stub_fchflags,"
"
9d7832e3-4e4b-44be-820e-f3b2372ab2ff,__SQUAD_TYPE,long
3bfaa076-0ff2-4639-a710-077586cea5ae,__INTMAX_C(c),c
5e04107f-053a-4d55-81ef-7c4c18ae3697,_BITS_FLOATN_COMMON_H,"
"
e76191f6-15bd-484c-92a7-ba4151e137b2,__GNU_LIBRARY__,"6
"
ce87e413-e02c-462d-ae39-ca43262b401d,__SAFE_STR_CONSTRAINT_H__,"
"
bd8c12a7-d946-4340-a626-9dc53eec4c9a,__CHAR_BIT__,"8
"
0aa36063-ac88-4f02-b959-05da994ae22d,__FSWORD_T_TYPE,"__SWORD_TYPE
"
510d6247-c8f9-4726-8f2f-9115f0831563,EAFNOSUPPORT,"97
"
a8e03f1a-d752-411b-ba73-7c855781a921,EREMCHG,"78
"
b4c64d09-72e3-4cb9-9e21-441377206363,__attribute_pure__,__attribute__
d5f0c49b-0da9-41b8-89b9-71477b0c494c,EACCES,"13
"
af2885be-f57d-465d-aac4-8b96d9953746,__UINT8_MAX__,"0xff
"
aff0f11e-c418-4275-a94e-586aeadeaf94,WCHAR_MAX,"__WCHAR_MAX
"
a1e63431-4870-475d-9144-e825cb951d28,EDESTADDRREQ,"89
"
26ce41da-0df1-4ba4-9914-e2c10af97b70,__feof_unlocked_body(_fp),(((_fp)->_flags
d55b8127-ce0f-4493-a7d8-093443caaf9b,__sigset_t_defined,"1
"
6356cbd0-4808-4106-bbf5-226e42299552,__SIZEOF_PTHREAD_ATTR_T,"64
"
48f788b3-3580-4af3-b427-a93506634b34,INT8_MAX,"(127)
"
1f2d5fd8-043c-4d80-95d0-961ce5185f9a,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
e2196f9c-b5f6-4ad2-8573-e5389b16d47f,__HAVE_FLOAT16,"0
"
0f2a24aa-9abe-4448-8609-a6f8a1c39346,stderr,"stderr
"
fff36bfc-16b4-420c-9f89-49a834d10366,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
19c11537-d053-47f5-b9ca-aa530dddcbaf,_XOPEN_SOURCE,"700
"
648a6d13-fd8b-4c81-9383-5571b7333767,UINT_LEAST32_WIDTH,"32
"
57a598ac-b27e-4e2b-9b51-ca8549022de6,EILSEQ,"84
"
57f9eca7-a4eb-4110-ac08-b6d738bf68d6,ESPIPE,"29
"
7eb57987-4902-48ad-84f1-b54c57995075,INT32_MIN,"(-2147483647-1)
"
0b346929-aafe-4e5c-a08a-060b8a96598d,SCNxFAST8,"""hhx""
"
b0fe06be-364a-4e6a-941a-ab9823f095bd,EPERM,"1
"
0c0c6e57-c79f-4551-a037-93be023a9fe5,__OFF_T_MATCHES_OFF64_T,"1
"
20d38ea4-2d46-495b-accf-d2368df6e679,EMLINK,"31
"
900d098a-5684-4722-bbf0-15e7e6f6b125,UINT_FAST16_WIDTH,"__WORDSIZE
"
bb4b16ba-3658-49bc-96b7-38be08ca883e,PRIdMAX,__PRI64_PREFIX
b4086fbb-c182-4e7d-8d8c-0316bd7ea6fa,__WCHAR_MAX__,"0xffffffffU
"
3f867e7e-79b4-4245-9e16-11e1c91b2a7e,ENOSR,"63
"
182f1939-9615-48ee-a581-5dc494593414,INT16_MAX,"(32767)
"
bd1db127-05b5-4ba0-b38f-8be09f054560,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
8b98966d-2641-4832-957c-0e9f8eca4aa3,__STATFS_MATCHES_STATFS64,"1
"
17665821-f5cb-42f5-b32f-def5e9ff9e22,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
c0cb17ef-9987-4a44-af6e-d48d708861b5,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
814742d2-6d8c-4dfb-ad6a-2284c9bf224b,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
a8f5a51e-23f9-4a73-947e-0b195a19e9dc,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
a0e013f3-4143-4ee8-a62b-9a34b3ffbe26,__GCC_IEC_559,"2
"
d6c52810-f5f9-4e91-a4eb-baeb4d6b043f,__LITTLE_ENDIAN,"1234
"
35562ec2-0bb2-46e1-9f8a-91a59a50c763,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
587d947b-1f51-4bf2-a9e0-eff26a22e8f2,__FLT32X_DECIMAL_DIG__,"17
"
1923d14c-29a0-4e5a-a6ea-d0ff7e1a4a72,_IOFBF,"0
"
43f5aad2-98f4-478c-bf3f-8ae6455c475b,__FLT_EVAL_METHOD__,"0
"
4de557d3-e651-42ea-97f6-b77d19355792,EL3RST,"47
"
6c51f908-958c-422e-8802-fe049aabaf6f,_IO_USER_LOCK,"0x8000
"
f7a9bb8c-30fc-4dba-a4ca-9e4d02562880,"__ASMNAME2(prefix,cname)",__STRING
e84b1a84-59e5-4a47-b2a7-9b1a90793380,INT_LEAST32_WIDTH,"32
"
bddaf94a-dba5-4dd8-a224-4880bde290e2,SCNiPTR,__PRIPTR_PREFIX
d2fe4cb8-a781-4468-b5ba-d6a7f2c88fc3,__FLT64_DECIMAL_DIG__,"17
"
cc521cb4-be07-4345-9307-e72425eae726,_WINT_T,"1
"
