id,name,value
e83ea953-d075-400a-9ac6-c54eab10897b,ESBADFMT,(
3f279906-0023-4edb-a54d-9f6fb4bc9f82,__SSP_STRONG__,"3
"
6d165fbd-3070-44db-9c83-f80a9e59194c,__attr_access(x),__attribute__
86fe60ec-63b8-49ee-9441-37dd0a61e7a1,__DBL_MIN_EXP__,"(-1021)
"
810f19ae-6962-4458-89b0-8730eb777b86,__SAFE_MEM_LIB_H__,"
"
c3b41b61-2e50-4c59-8dcb-13826fc2d628,__LDBL_MANT_DIG__,"113
"
e832421e-e409-42dd-8e25-67027327fa54,__UINT_LEAST16_MAX__,"0xffff
"
a6a19153-63da-4beb-9c44-1e8fdb4c1863,_STDBOOL_H,"
"
374304ee-78eb-44fa-a502-8599bcf450a7,__ARM_SIZEOF_WCHAR_T,"4
"
504feb32-fcc4-4dea-9692-f0e7fa0aff36,__DBL_DECIMAL_DIG__,"17
"
88b1d4af-eb72-4bb8-b211-8783e4f202b5,__ATOMIC_ACQUIRE,"2
"
ad70fc01-872f-4b7d-b985-5da8eb4af66f,__FLT128_MAX_10_EXP__,"4932
"
35f7615e-dc8c-4bbd-a585-6f7e3b067e12,__off64_t_defined,"
"
bbce3d81-f49c-429c-b4a5-ffc0d94169d3,PRIXFAST64,__PRI64_PREFIX
e4ef5c32-81fe-4250-9de3-9208e246a315,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
c85cc804-81c5-411e-abbb-2077e90ad282,__GCC_IEC_559_COMPLEX,"2
"
e47ef8a5-5fcc-4a67-9418-eb33736bebf3,SCNiFAST8,"""hhi""
"
c430bb0c-54cf-428d-83a6-415730f8edb0,__NFDBITS,(8
b120fae5-8ca4-490b-8a1e-6db6ef730f6f,__GLIBC_USE(F),__GLIBC_USE_
5bf62de3-4816-4f30-ac7d-4aa0360de9bd,__UINT_LEAST8_TYPE__,unsigned
9126278b-2a71-4cdb-ba15-6e7d76193ec7,_T_WCHAR_,"
"
d293d7cf-dc66-4ea9-bdc2-1d2dd43bd07c,EUNATCH,"49
"
49ce49ec-d872-4cb7-b6aa-3433f301c28b,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
b9d5497b-7fb1-4fb6-8203-5d19aff5fca3,SCNuMAX,__PRI64_PREFIX
bc63a0a1-a4fe-413f-8ca5-671dd7d4fff9,INT_LEAST16_MIN,"(-32767-1)
"
6484f2be-c632-4c15-a506-024026e01ca7,__CFLOAT64,_Complex
7f539f75-8dfa-4839-9907-67bb799a2675,ENOCSI,"50
"
cf4b2485-7f23-43dc-8942-0cb815d2f3e1,__stub___compat_get_kernel_syms,"
"
3d012845-fae9-4dd6-93df-a6c3105273b5,__S64_TYPE,long
4a5ff7fe-d03f-4560-aab5-804531c4288e,_PRINTF_NAN_LEN_MAX,"4
"
6b450144-898b-49a7-a5ae-145b59874ea9,__FLT128_DIG__,"33
"
ec731ec8-2218-46f3-befb-d4f09aeff4c6,__stub_fchflags,"
"
99e5509a-6c05-4152-882f-dd74666afc6c,__SQUAD_TYPE,long
cb2dd758-672d-4223-a471-757919bc245d,__INTMAX_C(c),c
2f0b12e2-2bf3-42c6-b743-c6b1ba012b0a,_BITS_FLOATN_COMMON_H,"
"
37834e01-fafe-4ee7-9ff1-3a5cee4fd905,__GNU_LIBRARY__,"6
"
e5a5b396-eaca-42e0-822f-e052d22d2ccc,__SAFE_STR_CONSTRAINT_H__,"
"
d2d9b76f-480f-4c98-a10f-6b4c7f589b40,__CHAR_BIT__,"8
"
48c8be62-f989-455c-8459-3e7a2175111b,__FSWORD_T_TYPE,"__SWORD_TYPE
"
77d984e6-96bb-4567-84a6-df3a0670fff4,EAFNOSUPPORT,"97
"
87c487aa-f326-452a-997a-6f280915621b,EREMCHG,"78
"
48ce33a3-4ae0-4615-8bfe-d2779d6a3e6b,__attribute_pure__,__attribute__
e73f4c43-59ce-4ef0-af6c-d01a70853737,EACCES,"13
"
d6a61c4d-b657-4788-968c-71161245200a,__UINT8_MAX__,"0xff
"
2ad613c5-2263-4bd4-84a0-1fb78de665f4,WCHAR_MAX,"__WCHAR_MAX
"
667048c9-5dfd-4782-a70d-b1606e6f696a,EDESTADDRREQ,"89
"
23184228-7b52-4802-ad4d-041bd17ef3f2,__feof_unlocked_body(_fp),(((_fp)->_flags
3c1b7c56-be66-462d-974b-be6270a5b911,__sigset_t_defined,"1
"
8ea01a26-21dd-42d9-bfb8-0764f61e5211,__SIZEOF_PTHREAD_ATTR_T,"64
"
674a1a8d-2a5b-4f23-b63b-936c7e198623,INT8_MAX,"(127)
"
9d181cca-f5e8-41f2-9642-4acd901075f8,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
7c851a35-1277-4760-8e76-4aec23f0f219,__HAVE_FLOAT16,"0
"
ea6f9436-2eb1-4a9b-8086-b727cde03c57,stderr,"stderr
"
641153cb-8ade-4f26-869d-7852660052e8,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
8d8f9789-2b6a-48da-8f62-b23fb6d7a5b7,_XOPEN_SOURCE,"700
"
14c656f2-b684-4d93-8178-5ddb219c0bb6,UINT_LEAST32_WIDTH,"32
"
a300e849-fcf8-4cde-837c-a02df0a101ff,EILSEQ,"84
"
1e8ab2fa-d545-43a1-8803-f17ec12525fb,ESPIPE,"29
"
6f8c7f7a-95a8-4a74-a1fc-76f11b0841f1,INT32_MIN,"(-2147483647-1)
"
3f75c3ea-01e9-4075-8b6a-7f447f62554e,SCNxFAST8,"""hhx""
"
a72bef41-424d-42f0-91a6-cbbdaca61746,EPERM,"1
"
e8d76980-ba5b-4139-9c11-759c3dcca9b1,__OFF_T_MATCHES_OFF64_T,"1
"
3f96d4be-833f-4bee-959c-a42e9abe5343,EMLINK,"31
"
0c2294ff-8962-413a-81a6-a62ea62d7cce,UINT_FAST16_WIDTH,"__WORDSIZE
"
910a0f4e-4e60-450f-9c72-7047e249f9c2,PRIdMAX,__PRI64_PREFIX
2d64fe76-0fed-4fb2-a1e2-381b25c560f3,__WCHAR_MAX__,"0xffffffffU
"
45b040db-874f-4e69-b9d9-c0b52f4be60f,ENOSR,"63
"
633ca4e4-fa9a-411e-9a92-9a81c9dc76d3,INT16_MAX,"(32767)
"
ee54a9fb-b840-4df5-8603-9b1fc1ff1f31,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
9b1ad781-821a-486d-9945-595ad6694441,__STATFS_MATCHES_STATFS64,"1
"
937505bd-ac38-4b99-9e09-e84a0ba12843,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
a830d1c7-12fb-46b9-a7e5-7fae6c15a473,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
fa8bdc4d-98db-4990-9d5a-ed353538ef44,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
85ebe24d-616c-4820-a7df-172f0c8c871d,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
9d7e7ccd-cb77-4d06-9472-0ff6d327c3bb,__GCC_IEC_559,"2
"
50b4eba2-8b22-44de-863d-c2e9b7af7d68,__LITTLE_ENDIAN,"1234
"
5b9b9583-89b4-444b-8ecf-c43238a0f50c,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
281cff75-a1a1-4d1d-a17d-7596d114618c,__FLT32X_DECIMAL_DIG__,"17
"
76471c28-65c3-4343-83c1-8de5b4449b3d,_IOFBF,"0
"
9fd5f00b-e225-4d05-89af-249b5f6d5b0b,__FLT_EVAL_METHOD__,"0
"
43a265fd-08cd-413e-9853-553a7aeac3ae,EL3RST,"47
"
82b4fc62-d1d0-4232-9cbb-1dba82e46bda,_IO_USER_LOCK,"0x8000
"
6865a5dc-3a98-49cd-a84d-92e260a508c5,"__ASMNAME2(prefix,cname)",__STRING
d51161c6-24e9-46ba-be1b-8bf995035c5d,INT_LEAST32_WIDTH,"32
"
272a18fd-3774-4a06-ac90-71d0090ae1a4,SCNiPTR,__PRIPTR_PREFIX
6cfb24ca-7683-4bd3-bdaf-82c65277f88b,__FLT64_DECIMAL_DIG__,"17
"
7a5c5f69-1b88-4309-8e5e-b5428a64f3c3,_WINT_T,"1
"
9fefd38e-208a-4f74-9201-c909d15025bb,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
39ba249c-f239-4298-9d92-a012796e1a80,__HAVE_FLOAT64,"1
"
65bc7dc2-366e-4707-aa66-cb610098660b,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
4b26cdf7-6a17-4a77-9a8f-2bc0db3abe8e,__attribute_nonstring__,__attribute__
a76d3f06-ba7d-470b-a129-6ce02741dcfd,__UINT_FAST32_TYPE__,long
4736664d-0d2d-4276-9a35-7430ba16ae6b,EOWNERDEAD,"130
"
404da0eb-1ef2-4943-9bd1-c2e10aaaa655,bool,"_Bool
"
af7224e9-cc7a-45f9-a584-e8decbcadffe,__CFLOAT128,_Complex
302d6b91-96d0-4684-a518-be1882e1f075,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
2022735d-179a-41fe-ab54-71a476372a4e,__SIG_ATOMIC_TYPE__,"int
"
fba8cac6-022e-453d-9b3d-11553cf49224,__GID_T_TYPE,"__U32_TYPE
"
14ff33f7-9ac7-4943-bc00-53ca5ce28617,UINT64_C(c),c
31b8bbfe-ba4b-4407-938c-ae69e14f5118,__DBL_MIN_10_EXP__,"(-307)
"
5befcb15-197f-4c95-a9af-6028e376ef7d,INT16_MIN,"(-32767-1)
"
978fe255-183f-4010-8f7e-9d1605928243,ENOTTY,"25
"
aa433242-56b0-4246-aa0c-1ed1d6e48254,__FINITE_MATH_ONLY__,"0
"
38b55e26-c35f-4e47-8157-b87baf17b310,__stub___compat_uselib,"
"
44b1d310-afd8-4024-81b5-ea1b2c4c5ca7,__id_t_defined,"
"
04102ddc-8158-4210-9e75-6ba7bd484571,_BITS_ERRNO_H,"1
"
e8fc811f-7edf-4d91-861e-51d283ed8ee2,PRIi32,"""i""
"
03f62541-6e21-4b1a-a53c-dd11ddd8eea5,__attribute_alloc_size__(params),__attribute__
f45a4de7-f505-40bf-bb2f-dd37dd2dc2de,__FLT32X_MAX_EXP__,"1024
"
cc3020ed-03fd-42a0-b460-72d0af02b717,EBADF,"9
"
3c135a85-d9aa-4acc-9720-fb70486c8654,__u_char_defined,"
"
eef93306-4c84-4783-96be-71ca37710d8f,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_1,"1
"
8cb68566-179f-40b9-aa6e-204452a8852f,__pid_t_defined,"
"
1bd1c28b-97bb-4328-8102-48f795037d99,EADV,"68
"
44f681e6-5021-41af-8a98-f58186f2ddb7,ERANGE,"34
"
76b183a6-89b3-48b4-8fb5-e2d14673d8b5,__GNUC_PATCHLEVEL__,"0
"
c276b90f-3b1c-4ca1-992c-60d1c2d8cf80,__FLT32_HAS_DENORM__,"1
"
b719e825-d51d-4c88-8e09-cd2af56cce18,ECANCELED,"125
"
60ccdf42-a024-4dbf-bed6-e4126eb2659c,_ASM_GENERIC_ERRNO_BASE_H,"
"
eb71a065-a177-41d4-9ffc-eeec36a2bbcd,__UINT_FAST8_MAX__,"0xff
"
0eca7b4a-dd1a-4e01-881a-1751923ed26d,__LEAF,","
3d2cc770-f43d-4cdb-ae35-8eec02f28628,_THREAD_MUTEX_INTERNAL_H,"1
"
99b25fe2-3a61-4c7f-8ce5-d35ab17e7f5b,"__LDBL_REDIR1(name,proto,alias)",name
f677d0f5-e11c-4af3-97d3-0d0bc3b6dd42,_BITS_TYPES_LOCALE_T_H,"1
"
5d71e144-b064-4ab1-8173-32c4e723b761,UINT8_WIDTH,"8
"
2eba3d4e-e286-4d1d-a12f-6100585f5651,SCNdLEAST8,"""hhd""
"
4c9825a5-095f-4d25-914f-164227c6ac4e,INT_FAST8_MAX,"(127)
"
aee9d473-6592-4bf4-b7ce-c252561d6698,_WCHAR_T_DEFINED,"
"
e0bbe883-8b77-4fb9-9fb4-0509ce37b546,PRIX16,"""X""
"
bffa39b1-d1c4-40e0-9467-8e931ec014e0,ETXTBSY,"26
"
b67734e3-8766-4d05-beaf-82753712d845,ENOMEM,"12
"
74828a03-1b1d-4362-ae50-b08c2bddf28e,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
6516bbb4-3672-409f-abf3-4fc7619b0837,__INT8_C(c),"c
"
d6eceb06-5ac4-47dd-b773-4916405405de,_BITS_TYPES_H,"1
"
498f00c3-d016-4473-9adb-9553980671be,PRIXFAST32,__PRIPTR_PREFIX
8a74241e-d12b-44a5-9221-f3de910dfd8e,__INT_LEAST8_WIDTH__,"8
"
1c646b33-9381-419e-89cb-364d86a1a370,__INTMAX_TYPE__,long
3db374cc-a674-40f7-a63b-104b5b90e587,__UINT_LEAST64_MAX__,"0xffffffffffffffffUL
"
2a8f96fb-f580-4d7b-b427-a78179c74f9b,_ERRNO_H,"1
"
18825d4e-135d-44dd-bd43-8b7a6ba85cbe,htobe16(x),__bswap_16
06c9ecf9-062e-4183-a9b9-3cf1e20c01ec,NFDBITS,"__NFDBITS
"
1721b06b-7a6d-4794-aec2-9334c8f75a46,__SHRT_MAX__,"0x7fff
"
a22c22b8-3578-4c77-9caf-8e65643c2879,__STDC_ISO_10646__,"201706L
"
da799240-c4b3-4eec-a64a-a2ebe41d040b,SCNd8,"""hhd""
"
e600958a-8393-4665-ab90-da8d9e9985bd,__LDBL_MAX__,"1.18973149535723176508575932662800702e+4932L
"
e6934e29-5711-4387-be86-1f06ffae866f,__ARM_FEATURE_IDIV,"1
"
397d9bcd-9bf5-419a-89a4-1222c0ed2e0f,__bos0(ptr),__builtin_object_size
9bdbcd7a-60ce-457f-aa49-e3c4a25d7ce2,__FLT64X_MAX_10_EXP__,"4932
"
2f35f6a5-0b60-4db3-87c8-6c2c6b92857b,EKEYREJECTED,"129
"
c9197a25-afd6-4012-9aea-eae0db25d337,__LDBL_IS_IEC_60559__,"2
"
7a478507-3be1-4fb3-8a9b-2cfa8d08adbf,__ARM_FP,"14
"
917a8562-f254-4149-97b2-f14d10b3df2a,INT_FAST16_MAX,"(9223372036854775807L)
"
b249b183-6d46-4e18-b7bf-c1f099633060,__FLT64X_IS_IEC_60559__,"2
"
942d829b-a3c7-4513-a98b-8953d6bedd6f,"__FD_SET(d,s)",((void)
a8d44233-9dfc-40bf-b318-fbc6d3d7b820,__FLT64X_HAS_QUIET_NAN__,"1
"
803202bf-2bf9-40a4-9c2a-cd555a93cec0,__FD_ZERO(s),do
68a26aa2-0577-4a1a-b438-6f14741fe3fc,SCNd16,"""hd""
"
0921512e-df48-4cbf-9a59-fcb5da75c7f7,__WINT_TYPE__,unsigned
e1fbf3a1-ee75-4daf-ae29-ff69ddc5e75b,__UINT_LEAST8_MAX__,"0xff
"
2e573eb1-6a3a-44a5-83d6-4775396dcf2d,__FLT128_DENORM_MIN__,"6.47517511943802511092443895822764655e-4966F128
"
e6f940bc-a6ba-4d43-8e87-8792ad2abde0,__UINTMAX_TYPE__,long
bf6b5c58-aec0-4491-a7a4-66fed383c93d,EINPROGRESS,"115
"
3aae5963-476d-4373-a6ac-c00eee2e9b54,__HAVE_DISTINCT_FLOAT32X,"0
"
fd4bb61e-06b7-4182-80da-b335120a08e4,UINTPTR_WIDTH,"__WORDSIZE
"
ad815f48-a95b-473b-986d-8e3963116e43,_STDC_PREDEF_H,"1
"
f2f13596-dbe0-4453-bc5d-db1f61e4d729,EL3HLT,"46
"
f68537aa-c094-4fe4-93ba-8128593f9e8d,SCNd32,"""d""
"
325934f2-d5a8-4d51-b393-4db46c61a1a6,__linux,"1
"
