id,name,value
0e7707c4-c106-4671-a515-00f9d52535eb,ESBADFMT,(
17864dbb-a1c1-49f5-8c61-984fabef7108,__SSP_STRONG__,"3
"
88f63121-2b88-40bb-93eb-006c7ef748b6,__attr_access(x),__attribute__
28f8cd7c-b094-444f-ae22-5156d86d1966,__DBL_MIN_EXP__,"(-1021)
"
90f70567-1adb-4b63-ae52-4be516ada344,__SAFE_MEM_LIB_H__,"
"
c658e1fe-4305-4ce7-bd7f-de87882ab005,__LDBL_MANT_DIG__,"113
"
096803d4-dac5-44eb-9434-b20f0a886501,__UINT_LEAST16_MAX__,"0xffff
"
d9c2a213-20a4-436a-a04a-26c4593fd0fd,_STDBOOL_H,"
"
82ed093f-adf1-4780-8d19-5b27567ca3ae,__ARM_SIZEOF_WCHAR_T,"4
"
8a367b25-aa30-4cc0-a752-e21d99cd8a80,__DBL_DECIMAL_DIG__,"17
"
261f585f-64c0-43b9-8c65-f5c979da330c,__ATOMIC_ACQUIRE,"2
"
cc58aa5d-5166-421d-8ac2-712417a0b8a5,__FLT128_MAX_10_EXP__,"4932
"
4180bb18-16b2-4a7e-857c-a12ee03d67d1,__off64_t_defined,"
"
699f953b-8bdc-43e9-a613-e0ed55faf0d9,PRIXFAST64,__PRI64_PREFIX
3d28f575-ada7-4cd9-813b-8fc259cda1ac,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
d866f2fc-0f19-4fcc-b015-0fcb632e100b,__GCC_IEC_559_COMPLEX,"2
"
6b391ebf-1c04-423d-8711-c786c13db000,SCNiFAST8,"""hhi""
"
003888ba-c814-4477-87f6-25c2ee97c545,__NFDBITS,(8
b2a5db0b-8609-4d99-9612-3603849bf3b1,__GLIBC_USE(F),__GLIBC_USE_
f7f10600-ae97-41b3-aa06-ec4ffe77d238,__UINT_LEAST8_TYPE__,unsigned
ce2381e1-f865-43b8-81cd-c5fa9ad07a03,_T_WCHAR_,"
"
69c08041-1117-4d7d-bdcf-f81e96aac8a7,EUNATCH,"49
"
b5650c71-9035-4ca4-93b0-02a40398e8bf,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
24a41780-0d61-4621-80a2-a1e55864e947,SCNuMAX,__PRI64_PREFIX
b57ca1b9-7df7-4538-9c23-0f4bded56f19,INT_LEAST16_MIN,"(-32767-1)
"
4dca9689-3994-4e01-b9ae-64e56a4462e4,__CFLOAT64,_Complex
a7fd6191-ff5b-462d-8f67-a6c4a3b73699,ENOCSI,"50
"
58b659d5-3556-4da4-8106-2e04dba145b8,__stub___compat_get_kernel_syms,"
"
7a938cc3-c28c-4e4c-af79-0cf9c3907269,__S64_TYPE,long
73cf7adf-a74f-449a-85d0-cf4e907a31bb,_PRINTF_NAN_LEN_MAX,"4
"
6ff44f49-cf56-4603-9e98-0ca59a613292,__FLT128_DIG__,"33
"
0b4b2b26-3650-4938-816a-00047331681e,__stub_fchflags,"
"
3b96fb8d-2e89-4e40-88e0-20de0e1b697c,__SQUAD_TYPE,long
9afddda3-63dd-466f-aaeb-29c95b3fce49,__INTMAX_C(c),c
b6fc0568-b9ac-4e1a-86b5-d7ab371f3d3a,_BITS_FLOATN_COMMON_H,"
"
aba2e0a4-c537-48ac-b67f-72c6f69d3edc,__GNU_LIBRARY__,"6
"
3f6401da-1389-4876-aa35-c07f49fd0670,__SAFE_STR_CONSTRAINT_H__,"
"
8bd2746c-65ae-41e9-ab0f-58b322574796,__CHAR_BIT__,"8
"
cdf403b3-ec77-441d-ae0f-37d502a5b1b5,__FSWORD_T_TYPE,"__SWORD_TYPE
"
99687dbf-038d-4697-a617-bce4083dc256,EAFNOSUPPORT,"97
"
468b9203-e68e-461d-8e2a-5456a39266b8,EREMCHG,"78
"
537c7993-7d0d-4d6f-af05-db72adaf71ab,__attribute_pure__,__attribute__
4f321145-a0d4-481d-86ef-301f05aaa053,EACCES,"13
"
fb12c602-3e6e-452b-bcfe-e9a9ce0cce25,__UINT8_MAX__,"0xff
"
a2999b04-16b7-48dd-b717-97c99a314ff3,WCHAR_MAX,"__WCHAR_MAX
"
e1d442a4-4caf-455c-8783-9e98f84f07d3,EDESTADDRREQ,"89
"
323e5c96-f884-46e5-b421-56617c565309,__feof_unlocked_body(_fp),(((_fp)->_flags
e95060d1-1fa5-4184-8205-2eb1681fbb37,__sigset_t_defined,"1
"
225fd9de-b4e6-4d0e-a7ca-86ddf55461b8,__SIZEOF_PTHREAD_ATTR_T,"64
"
6cf10844-6538-48d8-9ea4-7abc68b66bd2,INT8_MAX,"(127)
"
2376a840-08ba-4a0a-9fe4-546dc5a7612e,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
b1d80db5-7e79-4055-b59c-1688d022f196,__HAVE_FLOAT16,"0
"
48f95edc-14bd-451a-bf70-2ea8b51fe379,stderr,"stderr
"
6f253c2f-40d0-45af-9a18-006ae3d68871,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
ea574d9d-56ca-4f45-8a17-eb065231bea3,_XOPEN_SOURCE,"700
"
3560496c-736c-45ef-9434-523f8ee2a747,UINT_LEAST32_WIDTH,"32
"
615a1d66-5993-4dec-a433-c9d3801ccd11,EILSEQ,"84
"
a59942fa-8cfe-485c-9a11-4571e719ef49,ESPIPE,"29
"
140bb210-c9cc-4ae6-824c-3f9f8b62a53a,INT32_MIN,"(-2147483647-1)
"
cfa3403e-ec51-49db-bcf1-acb84fd0a6e3,SCNxFAST8,"""hhx""
"
98bafe05-d2b6-4cc4-b342-cdc70f9d78fc,EPERM,"1
"
f376968e-6532-4c1b-ac50-d16ffe976676,__OFF_T_MATCHES_OFF64_T,"1
"
8ad91433-beba-49d5-925f-48591fa99471,EMLINK,"31
"
95c8ff8a-8235-4b1c-8fa8-af004611c775,UINT_FAST16_WIDTH,"__WORDSIZE
"
11c1bd81-e5d4-4533-8cd3-93dc59f95d4a,PRIdMAX,__PRI64_PREFIX
fe445a72-99ae-4fcb-9097-71e6cd7e8c77,__WCHAR_MAX__,"0xffffffffU
"
b7456f52-9721-45fd-a71a-dcbd91d77556,ENOSR,"63
"
75db43b6-528a-4eb1-85ac-b42e484be2f6,INT16_MAX,"(32767)
"
1e7ae488-d8b3-4b5f-9fdf-35f98a30d34d,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
2a2af0cc-4359-431a-b272-659c23cfe18f,__STATFS_MATCHES_STATFS64,"1
"
68327c7b-8a5b-4cc4-8b6b-898f38ebccda,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
4f4bf654-3332-4768-983f-d689a519fb18,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
748954bd-7274-48af-b6f5-1c8566051daf,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
3d1eecbb-2b7e-4ac2-8796-0c6eb82241be,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
819ed44a-8ac8-44e3-adbc-182aab01f476,__GCC_IEC_559,"2
"
6f6a9510-a715-4943-b18c-14e0830e8463,__LITTLE_ENDIAN,"1234
"
38da061a-9d32-48c1-a5b3-da594a699957,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
e64a2267-f535-405a-9de8-7b6de222d4cd,__FLT32X_DECIMAL_DIG__,"17
"
a7ffe4b6-9fef-4d0f-97f4-053f26722f8d,_IOFBF,"0
"
b0a4a9e0-67af-4353-b99e-546a6d38af4d,__FLT_EVAL_METHOD__,"0
"
59ae17a2-72db-44a1-aac8-40a625672a1f,EL3RST,"47
"
ea6a1a3f-a881-4457-a641-8e2e44521fd1,_IO_USER_LOCK,"0x8000
"
ae2da279-eb2c-447a-900c-b518754343e6,"__ASMNAME2(prefix,cname)",__STRING
5451edac-c265-4f1c-8901-bd8534ead887,INT_LEAST32_WIDTH,"32
"
64ef180d-4ea0-4ae7-b5d5-b3bce9b55ad3,SCNiPTR,__PRIPTR_PREFIX
27405135-8280-4f15-9f30-5aa043155dc1,__FLT64_DECIMAL_DIG__,"17
"
71a16966-dfe3-41ef-84c7-e45de4eb7e5f,_WINT_T,"1
"
f7e3193b-8e36-4a52-82cf-f12d96c898f9,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
d284b5ff-1f16-46b4-bcc4-6d01b1a4b03b,__HAVE_FLOAT64,"1
"
f17c5893-5d89-46a4-86ac-e55a94a70e1c,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
bb188677-1a02-48b6-bf7a-8d071932f88f,__attribute_nonstring__,__attribute__
acec4f2f-5dd5-4282-a65a-00f073efdc62,__UINT_FAST32_TYPE__,long
1d3d54c7-3ad1-4b04-afbb-d4396f5919d0,EOWNERDEAD,"130
"
f65f5635-0b6a-49ca-9392-cfc99d69c4ef,bool,"_Bool
"
9307794e-7387-43f1-913b-f51aa0c872a2,__CFLOAT128,_Complex
b5d2ff55-0c1a-4709-ad62-1d50264596eb,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
71412a11-e8fa-4059-a5ad-cab303212d1c,__SIG_ATOMIC_TYPE__,"int
"
828095f2-8e44-48b9-9e1c-471132e289d3,__GID_T_TYPE,"__U32_TYPE
"
2893896b-46f5-49f5-a082-6c573ef3a757,UINT64_C(c),c
4137713c-64d8-446b-9a60-74ccd5968fa9,__DBL_MIN_10_EXP__,"(-307)
"
fd4bb302-e834-4a5d-9249-09a50e7c9d4d,INT16_MIN,"(-32767-1)
"
441a907f-41c7-4707-9e88-cf7b3a2c1a47,ENOTTY,"25
"
c2e5fe57-eba5-406d-acfe-8d9a98100842,__FINITE_MATH_ONLY__,"0
"
8a519bbd-da82-4f1c-aa8e-4b1ace4bc4fa,__stub___compat_uselib,"
"
2ad0ada1-7219-4313-9d26-d47c55593c8e,__id_t_defined,"
"
a92ab8e8-b43e-413c-8ac9-3f170b22fb04,_BITS_ERRNO_H,"1
"
5b99d5d8-9853-43c2-87c1-b9a050ff5073,PRIi32,"""i""
"
f98f0d1c-c063-4fea-ba22-d3b7c3d7d114,__attribute_alloc_size__(params),__attribute__
16e0ed3c-2719-4b20-94bc-1253157729e8,__FLT32X_MAX_EXP__,"1024
"
20be70a5-17c4-4cac-aa14-ed8a8f7d039b,EBADF,"9
"
227c8638-8983-46a4-8186-c870eb0a7612,__u_char_defined,"
"
3c1aa13d-fc9d-4443-aa88-06c51a2429ab,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_1,"1
"
df4d69a0-9489-4385-b96a-e0fbe8d9c30f,__pid_t_defined,"
"
b2c1b51b-062f-464e-943e-a103e3005503,EADV,"68
"
acf17604-297d-41a4-b0bd-f410cf691516,ERANGE,"34
"
6277d3b7-47ae-467c-ab91-168fea928140,__GNUC_PATCHLEVEL__,"0
"
e8794997-25ba-4f35-826f-6e7ac8618749,__FLT32_HAS_DENORM__,"1
"
bfe09878-5b6d-4342-b332-8c272045cc4f,ECANCELED,"125
"
43cdf634-e9ae-47c0-ac1f-adf1ec0405f3,_ASM_GENERIC_ERRNO_BASE_H,"
"
abef6849-0424-4e58-960e-1f93b4e30d33,__UINT_FAST8_MAX__,"0xff
"
f3a18aa9-cd21-496e-a622-3606b814f8a0,__LEAF,","
6d19311c-ec40-4a47-802e-a6c3ec1fc747,_THREAD_MUTEX_INTERNAL_H,"1
"
47c4ba2e-1b16-4e45-a75f-c8f767087960,"__LDBL_REDIR1(name,proto,alias)",name
6e5a47a7-e302-4005-a237-f84888035d74,_BITS_TYPES_LOCALE_T_H,"1
"
f56b3e4b-9610-4842-b4eb-a2f8278c764b,UINT8_WIDTH,"8
"
5e72def6-25d6-4092-b927-24ab3495582a,SCNdLEAST8,"""hhd""
"
95d55eb7-9354-4892-a035-2711ce772f6f,INT_FAST8_MAX,"(127)
"
85fa5def-f7c3-4d52-ae58-e04da13119a8,_WCHAR_T_DEFINED,"
"
2cfdb604-e26a-4627-a0c6-064f88723a8c,PRIX16,"""X""
"
03a5ed32-977a-4c7b-873f-29132f5999ab,ETXTBSY,"26
"
d312a4f3-b357-4649-9e9e-7d980dac3baf,ENOMEM,"12
"
6eb95356-6578-4928-b16e-491c323d504f,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
c68f0b47-6b04-4503-9f9d-e0ac517c46b8,__INT8_C(c),"c
"
92c0a816-68cb-4236-b4b4-2fbb33365a3f,_BITS_TYPES_H,"1
"
42bd9269-e214-4c1b-9461-6ca34b4081ee,PRIXFAST32,__PRIPTR_PREFIX
30aea9d8-b190-4f9f-a0d1-950d3ea15569,__INT_LEAST8_WIDTH__,"8
"
5f98e758-f20d-4ab6-8def-842eebc15744,__INTMAX_TYPE__,long
b05e9836-dc1a-4942-8cef-cd62d859c0b4,__UINT_LEAST64_MAX__,"0xffffffffffffffffUL
"
ce10218f-62e6-48c5-962f-aa693633f014,_ERRNO_H,"1
"
4ab7247a-cbfe-4547-94b9-4b12ca5d6ee5,htobe16(x),__bswap_16
df89cd5e-92e4-4f8c-a772-28ca6fb5fd2b,NFDBITS,"__NFDBITS
"
db8dd619-f019-42ec-a423-ce983cd5cda4,__SHRT_MAX__,"0x7fff
"
5de33021-7480-4cd1-9d0d-052bcc7514df,__STDC_ISO_10646__,"201706L
"
75121b00-647d-456e-a4f9-edac58cf83e6,SCNd8,"""hhd""
"
40fe4546-25be-4240-874b-b1f659f7f600,__LDBL_MAX__,"1.18973149535723176508575932662800702e+4932L
"
ee1f955b-84fc-418b-a1fc-5b410609ce78,__ARM_FEATURE_IDIV,"1
"
61022885-f114-457e-b5c1-b1c1e6c3a381,__bos0(ptr),__builtin_object_size
1847f13e-1910-4d46-8018-19e698317d44,__FLT64X_MAX_10_EXP__,"4932
"
1630c67f-37fc-4507-b08f-83c75bd28583,EKEYREJECTED,"129
"
b253acc8-908b-4de1-bffe-8287a893c720,__LDBL_IS_IEC_60559__,"2
"
521829f4-0d92-44a1-9323-53ce646aca7c,__ARM_FP,"14
"
3518ccdc-b744-4ff0-981a-aef7129218dd,INT_FAST16_MAX,"(9223372036854775807L)
"
b42b7d4c-2f5a-4d2d-89e8-6f35a1e1b4c4,__FLT64X_IS_IEC_60559__,"2
"
febe6f2d-a87b-483a-9da3-f6a7cd965453,"__FD_SET(d,s)",((void)
fce542eb-8cf1-416b-8a41-d908a6d355fb,__FLT64X_HAS_QUIET_NAN__,"1
"
fee22a9f-393b-4ab1-b490-4631bf786e41,__FD_ZERO(s),do
e34fc4ac-597c-47de-b417-1b70de9527c4,SCNd16,"""hd""
"
91faed77-93cc-4260-9854-b30f64cef703,__WINT_TYPE__,unsigned
610086a0-a982-4192-a12d-2daa5e218274,__UINT_LEAST8_MAX__,"0xff
"
95fab7fa-df82-43f5-a861-019688e83562,__FLT128_DENORM_MIN__,"6.47517511943802511092443895822764655e-4966F128
"
5739ce76-f844-4516-bbae-a1cad8cdfb98,__UINTMAX_TYPE__,long
ab7b73cb-ac00-4f98-965f-ef2e8d18432e,EINPROGRESS,"115
"
b2f9d157-17fe-49e9-ae91-e733df46613f,__HAVE_DISTINCT_FLOAT32X,"0
"
842416ff-87f9-4151-adff-b62b9236b119,UINTPTR_WIDTH,"__WORDSIZE
"
4351ec8d-3992-43d6-90ee-9c5c225d2650,_STDC_PREDEF_H,"1
"
0721fe73-1ce2-44f9-b86d-b9a126617063,EL3HLT,"46
"
f50b841f-649c-4c13-b1d0-953997524986,SCNd32,"""d""
"
3b4462ab-1cb3-4857-856e-e7f250920909,__linux,"1
"
85d27573-b5d6-4f52-b4ba-e8017e8b7aa0,__PRIPTR_PREFIX,"""l""
"
a6835a21-73cb-413f-8d01-fe3229dc15ab,__FLT_EVAL_METHOD_TS_18661_3__,"0
"
73c72acd-a2b5-4d6c-a856-b9f2cb0bf02c,__OPTIMIZE__,"1
"
9f73040f-644e-48a6-bfe0-5eb250fb2656,__CHAR_UNSIGNED__,"1
"
87695fda-553b-4305-b532-2aed25932e26,____gwchar_t_defined,"1
"
cd354361-897e-4078-b807-5f461a215e73,__UINT32_MAX__,"0xffffffffU
"
8ae238a5-109b-4e94-8014-78ba80c3b453,__UID_T_TYPE,"__U32_TYPE
"
e75d56dc-cf52-41d9-a89d-35d232cbcb8d,PRIxPTR,__PRIPTR_PREFIX
8533e005-8888-4de9-baa7-a372ec99beb4,__DBL_DENORM_MIN__,"((double)4.94065645841246544176568792868221372e-324L)
"
c8024e3e-fb45-48f5-ba01-88df31351aef,__AARCH64_CMODEL_SMALL__,"1
"
d795699e-768d-4d78-b0a0-76a74f1f7094,__SIZE_T,"
"
a4369cf0-98f7-48b7-aa99-aafb5c99eddb,INT_FAST32_WIDTH,"__WORDSIZE
"
ed132436-9958-4463-92e9-4debe758f15a,__LDBL_MAX_EXP__,"16384
"
4f467125-860e-41da-9c16-4b635715ca17,SCNo32,"""o""
"
5f6f8b0d-6a8a-49a5-acc3-725865cc4b9a,__INT_FAST32_WIDTH__,"64
"
7575a06d-f6fd-47ba-9b48-fcb5694188a4,_ATFILE_SOURCE,"1
"
16efd55b-fdce-470e-9953-1a12c3f6f82d,__attr_dealloc_fclose,__attr_dealloc
0e0b66d0-c125-42b6-bd43-36d39e7d9b26,SCNuLEAST16,"""hu""
"
f93f334a-91eb-4ce6-ae8f-28430f7128af,PRIXLEAST32,"""X""
"
e0068a76-9f8c-4f32-b506-81af6d1409e0,__FLT128_MIN_EXP__,"(-16381)
"
8c0137cc-7473-4bb6-9de8-cbdd66ef7646,__GNUC_VA_LIST,"
"
5ae8709e-cb8a-4c79-aead-a669cee0b1fc,__TIME_T_TYPE,"__SLONGWORD_TYPE
"
2d73a48b-aaad-4180-910e-8ec839f588ca,UINT_FAST64_WIDTH,"64
"
b03ce167-48e5-4068-99b0-7e20afb7f2a8,INT_LEAST8_WIDTH,"8
"
98cb027b-d1e5-433c-9cc9-dafa4dd89704,PRIxFAST8,"""x""
"
5b1f26e2-781a-4661-9334-923801e40d22,ERESTART,"85
"
