id,name,value
9122ae5c-7d33-4b2c-8601-3994f6e1d022,ESBADFMT,(
0cdb46e6-6985-4384-91d4-3960b7bd37db,__SSP_STRONG__,"3
"
7aee5145-cb22-4af5-a9e2-739e75f2d5e9,__attr_access(x),__attribute__
9d752250-2c30-4382-92b5-a8322985590e,__DBL_MIN_EXP__,"(-1021)
"
c14123cb-d75d-4cc3-b942-19f674ca2294,__SAFE_MEM_LIB_H__,"
"
8979d8a7-ba77-477a-9b87-ec7687a8882f,__LDBL_MANT_DIG__,"113
"
55795ef1-fa5e-4fb6-8a7e-bfedbcf2301a,__UINT_LEAST16_MAX__,"0xffff
"
20cf2262-b7ae-4f15-a72a-912734cb46dd,_STDBOOL_H,"
"
59e6d7b2-d309-4870-8058-03bf47c1a94a,__ARM_SIZEOF_WCHAR_T,"4
"
5a52876e-2689-4c78-8050-b411c4e7e775,__DBL_DECIMAL_DIG__,"17
"
d16ed516-3bb1-4e60-b412-60901c3c90b8,__ATOMIC_ACQUIRE,"2
"
0266dcde-6b8e-4f66-8e66-e902192a3614,__FLT128_MAX_10_EXP__,"4932
"
d4393cc3-ccbe-4468-9325-4228c440fc42,__off64_t_defined,"
"
a389e235-8e7f-4ebd-a5b3-8f76a396c28d,PRIXFAST64,__PRI64_PREFIX
b0b50791-9461-477c-b226-256ee14c2ae1,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
625b154a-6881-4e12-a1a8-25ea60cb9b24,__GCC_IEC_559_COMPLEX,"2
"
0cbcb56d-d02c-421c-b6c7-feecfbb88f6c,SCNiFAST8,"""hhi""
"
909062a5-3b75-4c5b-9256-e20f0c990070,__NFDBITS,(8
6cb67444-076a-4f37-9423-9e2b3ae47856,__GLIBC_USE(F),__GLIBC_USE_
9b937c01-669d-4916-9a42-674b9792ea5d,__UINT_LEAST8_TYPE__,unsigned
cb4ac9a4-c1b5-499f-a563-5bb6a7974f9f,_T_WCHAR_,"
"
73132657-1046-4618-a50d-409657507f0f,EUNATCH,"49
"
