id,name,value
5f1aecab-40d6-46e4-ab8d-d0194fcad1a7,ESBADFMT,(
7910f70b-cb05-43ec-ad15-ae9009b842f0,__SSP_STRONG__,"3
"
75065510-f79d-4ff0-82b2-c808ef3d3f14,__attr_access(x),__attribute__
c27109a7-e919-4051-bf2a-862e0948ff6e,__DBL_MIN_EXP__,"(-1021)
"
56bc8fd3-2017-4273-8f62-84ea4830e92c,__SAFE_MEM_LIB_H__,"
"
9085b675-7eca-4cef-a97e-ce3dbc0737b7,__LDBL_MANT_DIG__,"113
"
afbeeee8-b95a-475c-abf2-4ca807ddd18c,__UINT_LEAST16_MAX__,"0xffff
"
bc2621dd-c802-4fee-8bc4-4f4a48498f58,_STDBOOL_H,"
"
b1a9df55-4e0f-431a-86e0-5cbc716ffa6a,__ARM_SIZEOF_WCHAR_T,"4
"
f194f3cd-35b4-4f91-a997-696e2ab43fd5,__DBL_DECIMAL_DIG__,"17
"
b39cba16-0494-4fa1-8d8b-7d0447398bb4,__ATOMIC_ACQUIRE,"2
"
7e3a3ed9-1b31-4ba1-8084-174a09c84324,__FLT128_MAX_10_EXP__,"4932
"
19d93586-751b-4443-a1e7-e5be9d4e3c43,__off64_t_defined,"
"
438b8ba9-250d-445b-8129-81d72f27790e,PRIXFAST64,__PRI64_PREFIX
17ec977f-e13e-4890-becd-b991be68e805,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
e58ebbc5-e697-463b-9c89-001a4fccb8d0,__GCC_IEC_559_COMPLEX,"2
"
71eedbeb-8e8b-4b53-a9ba-69fc2a76d0e8,SCNiFAST8,"""hhi""
"
49e3b0c2-bcc1-4e01-abaa-9f859ff525e5,__NFDBITS,(8
bc194af9-8a54-42ad-bd8f-411e2dfacb2c,__GLIBC_USE(F),__GLIBC_USE_
2504f239-5154-4b2e-ba2d-c90f8a1c81aa,__UINT_LEAST8_TYPE__,unsigned
ab0f2b93-4440-496b-bf6f-953b7af38adb,_T_WCHAR_,"
"
339cbf67-aa84-47fc-b1e0-514eb70c211a,EUNATCH,"49
"
d28f37c2-407a-4352-9fe3-b10fb4eff1af,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
27d54488-20e2-4157-847f-a94b8303747a,SCNuMAX,__PRI64_PREFIX
72ef105c-5b3f-42e4-af89-ebd6f5ed296f,INT_LEAST16_MIN,"(-32767-1)
"
1e8944cb-5693-46c6-a927-997ad4258adf,__CFLOAT64,_Complex
a7d12bd1-3df3-4a0b-88db-1dc23ad3f53f,ENOCSI,"50
"
6f80633b-9449-4fff-a833-b66fdd3c4876,__stub___compat_get_kernel_syms,"
"
f15e3245-fd2e-4fb3-b5bd-ab989b6b2da1,__S64_TYPE,long
c8f796e2-385d-4ca4-8840-991d5b1f7955,_PRINTF_NAN_LEN_MAX,"4
"
19ee8204-626d-4bb1-93d1-3ab56b834a16,__FLT128_DIG__,"33
"
8b44aa86-5a65-4501-b46c-61503c0c75ea,__stub_fchflags,"
"
f840e620-b1f1-4682-8ddf-b707d47c48d1,__SQUAD_TYPE,long
fa7d2a9e-10c8-4cb3-877f-32ff69b8fc9e,__INTMAX_C(c),c
9a5255b0-7ff9-498a-b39a-1684365e6f55,_BITS_FLOATN_COMMON_H,"
"
026ae355-7393-4e26-a087-3512dfbc531a,__GNU_LIBRARY__,"6
"
96459af7-cbab-4e91-935d-b89e35048b2e,__SAFE_STR_CONSTRAINT_H__,"
"
124b4653-9203-4b6d-8dc8-649454518eb3,__CHAR_BIT__,"8
"
5091a948-41c2-4372-a124-942c4dd19e70,__FSWORD_T_TYPE,"__SWORD_TYPE
"
eee55532-dfee-478d-90a0-01caaa83b781,EAFNOSUPPORT,"97
"
f7884bd4-a7f3-4825-8c26-f8fc831b8998,EREMCHG,"78
"
c7c3e499-1859-4c62-8c61-6e2409c5ece9,__attribute_pure__,__attribute__
f6d90980-3ac8-413c-be2f-3d050f35a726,EACCES,"13
"
ef0c027d-613c-4da3-a012-f5b7a24f5809,__UINT8_MAX__,"0xff
"
b707dd9b-0f9f-4fb2-ba3a-a6a5ce3b5c24,WCHAR_MAX,"__WCHAR_MAX
"
e5d68958-9583-4162-8226-63a84630d2bb,EDESTADDRREQ,"89
"
0ac9e705-c85d-4d95-9924-ba4fae833857,__feof_unlocked_body(_fp),(((_fp)->_flags
ff06af9e-4f95-47d9-841d-fade85558f48,__sigset_t_defined,"1
"
7cc54556-06bc-41b5-8f39-bdd3aa0e781f,__SIZEOF_PTHREAD_ATTR_T,"64
"
068dbec9-2005-4840-a929-f1b543b9a4b3,INT8_MAX,"(127)
"
ea8f0ce0-b3ec-4e9b-a593-c0ae47f93329,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
18e663f7-a86d-4a6d-8360-1de4da308bed,__HAVE_FLOAT16,"0
"
f966547d-9f96-4f03-a3a9-29c2d32b9a8c,stderr,"stderr
"
bc301bc3-ea7b-49b7-8bdb-e2b9de2cd698,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
0b0b9ffc-d880-42ff-b1dc-d69d34383a27,_XOPEN_SOURCE,"700
"
3cdc857d-cad8-4551-9c69-c9d4d65c4b84,UINT_LEAST32_WIDTH,"32
"
1f17c59a-ee7d-43a1-a124-810b110bae16,EILSEQ,"84
"
4b8487e2-6928-486e-b47c-6d0890e1e3f5,ESPIPE,"29
"
30823ac0-514a-43a4-be22-7c74e665149e,INT32_MIN,"(-2147483647-1)
"
45c39416-bcad-4ccc-9ecb-629a89c7a702,SCNxFAST8,"""hhx""
"
de6233ad-bab9-4b54-ab9c-64dc7328441a,EPERM,"1
"
fb709879-f731-4ecb-b34a-332b40db84bb,__OFF_T_MATCHES_OFF64_T,"1
"
754565bf-5468-44ed-85b6-b058a47c2832,EMLINK,"31
"
ab90a5c5-e126-4ae7-9186-35e801d600b7,UINT_FAST16_WIDTH,"__WORDSIZE
"
be6eb7b0-03b6-43cd-98c9-33910d402db6,PRIdMAX,__PRI64_PREFIX
fa3d3157-633f-47a6-8dd5-6c84b826bd04,__WCHAR_MAX__,"0xffffffffU
"
20caf368-1d22-4bef-a32c-c4a45c9f2297,ENOSR,"63
"
2aeb515c-fcbc-4d6f-9d41-48dcd4f03efb,INT16_MAX,"(32767)
"
7b370bb9-f26a-49b1-bc23-5d835c12a65f,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
1aba0b9b-759b-4bd2-b049-17d82aef4217,__STATFS_MATCHES_STATFS64,"1
"
a8a43620-ceef-41c5-9336-863613cb944d,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
f99a78e3-6042-4955-8ad6-c0c8345ae417,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
b9121c1e-a86a-47b6-87cd-c044776a1a16,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
06cc92b4-39e6-4f8b-a642-6034f2a5e6ae,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
