id,name,value
523b3f31-6849-4a47-b4a5-a66fc70b3130,ESBADFMT,(
58fb983b-675f-47ea-bd64-d85cb6b7af2c,__SSP_STRONG__,"3
"
4d27ed87-3db5-495e-98e9-edc69bd30079,__attr_access(x),__attribute__
4445112b-e7e3-4e07-8832-b1a241cc1a6f,__DBL_MIN_EXP__,"(-1021)
"
e2844a16-f545-4c10-9e58-39df4c6e5e51,__SAFE_MEM_LIB_H__,"
"
fa0e0681-f81b-4f89-a9e5-9afefc6afcee,__LDBL_MANT_DIG__,"113
"
3f30278c-c8f5-4b4d-9205-bfa605a6d000,__UINT_LEAST16_MAX__,"0xffff
"
5984a3d5-976b-439a-888f-e05b89efe200,_STDBOOL_H,"
"
98dfce1b-96c5-4ea1-a515-0b4219590145,__ARM_SIZEOF_WCHAR_T,"4
"
7cf1d2de-48a4-4c88-b307-247e5bffa926,__DBL_DECIMAL_DIG__,"17
"
175c03a8-738e-4a12-823a-217be8691157,__ATOMIC_ACQUIRE,"2
"
33e61df8-cce4-4d4a-aa91-55f7751e1c0f,__FLT128_MAX_10_EXP__,"4932
"
72d22402-cf3d-48ce-b357-6ecde5bc08d2,__off64_t_defined,"
"
bd7f4b97-a457-46d6-8fdc-28486f175c78,PRIXFAST64,__PRI64_PREFIX
693785d1-bf71-4d7e-9fc3-e5034e99e6f7,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
fe05d85e-aa27-4340-9cb6-752b6e409cef,__GCC_IEC_559_COMPLEX,"2
"
f3528078-1cf0-4235-a3a3-8834987b79bd,SCNiFAST8,"""hhi""
"
fc43e072-4f20-47c9-96d1-65e8a93f8a55,__NFDBITS,(8
00ffaaa8-3d64-467c-b32c-dc7107616a4b,__GLIBC_USE(F),__GLIBC_USE_
8da86244-bfb9-448b-89aa-b58ff8ecd067,__UINT_LEAST8_TYPE__,unsigned
967933ed-6650-4882-bf12-65f28b59b973,_T_WCHAR_,"
"
9627f457-84da-42e7-b7c3-18de2ee7faad,EUNATCH,"49
"
99b5e670-f27b-41ed-91a4-81cd09a0c763,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
18b4725e-1c52-4356-8469-5e386dd257e9,SCNuMAX,__PRI64_PREFIX
811dd4ab-e207-400d-ac4a-c39e8741e988,INT_LEAST16_MIN,"(-32767-1)
"
bbe6e7a4-69fc-4875-afcb-e17a1dae93c6,__CFLOAT64,_Complex
f039edb9-12e2-4495-ba69-3bf98b410a13,ENOCSI,"50
"
5ecc2069-5887-4a1c-98f8-bd60551fcc35,__stub___compat_get_kernel_syms,"
"
dbca4810-ed9b-4072-b434-1750886ab47d,__S64_TYPE,long
4de3602a-c458-465a-8fe0-3da9f0e27880,_PRINTF_NAN_LEN_MAX,"4
"
374eff43-fd92-47c9-a65b-14721b29e921,__FLT128_DIG__,"33
"
1e4e7ae5-cfbb-4a8e-b760-10f8b3c6966d,__stub_fchflags,"
"
4cba8356-9e34-4bd8-b45d-d93d50b210e1,__SQUAD_TYPE,long
152a7edc-c4c9-47d2-a069-b276237718f7,__INTMAX_C(c),c
b5d7b33a-d183-45e9-a145-9261350a70e6,_BITS_FLOATN_COMMON_H,"
"
f4c60a79-905c-4d9a-bd1b-f6f879941417,__GNU_LIBRARY__,"6
"
f3fc804d-beac-4ce1-80fd-ccb06635d1f4,__CHAR_BIT__,"8
"
d65e43da-7444-48b0-a9d6-5cc1bada75e3,__FSWORD_T_TYPE,"__SWORD_TYPE
"
e5de63cf-a5dd-4e2b-9103-8411536d455e,EAFNOSUPPORT,"97
"
82d95371-2bc6-4b0b-b666-6d1df0798163,EREMCHG,"78
"
b1733ec5-a875-4908-991e-a30bb5e4808f,__attribute_pure__,__attribute__
059b4adf-053e-4efa-9490-c2dbbf4d3e13,EACCES,"13
"
7d2499cf-074b-4ccd-ad16-159e9ca34ab7,__UINT8_MAX__,"0xff
"
e6ba0ca0-0579-4c28-b1c7-a969c2376739,WCHAR_MAX,"__WCHAR_MAX
"
0d02cf0b-b775-4334-9e76-87f18d3673f1,EDESTADDRREQ,"89
"
007c6411-8d5a-4bdb-8d5e-365756cdc783,__feof_unlocked_body(_fp),(((_fp)->_flags
48067650-340e-472d-9f23-a5ed18d45669,__sigset_t_defined,"1
"
585c46fe-a762-4ab6-98a0-85ea572b8e43,__SIZEOF_PTHREAD_ATTR_T,"64
"
d2ece62e-b4d7-41da-9b98-f6bd7854af0b,INT8_MAX,"(127)
"
b82cfa15-bdff-432f-a4fe-aa392d34299f,UINT_LEAST64_MAX,"(__UINT64_C(18446744073709551615))
"
1e7eec3b-68df-412c-8751-b7cfdd522ec3,__HAVE_FLOAT16,"0
"
56b69883-2551-4ada-9002-d6693d6eacd1,stderr,"stderr
"
cafe0c7e-d534-4053-969c-aed9d09c2937,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
832d2dca-9a92-40ba-acbd-5d64c1595499,_XOPEN_SOURCE,"700
"
fcf39f60-a5b0-4e3f-95d9-d1503f8b2d7e,UINT_LEAST32_WIDTH,"32
"
7af7da72-41b6-4f4c-be2e-5c008b45fc15,EILSEQ,"84
"
b0e70624-1c88-4c1e-9a7d-6c74999df886,ESPIPE,"29
"
fb519e42-6bfe-4b60-a726-40a0ba428ed6,INT32_MIN,"(-2147483647-1)
"
8c18f1b9-f952-4d62-85c7-d05b778e74dc,SCNxFAST8,"""hhx""
"
9e2251df-d701-4c36-b54b-f69bf65a4827,EPERM,"1
"
0e9e956a-4baf-4cd4-bd03-049d8b2c9181,__OFF_T_MATCHES_OFF64_T,"1
"
ff283886-f0c4-466b-878f-27c5e71e8b7e,EMLINK,"31
"
8bf82b75-37f3-41e3-bafd-5f3014c959c3,UINT_FAST16_WIDTH,"__WORDSIZE
"
97c4c65b-f0fe-4bfc-bb82-d6701df94c91,PRIdMAX,__PRI64_PREFIX
331c2dc8-5ac6-42e7-b3db-1611f9e9b601,__WCHAR_MAX__,"0xffffffffU
"
aca670e2-a180-4c33-9c8b-d9626b6094ce,ENOSR,"63
"
1c948e23-64db-4118-a9d9-250267262acb,INT16_MAX,"(32767)
"
64d85b6d-e4be-4f54-9afc-cfe1c7d725d2,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
3dffe2f7-cd19-4a0e-b368-6e18f3f69201,__STATFS_MATCHES_STATFS64,"1
"
8976fc07-9574-4277-975d-7d725b4623ec,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_2,"1
"
70eb9502-c920-4cbb-aaf4-ccc8fabaad19,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_4,"1
"
7902114e-4fb0-414c-8cc6-045bee0c6918,__GCC_HAVE_SYNC_COMPARE_AND_SWAP_8,"1
"
715d3e11-2df5-4a2d-a3fd-aaf778b7765b,__GCC_ATOMIC_CHAR_LOCK_FREE,"2
"
c7d38483-9a4c-4a99-8aa8-43cb3e474e20,__GCC_IEC_559,"2
"
e7f1764c-c9e4-4e96-ac91-2e64ae2816ea,__LITTLE_ENDIAN,"1234
"
55856bcd-c7df-416c-adaf-7df27e663048,INTMAX_MIN,"(-__INT64_C(9223372036854775807)-1)
"
e0a73195-74f6-452e-a5eb-d08359ffebf6,__FLT32X_DECIMAL_DIG__,"17
"
847ec7fc-1827-4647-93f8-eb4f5278e600,_IOFBF,"0
"
628d5882-8dbc-4c9b-adbc-28c8d4f90b6a,__FLT_EVAL_METHOD__,"0
"
edc1cfe7-9be7-4715-96a2-b496d45af2e6,EL3RST,"47
"
53ce4674-5088-490a-8dbc-8fee5ebf55b7,_IO_USER_LOCK,"0x8000
"
4197b947-858c-4a3a-a851-241a4f91e67e,"__ASMNAME2(prefix,cname)",__STRING
4d535811-753e-4f9d-baec-c725eed086de,INT_LEAST32_WIDTH,"32
"
1efec238-75c6-4bf0-827f-bd4bead83c04,SCNiPTR,__PRIPTR_PREFIX
16a4e835-3820-4b28-9508-fa679ffe4569,__FLT64_DECIMAL_DIG__,"17
"
020a4402-4931-46b9-881f-f768b20ee53b,_WINT_T,"1
"
8e21f08e-33a7-4c4d-93f3-6cd9eab095cb,__GCC_ATOMIC_CHAR32_T_LOCK_FREE,"2
"
d8d8f0c1-5054-4305-9a8a-3d2707a3be85,__HAVE_FLOAT64,"1
"
