id,name,value
4c19cf0c-0d1d-479a-930b-d1df2573c820,ESBADFMT,(
7168458e-e7f4-42ba-8013-cb04006a1fc4,__SSP_STRONG__,"3
"
5d0d784d-b269-4d2b-b149-a6b9be809fd1,__attr_access(x),__attribute__
012b842e-622b-4b19-82bd-d66dad6a0e28,__DBL_MIN_EXP__,"(-1021)
"
ebdbbe72-5411-4117-b8d0-f7a7496c4efc,__SAFE_MEM_LIB_H__,"
"
3e25cdff-ce0d-4e21-a5e0-36b0ff41f04f,__LDBL_MANT_DIG__,"113
"
83d82458-16f6-43e0-b459-6a83d8b1d0a7,__UINT_LEAST16_MAX__,"0xffff
"
78d822ea-056b-40f0-a304-f7d5a26f982e,_STDBOOL_H,"
"
c683e45f-b2bf-4c25-959d-1158b6c9d97c,__ARM_SIZEOF_WCHAR_T,"4
"
0cdecccf-f46a-4ab8-a15f-ca2427a0035c,__DBL_DECIMAL_DIG__,"17
"
d5de7cc4-668a-46a4-81c2-a8f4a14f98c6,__ATOMIC_ACQUIRE,"2
"
922fcf8a-74fb-430e-8922-9ef6e434236a,__FLT128_MAX_10_EXP__,"4932
"
6d296601-0b88-4b15-bbf7-54f441fd1388,__off64_t_defined,"
"
c257c140-a32c-4f36-a0d8-2adbb70b39aa,PRIXFAST64,__PRI64_PREFIX
fab8acbd-5a71-42ee-b472-f45b392ba929,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
61b4e282-67cd-4590-a4b0-36013bc925d2,__GCC_IEC_559_COMPLEX,"2
"
bc2a79cf-6865-46a9-8d4a-70db181a85b4,SCNiFAST8,"""hhi""
"
4c41526c-e6ad-42a2-af4b-6b949107a5d6,__NFDBITS,(8
785f9182-f560-4b80-8377-c8e99350fe8c,__GLIBC_USE(F),__GLIBC_USE_
619e9d33-14f4-484d-9b04-2d4ea0f4f5a0,__UINT_LEAST8_TYPE__,unsigned
4af067f4-93db-4e22-b68f-bb26fc9ba47e,_T_WCHAR_,"
"
be4262f3-3430-479c-9fab-ff02a5291d3c,EUNATCH,"49
"
40c2bb2d-10c8-4e77-9acf-21d605696f30,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
36937886-1723-417e-9e3c-e10c3e003e13,SCNuMAX,__PRI64_PREFIX
e69fde2f-84a4-4835-9058-7dce40b74430,INT_LEAST16_MIN,"(-32767-1)
"
8dfacec2-9404-45b0-a6a7-53e04c574b61,__CFLOAT64,_Complex
0ffff850-c183-4173-bb7e-3bada3b61d5c,ENOCSI,"50
"
d52d2b23-8400-48ab-9d37-77d53c952cb4,__stub___compat_get_kernel_syms,"
"
0e0a0017-5d44-4f88-9ab0-37c39b7d4500,__S64_TYPE,long
ec05a253-1561-4911-af0c-f339950bb923,_PRINTF_NAN_LEN_MAX,"4
"
a8816982-844f-4d04-ae44-c26fc4a29809,__FLT128_DIG__,"33
"
d54c00b3-5d77-4fa6-951a-07171a15626d,__stub_fchflags,"
"
e91c6f4d-d152-4b9b-b108-7a69f5cd1ab8,__SQUAD_TYPE,long
e36df3c9-9507-497a-ad29-fd28a1319a43,__INTMAX_C(c),c
ff978b57-0e74-4c86-b101-bcff3ae5f8ce,_BITS_FLOATN_COMMON_H,"
"
de3e026c-5659-4e27-be2a-b14608d0bd3f,__GNU_LIBRARY__,"6
"
51adc46c-51f7-4880-ae3e-dad92122a27c,__CHAR_BIT__,"8
"
