id,name,value
1460a43b-d2a1-452f-92e8-7b766af8b1c6,__S_IFBLK,"0060000
"
97fd644d-d194-48f6-a96f-e07639e0f0fc,DatumGetByteaP(X),((bytea
c8c8ea01-82b3-4e7f-bf4d-41ed500edd56,Anum_pg_index_indisready,"12
"
6523f677-89c6-43f6-b00e-0573cf2ae78f,GUC_SUPERUSER_ONLY,"0x0100
"
627c177e-542b-4707-9316-7c4178b83e55,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
9a102c0a-7001-47eb-b7ed-ff65f2b9d7fa,BootstrapTransactionId,((TransactionId)
092331f3-1608-498a-b9ff-c26b27c9fe94,DATEMULTIRANGEOID,"4535
"
9af6d21e-e63e-434c-9e96-a1f6c6e0df28,__SSP_STRONG__,"3
"
5dae9060-efcd-40af-ac7b-be53a3b8b78f,__attr_access(x),__attribute__
076924ef-f566-4d56-8853-1ab9aa9f8ca9,IPV6_2292HOPOPTS,"3
"
d8af6bce-ce6d-47ed-9928-965b84b69002,RELKIND_PARTITIONED_INDEX,"'I'
"
06b86cc4-45a1-4c5f-824c-fb0090f1540c,ALLOCSET_DEFAULT_MAXSIZE,(8
76ba5e18-e9d5-4fe0-98c7-27ca728bf727,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
7dac8e7f-900a-4fbf-bc66-d5d8459a298e,AT_STATX_SYNC_AS_STAT,"0x0000
"
cedc3206-453f-4a24-a970-b0d612a55e35,STATUS_EOF,"(-2)
"
9039ad82-e85d-4ad1-a302-37135f0b5202,AF_MAX,"PF_MAX
"
d0c26d74-fd9f-48ea-8d3c-92c56a8d3529,_SC_PII,"_SC_PII
"
96007d33-da3f-4a52-982d-0d35ad276fa3,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
82f218f1-20e9-494a-885d-9d1a834f1dba,__SIZEOF_WCHAR_T__,"4
"
d2bc7588-e40b-4195-ad88-18864e5c253a,__UINT_LEAST16_MAX__,"0xffff
"
6ebf0e7b-c672-4d66-9c1f-0a52aec9ff86,IP_ROUTER_ALERT,"5
"
bd62d8f2-9af7-4864-8d79-46478dd32ddc,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
a53502d9-a79d-47d9-977e-a4b5374d85cb,RE_DUP_MAX,"(0x7fff)
"
07ccb3d3-cf66-456d-9b17-d3a0673aad0d,SVE_SIG_REGS_OFFSET,((sizeof(struct
a9f0fe4f-75bb-43c2-9641-c5cee7ed1f71,SRF_FIRSTCALL_INIT(),"init_MultiFuncCall(fcinfo)
"
1825d8f5-87a0-4dcd-a58b-29403f942b5b,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
9189a483-4685-4f1b-8ddf-39993e45f732,sa_sigaction,"__sigaction_handler.sa_sigaction
"
e28506ef-bba7-4e4e-9c8c-dd68bde0dd3f,XLOG_MARK_UNIMPORTANT,"0x02
"
e7943b3b-c3bd-4f93-b32b-88f79224c6a8,ILIST_H,"
"
fe6f34b1-b180-416b-91ac-d67a196405a9,CreateSimpleHashSet(keyType),"CreateSimpleHashWithName(keyType,"
bb24514a-86a8-48a2-805a-649fc813ad5d,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
bded8170-916b-4026-b00f-76ad6ada3170,"timeradd(a,b,result)",do
518c0cfa-8e26-46a4-af92-1fd052bf77cc,__NFDBITS,(8
cecdce41-c00a-4159-898f-c9024f8f2281,si_fd,"_sifields._sigpoll.si_fd
"
0ba46729-4261-4e1d-8eaf-1b51425ce58f,USE_LLVM,"1
"
a75e8b32-4c30-4706-9ebe-a58090ce9c5c,_T_WCHAR_,"
"
a03125f0-3822-4449-bc52-f27a21858d39,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
5e31a4ec-221d-42d6-b252-6fb526fe7500,NI_MAXSERV,"32
"
a1ba81d7-b022-4979-bc61-5a691fdf53eb,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
8386c64c-579a-4f6a-b413-026f5832416b,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
420bc0a9-e897-4080-82b7-ab88f783cd3f,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
ce0c8085-6cac-4b11-874c-1644bc5952f8,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
3b0226e0-2e0f-43ba-a669-559b6937ee77,_PRINTF_NAN_LEN_MAX,"4
"
954618a0-ccb5-4679-8200-c2255d247f9f,PG_BINARY_R,"""r""
"
a55228e9-b3a1-483d-b892-e2062faac354,PG_BINARY_W,"""w""
"
