id,name,value
569ef9a6-46ba-41d9-b653-4a59e6a7f9aa,__S_IFBLK,"0060000
"
95b35b38-5628-4c76-9231-417bab94a914,DatumGetByteaP(X),((bytea
48a15c29-21b9-4e13-ad31-21d6526da86a,Anum_pg_index_indisready,"12
"
6763f63d-cd53-4063-8deb-1387f17e19b1,GUC_SUPERUSER_ONLY,"0x0100
"
86a11ea0-e5ef-4095-aa57-e93b9187b05a,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
c8c0ed64-8f9e-4de8-8204-7c5f0771523f,BootstrapTransactionId,((TransactionId)
84794cfe-600f-4144-ac84-48627fcc17b8,DATEMULTIRANGEOID,"4535
"
a4942a25-2c0f-47ae-a4a7-f4b3dc985b02,__SSP_STRONG__,"3
"
26575ceb-2a8b-442f-97b5-b17ef5a7efef,_TIME_H,"1
"
4e522709-01f0-4ead-adef-35aeac7ebdc7,__attr_access(x),__attribute__
35da9501-7823-447d-8d2a-b1802ca32916,IPV6_2292HOPOPTS,"3
"
f3ef0d4f-81ee-4351-89e6-91ad7b2a08b8,RELKIND_PARTITIONED_INDEX,"'I'
"
b5c8913a-3dc4-45d8-a33b-da15cc6f18df,ALLOCSET_DEFAULT_MAXSIZE,(8
0735bb82-f38f-4dd4-b476-612f906abd15,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
ccc3ffc6-a6fb-4531-8343-2b072bb17cdc,AT_STATX_SYNC_AS_STAT,"0x0000
"
f90bc24a-51b5-42c1-850d-d03edb10c401,STATUS_EOF,"(-2)
"
bfde9905-c8e6-4e1e-8246-57244dfaa0d5,AF_MAX,"PF_MAX
"
91a06192-34ea-4ccf-8286-cbccf1b5c993,_SC_PII,"_SC_PII
"
c4afce62-6217-4330-82d4-3805170494df,__GNUC_EXECUTION_CHARSET_NAME,"""UTF-8""
"
af856288-5cd4-4168-b2a6-97cd8ecfd8b0,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
174b7575-6b77-4dd2-a7a6-7a1b5c4db636,__SIZEOF_WCHAR_T__,"4
"
d499e6f1-7360-48f2-982e-64db52aff4c9,IPPROTO_COMP,"IPPROTO_COMP
"
5500e654-daad-45a9-8a01-cc17bb2fb4c5,__UINT_LEAST16_MAX__,"0xffff
"
cd9e633d-57d2-490d-b9a8-94b88d0dd78f,IP_ROUTER_ALERT,"5
"
942ed5a7-716a-4d32-8940-c793e3f5597c,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
a4bee160-c60f-48fa-adf8-4065c1e21122,BKI_BOOTSTRAP,"
"
8ce6bafd-b8a6-4fe3-b71c-4863ec6a3b8b,RE_DUP_MAX,"(0x7fff)
"
f9c3e9db-d282-4caa-87b6-f8b0258c5c09,SVE_SIG_REGS_OFFSET,((sizeof(struct
f3331fd5-d354-4490-ac2e-75c56c08948f,PVC_RECURSE_AGGREGATES,"0x0002
"
8401e663-f2f3-4c98-9178-c0a59f47af2a,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
48470808-5b32-475e-b9dd-09d4c9b7efa1,sa_sigaction,"__sigaction_handler.sa_sigaction
"
5954f439-f961-4c16-b8db-6059035e6c15,XLOG_MARK_UNIMPORTANT,"0x02
"
1603b40e-8c6a-4c83-850b-029816dce964,ILIST_H,"
"
0712a74a-49de-4891-95de-43aac5667afd,__NFDBITS,(8
65d1ddb4-ca71-47e3-a33d-782093cb3971,si_fd,"_sifields._sigpoll.si_fd
"
618727c5-ac02-4f31-b999-32d3b025f88d,USE_LLVM,"1
"
ac8e4706-f557-45d7-89d7-0a2622f8cca3,_T_WCHAR_,"
"
7f18f665-7b6d-4362-9fe9-a35cab871d96,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
19f15fb1-783c-4dd4-8bf6-705aa7b292d6,NI_MAXSERV,"32
"
16d2f563-33b0-498e-ab05-3e254c18fa8a,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
5b83ce9b-88fc-46c6-b700-681ecfab369a,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
f6252acb-6d95-4105-af26-b30d844bb324,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
8e4aead1-8466-4b4c-961e-a0faccc4d087,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
75a788cb-52b6-4a45-a411-310b7b043948,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
c9db8cc1-1ec9-4f3d-91e1-fbb394c6f281,_PRINTF_NAN_LEN_MAX,"4
"
3f091e78-c5e8-4c4a-8d74-afdd5c027a4f,PG_BINARY_R,"""r""
"
7be921a1-2c81-4265-9471-d5e15df077b9,PG_BINARY_W,"""w""
"
10cb7742-9b16-405a-a520-4b83b2f0adc2,INTSTYLE_POSTGRES,"0
"
3f500c0b-078a-49ac-9061-5a0feba5ae2d,PRIuPTR,__PRIPTR_PREFIX
aa4ca703-aebe-4efa-ad6b-dc27a167f1e4,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
d72ee32e-6ddb-4449-83b7-8c43533fd71f,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
c74bfb57-c0bf-450a-b35c-73ccdeae1d3a,GUC_UNIT_MB,"0x4000
"
add2f6c1-c9f5-46cd-ac16-cb05ba238aa0,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
6413d3fc-318b-484c-8249-a0ae8b7bd6f4,__GNU_LIBRARY__,"6
"
1658d96d-46dd-4288-930f-edebe6651178,NL_NMAX,"INT_MAX
"
b1746ba4-da80-44eb-b01f-8307308ae804,GUC_UNIT_MS,"0x10000
"
b0e4d9cf-929a-4ee3-97b8-a172c3479862,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
9d148a26-b141-46d5-a3bb-10363c633c60,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
43ce778e-d559-4271-a2b2-ad07db33e489,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
e0c474a3-fd72-49a5-9169-53837046f5d6,CONFIGURE_ARGS,""""
d8b22f67-f727-411f-9cd8-5f2237c010fa,CLOCK_THREAD_CPUTIME_ID,"3
"
74c51692-249b-4d4d-9294-c5db6c94e4b6,HTUP_H,"
"
b89469e5-c57f-4158-8bdf-4117921d9bed,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
55c2d2ae-d7b5-49e6-a907-fa8ee3765c96,SO_NOFCS,"43
"
4f5c9c6b-9f2c-43a5-8d31-c6d6d0cd15ed,PG_RETURN_UINT32(x),return
