id,name,value
c6a25218-4291-4616-a005-4b30a7b1af6d,__S_IFBLK,"0060000
"
1a2ebb5d-42dc-4fba-834e-675143050cde,DatumGetByteaP(X),((bytea
ac166946-8228-41ec-9252-b70ff267b8e3,Anum_pg_index_indisready,"12
"
7e49ba93-e87e-43dc-9f2c-f18a9afa13c8,GUC_SUPERUSER_ONLY,"0x0100
"
c8eb6a27-8a79-45e3-b562-8df75369cd34,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
e121c4f2-8925-42eb-998e-af0ffd6f38bd,UNIX_EPOCH_JDATE,"2440588
"
80457de6-66c8-40eb-b21a-cf3d644ccf85,BootstrapTransactionId,((TransactionId)
1fdb1519-4977-4293-a39e-635d9b0f6887,DATEMULTIRANGEOID,"4535
"
af107d26-3526-48d1-8c3b-ce9490e9f190,__SSP_STRONG__,"3
"
36b87d50-2705-47a4-a8ef-8c6f6a2b660b,__attr_access(x),__attribute__
c4507419-2f39-47e7-a10d-962cad6fa966,IPV6_2292HOPOPTS,"3
"
a7963610-89f0-4e2f-8fef-152e8fd745ad,RELKIND_PARTITIONED_INDEX,"'I'
"
c167fa82-57d1-4849-9fe1-ed89123d82ff,ALLOCSET_DEFAULT_MAXSIZE,(8
20762607-d89c-4195-8647-0aa95fdacb1c,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
10723992-54b1-4ec5-b62d-ea350dff6b84,AT_STATX_SYNC_AS_STAT,"0x0000
"
554a96d7-8924-4ee6-8022-1fd99a56e0b9,STATUS_EOF,"(-2)
"
a8b49288-6972-49da-9077-9c31b2e34e94,AF_MAX,"PF_MAX
"
d294bbc0-de09-45ee-88ac-5762f817180a,_SC_PII,"_SC_PII
"
16e67454-4e21-4591-8313-fd557346d182,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
10dfaad3-f3ea-491f-b76c-9e424517ffcf,__SIZEOF_WCHAR_T__,"4
"
c7f73e14-3a54-4abf-ad7f-9721d56d4cd7,IPPROTO_COMP,"IPPROTO_COMP
"
b657a33c-6bed-4179-a36b-3e680550e670,__UINT_LEAST16_MAX__,"0xffff
"
e3b6ec20-396c-4a06-9014-0592ba2af5e7,IP_ROUTER_ALERT,"5
"
e77082fc-b862-4112-a2e3-d317b4a741b3,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
4b79b2e0-a058-42d3-8f9e-fa2a0aaf2ec4,RE_DUP_MAX,"(0x7fff)
"
0a464d1a-a348-4384-8a7b-763415e2dc71,SVE_SIG_REGS_OFFSET,((sizeof(struct
84555735-02e3-484a-a735-fc228928c8f3,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
e0b1b092-aa9f-40dc-b9b7-d0639cc9cc7d,sa_sigaction,"__sigaction_handler.sa_sigaction
"
292b76e0-6ce9-4db1-9e9f-d7417ead292a,XLOG_MARK_UNIMPORTANT,"0x02
"
510af09b-db27-4931-8af0-1b8c6c4df707,ILIST_H,"
"
8d8e9437-e699-45c6-9aa0-bbc5cdf63f31,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
dcf876a6-7162-49c3-8a2e-2cf6d9dd90fe,__NFDBITS,(8
ee5c251d-28d5-4195-8d1a-9fb7a98732b3,si_fd,"_sifields._sigpoll.si_fd
"
c88ba99f-987e-493d-99df-6c3cb0a22023,USE_LLVM,"1
"
4676b525-93c8-49ce-9fec-e617253a72d8,_T_WCHAR_,"
"
880e0154-0bde-4691-ada5-a668244a59ed,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
57967e43-3898-4326-9a84-308ad85b0924,NI_MAXSERV,"32
"
41a4cdb3-3fec-45bf-ad1f-a28092f56210,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
fb0986c3-d590-49b6-b77d-26796c9269da,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
847ab98c-64d1-457a-9397-fbd9e737e5f9,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
e5133253-3663-4079-b6ee-3b2661724cfc,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
9acb3779-467e-456e-9e9b-075228d8dcc5,_PRINTF_NAN_LEN_MAX,"4
"
c34262dc-6aac-430d-810f-a95db380bccc,PG_BINARY_R,"""r""
"
f7597c7d-371d-4cea-b52d-54f491c3825d,PG_BINARY_W,"""w""
"
d38a5e7a-d789-4508-a8d0-fec1330fdfd6,PRIuPTR,__PRIPTR_PREFIX
52cfdbc6-35a3-4900-9de8-328c9b9acfef,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
477f1006-f0fc-4aae-bb62-d261d5fd61c7,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
fd572399-1114-4554-b82a-2f4a6ab21d60,GUC_UNIT_MB,"0x4000
"
5f9335aa-97bb-4599-acea-49ed47dad28e,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
343673ce-79e9-483c-a32a-9c1e8b7eb283,__GNU_LIBRARY__,"6
"
1f97aa6e-3612-48f3-abd3-9433a67f9a2f,NL_NMAX,"INT_MAX
"
142660dd-090b-4776-beaa-ea80293d2898,GUC_UNIT_MS,"0x10000
"
b0d6fbf1-ce98-4ba3-8c0b-0941f6ac883a,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
30d0c7ba-2a66-4440-b7a5-c403748e19ee,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
2e85ac7c-e9f2-4c8d-bb4f-81ade090841c,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
f6d11b50-49c0-4ea6-8a1d-6a716fcf5616,CONFIGURE_ARGS,""""
d010eae8-bee3-453c-89ac-b6c044a3331a,CLOCK_THREAD_CPUTIME_ID,"3
"
576c8c65-ec32-4571-bfef-a2e33df542a9,HTUP_H,"
"
a1c416c1-d51b-45e9-8ed2-6d7d5549304c,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
c7d286aa-57a1-40a5-965a-3b5cc5ff2f86,SO_NOFCS,"43
"
d3175352-7468-4d02-a73f-bb708a9a8677,PG_RETURN_UINT32(x),return
aafe96d7-cdbf-45bf-8883-8d7e1e4f9e9b,__SCHAR_WIDTH__,"8
"
bad59a81-35b2-40fe-b566-61cde801b181,SOCK_RAW,"SOCK_RAW
"
97c349be-9343-4480-bb61-2439d897618b,EDESTADDRREQ,"89
"
13852036-e188-40b9-9da7-5cf91da9694b,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
31a57b5a-5d47-4c3e-86e1-87063f7c8806,AMFLAG_HAS_TID_RANGE,(1
d4cead7d-00cf-4873-833e-9b814306599b,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
16696f52-8162-463a-a394-cb83c1e26731,FIELDNO_MINIMALTUPLETABLESLOT_TUPLE,"1
"
5a35c3dc-46ca-425e-bebf-52c4221d600c,si_pid,"_sifields._kill.si_pid
"
7ff7a683-32ee-43f9-8e05-d8bb0278d70a,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
963849a7-0079-482d-85a5-f19c4ebd8a93,PG_MINORVERSION_NUM,"5
"
c0e8874f-dc2a-40fc-817b-32452d5a5435,REGOPEROID,"2203
"
0e7d87c4-1199-4b98-a3ec-d907de0e2d4c,RECORDARRAYOID,"2287
"
8be7881a-61e3-4dc2-8000-3c440c072368,IPV6_ADDRFORM,"1
"
dba9bbe5-c21e-41a3-b804-6c660f79a708,VARDATA(PTR),"VARDATA_4B(PTR)
"
825afdb7-0a95-4dff-9bfb-c795f45efce2,SOCK_RDM,"SOCK_RDM
"
e5e9f740-7e0a-4552-9277-d93865f75110,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
9b7e1dd7-408a-4054-8964-f1eacdbf55d5,HAVE_GETOPT,"1
"
ef038f7f-07d6-4641-8084-3c112d992fde,IPV6_CHECKSUM,"7
"
bf8c4190-e42c-4fb7-9f79-48b5e70edbe3,EMLINK,"31
"
e67a04be-9ee4-4e5c-bbd0-5fd559687995,AttributeRelidNameIndexId,"2658
"
2741ae6b-b050-4e11-b90a-b1f8ce8880dc,IP_MAX_MEMBERSHIPS,"20
"
8f5d4fb9-e956-4b25-a958-4fbdd8ea81bb,BITMAPLEN(NATTS),(((int)(NATTS)
6211b6a1-ee9c-44e5-92b7-c396dae4693e,PG_MCV_LISTOID,"5017
"
202ed920-f8ea-477a-8158-cf10d96940eb,"__ispunct_l(c,l)","__isctype_l((c),"
7ba44419-0a04-4e70-8b09-375fcef6bcfc,MaxAttrSize,(10
9b91a044-f92d-4c52-b0b9-55a97a21fb28,ERRCODE_UNDEFINED_COLUMN,"MAKE_SQLSTATE('4','2','7','0','3')
"
a69c66af-1bea-4d42-9206-f170f43328c9,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
2eafbb39-01f9-4bff-bf6a-ba80130432c9,IPPROTO_ROUTING,"IPPROTO_ROUTING
"
860248e8-f451-4a0a-b162-25c682a2a8c7,MCAST_LEAVE_SOURCE_GROUP,"47
"
442cf28c-fd7b-4c0a-8086-a9008268fab0,"ACLITEM_SET_PRIVS_GOPTIONS(item,privs,goptions)",((item).ai_privs
e18f3256-d4ed-4fc4-be6a-c91a4902d1f1,__FLT32X_DECIMAL_DIG__,"17
"
3b2ee176-773a-443d-bb45-6e9c6e5853fb,IPV6_IPSEC_POLICY,"34
"
16ddde8f-c2e2-4500-9693-e4837c0daf84,ItemIdSetDead(itemId),(
fa71e7fc-ad4a-41a9-875f-f597ef3b2d5f,TUPLE_LOCK_FLAG_LOCK_UPDATE_IN_PROGRESS,(1
e8517e03-a535-4026-a901-1d7290130285,STA_DEL,"0x0020
"
6474c195-1d87-450b-ab42-f54de37ac141,"planner_rt_fetch(rti,root)",((root)->simple_rte_array
731a3496-b21f-4e74-aea4-cb86326eb7cd,_XOPEN_VERSION,"700
"
6e3be09d-b452-4b3e-b855-e6db8d7638df,LC_CTYPE_MASK,(1
a1466c81-3ea0-499c-9b39-5fe31b17ba6d,BGWORKER_CLASS_PARALLEL,"0x0010
"
2da39f7e-792a-4a6c-bd20-1f5b718838e7,IP_FREEBIND,"15
"
a1d17447-adde-48f1-8a1c-f9807c87ef79,PG_VERSION_NUM,"140005
"
844c6a1b-f316-41fa-921d-4ebfa391e58e,init_local_spin_delay(status),"init_spin_delay(status,"
e26081f8-b592-4b84-a3c8-944e913bd1cf,REGDICTIONARYOID,"3769
"
98f65c6d-375e-499d-8b3b-09e5d53ebae2,__FLOAT_WORD_ORDER,"__BYTE_ORDER
"
27d0d51a-d946-480c-ae72-ccab8bceb641,__SAFE_MEM_LIB_H__,"
"
8748bd86-d24c-4c48-9eeb-5399c31d2361,__RLIM_T_MATCHES_RLIM64_T,"1
"
6937eb29-e067-44ec-8b09-62080f9dcb0f,_BITS_PTHREADTYPES_COMMON_H,"1
"
6bc78c05-487e-4aab-8e6b-e33239c67274,TYPCATEGORY_COMPOSITE,"'C'
"
adf805db-9aef-4640-a247-1ecae37fca13,Anum_pg_dist_partition_partmethod,"2
"
ec2b90cc-42cf-4a8e-9b71-2e6a4b762f6e,_CS_LFS_CFLAGS,"_CS_LFS_CFLAGS
"
21ed22ef-639e-48e8-9e0e-4c3f28cd5498,"GetSysCacheHashValue4(cacheId,key1,key2,key3,key4)","GetSysCacheHashValue(cacheId,"
70d87b09-ac79-436f-a3e9-8e1635780162,PF_LLC,"26
"
b99a7906-2efc-49f0-8776-6ad7234144c3,__sigval_t_defined,"
"
6489e123-0234-45c9-a441-5c1e184f4c8d,__UINT_FAST32_TYPE__,long
cafef3ae-139a-4e62-a986-830449a735e2,MCAST_LEAVE_GROUP,"45
"
77957bcc-ffc5-4df6-a77f-0b75c8551550,SOL_BLUETOOTH,"274
"
462a44a0-869e-4bea-9c37-1c743da413b7,VARSIZE_1B(PTR),((((varattrib_1b
021d898b-cab2-4475-bb5e-b06422f2682f,HAVE_LIBLDAP,"1
"
3df56f9a-1064-4fd6-b17f-7af603af777e,_SC_CPUTIME,"_SC_CPUTIME
"
b7f44455-6fe2-4206-afb1-45bda0c55328,__UINT_FAST64_MAX__,"0xffffffffffffffffUL
"
815f9348-f092-4ea4-a668-0f8d3fcf7017,PG_INT32_MIN,"(-0x7FFFFFFF-1)
"
a91774dc-5ba1-4920-ad08-2c4b47d330a6,si_ptr,"_sifields._rt.si_sigval.sival_ptr
"
5202f26d-15b5-4e24-934e-0d6c30222239,_CS_POSIX_V7_LP64_OFF64_LDFLAGS,"_CS_POSIX_V7_LP64_OFF64_LDFLAGS
"
28d6ab9f-0f8b-4d3e-ad68-f69c0b5b9aaf,PG_DYNSHMEM_DIR,"""pg_dynshmem""
"
3e74aaaf-fb41-4370-95d8-e2e74579c989,AttributeRelation_Rowtype_Id,"75
"
0896f734-6f69-467c-8145-ec77ec49ec98,makeNode(_type_),((_type_
d3eb95c0-935a-4deb-bdc8-b3ca16499112,ENOTTY,"25
"
a49c86a4-8618-418f-b528-4d934c3bfa53,WCHAR_MIN,"__WCHAR_MIN
"
feeeafbc-7500-4aef-91dc-3ae36ff1f087,PRIi32,"""i""
"
631b2886-230a-4cb1-b157-5f1a7894109f,MOD_NANO,"ADJ_NANO
"
a4731efd-9c0f-4e85-b6fd-542051bfcf43,__attribute_alloc_size__(params),__attribute__
bc1b44a7-33dc-4939-9aa6-a9972399110c,HASH_SEGMENT,"0x0002
"
ea35f0d7-07a1-4b7b-bb0d-d3f45e73c96e,HAVE_DECL_LLVMORCGETSYMBOLADDRESSIN,"0
"
5ca490fa-7dd3-4d92-b154-fe7f50a11de4,PARTITION_STRATEGY_RANGE,"'r'
"
