id,name,value
e57932c1-9b65-464b-aac8-bbc4348116c5,__S_IFBLK,"0060000
"
3645682a-ed14-494f-ae5c-2d33f706d749,DatumGetByteaP(X),((bytea
beef2970-b153-4757-bbda-09883c132191,Anum_pg_index_indisready,"12
"
635c1b4e-720f-4a9d-a68e-9d47b626d130,GUC_SUPERUSER_ONLY,"0x0100
"
164838f9-6688-497d-99cd-fc6dc146d83d,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
2e7b9925-6930-444e-bfab-c792a5e5251b,F_INT2UM,"213
"
5e785e6d-56df-4aac-9795-84f0cec96108,F_INT2UP,"1911
"
11f8e264-0fab-44fe-baf2-a976fc0671b0,BootstrapTransactionId,((TransactionId)
d3a36dc4-7b83-42ee-96a9-b16fdc8f0a4b,DATEMULTIRANGEOID,"4535
"
ab8f5385-12fc-4576-b082-dc2e3c668196,__SSP_STRONG__,"3
"
f86b921c-261f-4c48-b04b-13ba5098e734,F_BOOLSEND,"2437
"
40fdc0b0-42de-4a0b-86ad-10a1c0ffff71,_TIME_H,"1
"
6fc5907b-3826-4317-abe7-db2eaf49553a,__attr_access(x),__attribute__
453c462b-71de-4638-89c9-7df4ae6ea7f6,IPV6_2292HOPOPTS,"3
"
671e81b7-0ccf-4a0b-9a2d-600a9c293d29,RELKIND_PARTITIONED_INDEX,"'I'
"
148cb1db-ba80-4bc0-90b4-ca2da4cb59c0,ALLOCSET_DEFAULT_MAXSIZE,(8
cadebcd7-09df-4f05-99f3-e4ca7468ec25,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
6db13f30-1e4d-4a7a-a043-e72ae4649ee2,F_UTF8_TO_SHIFT_JIS_2004,"4385
"
8faffddf-cfdd-41a3-a123-2d63ef5a29db,F_PRSD_HEADLINE,"3720
"
d78d4236-fca1-4a6e-98ec-05469f3ca8ba,F_JSONB_PATH_MATCH_TZ,"2030
"
ef121c4f-2b3f-4325-b396-45841fb5c369,F_PG_STAT_GET_BGWRITER_REQUESTED_CHECKPOINTS,"2770
"
640f095c-d70b-4e80-8e77-374becf7252a,AT_STATX_SYNC_AS_STAT,"0x0000
"
e8e537c2-fad6-401d-a38c-020b3f8dc1d7,STATUS_EOF,"(-2)
"
34dd7f09-12dc-4c25-9301-f43853af2a88,AF_MAX,"PF_MAX
"
f5378f46-b2c1-466d-9cb3-da4e58b4dec7,_SC_PII,"_SC_PII
"
d638933b-53a5-4b11-9036-6508599bf390,F_TEXTEQNAME,"247
"
21384882-e6a0-456a-a2ca-54b51ddff4a0,F_ARRAY_LE,"393
"
b4abab68-f224-4b88-8fac-05c810091074,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
2ad571a4-70cd-4245-9aaf-9c8745e58b14,F_ARRAY_FILL_ANYELEMENT__INT4__INT4,"1286
"
fb5de308-932e-4d18-b891-15c7b68ee4ec,__SIZEOF_WCHAR_T__,"4
"
df798076-0440-4c18-9cc7-689848b51361,__UINT_LEAST16_MAX__,"0xffff
"
0bad64c8-833a-4ec3-9ee5-38ca594f7ab7,IP_ROUTER_ALERT,"5
"
c45267fc-0b4c-4c9e-8b62-a8cc36f92656,F_NUMERIC_AVG_COMBINE,"3337
"
4a3056a6-b293-4dd3-9806-d47ace8b15e6,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
261a3e3f-311d-40a1-a0fa-59dc75e3a9e9,BKI_BOOTSTRAP,"
"
f5eb7287-c7b7-4141-98e9-bca8cfe8e3bd,RE_DUP_MAX,"(0x7fff)
"
85a89d0c-b4d8-4ba6-aed9-4e0d5c1612d2,SVE_SIG_REGS_OFFSET,((sizeof(struct
5da66579-7503-459a-8050-0ced489f2f83,PVC_RECURSE_AGGREGATES,"0x0002
"
ab34e2cf-0fd4-4c47-a517-16e19bc8ece2,F_MIN_TIME,"2139
"
6ca0c30b-2fef-4d90-bf31-eac51e3cc81e,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
abdcb004-3321-4f04-a823-23a70da8819f,sa_sigaction,"__sigaction_handler.sa_sigaction
"
19b496f4-2e23-4402-930b-bab7a0bc60e5,XLOG_MARK_UNIMPORTANT,"0x02
"
52b49b18-d4a4-42d7-a36d-65dff64d9c76,ILIST_H,"
"
c099ed62-f42f-4f0c-8931-227c17aefcb1,"fcGetArgNull(fc,n)","((fc)->args[n].isnull)
"
0c7ba603-4985-41e1-ae9b-55b14d6eb6de,F_STRING_TO_ARRAY_TEXT_TEXT,"394
"
6122f565-89b4-40e1-a11d-e832733ad7f3,F_ARRAY_NE,"390
"
2e177891-8398-4221-b845-b061d0622f1b,__NFDBITS,(8
ab4f7595-a4de-45e5-a2a1-463b3ee46ed3,F_BRIN_MINMAX_MULTI_DISTANCE_TID,"4627
"
28468fab-2496-4913-b356-f7a7cec25c6c,F_CLOSE_LSEG,"1489
"
80e30619-d592-456d-bb2a-fba02aacfc39,si_fd,"_sifields._sigpoll.si_fd
"
82882078-3a77-407a-9f2c-c85353c46f34,USE_LLVM,"1
"
03dffb23-1d5f-4478-85f9-81f06e756874,_T_WCHAR_,"
"
2a8c67b1-c3ba-4785-b165-4fa35e4fd7fa,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
c61e20b9-77a3-44a6-b4a6-712eae62432b,NI_MAXSERV,"32
"
4280ef6d-f79e-48db-a817-9d07fbe09bb9,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
0da7abbf-25d3-4035-b495-40d989c74f1f,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
b8013898-832c-4518-a4ed-862ee22d2469,F_PG_HBA_FILE_RULES,"3401
"
b5e8e83f-6b6c-41a0-bf19-4b933ed5617d,F_MACADDR_IN,"436
"
a1d61852-f677-41b8-bc5f-9f54ec165d76,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
e4af47c1-b45c-4e4d-b084-20a63602587d,F_GIST_CIRCLE_CONSISTENT,"2591
"
78b49794-09ba-4fa8-ac68-b110d15b0ce8,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
22a06484-453f-4fd9-b7e1-883742bbe517,F_PG_SLEEP,"2626
"
f637dd78-305a-4086-a880-fa5f47be1ccb,_PRINTF_NAN_LEN_MAX,"4
"
6873130d-55b6-4652-be34-3d8ad8c08514,PG_BINARY_R,"""r""
"
78126cb9-d999-4b7c-bbd5-8e8e98d49ea4,PG_BINARY_W,"""w""
"
5b792262-bc8d-439f-9446-1a1044b076f7,INTSTYLE_POSTGRES,"0
"
4db180f4-193e-47b7-adcb-1090f61d52a6,PRIuPTR,__PRIPTR_PREFIX
13976314-bcfb-4f55-a039-c3541592f190,F_STDDEV_POP_FLOAT4,"2727
"
75f195b3-5aa0-4631-9249-0d28e8a5af3a,F_STDDEV_POP_FLOAT8,"2728
"
9a4398c8-dae1-424b-8679-d1e14851d618,F_STRING_TO_ARRAY_TEXT_TEXT_TEXT,"376
"
aeb60358-dc4d-433f-8ac0-4485aa2365d0,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
11e61171-8361-41a7-9c39-1583a32dbf92,F_NUMERIC_ABS,"1704
"
ce86d0a1-3624-4ab0-9546-09643cb74e47,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
20e76704-508c-4163-b0ce-aa6b72dc92d6,GUC_UNIT_MB,"0x4000
"
806e8ffb-62de-4b24-b56e-019fd1a58098,F_TSRANGE_TIMESTAMP_TIMESTAMP_TEXT,"3934
"
0f156740-2858-4d36-995d-00f5e09d79e0,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
6e64e30d-e49f-4f7d-a0e1-5a9a472e76f5,__GNU_LIBRARY__,"6
"
a98481d1-2911-4d3a-a76f-b496bbf56c3f,F_FLOAT4_JSONB,"3453
"
cb54c72b-cfac-4806-9112-94224c3bdbf6,NL_NMAX,"INT_MAX
"
e762f62d-e993-4b2a-b11e-a09c599d612d,GUC_UNIT_MS,"0x10000
"
f1b572b7-74f6-43bd-9d1c-9938085eed81,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
5bde0762-4481-4beb-aee3-828c25fd1873,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
c9ec528e-64dd-4b31-a1bf-c649c426efcc,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
db2040f4-e654-4c23-a7d0-411de3fc63c9,F_PG_EXTENSION_UPDATE_PATHS,"3084
"
146e2455-4da6-4a2c-99db-a282a35a27cd,CONFIGURE_ARGS,""""
3e1ed4bb-32b0-48eb-86f2-d6390ede14b8,CLOCK_THREAD_CPUTIME_ID,"3
"
008dd452-e6d1-429f-9669-7333c73d2915,F_INT2VECTORRECV,"2410
"
2ff11655-9a23-41b8-82bd-13e86fcfcfc4,HTUP_H,"
"
e7beece8-86bc-4c3e-b7de-aa04ba12581a,F_MACADDR_LE,"832
"
bb02029f-8b30-4708-8957-6d93bae54baf,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
c4f249fc-f54f-4efb-b210-bda4fd554784,F_TIDNE,"1265
"
f7a52663-66d5-4b22-8a39-b8171eec94ee,F_MACADDR_LT,"831
"
5c74b0db-6360-4795-bf32-cf5463e04a86,F_HASHENUM,"3515
"
3e75edd2-d0b0-4b03-b899-ac71be3f10d3,SO_NOFCS,"43
"
1e897bff-1708-4fc6-b7de-9a2e67d2c96e,PG_RETURN_UINT32(x),return
7bf920fc-46e1-47da-aeda-b38523731ccc,__SCHAR_WIDTH__,"8
"
c73d0ebe-922f-4d93-bb97-f01434572d49,F_REGOPERSEND,"2449
"
81e63643-1052-4ea9-adbb-a9f83c0b8f97,F_BOX_RIGHT,"191
"
08eb2a4f-4d9d-4dda-85bb-9cc3fa1b6c96,ADJ_OFFSET,"0x0001
"
899c8f58-e9ec-4b37-a6c9-89e816b75515,SOCK_RAW,"SOCK_RAW
"
81774f8f-28f7-470c-b245-5cada34080b3,F_VARBITLE,"1670
"
b874b23c-81ff-4619-889b-8ad5cb3de9f7,F_VARBITLT,"1671
"
b391433b-2493-4533-93b4-04726034d85b,EDESTADDRREQ,"89
"
5ea61ec8-0c6c-40fe-b980-4d4c5c6a80c1,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
6b6814c7-7040-4f76-b5b3-d622b5e5d1c7,AMFLAG_HAS_TID_RANGE,(1
d6d51749-3887-415a-86e5-b6c09b0c1ce5,F_BOX_SUB,"1423
"
8c6a20f9-6c4a-4213-a448-18b1f98508e3,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
2d10fe23-e51d-47f4-acc1-b33c926bb5fb,F_INT8RECV,"2408
"
041d6532-d946-4cc3-afe9-e8cde7661e23,F_PG_TABLE_SIZE,"2997
"
09ce8944-5f82-4136-a1a0-aaf108c272de,F_REGR_INTERCEPT,"2826
"
57aa3907-c1a0-4318-82c6-2dc5595726bf,FIELDNO_MINIMALTUPLETABLESLOT_TUPLE,"1
"
5fd9a5f9-21bc-4f64-bd9c-ea3721e14641,F_ABS_FLOAT4,"1394
"
6e4d3c42-d0a2-4c01-a720-52b0697252b3,si_pid,"_sifields._kill.si_pid
"
4d350f36-a271-473c-9e1a-8dd349d3e612,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
6936a5b0-d6fb-473a-b241-66edf5e40de7,F_INT2NOT,"1895
"
78cf222e-3e47-47ef-a967-9c0a63d01486,F_TO_CHAR_INTERVAL_TEXT,"1768
"
5aca6656-05f9-47c6-9117-12b3ab31ffd3,PG_MINORVERSION_NUM,"5
"
5ea07674-63f5-4f90-84d7-33b564390e09,F_PG_INDEXAM_PROGRESS_PHASENAME,"676
"
7b905f64-bae9-44a6-ae34-ba1d54a95773,F_MACADDR_OR,"3146
"
10366ccd-366c-45e1-8e78-99ddef7b75de,F_VARBITNE,"1667
"
98994464-6e4b-4e5d-b478-7c66c5f9ad3b,REGOPEROID,"2203
"
53a23325-f621-407a-a787-ca72326ff601,RECORDARRAYOID,"2287
"
bbd6b555-d259-4a6d-b3d0-d42caa3f81a9,IPV6_ADDRFORM,"1
"
f6851d30-83e3-4a33-8825-3cba494e9a3f,L_INCR,"SEEK_CUR
"
a0875075-61cd-4f4d-ab1f-5d8cfa79756c,SOCK_RDM,"SOCK_RDM
"
24fad0b1-74ce-42f0-aac3-da60f3b28d29,ITIMER_VIRTUAL,"ITIMER_VIRTUAL
"
8ee6d22e-ae32-4a68-8b38-9dffe10118e0,HAVE_GETOPT,"1
"
bf3ec834-b755-463b-a3c6-a243174a6259,F_JSON_EXTRACT_PATH,"3951
"
1f806281-112c-4099-a016-f987f129a2e0,F_OVERLAPS_TIMESTAMP_INTERVAL_TIMESTAMP_TIMESTAMP,"2044
"
69c11e5f-27c2-4b03-8238-176b193af27e,IPV6_CHECKSUM,"7
"
190ee6ba-20d1-4377-a723-8621215e7205,EMLINK,"31
"
aec47652-03c0-4b1b-8731-a369ad419582,AttributeRelidNameIndexId,"2658
"
a2a10aac-0e9e-4d2c-b16d-94422d4eccf1,IP_MAX_MEMBERSHIPS,"20
"
2fe1f6f6-8ca3-4cb6-b3f8-cce894f387f2,BITMAPLEN(NATTS),(((int)(NATTS)
933c4c24-ae0d-4d38-84a3-08768df17597,PG_MCV_LISTOID,"5017
"
5f4330e0-74b1-4b72-82b6-b3e10754e17c,"__ispunct_l(c,l)","__isctype_l((c),"
4493c525-146e-41ba-b2f6-f4b64a334653,WORKER_PROTOCOL_H,"
"
5c088f2b-193f-4eee-bf6f-5e8c4933f446,MaxAttrSize,(10
814761c6-1e0e-424f-8712-9d83053ee810,"foreach_ptr(var,l)",for
12e79e5c-8a56-4ee8-b585-db01a7455e76,F_HAS_SERVER_PRIVILEGE_NAME_OID_TEXT,"3007
"
c552724d-1828-4ecd-b3da-caf8b17a31b2,SEQ_COL_FIRSTCOL,"SEQ_COL_LASTVAL
"
